Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
......Industry (in percent),..,-4.2,4.5,1.5,1,4.5,4.1,2.6,7.1,-2.3,3.7,-0.9,3.3,4.1,4.8,2,-4.2,4,0.8,2.1,-2.3,-3.4,1.1,4.8
......Services (in percent),..,-2.1,-1.1,3,3.7,2.4,3.2,4.4,1.8,11.6,-9.2,1.3,5.4,5,5.3,2.8,1.8,7.7,4,2,-0.7,-6.4,0.2,3.2
"..B. GDP to Total Hours Worked (in pesos, constant)",114.6,116.2,117.1,120,124.1,125.8,131.4,134.5,138.6,138.8,143.2,146,154.3,161.3,172.9,179.6,178.3,197.9,202.6,210.6,223.3,204.8,202.8,209.4
"02. Major Industries Contribution to GNI (in percentage points, constant)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agriculture, Forestry and Fishing (in percentage points, constant)",..,0.5,0.5,0.6,0.7,0.5,0.6,0.7,0.5,0,0.2,0.4,0.4,0.3,0.2,0.1,-0.1,0.4,0.1,0.1,0,0,0,0.1
"....Industry (in percentage points, constant)",..,0.4,1.1,1.4,1.3,1.4,1,1.4,1.5,-0.4,2.6,0.4,2,1.8,2,1.7,2.2,1.9,2,1.5,-3.6,2.3,1.9,1
"....Services (in percentage points, constant)",..,1.9,1.8,2.6,4,2.6,3.2,3.9,2,1.7,3.8,2.6,3.8,3.9,3.5,3.9,4.3,3.9,3.6,3.9,-5,3,5.4,4.1
"....Net Primary Income (in percentage points, constant)",..,0.3,0.3,0.4,0.5,0.8,-0.1,0.4,0.7,2.3,0.5,-0.1,0.9,1.4,0.5,0.4,0.4,0.6,0.2,-0.2,-2.8,-3.6,2.6,5.2
"..Total GNI (in percentage points, constant)",..,3.1,3.7,5,6.4,5.3,4.7,6.3,4.7,3.6,7.1,3.3,7.1,7.4,6.2,6.1,6.8,6.8,5.9,5.4,-11.5,1.7,9.9,10.5
03.  Terms of Trade (in percent),123.2,124.1,123,121.4,116.3,112.4,110.3,109.6,109.3,113.6,114.5,106.1,106.7,109.3,110.2,108.1,104.9,103.6,100,97.1,99,92.3,89.6,90.5
"04. Trading Gains/Losses (in million pesos, constant)",398690.3,433192.4,442174.8,440478,360011.4,297552.1,263757.1,251452.3,244275.7,336900.1,431819.8,195299.1,219320.7,321303.6,386287.5,354583.6,246400.5,212998.7,-983.6,-191545.6,-52611,-479238.3,-757271.6,-689957.9
05. Trade Balance,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..A. Net Export,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Levels (in million pesos, current)",56760.1,-104207.2,-166776.3,-139864.5,-184824.8,-81989.6,107451.7,171562.4,-77878,-37550.5,-33332.2,-262237.4,-321626.2,-418148.5,-364398,-658928,-1275668.7,-1500659.8,-2143637,-2356977.6,-1393738.9,-2325496.4,-3448500.3,-3426306.8
"....Share to GDP (in percent, current)",1.5,-2.6,-3.8,-3,-3.5,-1.4,1.6,2.4,-1,-0.4,-0.4,-2.6,-2.9,-3.5,-2.8,-4.7,-8.4,-9.1,-11.7,-12.1,-7.8,-12,-15.7,-14.1
"..B. Net Merchandise Export (in million pesos, current)",152292.9,-35241.3,-105894.4,-83216.7,-128554.8,-256461.7,-178469.4,-146244.2,-236430.6,-270880.3,-407678.9,-639052.7,-614363.8,-754220,-778473.1,-1209883.2,-1911163.7,-2343481.9,-3152044.9,-3403221.6,-2238131.6,-3378857.8,-4625600.9,-4603873.4
"06. Trade to GDP (in percent, current)",85.2,84.9,83.8,87.6,87.1,83.8,80.9,73.6,67.7,60.9,66.1,60.8,57.8,55.8,57.5,59.1,61.8,68.2,72.2,68.8,58.2,63.5,72.4,67.4
"07. Total Exports (in million, current)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Total Exports in Pesos,1602676.9,1656261.6,1740471,1995869.9,2226820.9,2439697.8,2701749.6,2736354.2,2685292,2535545.6,3090053.4,2952647.2,3038020.1,3154534.1,3612662.4,3793934.3,4036260.6,4892869.7,5518572.5,5539739.5,4524306.2,4998628.2,6253255.3,6481807.7
..US $ (FOB),36114,32535.7,33680.5,36810.1,39731.7,44285.9,52678.7,59408.2,60536.8,53231.1,68500.8,68170.4,71932.8,74847.3,81425.9,83457.9,85038.1,97071.8,104782.6,106972.1,91232.5,101424.7,114603.4,116503.8
..Total Exports Share to GDP (in percent),43.3,41.2,40,42.3,41.8,41.2,41.2,38,33.4,30.2,32.9,29.1,27.5,26.2,27.4,27.2,26.7,29.6,30.2,28.4,25.2,25.8,28.4,26.7
"08. Total Imports (in million, current)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Total Imports in Pesos,1545916.8,1760468.8,1907247.3,2135734.5,2411645.7,2521687.4,2594297.9,2564791.8,2763170,2573096,3123385.7,3214884.5,3359646.3,3572682.6,3977060.4,4452862.4,5311929.3,6393529.4,7662209.5,7896717.1,5918045.2,7324124.6,9701755.6,9908114.5
..US $ (CIF),34921.8,34558.4,36901.7,39403.4,43031.1,45773.5,50576.5,55766.9,62288.4,54035.5,69304.3,74217.4,79593.6,84600.9,89624.7,97809.2,111859.6,126845.2,145458.6,152496.7,119315.2,148558.8,178116.6,178119.2
..Total Imports Share to GDP (in percent),41.8,43.7,43.8,45.3,45.3,42.6,39.6,35.6,34.3,30.7,33.2,31.7,30.4,29.6,30.1,31.9,35.1,38.6,41.9,40.5,33,37.7,44,40.7
"09. Share of Top Five Imports to Total Merchandise Exports (in percent, current)",83.4,81.5,81.4,81.4,80,79.9,77.3,75.6,72.5,76.5,75.3,69,70.1,66.7,69.4,70.6,69.2,67.9,69.9,68.8,68.9,68.6,71.8,71.9
"10. Share of Top Five Imports to Total Merchandise Imports (in percent, current)",58.1,58.4,59,59.3,60.5,61.5,62.8,62,62.7,60.7,62.2,61.5,63.3,64.2,63.3,60.3,58.2,57.5,58.8,59.4,57,58.6,63.4,62.7
"11. Ratio of NPI to GNI (in percent, current)",8.6,8.7,8.7,8.6,8.5,8.9,8.4,8.2,8.6,10.4,10.1,9.7,9.9,10.5,10.3,10.3,10,9.9,9.6,9.1,7,3.4,5.5,9.9
12. Inflow of compensation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Pesos (at current prices),434846.9,519114.4,584827.3,610956,673496.6,768737.9,825831,848995.1,949362.9,1209347.5,1286821.7,1331057.8,1518865.6,1707937.4,1855468,1914104.7,1983722.4,2143019.4,2326517.7,2430628.4,1740559,941740.5,1469235.1,2879901.4
..US $,9844.1,10185.4,11319.2,11275,12018.1,13953.4,16101.1,18417.4,21300.6,25391.9,28528.1,30733.8,35998.7,40448,41805.6,42075.9,41772.6,42518.6,44181.7,46947.2,34915.4,19073.3,26887.9,51709.9
..Growth Rates (pesos),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8.6,4.5,-28.4,-45.9,56,96
..Growth Rates (US $),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,3.9,6.3,-25.6,-45.4,41,92.3
"..Share to GNI (in percent, current)",10.7,11.8,12.3,11.8,11.6,11.8,11.5,10.8,10.8,12.9,12.3,11.8,12.4,12.7,12.6,12.3,11.8,11.7,11.5,11.3,9,4.7,6.3,10.7
"..Share to GDP (in percent, current)",11.8,12.9,13.4,12.9,12.7,13,12.6,11.8,11.8,14.4,13.7,13.1,13.7,14.2,14,13.7,13.1,12.9,12.7,12.5,9.7,4.9,6.7,11.8
"13. Fixed Capital Formation to GDP (in percent, current)",19.4,18.3,18.3,18.6,18.5,18.2,18.7,18.9,19.1,18.6,20.4,19,19.9,20.8,20.9,22.2,25,25.6,27.3,27.2,21.3,22.3,23.3,23.6
"14. HFCE/GDP (in percent, current)",71.7,72.9,73.1,73.5,73.6,74,73.3,72.3,73.2,73.2,70.2,72.1,72.6,72,71.3,72.5,72.6,72.2,72.5,73.2,75.1,75.3,75.9,76.5
"15. Manufacturing to GDP (in percent, current)",25.3,25.3,25.1,24.8,24,24.3,23.8,23.2,23.3,21.7,21.9,21.7,21.3,20.4,20.6,19.9,19.6,19.5,19.1,18.5,17.7,17.6,17.2,16.2
16. Debt to GDP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..A. National Government Debt Service (in million pesos),227843,274439,357959,469990,451796,657394,839992,610140,564019,779303,939222,930569,599242,698521.6,755547,797259,789965,680466.4,725589,842449,962466.2,1204069,1293181,1603611
"..B. Ratio (in percent, current)",6.2,6.8,8.2,10,8.5,11.1,12.8,8.5,7,9.3,10,9.2,5.4,5.8,5.7,5.7,5.2,4.1,4,4.3,5.4,6.2,5.9,6.6
