"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Jackfruit, ripe",138.2,-39.6,-48.7,225.4,-45.1,73.4,-7.2,20.9,-12.2,-16.0,-52.8,-28.0,21.4,48.8,37.3,-10.0,16.4,9.1,10.5,3.2,5.5,21.5
"Current Prices","..Cacao",0.4,16.4,49.0,-4.9,-6.4,-14.2,-5.2,-26.0,-23.5,-14.4,-46.8,17.0,4.5,5.8,13.3,1.9,16.6,44.2,44.9,-13.2,8.7,-9.0
"Current Prices","..Mangosteen",8.3,57.2,-17.0,48.3,-3.6,-4.8,-72.1,-39.3,16.0,54.6,-76.2,971.3,57.7,-8.8,288.9,28.6,-81.7,30.9,65.6,19.3,36.3,10.0
"Current Prices","..Other Crops",20.9,-78.0,-23.9,-1.4,-15.6,8.3,-7.7,27.3,-21.5,-2.5,-5.6,3.8,-1.3,14.3,11.1,3.8,16.3,2.3,15.5,7.3,11.3,3.2
"Current Prices","LIVESTOCK",4.2,9.4,3.3,28.1,3.5,3.8,6.1,2.8,-0.9,7.9,-12.1,-4.5,-1.5,3.0,0.3,6.8,3.9,3.8,-0.7,-7.7,10.8,10.4
"Current Prices","..Hog",4.3,9.7,3.4,29.5,2.6,2.8,4.6,2.2,-0.4,8.0,-12.5,-4.5,-1.5,3.5,0.7,6.5,4.0,4.6,-1.3,-8.3,12.9,10.8
"Current Prices","..Cattle",3.7,6.6,1.1,16.7,1.9,6.4,9.6,6.8,-10.6,23.5,1.1,9.9,8.1,4.2,-6.3,28.2,2.5,-7.7,19.3,-6.7,-1.3,-6.9
"Current Prices","..Carabao",-1.1,4.1,-4.3,21.8,11.2,17.1,32.6,15.6,-4.9,5.2,-7.7,-9.3,-7.6,-3.2,-4.4,-0.7,3.5,-6.9,4.7,7.2,-17.3,23.3
"Current Prices","..Goat",7.7,8.5,12.8,0.0,26.5,16.4,8.8,-3.8,-2.2,0.7,-18.9,-4.3,0.8,-4.3,2.9,7.3,0.1,9.4,-12.6,-14.7,8.1,-2.2
"Current Prices","POULTRY",14.3,6.0,-1.4,26.3,-2.6,-1.0,9.7,-2.9,-9.0,7.1,-1.5,-2.2,14.7,22.2,0.3,4.5,3.0,28.0,-4.8,3.3,15.1,28.6
"Current Prices","..Chicken",15.2,7.6,0.1,29.7,-1.0,1.2,6.2,0.8,-8.7,5.9,-1.2,-6.7,12.1,19.6,-3.9,6.0,4.3,16.1,-8.2,-2.7,20.1,28.1
"Current Prices","..Duck",13.5,6.4,4.1,-5.1,0.8,-13.1,-12.9,-53.8,-4.4,-21.3,-25.6,4.5,-2.6,8.6,3.7,10.4,-12.2,30.5,19.5,-8.7,2.8,31.4
"Current Prices","..Chicken Eggs",16.7,-4.0,-11.4,28.4,-12.6,-3.1,39.5,1.1,-13.5,14.2,0.8,13.9,24.3,30.3,15.3,2.9,-0.2,63.2,1.7,14.0,8.6,30.5
"Current Prices","..Duck Eggs",-4.5,17.6,1.8,11.9,-2.1,-17.9,8.8,-46.7,10.5,19.1,-9.8,25.2,18.7,29.5,-13.2,-16.0,6.7,5.0,-8.3,7.0,-1.3,11.4
"Current Prices","FISHERIES",8.5,5.7,5.9,6.1,3.3,2.3,31.2,15.9,-13.3,0.6,0.2,-3.3,2.3,7.1,4.4,-3.4,3.7,5.9,6.7,-4.8,8.3,10.8
"Current Prices","..Milkfish (Bangus)",.,.,47.5,17.6,-16.2,4.3,12.1,4.8,-26.5,-12.0,-2.1,15.7,11.0,29.2,7.8,15.7,9.5,41.3,23.5,-16.9,19.0,-12.2
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,60.2,-5.7,74.0,16.2,111.8,14.6,28.9,-22.4,-29.5,24.5,0.8,7.9,-7.2,-2.0,14.0,0.0,7.6,-7.0,10.4,67.6
"Current Prices","..Frigate tuna (Tulingan)",.,.,0.6,27.1,2.3,-9.3,25.9,-10.4,-2.2,-8.0,12.3,10.6,0.6,2.8,3.5,-2.4,5.0,-5.1,-5.5,6.5,-36.5,73.8
"Current Prices","..Skipjack (Gulyasan)",.,.,15.2,12.4,67.3,95.6,66.0,35.9,6.4,-12.2,-30.6,8.9,29.1,19.8,0.8,-3.0,9.2,2.5,-4.2,4.2,38.2,26.7
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,10.6,12.5,-2.0,1.5,-5.5,11.2,-5.3,-15.5,-17.0,-27.1,-3.0,-16.7,3.2,-6.7,26.1,-3.0,-17.6,12.7,19.8,19.4
"Current Prices","..Roundscad (Galunggong)",.,.,78.7,-32.9,16.7,2.2,0.3,9.1,14.2,34.4,16.6,16.0,-0.4,-11.9,-3.1,10.6,1.1,8.7,-9.7,0.5,25.9,27.4
"Current Prices","..Cavalla (Talakitok)",.,.,23.8,-21.2,43.2,-8.3,93.0,59.3,-34.2,-0.7,63.3,0.0,22.8,33.1,19.7,-7.2,4.0,9.9,21.4,-19.6,84.5,-56.6
"Current Prices","..Bali sardinella (Tamban)",.,.,16.1,19.1,35.5,14.1,10.3,54.8,-28.6,35.4,5.6,-17.1,-18.5,-5.4,20.9,-8.2,4.7,20.4,-4.7,1.7,-8.6,14.3
"Current Prices","..Siganid (Samaral)",.,.,19.4,12.0,27.5,-2.6,73.0,31.6,-4.1,25.5,1.8,9.6,-8.0,-15.8,-4.2,-4.3,-13.6,-13.8,4.0,-9.2,18.4,14.6
"Current Prices","..Squid (Pusit)",.,.,-8.3,9.5,27.5,-20.5,42.8,21.2,-21.7,-51.0,50.2,-46.1,6.2,7.2,-2.8,-6.0,-18.5,4.2,34.5,7.8,-4.5,166.3
"Current Prices","..Spanish mackerel (Tanigue)",.,.,7.8,5.3,34.7,-6.2,2.1,43.8,-38.6,63.2,17.0,14.0,48.8,0.9,23.0,3.6,7.5,10.2,17.3,-4.0,23.6,-51.1
"Current Prices","..Caesio (Dalagang-bukid)",.,.,-3.7,19.6,-8.4,-7.1,220.5,63.1,0.9,-31.7,40.1,11.0,10.5,15.1,18.4,9.7,0.1,28.8,41.1,35.0,-17.0,-42.7
"Current Prices","..Snapper (Maya-maya)",.,.,-23.5,25.8,-21.0,-23.4,78.1,34.8,-2.5,8.0,9.6,14.4,22.3,9.8,13.8,-5.4,-11.7,-23.7,27.0,-9.1,31.2,-54.8
"Current Prices","..Mudcrab (Alimango)",.,.,24.0,22.2,26.1,-3.0,89.3,9.4,8.7,20.3,9.5,11.4,-14.1,-1.6,-22.3,23.1,47.3,53.9,22.0,-5.5,52.8,-32.5
"Current Prices","..Grouper (Lapu-lapu)",.,.,25.6,10.8,5.5,16.2,2.9,-16.0,-19.8,3.3,-36.6,0.7,6.4,16.5,34.8,7.7,5.1,19.2,20.4,-3.3,27.2,-39.6
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,60.2,-5.7,74.0,-11.6,148.2,29.7,-87.9,50.2,-14.5,38.0,-21.4,-4.2,45.3,19.2,109.0,34.6,82.1,-31.7,-23.7,-2.1
"Current Prices","..Tiger prawn (Sugpo)",.,.,3.8,-1.4,-28.1,-11.0,6.1,-5.3,-38.5,-18.7,-14.1,-7.9,-3.5,1.0,-43.7,89.1,17.8,-44.3,-35.9,-49.8,-6.9,21.3
"Current Prices","..Seaweed",.,.,-49.4,20.4,-5.0,26.8,35.9,36.6,-22.8,-7.0,-1.8,15.1,1.2,-16.0,-11.3,-63.5,60.8,17.9,26.9,17.6,-46.1,-20.8
"Current Prices","..Tilapia",.,.,43.1,-5.8,-5.0,10.1,42.5,12.2,8.3,0.7,10.1,-4.5,-5.7,2.5,-7.4,-7.3,22.1,-4.2,6.7,-2.6,39.5,33.7
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,-10.9,-17.2,287.0,-9.6,32.1,-11.5,2.5,29.3,-30.2,17.1,29.1,58.0
"Current Prices","..Other Fisheries",.,.,1.0,1.2,6.3,10.1,33.5,20.6,-17.4,24.3,5.8,-7.5,-2.4,14.0,8.2,-7.9,-2.8,6.2,4.3,-7.1,2.2,4.1
"Current Prices","AGRICULTURE",2.9,2.6,7.8,22.8,4.2,1.2,21.9,17.5,-12.0,8.7,4.0,-3.8,2.7,19.5,-9.0,6.4,6.6,0.2,-7.4,10.2,4.6,8.2
"Constant 2018 Prices","CROPS",1.8,-9.3,4.2,2.5,6.1,1.2,8.2,-1.6,-5.5,-2.4,-7.6,6.1,7.1,2.3,-6.4,1.6,1.9,3.5,-4.6,8.1,-5.6,-1.4
"Constant 2018 Prices","..Palay",9.2,-2.8,5.4,2.0,9.8,5.9,11.5,-1.9,-4.9,-4.6,2.7,12.5,24.4,-1.6,-16.2,-4.0,4.4,5.7,-11.9,12.0,-7.1,11.2
"Constant 2018 Prices","..Corn",-4.5,0.4,9.6,27.8,3.5,-12.3,45.8,-20.7,-11.3,6.8,-20.0,18.3,20.1,16.7,-5.3,21.7,-17.0,13.0,0.1,16.1,-10.1,-22.7
"Constant 2018 Prices","..Coconut",-11.5,45.3,4.7,2.8,1.9,2.3,1.5,0.1,-2.5,-1.1,-9.7,0.2,-5.2,-1.6,-2.0,-3.6,0.8,1.7,-1.6,-2.3,-0.9,-10.6
"Constant 2018 Prices","..Banana",0.3,0.0,2.4,1.1,1.7,2.3,4.5,-1.4,-4.7,0.5,-3.0,7.2,-4.8,17.0,6.5,7.0,5.4,-1.2,1.7,8.4,-12.3,-12.2
"Constant 2018 Prices","..Sweet Potato",-2.8,-1.7,2.2,0.1,25.4,-14.6,9.3,2.7,-14.0,-9.7,-42.4,0.1,5.4,8.9,-6.0,10.4,11.3,-1.9,10.0,10.0,-1.9,2.3
"Constant 2018 Prices","..Mango",4.8,4.1,5.8,7.1,5.9,9.4,5.6,2.3,-10.6,0.8,-21.7,3.7,23.4,0.9,9.7,-0.6,6.3,1.9,2.4,4.4,2.0,-11.6
"Constant 2018 Prices","..Oil Palm (fresh fruit bunch)",..,..,5.4,-1.2,-1.4,3.8,5.9,10.9,2.0,6.3,-15.2,-19.8,-46.1,3.0,9.1,10.2,-2.4,4.1,-5.2,2.0,5.1,1.6
"Constant 2018 Prices","..Abaca",-43.4,-3.3,6.6,28.0,15.2,1.7,2.8,4.3,-3.7,3.4,-0.5,-1.1,-2.3,3.5,19.0,8.6,-2.0,-0.6,3.8,4.7,3.7,-4.6
"Constant 2018 Prices","..Rubber",18.7,0.9,1.7,-2.1,-1.7,-11.1,4.5,0.8,-5.5,-0.5,4.3,8.9,-39.6,4.8,14.2,7.0,10.5,10.0,7.3,5.2,2.6,-3.3
"Constant 2018 Prices","..Cassava",4.2,3.8,2.7,-0.4,12.1,-1.8,5.0,3.7,-9.1,-14.1,-42.6,-14.9,-11.9,-2.9,5.9,35.8,-10.4,-1.1,-19.3,9.2,5.1,-7.4
"Constant 2018 Prices","..Eggplant",10.4,2.8,3.3,3.2,90.9,-4.8,8.4,5.6,-0.2,-1.9,-24.2,13.1,3.3,13.6,0.6,50.7,-0.6,12.4,11.1,11.5,-8.5,1.1
"Constant 2018 Prices","..Gabi",3.1,-1.0,-0.6,-4.6,94.3,-3.8,4.3,-3.0,-1.6,-0.7,-12.4,0.1,-9.3,-0.9,13.1,-3.9,2.7,-9.2,-7.3,9.8,3.8,6.4
"Constant 2018 Prices","..Durian",16.2,-3.0,0.6,2.9,-44.2,38.3,17.1,6.1,21.3,-4.4,4.7,70.4,-35.1,48.2,21.9,16.0,-12.1,-13.1,-2.3,11.8,-4.4,-1.0
"Constant 2018 Prices","..Calamansi",9.6,2.2,4.7,2.2,4.8,-0.3,2.3,6.3,-4.0,-1.0,-2.7,-10.4,-2.7,5.4,12.6,12.8,-7.5,-3.8,1.7,8.7,-10.1,-5.8
"Constant 2018 Prices","..Coffee",0.1,0.8,0.2,0.5,-10.7,-19.0,-0.1,1.0,-16.8,-14.0,-10.8,-11.0,-16.2,-6.1,17.1,11.4,-13.7,5.1,6.6,-8.6,-2.5,-14.5
"Constant 2018 Prices","..Squash",6.5,2.4,150.9,-4.0,18.8,0.0,3.4,-10.4,-30.4,-14.2,-48.3,19.7,7.0,11.1,-1.0,35.7,54.6,-16.0,7.8,8.8,0.3,0.3
"Constant 2018 Prices","..Ampalaya",4.7,4.6,58.9,-5.6,76.7,-3.9,12.2,-4.8,0.8,4.9,-23.1,14.9,12.9,1.7,2.2,16.0,42.3,0.7,3.3,4.8,2.2,4.5
"Constant 2018 Prices","..Pineapple",3.4,0.1,-0.9,1.1,7.2,-3.8,4.3,9.1,-1.1,0.9,-12.5,12.4,-23.8,-20.7,-4.6,5.2,17.9,-13.3,2.9,23.4,2.5,0.6
"Constant 2018 Prices","..Stringbeans",5.6,0.4,356.0,-6.7,14.3,-3.9,-12.3,-0.2,-21.0,5.8,-40.5,15.6,18.1,2.5,14.0,14.4,6.2,12.6,4.7,2.1,-0.6,5.4
"Constant 2018 Prices","..Jackfruit, ripe",0.0,3.1,0.4,2.6,0.2,0.4,-11.4,-2.7,-19.6,-17.1,-22.8,-12.5,-5.9,4.1,-0.9,-6.8,9.7,2.7,-3.1,0.1,0.5,-2.0
"Constant 2018 Prices","..Cacao",2.9,-6.5,0.7,0.4,-7.8,-6.8,-6.5,-25.9,-26.2,-21.1,-52.8,8.3,-8.8,2.7,1.5,8.3,23.6,41.9,36.9,5.2,3.5,-12.4
"Constant 2018 Prices","..Mangosteen",5.0,1.5,-1.0,10.3,-26.4,8.1,-11.7,-66.1,1.6,33.0,-69.7,693.7,66.2,-9.3,192.8,22.6,-85.4,17.8,66.7,13.2,11.0,-1.9
"Constant 2018 Prices","..Other Crops",7.6,-79.1,-8.3,-13.2,-4.2,-1.2,-3.2,-5.2,-17.1,-12.8,-23.5,3.0,-3.1,-0.9,3.8,-2.5,4.2,4.0,5.0,4.7,-1.1,-1.6
"Constant 2018 Prices","LIVESTOCK",2.8,5.0,2.6,2.1,-3.2,1.7,2.4,-8.0,-6.2,-3.3,-13.8,-3.2,-1.3,-1.8,-1.1,6.8,-1.0,-3.4,-0.4,-5.3,-18.7,-20.1
"Constant 2018 Prices","..Hog",3.4,5.4,2.8,2.4,-3.5,1.8,2.0,-8.6,-6.3,-4.1,-14.1,-2.9,-0.8,-1.2,-0.6,7.1,-0.5,-3.6,-0.5,-4.9,-18.7,-21.1
"Constant 2018 Prices","..Cattle",0.6,-3.0,3.2,3.5,-2.5,-1.3,-2.7,-5.6,-6.6,11.6,0.5,4.9,4.9,2.0,-7.7,18.0,-6.5,-8.9,14.0,-8.6,-11.2,-11.6
"Constant 2018 Prices","..Carabao",4.6,-1.5,-1.6,3.2,-0.3,0.5,19.3,3.5,-7.5,6.4,-10.7,-11.5,-8.2,-9.6,-8.0,-2.0,-2.6,-0.8,-2.4,-4.2,-28.5,1.1
"Constant 2018 Prices","..Goat",-10.4,5.6,0.8,-6.6,1.1,4.0,-1.6,-7.7,-2.2,-6.0,-21.0,-4.2,-8.4,-9.9,1.2,0.7,-8.6,4.0,-9.2,-17.4,-10.4,-26.1
"Constant 2018 Prices","POULTRY",10.0,6.0,-0.3,6.6,-1.3,-5.1,3.0,-13.4,-16.3,1.1,-3.2,-7.0,20.8,14.0,4.2,2.4,4.0,25.3,-3.8,1.5,-2.6,7.3
"Constant 2018 Prices","..Chicken",13.1,8.7,1.2,9.1,0.9,-3.4,2.4,-9.8,-16.9,1.3,-3.0,-11.0,18.8,10.6,0.7,4.6,5.2,11.6,-4.7,-0.7,-5.5,-2.7
"Constant 2018 Prices","..Duck",8.7,6.9,-0.6,-4.2,-10.1,-9.6,-24.1,-58.0,-8.2,-28.9,-20.8,-1.5,-8.4,6.0,-1.9,7.6,-20.8,16.2,9.0,-17.3,-6.1,-4.5
"Constant 2018 Prices","..Chicken Eggs",0.5,-5.9,-8.0,5.0,-4.2,-7.8,25.5,-8.9,-16.6,2.5,-0.8,8.4,28.8,25.8,18.8,-1.2,1.6,69.1,-1.9,5.9,3.3,24.5
"Constant 2018 Prices","..Duck Eggs",6.2,5.4,0.8,-4.4,-11.7,-17.3,-10.7,-46.5,-3.0,12.1,-11.5,11.1,32.1,20.6,-12.5,-18.1,3.4,3.8,-9.1,3.9,-12.8,-2.9
"Constant 2018 Prices","FISHERIES",6.5,3.9,8.9,0.1,0.8,-2.4,13.5,0.3,-11.4,-6.6,-5.6,-5.3,-4.0,0.7,-1.2,-3.3,-0.9,0.3,-6.6,-5.0,-4.4,-1.2
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,48.4,14.9,-14.5,-4.2,9.7,-2.7,-31.0,-17.4,-5.9,13.7,5.8,33.3,4.0,11.5,15.6,24.1,14.1,-10.0,11.8,-21.0
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,35.7,2.9,33.4,8.7,91.3,-0.8,29.2,-23.6,-28.9,1.0,3.0,4.7,-17.4,4.6,10.9,2.6,-6.5,-5.1,-9.2,40.6
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,-12.3,29.5,-6.5,-10.5,5.7,-28.9,2.3,2.8,-4.0,-0.3,-6.5,2.4,-1.1,1.1,-1.0,-9.5,-3.7,1.4,-45.4,40.7
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,-1.3,0.9,50.6,82.8,57.1,30.0,-3.0,-13.6,-35.4,2.8,15.8,23.1,-3.8,4.5,-1.5,0.4,-11.5,6.4,10.6,13.7
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,-0.3,-0.7,-1.4,-5.8,-15.1,-14.8,-1.1,-20.9,-17.7,-23.6,-5.3,-22.0,-4.7,-11.7,9.7,6.8,-25.4,5.7,4.2,2.5
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,6.6,2.0,13.8,1.1,-19.4,5.7,15.8,25.0,4.7,15.8,-11.7,-16.2,-9.6,18.1,2.5,0.9,-20.2,-0.6,8.6,6.5
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,7.8,-25.9,31.6,-22.8,83.0,37.0,-27.3,6.5,29.7,-6.8,21.6,25.8,12.7,-9.7,-0.6,1.1,10.2,-23.3,72.1,-60.3
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,20.3,9.9,65.6,10.6,-4.4,30.2,-8.0,13.1,1.5,0.7,-8.3,-4.6,3.6,-2.9,0.1,3.2,-9.2,-3.6,-11.6,-16.9
"Constant 2018 Prices","..Siganid (Samaral)",.,.,39.6,0.0,6.8,-13.7,59.3,32.6,-7.9,27.9,0.4,-9.5,-15.7,-17.8,-13.6,0.6,-7.2,-18.8,-5.6,-15.8,0.2,1.2
"Constant 2018 Prices","..Squid (Pusit)",.,.,32.7,6.1,6.6,-14.8,14.3,-4.7,-12.3,-75.3,14.2,-46.2,0.2,3.6,-7.5,-4.2,-13.2,-9.8,-2.6,3.7,-7.8,188.8
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,5.8,-6.0,41.2,-9.2,-5.3,11.1,-31.5,55.3,-2.1,24.4,41.2,-1.8,15.4,7.0,5.8,1.8,-0.3,-6.4,2.2,-57.0
"Constant 2018 Prices","..Caesio (Dalagang-bukid)",.,.,0.5,1.0,-16.3,6.9,170.5,51.6,-4.3,-26.7,19.6,2.0,9.3,11.5,10.2,2.3,1.5,10.2,17.7,28.7,-21.1,-43.1
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,-3.7,-5.0,-22.0,-15.8,41.3,38.8,-13.0,19.1,-3.2,-2.6,21.6,0.5,2.4,-5.5,-18.9,-26.9,0.7,-14.8,22.7,-35.0
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,7.0,13.8,9.9,-11.6,103.9,6.1,0.4,4.8,-0.4,-1.4,-12.9,-6.8,-17.0,3.3,30.2,49.6,-4.9,12.7,15.3,-32.5
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,5.4,0.6,9.1,-10.2,-3.1,-26.1,-25.0,-13.9,-16.0,-21.8,24.4,15.6,26.7,11.8,2.0,4.9,-11.5,-4.0,19.8,-20.9
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,35.7,2.9,33.5,-6.4,98.1,3.6,-86.2,52.6,-25.2,18.5,-26.5,-17.1,34.0,26.9,98.9,21.1,57.9,-13.1,-36.3,-19.5
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,13.5,2.6,-24.4,-12.1,-5.7,-3.2,-37.7,-15.1,-17.2,-13.1,-1.9,-1.3,-39.0,51.0,16.1,-47.2,-36.0,-36.7,-14.7,16.0
"Constant 2018 Prices","..Seaweed",.,.,-28.4,6.8,-14.9,28.4,5.6,4.5,5.4,-5.3,-4.9,4.4,-6.7,-17.6,-9.7,-30.3,-4.7,-6.4,-8.0,7.7,-24.7,-50.8
"Constant 2018 Prices","..Tilapia",.,.,22.1,4.2,-13.4,9.2,15.1,1.2,-3.6,-2.9,4.4,1.9,-14.7,0.2,-9.7,-7.8,16.1,-9.4,-5.8,-15.3,39.1,24.1
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,-25.1,-19.7,278.0,-4.5,19.0,-20.3,3.3,19.9,-34.6,12.5,-53.1,333.5
"Constant 2018 Prices","..Other Fisheries",.,.,3.4,-13.8,3.6,8.2,9.9,6.1,-15.3,29.1,0.2,-3.4,-11.2,0.7,3.1,-9.8,-8.1,1.2,-10.7,-8.1,-6.0,-13.8
"Constant 2018 Prices","AGRICULTURE",3.3,-3.3,4.6,2.1,2.8,0.2,8.0,-2.8,-7.5,-3.3,-8.0,1.6,4.2,2.0,-4.2,1.4,1.1,3.3,-4.3,3.6,-6.8,-2.7
