"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,5.5,16.0,36.2,47.8,-13.8,-17.6,60.8,-39.9,-1.7,-17.0,-14.5,-0.2,-5.6,-1.6,-1.3,-1.8,-22.9,-5.0,21.2,-13.1
"Current Prices","..Siganid (Samaral)",.,.,25.6,26.3,-17.8,33.8,95.1,8.2,-32.4,-6.0,24.3,27.2,14.2,-2.9,5.3,-4.0,-7.9,15.9,22.7,-9.7,-4.0,-49.3
"Current Prices","..Bali sardinella (Tamban)",.,.,11.5,29.1,-7.2,24.2,-13.9,12.9,35.3,-18.2,11.2,32.2,-7.0,-9.9,-8.7,-19.7,7.9,20.5,-10.9,-17.9,5.0,-35.7
"Current Prices","..Threadfin bream (Bisugo)",.,.,-67.3,10.6,19.8,39.8,48.0,0.2,-15.3,12.8,14.0,-17.1,-0.4,-11.8,22.8,-25.5,-3.4,3.1,7.8,3.8,-1.9,27.5
"Current Prices","..Caesio (Dalagang-bukid)",.,.,8.9,1.6,22.5,49.6,23.3,42.9,-5.1,7.3,15.2,16.1,2.1,-11.6,-17.2,2.2,8.2,5.2,20.3,-8.2,24.9,-13.4
"Current Prices","..Spanish mackerel (Tanigue)",.,.,25.8,13.3,6.9,32.8,71.6,22.1,-9.7,22.0,18.8,-22.4,-9.8,-50.5,56.6,21.0,18.4,43.0,32.7,-12.5,3.4,-27.5
"Current Prices","..Snapper (Maya-maya)",.,.,-46.5,64.8,-7.8,81.8,27.7,19.8,11.2,13.6,26.1,-8.6,3.0,-17.4,-10.3,-18.2,11.5,12.9,9.3,9.0,11.2,-28.4
"Current Prices","..Milkfish (Bangus)",.,.,33.7,-4.8,11.8,3.1,8.2,5.0,-8.8,-0.6,9.9,20.2,13.5,-13.2,-1.8,-41.4,-23.2,-14.8,1.7,2.0,24.2,0.5
"Current Prices","..Tiger prawn (Sugpo)",.,.,4.0,2.5,-6.5,4.9,-9.1,0.5,-10.6,-14.7,12.5,9.4,-36.9,-28.2,93.5,-42.8,-22.8,12.0,13.0,-19.3,17.9,-24.3
"Current Prices","..Tilapia",.,.,-1.0,14.8,17.7,-3.3,3.0,8.1,5.9,4.0,15.8,5.6,-7.6,-2.9,-36.3,-5.5,24.0,12.2,-16.3,-6.9,50.0,70.8
"Current Prices","..Other Fisheries",.,.,53.4,4.8,0.4,150.7,-20.7,-9.6,-18.6,22.0,-5.2,5.9,-30.9,-4.4,-5.5,0.1,7.9,40.4,13.0,-27.3,3.4,51.0
"Current Prices","AGRICULTURE",.,.,4.5,9.7,10.6,18.5,4.4,30.5,0.3,-0.7,12.2,2.0,-2.8,13.2,-2.8,-3.4,11.1,14.3,-8.2,-4.3,18.0,7.9
"Constant 2018 Prices","CROPS",.,.,1.6,-0.7,4.4,1.8,3.5,-0.8,5.6,-4.1,8.7,2.6,0.6,4.4,3.7,-6.2,5.6,4.7,0.9,-2.9,4.9,-1.9
"Constant 2018 Prices","..Palay",.,.,2.3,-2.3,-1.8,5.7,5.7,-1.6,7.8,-7.9,14.5,5.0,0.3,4.6,0.0,-0.1,7.4,6.1,-2.9,-1.0,3.6,0.5
"Constant 2018 Prices","..Corn",.,.,-4.3,13.8,39.4,14.2,6.7,-4.0,-5.6,-34.8,24.3,3.6,20.0,2.9,16.5,-8.7,5.7,7.5,-17.8,13.3,-4.9,10.1
"Constant 2018 Prices","..Coconut",.,.,-3.4,-0.2,6.2,-0.1,-14.9,2.4,15.1,-1.4,8.1,4.6,4.5,3.6,1.4,-7.3,1.8,2.4,0.1,-4.0,5.8,12.8
"Constant 2018 Prices","..Banana",.,.,5.8,-1.1,21.6,-8.9,1.6,4.0,4.4,2.8,6.4,-11.0,-20.4,-2.1,8.4,-41.8,-4.9,11.7,3.8,-42.1,7.7,7.7
"Constant 2018 Prices","..Cashew nut",.,.,0.2,5.7,-0.1,-2.8,0.0,0.0,0.0,21.9,-0.6,-0.1,11.1,18.0,21.1,5.6,2.9,2.8,6.2,5.8,0.5,-52.8
"Constant 2018 Prices","..Calamansi",.,.,-0.8,0.9,15.7,-4.5,0.3,-2.3,-4.1,-3.4,-3.8,-2.6,-13.5,-5.6,0.6,-49.8,-6.1,-1.5,34.9,-33.0,9.7,-9.4
"Constant 2018 Prices","..Onion",.,.,7.2,111.7,8.7,80.2,3609.0,-20.9,-8.0,22.7,-40.0,-4.8,48.7,5.9,31.8,-16.6,32.3,-3.6,87.4,-4.1,44.0,23.3
"Constant 2018 Prices","..Mango",.,.,-3.0,2.4,-0.7,-2.4,-2.3,1.6,3.9,14.6,0.3,2.3,3.6,16.5,8.7,16.1,3.1,2.1,9.3,5.3,17.0,-3.5
"Constant 2018 Prices","..Sweet Potato",.,.,0.7,0.7,1.0,0.7,-0.8,3.6,0.9,1.5,3.6,4.2,9.1,4.8,4.0,-0.6,4.5,0.4,-1.1,-1.5,12.0,10.9
"Constant 2018 Prices","..Cassava",.,.,3.0,0.8,3.5,0.0,5.6,12.8,8.6,5.9,5.3,5.3,23.4,13.9,3.7,0.8,10.0,-2.1,-1.0,-9.2,12.4,6.6
"Constant 2018 Prices","..Arrowroot",.,.,0.1,-2.7,0.8,-6.1,8.6,-7.3,0.5,-2.6,0.5,2.2,1.8,-1.0,-0.4,0.0,-2.5,1.8,-0.9,5.1,4.7,-2.1
"Constant 2018 Prices","..Garlic",.,.,8.2,3.9,-0.9,-5.2,-4.4,7.2,-3.0,7.0,1.6,-2.2,-4.9,-10.7,8.3,-6.4,-5.5,-6.6,-7.8,-22.3,-69.4,-7.8
"Constant 2018 Prices","..Tomato",.,.,5.5,1.2,8.9,-2.9,4.8,3.6,6.7,4.7,8.8,1.8,21.5,18.0,8.5,5.0,39.9,2.8,-3.0,22.0,1.4,-0.2
"Constant 2018 Prices","..Stringbeans",.,.,407.8,-7.7,3.5,-7.9,-0.4,4.5,1.4,2.7,2.3,3.4,11.8,9.0,8.7,6.6,26.9,-0.8,-2.1,-4.5,-6.2,-0.7
"Constant 2018 Prices","..Ampalaya",.,.,100.7,2.6,5.5,-8.4,0.3,9.5,3.2,6.0,4.9,6.4,45.9,20.1,11.0,6.5,33.6,-0.6,-7.5,-0.7,1.8,-3.4
"Constant 2018 Prices","..Gabi",.,.,0.3,2.2,2.3,-0.5,0.4,2.2,3.4,2.1,3.2,3.1,19.2,2.8,-2.0,-8.0,16.9,0.4,0.3,-3.6,2.2,4.8
"Constant 2018 Prices","..Squash",.,.,171.0,1.4,2.3,-3.3,-1.3,1.1,1.9,1.7,3.1,3.0,9.4,8.2,6.6,12.5,34.5,-1.6,1.9,-3.7,2.1,24.0
"Constant 2018 Prices","..Mongo",.,.,15.2,-1.5,3.1,-1.1,2.6,5.9,5.6,1.1,7.2,3.6,8.5,1.0,5.8,2.5,-3.3,2.0,-1.9,-0.1,16.3,12.5
"Constant 2018 Prices","..Coffee",.,.,-4.1,-5.0,-0.5,1.2,0.9,0.5,-2.8,1.2,-2.2,-2.9,-5.6,-0.8,-1.9,-6.4,-3.2,-1.9,-2.3,-8.4,-2.3,-48.4
"Constant 2018 Prices","..Abaca",.,.,-5.8,7.0,46.5,21.4,3.9,3.3,2.9,3.8,15.7,19.8,13.9,23.4,-24.4,-6.1,10.0,4.4,-0.4,-16.1,5.5,8.4
"Constant 2018 Prices","..Rambutan",.,.,-1.9,3.1,-1.6,-6.3,-2.7,-4.6,-0.9,8.0,-5.4,6.4,4.6,-4.7,7.8,-29.3,-18.7,-11.4,13.3,-30.2,8.7,109.8
"Constant 2018 Prices","..Cacao",.,.,-10.1,-5.9,-0.3,-4.2,19.9,11.2,10.9,16.3,6.8,5.4,2.3,25.8,11.1,-8.1,0.7,4.8,12.4,5.3,28.8,17.5
"Constant 2018 Prices","..Other Crops",.,.,4.3,-0.2,0.3,-2.0,-0.4,2.5,0.8,11.1,1.0,4.3,8.3,11.4,12.4,3.6,2.9,1.6,4.0,2.9,0.0,-36.6
"Constant 2018 Prices","LIVESTOCK",.,.,3.2,1.6,0.7,1.2,4.8,0.8,2.9,2.7,2.3,2.2,3.0,1.7,4.0,2.2,3.7,-3.5,-2.9,-3.3,15.4,-0.3
"Constant 2018 Prices","..Hog",.,.,4.2,1.1,0.4,2.9,7.5,-0.2,2.7,5.9,2.9,3.4,3.5,1.5,4.6,2.5,4.4,-2.7,-1.8,0.5,14.9,0.5
"Constant 2018 Prices","..Cattle",.,.,-1.3,1.1,0.5,0.6,-0.2,3.9,6.2,-8.8,2.4,-1.2,2.6,4.5,5.3,1.6,2.7,-4.9,-6.0,-24.4,23.5,-3.0
"Constant 2018 Prices","..Carabao",.,.,4.3,4.0,4.4,-10.6,-4.6,2.2,-2.6,2.6,-3.5,-2.6,-1.4,-1.7,-9.2,1.4,0.9,-9.2,-13.0,-2.8,19.4,-9.9
"Constant 2018 Prices","..Goat",.,.,6.2,9.5,0.4,0.8,-1.8,3.2,1.4,-1.8,0.6,3.6,-0.7,-2.5,5.9,1.2,-2.2,-8.0,2.3,5.8,-13.5,3.1
"Constant 2018 Prices","POULTRY",.,.,3.8,-1.1,4.5,-5.2,3.2,4.9,6.8,2.8,3.9,6.1,-3.1,2.3,7.2,-3.8,1.0,10.2,4.1,0.6,9.3,13.1
"Constant 2018 Prices","..Chicken",.,.,3.2,0.9,7.9,-4.1,4.8,6.7,9.4,2.6,5.0,8.6,-4.3,-0.6,2.9,-3.2,-1.4,7.0,2.8,-2.4,5.2,16.3
"Constant 2018 Prices","..Duck",.,.,-5.0,-1.2,-4.5,-23.1,-8.1,2.7,-3.0,3.9,-4.4,2.3,-3.1,5.0,11.0,-14.3,13.4,-2.2,16.8,-15.5,14.7,5.3
"Constant 2018 Prices","..Chicken Eggs",.,.,6.2,-4.5,-0.1,-6.0,0.4,1.5,0.4,2.6,1.9,0.6,-0.9,9.3,18.4,-3.7,4.3,17.4,5.0,7.1,14.0,9.5
"Constant 2018 Prices","..Duck Eggs",.,.,-4.0,4.9,2.9,7.6,14.2,6.5,30.8,8.2,6.4,4.4,3.1,-1.5,-13.1,-11.5,8.9,-0.3,11.4,-10.0,32.0,8.6
"Constant 2018 Prices","FISHERIES",.,.,15.8,15.4,-0.4,28.7,-2.5,7.4,-12.7,-2.6,-2.6,-7.8,-14.2,-3.4,0.9,-16.2,-1.6,1.7,0.3,-1.8,-7.8,-12.9
"Constant 2018 Prices","..Seaweed",.,.,37.4,24.7,9.0,11.7,-9.0,22.5,0.8,2.3,4.8,-5.1,-25.7,6.1,9.3,-20.8,4.2,5.7,-0.8,-6.2,-30.1,11.7
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,-4.4,28.6,-15.3,15.8,7.9,58.3,-41.8,-9.0,9.7,-8.2,-35.1,-6.8,17.3,-28.0,3.2,21.7,7.0,2.2,-13.5,-30.9
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,16.0,18.6,4.4,41.2,-6.0,18.8,-4.6,-14.8,-14.8,-10.2,16.5,-6.5,-9.2,-7.0,2.0,-5.3,-9.0,14.4,-1.6,-46.5
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,0.8,21.8,-11.9,6.8,15.7,23.0,-14.8,-15.2,1.2,7.4,0.6,30.5,-19.6,-27.6,6.0,75.3,0.0,1.9,-1.6,-56.5
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,92.6,11.9,-2.6,29.8,-3.5,-16.0,-9.7,-2.0,-14.6,-5.9,5.7,-4.0,-4.3,-22.1,-3.7,-5.0,3.6,7.4,1.4,-8.3
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,47.6,10.1,10.9,34.3,-12.4,23.6,-0.4,12.8,-17.3,-14.7,-5.1,1.4,8.2,-22.3,-19.9,33.5,-13.7,4.2,-0.3,-51.8
"Constant 2018 Prices","..Squid (Pusit)",.,.,10.1,39.6,1.2,14.4,1.6,-29.8,-26.2,15.7,22.4,-3.5,33.8,15.4,-16.9,-16.2,7.7,-4.3,-6.8,-3.0,11.3,-8.4
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,88.0,0.8,6.7,37.6,-15.8,28.8,7.7,-11.5,-6.5,-16.1,-4.2,-5.8,16.3,-11.7,-17.0,-14.3,-4.6,0.6,-6.8,-18.3
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,26.7,-10.3,-12.9,24.9,-15.8,7.2,-11.5,16.6,-13.8,5.5,-12.8,16.3,-18.6,-5.5,0.2,17.1,9.3,-13.7,-5.4,-41.7
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,-10.1,18.3,15.2,38.4,11.1,55.7,-21.3,9.7,1.1,-7.8,-21.3,-15.8,8.5,-24.6,-2.0,-12.3,8.7,10.9,0.8,-29.4
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,-0.2,14.1,24.9,28.0,-9.5,-20.8,6.1,-24.2,-11.2,-23.2,-12.8,-1.0,-11.6,-25.1,-5.3,-11.9,-17.6,-5.9,6.8,-20.4
"Constant 2018 Prices","..Siganid (Samaral)",.,.,-7.1,21.9,-1.1,38.7,45.3,-9.9,-27.0,-25.5,16.9,8.3,10.3,-5.6,10.4,-18.5,-6.9,9.3,10.4,-12.5,-10.9,-37.4
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,43.9,38.8,-1.9,31.6,-9.1,-7.0,-2.2,-3.0,-10.1,2.5,-10.3,-14.1,-3.2,-7.9,-8.9,1.3,-4.1,-9.6,-8.9,-56.4
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,-62.3,6.1,0.4,45.3,34.4,-4.5,-16.3,1.9,5.9,-22.8,-6.8,-14.3,19.9,-23.6,-10.3,-22.5,3.2,4.0,-5.6,24.5
"Constant 2018 Prices","..Caesio (Dalagang-bukid)",.,.,-1.1,7.5,20.2,38.3,14.8,28.8,5.6,14.0,-0.7,-3.5,-5.2,-5.6,-14.4,-13.1,7.1,-15.5,20.6,-7.4,16.9,-19.0
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,-3.9,7.2,2.0,42.7,37.0,10.9,-9.1,20.3,16.0,-30.9,-15.3,-46.8,51.2,3.8,13.9,23.7,25.4,5.7,-3.8,-38.6
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,-59.2,46.2,-5.1,41.5,14.9,28.4,10.5,4.6,14.5,-13.3,1.7,-16.4,-15.4,-26.1,13.7,-10.9,-8.3,9.5,10.3,-19.4
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,35.4,-13.3,9.1,2.5,7.3,1.9,-12.4,-3.1,4.8,14.3,7.9,-10.1,3.2,-43.6,-28.0,-20.3,-7.7,20.8,11.2,-20.4
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,-5.0,-1.1,-22.3,6.4,-1.2,-0.3,1.0,-13.6,8.3,2.1,-35.9,-32.4,95.9,-40.1,-22.9,3.5,4.1,-10.6,16.7,-33.3
"Constant 2018 Prices","..Tilapia",.,.,0.9,5.3,7.7,-4.7,4.8,2.2,5.3,-4.4,7.5,5.2,-1.2,-1.7,-35.9,57.8,20.1,9.1,-39.0,-10.9,28.1,38.8
"Constant 2018 Prices","..Other Fisheries",.,.,38.4,9.7,-2.7,41.0,-7.5,-14.0,-7.4,0.6,-10.3,-6.7,-14.4,-5.3,-6.3,-1.1,-2.8,-7.7,-0.3,-5.9,-2.9,14.1
"Constant 2018 Prices","AGRICULTURE",.,.,6.4,5.2,2.1,11.6,1.1,2.9,-2.6,-2.5,3.4,-1.2,-4.2,1.6,3.0,-7.7,3.3,2.7,0.3,-2.6,3.5,-3.5
