"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","..Carabao",65.8,1.4,-29.1,38.2,6.0,-1.3,7.0,4.8,3.3,-2.0,-12.0,0.3,4.5,-1.4,3.8,3.3,0.4,-1.4,0.5,1.0,24.6,19.7
"Current Prices","..Goat",-8.8,11.0,1.5,-2.1,8.9,-4.8,3.5,-2.2,-3.1,7.0,25.2,11.2,5.9,-0.1,0.2,6.4,1.9,10.0,9.3,-5.6,46.1,12.0
"Current Prices","POULTRY",11.9,6.2,3.7,18.7,-3.7,-1.6,3.5,8.9,15.8,-1.9,1.4,-2.6,8.6,4.8,4.5,0.6,2.0,9.2,6.8,6.3,8.2,18.8
"Current Prices","..Chicken",17.8,3.1,2.1,16.7,-3.5,-2.2,1.6,14.1,14.6,-1.5,0.8,-4.8,8.9,4.9,3.3,0.4,5.1,4.4,0.7,-0.6,14.4,22.4
"Current Prices","..Duck",18.9,1.5,0.4,17.5,-2.2,4.7,7.0,2.2,2.5,0.0,-1.3,-5.0,-5.0,-0.5,-3.8,-1.1,2.1,14.8,26.5,-7.8,-2.8,5.2
"Current Prices","..Chicken Eggs",-1.5,19.0,10.5,25.2,-6.3,-1.5,7.2,1.3,24.2,-3.6,4.6,3.9,12.2,5.3,11.5,2.6,-2.6,20.1,14.0,24.8,2.6,15.6
"Current Prices","..Duck Eggs",-11.8,10.7,3.0,18.2,1.2,-7.7,2.1,-0.2,24.4,-3.2,-0.7,-2.2,13.6,10.5,-3.1,-3.7,-8.8,0.2,5.9,-12.8,2.1,20.2
"Current Prices","FISHERIES",7.0,-3.7,-9.2,10.0,3.1,21.5,14.1,10.2,7.1,-14.3,8.2,7.1,4.3,4.5,2.0,5.9,-1.1,3.9,-2.4,-5.3,4.2,2.9
"Current Prices","..Tilapia",.,.,-11.1,15.5,1.5,24.6,16.6,10.7,7.6,-16.4,6.5,6.5,3.1,4.8,0.8,7.4,-1.2,5.0,-6.6,-3.9,11.7,2.4
"Current Prices","..Freshwater goby (Biya)",.,.,42.4,-16.5,19.5,8.0,-8.7,11.3,0.1,-6.2,20.2,17.1,7.1,0.5,18.3,-0.7,2.0,-6.8,16.3,9.2,-15.8,26.6
"Current Prices","..Carp (Carpa)",.,.,-8.1,11.8,7.8,8.5,7.6,0.4,5.8,-3.5,8.1,13.0,12.2,2.0,6.1,-9.5,-6.2,-4.2,7.2,-10.8,-43.0,-5.4
"Current Prices","..White shrimp (Hipon/Hipong puti)",.,.,-6.7,-35.8,26.8,32.5,-1.7,1.1,-2.0,0.1,2.1,12.9,3.4,8.1,22.5,0.2,5.5,-8.9,17.7,-12.7,-34.0,-7.2
"Current Prices","..Eel (Igat)",.,.,43.0,-9.6,30.1,-4.8,4.4,2.4,10.1,9.7,24.4,4.6,5.7,5.5,2.1,-14.7,-44.7,12.0,64.0,-20.0,-2.0,-8.5
"Current Prices","..Catfish (Hito/Kanduli)",.,.,-22.5,-4.2,-13.2,-22.9,2.8,4.2,-1.6,4.3,6.5,17.1,25.6,0.8,-13.8,-1.1,0.1,19.9,19.5,-24.2,-24.5,32.4
"Current Prices","..Mudfish (Dalag)",.,.,-21.6,-0.3,-7.6,12.6,14.8,3.2,8.0,9.5,6.4,6.6,22.3,2.9,2.7,-2.1,8.8,-29.4,4.1,-4.4,-44.9,-0.2
"Current Prices","..Silver perch (Ayungin)",.,.,0.9,-13.6,-21.2,24.9,-5.4,33.4,-0.6,-15.8,57.4,10.8,2.2,0.1,-6.3,-32.4,3.8,-26.4,-7.4,-27.1,-39.0,-22.9
"Current Prices","..Freshwater clams (Tulya)",.,.,500.0,124.8,25.1,65.0,-17.1,40.6,17.9,16.8,2.0,-2.4,28.9,10.9,6.1,-7.2,5.2,87.8,-13.6,0.7,-20.7,-22.9
"Current Prices","..Other Fisheries",.,.,-66.5,-52.5,58.9,-7.3,-5.7,6.8,47.8,-12.2,75.3,-34.0,31.6,0.1,48.9,201.8,57.2,14.0,27.7,-25.6,-52.6,-14.5
"Current Prices","AGRICULTURE",3.9,6.6,2.0,18.9,-0.2,15.0,16.6,19.9,7.7,-15.4,16.1,4.7,6.8,7.4,-8.7,-0.3,3.7,11.8,-8.2,-3.3,14.5,1.3
"Constant 2018 Prices","CROPS",10.7,1.6,-2.2,8.3,1.8,6.9,22.7,3.2,-1.8,-2.4,2.8,2.5,2.1,1.8,-4.8,-5.9,6.0,-7.0,4.9,-2.4,-1.6,-3.2
"Constant 2018 Prices","..Palay",22.9,-3.2,-1.2,18.3,-0.4,12.1,9.8,2.0,-3.0,-7.2,7.1,5.7,1.5,-1.6,-11.4,-4.5,16.2,-12.1,7.0,-10.0,0.2,-10.4
"Constant 2018 Prices","..Corn",29.2,0.1,-10.1,26.3,22.8,22.7,9.7,11.9,2.7,-14.7,27.1,2.9,7.5,1.0,-2.8,-16.2,21.8,-14.6,12.0,5.3,-11.6,-11.7
"Constant 2018 Prices","..Potato",2.5,3.5,1.9,2.3,1.1,-1.6,93.0,2.5,-2.2,6.1,-3.8,-0.7,-1.6,1.5,-0.4,-1.8,0.4,-1.2,-1.6,-3.3,-10.9,5.5
"Constant 2018 Prices","..Cabbage",3.3,1.8,1.1,1.9,0.2,-0.1,45.1,2.9,-3.6,3.2,-3.3,0.4,0.6,-0.4,-2.2,-2.7,-0.5,-1.3,8.0,0.6,-5.5,-3.8
"Constant 2018 Prices","..Carrots",-2.2,1.6,1.9,2.3,-0.4,0.1,105.6,4.9,-0.5,5.5,-7.2,2.3,-0.1,0.8,-1.6,-1.4,-0.6,-0.9,0.6,-2.3,0.1,-10.3
"Constant 2018 Prices","..Chinese Cabbage",3.0,-1.4,0.3,0.6,-1.2,-0.6,32.4,2.2,-2.4,6.0,-4.5,1.8,-0.2,0.2,-1.0,-1.6,-1.4,-1.9,4.1,0.1,7.7,3.9
"Constant 2018 Prices","..Chayote",2.6,2.2,77.8,-1.7,1.3,3.0,3.4,2.2,-1.6,21.1,-9.2,-2.1,0.6,0.0,-0.9,-9.6,-4.6,-3.7,15.0,24.0,13.2,9.0
"Constant 2018 Prices","..Bell Pepper",-3.7,2.2,0.3,1.9,0.5,-1.8,10.0,1.0,-4.6,7.5,-1.5,0.9,0.4,0.8,-2.0,-1.1,5.4,-3.6,6.3,17.2,14.9,14.7
"Constant 2018 Prices","..Sweet Peas",5.8,2.0,0.3,-1.0,0.3,-1.5,-0.2,-0.3,-0.9,-3.7,-8.7,1.6,0.0,2.1,0.0,-3.9,-2.6,0.3,1.2,-0.9,17.9,11.6
"Constant 2018 Prices","..Banana",-9.0,-2.0,1.3,5.7,1.2,4.8,6.9,-0.3,1.1,-4.9,-2.3,0.1,8.3,-3.5,1.2,-3.7,-17.5,-1.1,-11.0,10.3,3.0,4.5
"Constant 2018 Prices","..Coffee",19.0,-10.4,-9.0,-2.5,6.9,5.6,-1.5,-4.8,-4.2,-1.6,0.3,0.8,-3.7,-3.9,-0.8,-28.3,-49.5,16.6,-27.4,25.7,11.1,-10.5
"Constant 2018 Prices","..Sweet Potato",-4.9,-3.1,-2.6,-1.4,-1.6,-2.1,-0.1,0.4,-1.0,-3.9,-3.3,-1.7,-1.0,0.3,-3.0,-4.5,-7.9,-13.4,-20.1,1.5,-21.7,-6.5
"Constant 2018 Prices","..Cauliflower",1.5,2.2,0.4,1.2,0.9,-1.2,3.4,3.3,-0.3,5.1,1.5,0.2,-1.8,-1.2,0.7,-2.6,7.7,-10.4,4.9,2.0,-14.8,-23.0
"Constant 2018 Prices","..Habitchuelas",-0.5,1.4,0.1,-1.9,-1.0,-0.9,29.9,0.6,-3.0,0.9,-2.9,1.9,0.1,-0.3,-4.1,-4.2,-3.5,-2.6,2.9,-6.6,10.2,0.8
"Constant 2018 Prices","..Cassava",-1.3,-4.0,-0.9,-4.4,0.3,9.6,-7.7,6.6,-1.4,-1.4,-7.8,31.3,429.7,5.0,9.7,25.8,32.4,1.4,-31.4,1.7,-13.4,-1.1
"Constant 2018 Prices","..Celery",1.0,1.0,1.0,2.0,1.0,3.0,2.1,1.6,0.5,-4.0,-11.2,-4.4,1.2,-2.0,-2.1,-0.4,4.3,-0.9,2.4,4.7,7.1,0.2
"Constant 2018 Prices","..Mango",1.2,1.3,0.2,-2.9,7.1,-9.2,8.8,-1.5,0.9,-0.4,-0.3,-10.6,3.1,5.5,-7.7,-6.9,-7.2,-5.5,6.5,-17.2,8.2,3.1
"Constant 2018 Prices","..Tobacco",2.8,1.3,0.4,7.1,4.1,-5.4,10.2,-1.4,1.9,1.2,-1.6,2.5,1.6,30.4,18.1,21.6,-1.5,-8.9,-1.6,0.8,-3.2,1.3
"Constant 2018 Prices","..Tomato",2.0,0.7,0.0,-0.9,-1.3,-0.7,12.7,-1.7,-4.1,2.5,-1.2,1.1,0.0,2.2,-1.8,-4.8,-1.8,-10.2,-4.2,-2.2,-6.7,-4.0
"Constant 2018 Prices","..Broccoli",2.3,1.7,1.6,1.8,0.8,0.9,4.3,3.7,0.3,-0.6,0.9,3.0,1.5,1.8,-4.7,-3.7,14.1,-13.8,17.8,8.7,7.7,15.1
"Constant 2018 Prices","..Strawberry",2.0,1.0,-47.7,-1.0,-1.0,-5.0,-15.2,36.2,-0.4,-6.8,-1.9,2.2,10.2,16.8,0.1,-3.3,7.0,2.4,31.3,9.2,48.7,70.4
"Constant 2018 Prices","..Roses",-1.2,0.2,-2.5,1.0,2.7,2.4,7.9,1.9,-2.3,0.4,0.1,2.9,2.0,-0.6,-6.0,-6.9,12.6,10.4,24.5,-9.0,35.4,20.2
"Constant 2018 Prices","..Other Crops",2.5,45.1,-26.1,-10.4,-5.0,0.9,1.5,1.8,0.5,-7.3,-0.5,-0.8,9.6,56.5,0.6,-12.7,-20.0,2.8,0.0,-8.6,0.1,3.6
"Constant 2018 Prices","LIVESTOCK",3.8,8.2,3.2,-3.6,-2.8,-0.8,10.1,-2.9,-8.2,-9.0,-6.5,-4.9,-2.4,-5.1,-6.1,-1.4,-2.4,1.6,-0.4,-4.7,-12.1,-5.7
"Constant 2018 Prices","..Hog",5.4,8.1,4.7,-3.8,-0.9,-0.3,11.0,-2.1,-9.1,-9.4,-7.0,-5.3,-3.3,-5.8,-7.0,-1.4,-2.0,3.2,0.0,-3.2,-15.1,-6.6
"Constant 2018 Prices","..Cattle",-2.1,8.8,-0.5,-8.5,-8.7,-1.7,6.4,-7.0,-4.5,-9.8,-1.4,-4.9,0.2,-2.0,-3.1,-2.2,-4.1,-3.7,-3.1,-13.4,1.8,-3.8
"Constant 2018 Prices","..Carabao",-0.7,8.2,-3.1,6.1,-12.1,-5.6,7.2,-5.5,-3.6,-5.4,-10.1,-1.7,3.9,-2.6,-3.9,-1.3,-3.7,-4.0,-0.7,-7.3,-3.3,-3.0
"Constant 2018 Prices","..Goat",2.3,5.9,-4.9,1.7,1.7,4.3,2.7,-4.6,-5.6,-0.5,-2.9,-2.4,-1.7,-6.5,0.7,4.0,-0.8,-3.6,0.7,-1.4,0.3,4.2
"Constant 2018 Prices","POULTRY",6.4,4.2,1.6,5.8,-1.7,-1.8,-4.0,2.5,9.4,-2.6,-0.9,-3.2,2.4,-0.5,6.3,-2.3,0.9,-1.0,-3.8,-1.5,-0.9,7.3
"Constant 2018 Prices","..Chicken",10.2,2.5,0.2,4.0,-2.4,-2.1,-5.5,5.0,11.5,-1.9,-0.6,-5.7,1.4,-2.4,7.7,-1.7,4.2,-8.2,-9.0,-7.3,-3.6,8.9
"Constant 2018 Prices","..Duck",2.0,2.3,-4.0,4.9,-1.1,4.6,5.1,-4.2,-0.9,-6.8,-1.7,-3.8,-7.1,0.1,-5.6,-2.9,-3.9,2.8,5.8,-10.7,-16.7,0.7
"Constant 2018 Prices","..Chicken Eggs",3.3,11.6,8.2,12.6,-1.4,-1.2,-3.4,2.6,8.3,-1.1,-1.8,1.7,11.1,2.9,9.5,-2.8,-3.1,15.9,3.4,13.2,6.2,5.3
"Constant 2018 Prices","..Duck Eggs",-10.3,3.2,6.1,3.8,3.6,-9.8,-7.5,-10.0,12.5,-8.1,0.5,7.8,-6.6,3.8,-4.8,-6.4,-11.8,-2.8,0.8,-17.2,-0.6,18.9
"Constant 2018 Prices","FISHERIES",9.0,-1.1,-10.4,-5.4,1.1,17.4,9.0,6.0,2.2,-15.9,3.8,3.6,3.4,1.7,-2.5,7.0,-2.4,5.1,-4.4,-11.5,9.4,-2.6
"Constant 2018 Prices","..Tilapia",.,.,-14.3,-1.3,0.7,23.5,11.3,7.2,2.7,-18.4,2.6,2.1,2.1,2.0,-3.6,10.3,-1.0,6.6,-6.9,-11.0,18.1,-2.8
"Constant 2018 Prices","..Freshwater goby (Biya)",.,.,27.0,-11.4,1.2,-9.3,-8.3,-0.7,-1.4,-5.3,21.1,14.5,2.5,-0.2,6.2,-7.2,-5.4,-10.1,1.0,2.5,-23.3,9.9
"Constant 2018 Prices","..Carp (Carpa)",.,.,-2.5,-10.8,2.1,0.0,6.3,-1.4,1.3,-3.6,2.6,12.5,10.0,-0.6,1.7,-4.8,-7.3,-0.6,-4.4,-19.1,-43.0,-4.7
"Constant 2018 Prices","..White shrimp (Hipon/Hipong puti)",.,.,2.7,-44.7,14.4,27.6,-1.5,-2.8,-4.4,-5.0,0.1,11.1,2.9,6.8,9.0,-6.2,-10.2,-16.3,16.4,-14.8,-35.6,-10.3
"Constant 2018 Prices","..Eel (Igat)",.,.,44.1,-18.6,19.5,-6.1,-0.3,2.1,2.7,-0.4,8.6,6.8,5.7,0.4,0.6,-22.6,-42.6,-4.8,54.5,-28.2,-4.0,5.5
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,-25.8,-16.5,-13.5,-23.2,-4.9,-4.0,-6.7,1.4,-1.3,12.3,26.7,-2.0,-18.7,-3.3,-5.7,15.2,16.0,-25.9,-14.1,27.4
"Constant 2018 Prices","..Mudfish (Dalag)",.,.,-22.2,-6.4,-12.6,6.0,10.4,-3.6,-0.4,9.6,0.6,5.7,27.3,-1.3,0.0,-5.4,8.9,-27.7,4.5,-15.7,-38.8,-3.8
"Constant 2018 Prices","..Silver perch (Ayungin)",.,.,-15.0,-8.4,-14.9,-19.7,-3.4,0.0,-3.6,-4.6,38.3,9.5,1.0,-1.1,-3.7,-36.8,3.2,-24.6,-23.4,-17.3,-53.8,1.1
"Constant 2018 Prices","..Freshwater clams (Tulya)",.,.,500.0,66.7,22.4,58.7,-17.4,49.2,6.9,16.1,-0.5,-4.7,34.1,5.6,2.2,-12.2,-0.1,92.6,-30.1,-6.9,-16.5,-21.3
"Constant 2018 Prices","..Other Fisheries",.,.,-33.3,-1.2,28.8,-24.2,8.6,5.7,24.4,-2.8,6.8,-1.1,42.3,3.2,10.3,180.4,17.6,36.1,10.9,-14.3,-48.3,-39.1
"Constant 2018 Prices","AGRICULTURE",8.8,3.2,-0.8,4.9,0.5,4.8,18.4,1.9,-2.5,-3.8,1.0,1.1,1.4,0.7,-4.5,-4.9,4.4,-5.5,3.6,-2.8,-2.8,-3.0
