Region,Commodity,2018 Average (Jan-Dec),2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
..REGION V (BICOL REGION),….Rootcrops,100,116.7,119.3,113.8,114.9,145.6
..REGION V (BICOL REGION),….Beans and Legumes,100,96.6,98.1,100.3,105.5,121.3
..REGION V (BICOL REGION),….Condiments,100,90,109.6,97.3,133.5,113.1
..REGION V (BICOL REGION),….Fruit Vegetables,100,92.2,89.5,92.9,100.1,96.2
..REGION V (BICOL REGION),….Leafy Vegetables,100,105.1,98.7,100.8,132.8,132.7
..REGION V (BICOL REGION),….Fruits,100,108.4,122.7,118.8,126.9,117.1
..REGION V (BICOL REGION),….Commercial Crops,100,82,95.4,113.9,103,89.7
..REGION V (BICOL REGION),..LIVESTOCK AND POULTRY,100,90.3,80.2,115.4,178.2,152.2
..REGION V (BICOL REGION),….Livestock,100,89.7,90.3,130.4,137.7,116.5
..REGION V (BICOL REGION),….Poultry,100,99.6,103.1,111.4,129.4,123.9
..REGION V (BICOL REGION),..FISHERY,100,99.5,87.7,69.8,74.3,68.6
..REGION V (BICOL REGION),….Aquaculture,100,92.4,95,86.5,89.4,97.1
..REGION V (BICOL REGION),….Commercial Fishery,100,100.8,81.1,77.3,87.6,80.1
..REGION V (BICOL REGION),….Inland Municipal Fishery,100,104.3,100.9,86.2,84.8,82.6
..REGION V (BICOL REGION),….Marine Municipal Fishery,100,99.9,85.5,85.8,94.6,85.8
..REGION VI (WESTERN VISAYAS),AGRICULTURE,100,99.2,97.6,110.6,167.2,191.8
..REGION VI (WESTERN VISAYAS),..CROPS,100,99.9,99,113.6,175.6,204.8
..REGION VI (WESTERN VISAYAS),….Cereals,100,85.8,80.3,80.6,90.8,100.5
..REGION VI (WESTERN VISAYAS),….Rootcrops,100,118,115.6,110.9,120.1,146.3
..REGION VI (WESTERN VISAYAS),….Beans and Legumes,100,103.3,86.7,86.4,97.3,112.4
..REGION VI (WESTERN VISAYAS),….Condiments,100,97.9,96,72.6,53.7,56.9
..REGION VI (WESTERN VISAYAS),….Fruit Vegetables,100,103,98.8,92.8,97.9,98.2
..REGION VI (WESTERN VISAYAS),….Leafy Vegetables,100,108.8,110.8,110.9,116.6,121.3
..REGION VI (WESTERN VISAYAS),….Fruits,100,101.2,102.2,94.2,98.7,105.3
..REGION VI (WESTERN VISAYAS),….Commercial Crops,100,101.4,101.9,111,156.8,183.8
..REGION VI (WESTERN VISAYAS),..LIVESTOCK AND POULTRY,100,91.1,81.7,93.4,125.8,125.9
..REGION VI (WESTERN VISAYAS),….Livestock,100,87.1,87.9,109.4,122.1,126.7
..REGION VI (WESTERN VISAYAS),….Poultry,100,101.3,99.8,102.9,132.7,124.2
..REGION VI (WESTERN VISAYAS),..FISHERY,100,99.8,90.7,83.9,99.9,99.2
..REGION VI (WESTERN VISAYAS),….Aquaculture,100,97.9,89.9,97.5,105.1,109
..REGION VI (WESTERN VISAYAS),….Commercial Fishery,100,101.8,97.4,103.8,105.3,105.4
..REGION VI (WESTERN VISAYAS),….Inland Municipal Fishery,100,87.1,73.7,67.7,59.1,56.6
..REGION VI (WESTERN VISAYAS),….Marine Municipal Fishery,100,101.1,92.1,98.4,104.8,99.5
..REGION VII (CENTRAL VISAYAS),AGRICULTURE,100,91.2,82,89.2,132.1,146.1
..REGION VII (CENTRAL VISAYAS),..CROPS,100,88.9,79.5,85.1,130.2,147.9
..REGION VII (CENTRAL VISAYAS),….Cereals,100,88.3,84.1,81.6,89.1,96.2
..REGION VII (CENTRAL VISAYAS),….Rootcrops,100,102.3,98.8,105.5,115.9,124.8
..REGION VII (CENTRAL VISAYAS),….Beans and Legumes,100,104.1,95.4,104.2,105.8,113.9
..REGION VII (CENTRAL VISAYAS),….Condiments,100,154.7,165.5,109.8,117.9,117.5
..REGION VII (CENTRAL VISAYAS),….Fruit Vegetables,100,102.3,99.4,106.4,106.1,108.2
..REGION VII (CENTRAL VISAYAS),….Leafy Vegetables,100,94,72.5,74.6,59.7,68.1
..REGION VII (CENTRAL VISAYAS),….Fruits,100,96.3,107.3,109.1,115.1,123.5
..REGION VII (CENTRAL VISAYAS),….Commercial Crops,100,87.5,87.3,94.2,146.5,168.3
..REGION VII (CENTRAL VISAYAS),..LIVESTOCK AND POULTRY,100,94.2,83.5,96.6,143.2,147
..REGION VII (CENTRAL VISAYAS),….Livestock,100,93.4,87.5,113.3,135,137.3
..REGION VII (CENTRAL VISAYAS),….Poultry,100,99.8,103.3,105.8,117.5,131.1
..REGION VII (CENTRAL VISAYAS),..FISHERY,100,106.6,107.2,114.3,120.8,116.6
..REGION VII (CENTRAL VISAYAS),….Aquaculture,100,103.7,88.4,95.9,119,118.5
..REGION VII (CENTRAL VISAYAS),….Commercial Fishery,100,96.1,99.2,104.1,101.9,87.3
..REGION VII (CENTRAL VISAYAS),….Inland Municipal Fishery,100,99.8,92.3,96.3,91.6,90.4
..REGION VII (CENTRAL VISAYAS),….Marine Municipal Fishery,100,108.2,105.2,112.5,116.1,116.3
..REGION VIII (EASTERN VISAYAS),AGRICULTURE,100,94.2,76.5,76.5,102.6,108.2
..REGION VIII (EASTERN VISAYAS),..CROPS,100,89.9,67.8,65.7,88.6,97.8
..REGION VIII (EASTERN VISAYAS),….Cereals,100,88,82.6,83,82.9,95.1
..REGION VIII (EASTERN VISAYAS),….Rootcrops,100,102.9,103.5,104,129.1,147.2
..REGION VIII (EASTERN VISAYAS),….Beans and Legumes,100,90.5,73.7,86.6,96.9,104.8
..REGION VIII (EASTERN VISAYAS),….Condiments,100,176,212.7,164.1,154.8,144.2
..REGION VIII (EASTERN VISAYAS),….Fruit Vegetables,100,89.5,87.5,109.1,119.2,118.2
..REGION VIII (EASTERN VISAYAS),….Leafy Vegetables,100,89.9,89.3,95,106.5,122.2
..REGION VIII (EASTERN VISAYAS),….Fruits,100,94.4,115,112.1,128.4,128.2
..REGION VIII (EASTERN VISAYAS),….Commercial Crops,100,87.6,66.8,81.5,109.7,118.1
..REGION VIII (EASTERN VISAYAS),..LIVESTOCK AND POULTRY,100,99.4,97.1,107.8,183.9,164.4
..REGION VIII (EASTERN VISAYAS),….Livestock,100,99,97.5,111.4,164.5,144.2
..REGION VIII (EASTERN VISAYAS),….Poultry,100,104,107.7,123.4,131.3,152.7
..REGION VIII (EASTERN VISAYAS),..FISHERY,100,106.2,98.1,96.3,114.9,110.9
..REGION VIII (EASTERN VISAYAS),….Aquaculture,100,110.7,106,103.4,99.8,82.2
..REGION VIII (EASTERN VISAYAS),….Commercial Fishery,100,102.4,84.2,96.6,94.1,89.4
..REGION VIII (EASTERN VISAYAS),….Inland Municipal Fishery,100,101.8,79.8,75.7,75.2,79.1
..REGION VIII (EASTERN VISAYAS),….Marine Municipal Fishery,100,104.7,99.1,108.6,121.8,118.7
..REGION IX (ZAMBOANGA PENINSULA),AGRICULTURE,100,94.2,84.6,93.8,121.2,121.5
..REGION IX (ZAMBOANGA PENINSULA),..CROPS,100,91.2,77.9,86.1,103.3,103.5
..REGION IX (ZAMBOANGA PENINSULA),….Cereals,100,86.6,79.9,80,88.9,101.1
..REGION IX (ZAMBOANGA PENINSULA),….Rootcrops,100,120.4,127.3,126.1,144,160.1
..REGION IX (ZAMBOANGA PENINSULA),….Beans and Legumes,100,108.7,101.8,103.8,115.1,110.6
..REGION IX (ZAMBOANGA PENINSULA),….Condiments,100,124.8,134.7,102.8,111.9,109
..REGION IX (ZAMBOANGA PENINSULA),….Fruit Vegetables,100,104.4,107.3,119.6,131.1,126.7
..REGION IX (ZAMBOANGA PENINSULA),….Leafy Vegetables,100,104.4,80.3,86.3,98.7,95.3
..REGION IX (ZAMBOANGA PENINSULA),….Fruits,100,94.7,99.7,106.2,105.1,106
..REGION IX (ZAMBOANGA PENINSULA),….Commercial Crops,100,94.2,96.9,116.4,132.1,112
..REGION IX (ZAMBOANGA PENINSULA),..LIVESTOCK AND POULTRY,100,96.4,89.5,106,142.6,155.4
..REGION IX (ZAMBOANGA PENINSULA),….Livestock,100,92.9,91,110.1,128.4,141.7
..REGION IX (ZAMBOANGA PENINSULA),….Poultry,100,106.3,109.6,119.1,162.3,168.4
..REGION IX (ZAMBOANGA PENINSULA),..FISHERY,100,98.7,94.6,100.2,141.6,132.7
..REGION IX (ZAMBOANGA PENINSULA),….Aquaculture,100,105,86.6,90.9,131.6,84.6
..REGION IX (ZAMBOANGA PENINSULA),….Commercial Fishery,100,94.7,98,108.9,138,145.9
..REGION IX (ZAMBOANGA PENINSULA),….Inland Municipal Fishery,100,101.4,73.8,58.1,78.1,69.1
..REGION IX (ZAMBOANGA PENINSULA),….Marine Municipal Fishery,100,99.3,98.6,103.6,129.7,128.7
..REGION X (NORTHERN MINDANAO),AGRICULTURE,100,97.5,92.9,106.4,140.6,164.2
..REGION X (NORTHERN MINDANAO),..CROPS,100,96.3,92.8,109.2,137.3,164
..REGION X (NORTHERN MINDANAO),….Cereals,100,91.2,86.3,94.1,111.4,116
..REGION X (NORTHERN MINDANAO),….Rootcrops,100,133,117.5,108.7,118.6,140.6
..REGION X (NORTHERN MINDANAO),….Beans and Legumes,100,112.7,121.5,118.3,134,155
..REGION X (NORTHERN MINDANAO),….Condiments,100,189,189,159.6,131.4,140.1
..REGION X (NORTHERN MINDANAO),….Fruit Vegetables,100,105.8,110.9,106.8,120,126.1
..REGION X (NORTHERN MINDANAO),….Leafy Vegetables,100,95.2,83.3,96.3,95.6,86.6
..REGION X (NORTHERN MINDANAO),….Fruits,100,102.3,111.6,114.5,110.7,115.5
..REGION X (NORTHERN MINDANAO),….Commercial Crops,100,95.4,100.5,109.3,140.3,180.2
..REGION X (NORTHERN MINDANAO),..LIVESTOCK AND POULTRY,100,100.3,97.3,122.5,192.4,207.1
..REGION X (NORTHERN MINDANAO),….Livestock,100,99.5,95.8,129.9,153.6,166.8
..REGION X (NORTHERN MINDANAO),….Poultry,100,104.4,103.6,118.5,144.7,149.8
..REGION X (NORTHERN MINDANAO),..FISHERY,100,103.4,89.3,62.6,88.6,88.2
..REGION X (NORTHERN MINDANAO),….Aquaculture,100,102.6,84.5,83.6,79.6,79.4
..REGION X (NORTHERN MINDANAO),….Commercial Fishery,100,106.2,105.6,114.6,146.6,138.5
..REGION X (NORTHERN MINDANAO),….Inland Municipal Fishery,100,100.5,103.8,92.3,107.2,102.9
..REGION X (NORTHERN MINDANAO),….Marine Municipal Fishery,100,102.8,101.9,108,139.6,144.8
..REGION XI (DAVAO REGION),AGRICULTURE,100,95.5,96.4,113.8,129.5,132.7
..REGION XI (DAVAO REGION),..CROPS,100,94.2,97.1,108.5,104.4,108.6
..REGION XI (DAVAO REGION),….Cereals,100,85.3,80.9,83.7,89.3,99.3
..REGION XI (DAVAO REGION),….Rootcrops,100,101.7,102.5,100.3,110.6,131
..REGION XI (DAVAO REGION),….Beans and Legumes,100,105.2,91.2,101.6,105.5,108.3
..REGION XI (DAVAO REGION),….Condiments,100,125.1,128.9,103.6,97,97.9
..REGION XI (DAVAO REGION),….Fruit Vegetables,100,107,96.6,109.6,111.2,106
..REGION XI (DAVAO REGION),….Leafy Vegetables,100,108.6,92.7,96.2,90.4,95.6
..REGION XI (DAVAO REGION),….Fruits,100,117,133.1,102.6,96.2,117.6
..REGION XI (DAVAO REGION),….Commercial Crops,100,78.1,99.3,138.7,126.7,102.2
..REGION XI (DAVAO REGION),..LIVESTOCK AND POULTRY,100,96.8,96.2,130,206.4,211
..REGION XI (DAVAO REGION),….Livestock,100,95.9,98.7,141.4,159,160.3
..REGION XI (DAVAO REGION),….Poultry,100,102.8,110.6,119.1,121,133.2
..REGION XI (DAVAO REGION),..FISHERY,100,101.4,93,90.3,108.8,105.9
..REGION XI (DAVAO REGION),….Aquaculture,100,105.1,99.1,111.7,123.6,132.3
..REGION XI (DAVAO REGION),….Commercial Fishery,100,102.2,87.6,99.8,99.4,89.5
..REGION XI (DAVAO REGION),….Inland Municipal Fishery,100,95.3,106.3,100.1,105.6,98.3
..REGION XI (DAVAO REGION),….Marine Municipal Fishery,100,96.6,89.4,96.9,100,93.9
..REGION XII (SOCCSKSARGEN),AGRICULTURE,100,96.4,89,100,119.4,130.5
..REGION XII (SOCCSKSARGEN),..CROPS,100,89.5,80.6,89.8,104.4,111.9
..REGION XII (SOCCSKSARGEN),….Cereals,100,82.7,80.4,91,102.4,102.8
..REGION XII (SOCCSKSARGEN),….Rootcrops,100,128.8,150.1,133.8,146.7,171.4
..REGION XII (SOCCSKSARGEN),….Beans and Legumes,100,106.4,91.1,105.9,108.5,107.3
..REGION XII (SOCCSKSARGEN),….Condiments,100,153.2,152,108.9,95.2,66.4
..REGION XII (SOCCSKSARGEN),….Fruit Vegetables,100,112.1,97.8,103.4,95.6,83.9
..REGION XII (SOCCSKSARGEN),….Leafy Vegetables,100,108.8,98.6,86.6,87.5,84.5
..REGION XII (SOCCSKSARGEN),….Fruits,100,121.9,119,99.7,91.2,109.3
..REGION XII (SOCCSKSARGEN),….Commercial Crops,100,84.6,95.4,100.5,134.9,152.4
..REGION XII (SOCCSKSARGEN),..LIVESTOCK AND POULTRY,100,93.7,89.5,113.9,138.3,174
..REGION XII (SOCCSKSARGEN),….Livestock,100,91.4,95.6,126.8,124.4,155
..REGION XII (SOCCSKSARGEN),….Poultry,100,99.1,104.2,109.2,117.2,149.8
..REGION XII (SOCCSKSARGEN),..FISHERY,100,125.3,135.4,133.4,171.5,174.2
..REGION XII (SOCCSKSARGEN),….Aquaculture,100,113.7,115.1,122.5,135.6,151.3
..REGION XII (SOCCSKSARGEN),….Commercial Fishery,100,125,107.8,128.9,143.2,146.5
..REGION XII (SOCCSKSARGEN),….Inland Municipal Fishery,100,99.8,95.1,102.2,110.2,128.3
..REGION XII (SOCCSKSARGEN),….Marine Municipal Fishery,100,112.5,108.7,127.4,133.2,117.4
..REGION XIII (CARAGA),AGRICULTURE,100,94.1,89.3,101.3,125.4,130.4
..REGION XIII (CARAGA),..CROPS,100,88.3,82.1,93.3,111.2,117.1
..REGION XIII (CARAGA),….Cereals,100,84.4,85.1,82.7,87,102.9
..REGION XIII (CARAGA),….Rootcrops,100,106.5,107.7,111.5,131.7,140.6
..REGION XIII (CARAGA),….Beans and Legumes,100,102.7,93.4,115,126.5,121.2
..REGION XIII (CARAGA),….Condiments,100,130.7,154.1,139.8,140.6,133.4
..REGION XIII (CARAGA),….Fruit Vegetables,100,108.5,99.8,123.2,133.4,126.9
..REGION XIII (CARAGA),….Leafy Vegetables,100,111.5,103.2,113.5,117.8,124.9
..REGION XIII (CARAGA),….Fruits,100,111.4,117.2,111.8,112.7,119
..REGION XIII (CARAGA),….Commercial Crops,100,76.3,97.2,131.6,151.3,127.2
..REGION XIII (CARAGA),..LIVESTOCK AND POULTRY,100,100.9,98.8,124.1,221.8,215.2
..REGION XIII (CARAGA),….Livestock,100,100.4,97,131.6,181.5,174.2
..REGION XIII (CARAGA),….Poultry,100,103.7,103.7,114.1,136.5,138.4
..REGION XIII (CARAGA),..FISHERY,100,110.4,118.7,118.6,131.9,135.5
..REGION XIII (CARAGA),….Aquaculture,100,110.5,92,93.3,97.7,103.3
..REGION XIII (CARAGA),….Commercial Fishery,100,108.9,111.6,124.5,134,135.6
..REGION XIII (CARAGA),….Inland Municipal Fishery,100,107.3,105,89,95.5,94.6
..REGION XIII (CARAGA),….Marine Municipal Fishery,100,110.3,109.3,118.5,121.7,125.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),AGRICULTURE,100,98.6,98.7,93.8,101.4,105.2
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..CROPS,100,97.6,96.9,88.2,93.7,99.7
