Geolocation,Commodity,Weights
....Pangasinan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.07364614
....Pangasinan,01.1.6 - Fruits and nuts (ND),0.03752847
....Pangasinan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.06886665
....Pangasinan,01.1.8.1 - Cane and beet sugar (ND),0.01082868
..Region II (Cagayan Valley),01.1.1.12 - Rice,0.27952962
..Region II (Cagayan Valley),01.1.1.16 - Corn,0.00419296
..Region II (Cagayan Valley),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.07351301
..Region II (Cagayan Valley),01.1.6 - Fruits and nuts (ND),0.03256819
..Region II (Cagayan Valley),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.09586376
..Region II (Cagayan Valley),01.1.8.1 - Cane and beet sugar (ND),0.01668083
....Batanes,01.1.1.12 - Rice,0.00087677
....Batanes,01.1.1.16 - Corn,
....Batanes,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00124647
....Batanes,01.1.6 - Fruits and nuts (ND),0.00044342
....Batanes,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00099623
....Batanes,01.1.8.1 - Cane and beet sugar (ND),0.00011345
....Cagayan,01.1.1.12 - Rice,0.10126475
....Cagayan,01.1.1.16 - Corn,0.00120385
....Cagayan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02556308
....Cagayan,01.1.6 - Fruits and nuts (ND),0.01173773
....Cagayan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.03248056
....Cagayan,01.1.8.1 - Cane and beet sugar (ND),0.00599927
....Isabela,01.1.1.12 - Rice,0.12510805
....Isabela,01.1.1.16 - Corn,0.00185421
....Isabela,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0306196
....Isabela,01.1.6 - Fruits and nuts (ND),0.01204313
....Isabela,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.04114011
....Isabela,01.1.8.1 - Cane and beet sugar (ND),0.00678187
....Nueva Vizcaya,01.1.1.12 - Rice,0.03571216
....Nueva Vizcaya,01.1.1.16 - Corn,0.00086175
....Nueva Vizcaya,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01242432
....Nueva Vizcaya,01.1.6 - Fruits and nuts (ND),0.00615511
....Nueva Vizcaya,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01560567
....Nueva Vizcaya,01.1.8.1 - Cane and beet sugar (ND),0.00271664
....Quirino,01.1.1.12 - Rice,0.01656789
....Quirino,01.1.1.16 - Corn,0.00027315
....Quirino,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00365954
....Quirino,01.1.6 - Fruits and nuts (ND),0.0021888
....Quirino,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00564119
....Quirino,01.1.8.1 - Cane and beet sugar (ND),0.0010696
..Region III (Central Luzon),01.1.1.12 - Rice,0.95196125
..Region III (Central Luzon),01.1.1.16 - Corn,0.01375918
..Region III (Central Luzon),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.36561039
..Region III (Central Luzon),01.1.6 - Fruits and nuts (ND),0.17604859
..Region III (Central Luzon),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.35538867
..Region III (Central Luzon),01.1.8.1 - Cane and beet sugar (ND),0.05592481
....Bataan,01.1.1.12 - Rice,0.06621954
....Bataan,01.1.1.16 - Corn,0.00105824
....Bataan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02925428
....Bataan,01.1.6 - Fruits and nuts (ND),0.01424208
....Bataan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02737169
....Bataan,01.1.8.1 - Cane and beet sugar (ND),0.00352408
....Bulacan,01.1.1.12 - Rice,0.24455899
....Bulacan,01.1.1.16 - Corn,0.00192885
....Bulacan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.09507926
....Bulacan,01.1.6 - Fruits and nuts (ND),0.04452
....Bulacan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.08865985
....Bulacan,01.1.8.1 - Cane and beet sugar (ND),0.01723746
....Nueva Ecija,01.1.1.12 - Rice,0.20217731
....Nueva Ecija,01.1.1.16 - Corn,0.00285103
....Nueva Ecija,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.05888702
....Nueva Ecija,01.1.6 - Fruits and nuts (ND),0.027491
....Nueva Ecija,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0593428
....Nueva Ecija,01.1.8.1 - Cane and beet sugar (ND),0.01104823
....Pampanga,01.1.1.12 - Rice,0.19908698
....Pampanga,01.1.1.16 - Corn,0.00430658
....Pampanga,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0788619
....Pampanga,01.1.6 - Fruits and nuts (ND),0.03953227
....Pampanga,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.07769659
....Pampanga,01.1.8.1 - Cane and beet sugar (ND),0.01034904
....Tarlac,01.1.1.12 - Rice,0.11183908
....Tarlac,01.1.1.16 - Corn,0.00173674
....Tarlac,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.04697321
....Tarlac,01.1.6 - Fruits and nuts (ND),0.02193146
....Tarlac,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.04359156
....Tarlac,01.1.8.1 - Cane and beet sugar (ND),0.0063147
....Zambales,01.1.1.12 - Rice,0.05499441
....Zambales,01.1.1.16 - Corn,0.00075666
....Zambales,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02531187
....Zambales,01.1.6 - Fruits and nuts (ND),0.0128438
....Zambales,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02773092
....Zambales,01.1.8.1 - Cane and beet sugar (ND),0.00374711
....Aurora,01.1.1.12 - Rice,0.01879454
....Aurora,01.1.1.16 - Corn,0.00020054
....Aurora,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00656529
....Aurora,01.1.6 - Fruits and nuts (ND),0.00321216
....Aurora,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00774618
....Aurora,01.1.8.1 - Cane and beet sugar (ND),0.00126767
....City of Angeles,01.1.1.12 - Rice,0.03548504
....City of Angeles,01.1.1.16 - Corn,0.00060461
....City of Angeles,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01346766
....City of Angeles,01.1.6 - Fruits and nuts (ND),0.00703032
....City of Angeles,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01375265
....City of Angeles,01.1.8.1 - Cane and beet sugar (ND),0.00143709
....City of Olongapo,01.1.1.12 - Rice,0.01880536
....City of Olongapo,01.1.1.16 - Corn,0.00031593
....City of Olongapo,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0112099
....City of Olongapo,01.1.6 - Fruits and nuts (ND),0.0052455
....City of Olongapo,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00949643
....City of Olongapo,01.1.8.1 - Cane and beet sugar (ND),0.00099943
..Region IV-A (CALABARZON),01.1.1.12 - Rice,1.23799609
..Region IV-A (CALABARZON),01.1.1.16 - Corn,0.01050885
..Region IV-A (CALABARZON),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.55157763
..Region IV-A (CALABARZON),01.1.6 - Fruits and nuts (ND),0.24718482
..Region IV-A (CALABARZON),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.46348921
..Region IV-A (CALABARZON),01.1.8.1 - Cane and beet sugar (ND),0.07432954
....Batangas,01.1.1.12 - Rice,0.2183272
....Batangas,01.1.1.16 - Corn,0.00139027
....Batangas,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.07021881
....Batangas,01.1.6 - Fruits and nuts (ND),0.03102081
....Batangas,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.06032979
....Batangas,01.1.8.1 - Cane and beet sugar (ND),0.01286551
....Cavite,01.1.1.12 - Rice,0.32140721
....Cavite,01.1.1.16 - Corn,0.00312539
....Cavite,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.15780376
....Cavite,01.1.6 - Fruits and nuts (ND),0.07405513
....Cavite,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.13776484
....Cavite,01.1.8.1 - Cane and beet sugar (ND),0.01837909
....Laguna,01.1.1.12 - Rice,0.28623433
....Laguna,01.1.1.16 - Corn,0.00216608
....Laguna,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.15224493
....Laguna,01.1.6 - Fruits and nuts (ND),0.06011475
....Laguna,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.10721207
....Laguna,01.1.8.1 - Cane and beet sugar (ND),0.01628001
....Quezon,01.1.1.12 - Rice,0.15675188
....Quezon,01.1.1.16 - Corn,0.00118516
....Quezon,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.04235572
....Quezon,01.1.6 - Fruits and nuts (ND),0.02419525
....Quezon,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.04400386
....Quezon,01.1.8.1 - Cane and beet sugar (ND),0.01095216
....Rizal,01.1.1.12 - Rice,0.23266639
....Rizal,01.1.1.16 - Corn,0.00250579
....Rizal,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.1203861
....Rizal,01.1.6 - Fruits and nuts (ND),0.05342714
....Rizal,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.10633496
....Rizal,01.1.8.1 - Cane and beet sugar (ND),0.01470189
....City of Lucena (Capital),01.1.1.12 - Rice,0.02260908
....City of Lucena (Capital),01.1.1.16 - Corn,0.00013616
....City of Lucena (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00856831
....City of Lucena (Capital),01.1.6 - Fruits and nuts (ND),0.00437174
....City of Lucena (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00784369
....City of Lucena (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00115088
..MIMAROPA Region,01.1.1.12 - Rice,0.30711195
..MIMAROPA Region,01.1.1.16 - Corn,0.00208501
..MIMAROPA Region,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.06795952
..MIMAROPA Region,01.1.6 - Fruits and nuts (ND),0.03974126
..MIMAROPA Region,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.07984789
..MIMAROPA Region,01.1.8.1 - Cane and beet sugar (ND),0.01671754
....Marinduque,01.1.1.12 - Rice,0.01634893
....Marinduque,01.1.1.16 - Corn,8.495e-05
....Marinduque,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00553568
....Marinduque,01.1.6 - Fruits and nuts (ND),0.00322749
....Marinduque,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00573704
....Marinduque,01.1.8.1 - Cane and beet sugar (ND),0.00110663
....Occidental Mindoro,01.1.1.12 - Rice,0.05359803
....Occidental Mindoro,01.1.1.16 - Corn,0.00042784
....Occidental Mindoro,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01170302
....Occidental Mindoro,01.1.6 - Fruits and nuts (ND),0.00614989
....Occidental Mindoro,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01287837
....Occidental Mindoro,01.1.8.1 - Cane and beet sugar (ND),0.00351431
....Oriental Mindoro,01.1.1.12 - Rice,0.07310447
....Oriental Mindoro,01.1.1.16 - Corn,0.00065622
....Oriental Mindoro,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02036564
....Oriental Mindoro,01.1.6 - Fruits and nuts (ND),0.0109464
....Oriental Mindoro,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02243671
....Oriental Mindoro,01.1.8.1 - Cane and beet sugar (ND),0.00366344
....Palawan,01.1.1.12 - Rice,0.10355043
....Palawan,01.1.1.16 - Corn,0.00055934
....Palawan,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01765792
....Palawan,01.1.6 - Fruits and nuts (ND),0.0117837
....Palawan,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.02394202
....Palawan,01.1.8.1 - Cane and beet sugar (ND),0.0057815
....Romblon,01.1.1.12 - Rice,0.02790322
....Romblon,01.1.1.16 - Corn,0.00013133
....Romblon,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00560418
....Romblon,01.1.6 - Fruits and nuts (ND),0.00342454
....Romblon,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00633558
....Romblon,01.1.8.1 - Cane and beet sugar (ND),0.00127391
....City of Puerto Princesa (Capital),01.1.1.12 - Rice,0.03260687
....City of Puerto Princesa (Capital),01.1.1.16 - Corn,0.00022533
....City of Puerto Princesa (Capital),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00709308
....City of Puerto Princesa (Capital),01.1.6 - Fruits and nuts (ND),0.00420924
....City of Puerto Princesa (Capital),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00851817
....City of Puerto Princesa (Capital),01.1.8.1 - Cane and beet sugar (ND),0.00137775
..Region V (Bicol Region),01.1.1.12 - Rice,0.50737154
..Region V (Bicol Region),01.1.1.16 - Corn,0.00966151
..Region V (Bicol Region),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.16767934
..Region V (Bicol Region),01.1.6 - Fruits and nuts (ND),0.09024887
..Region V (Bicol Region),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.14246452
..Region V (Bicol Region),01.1.8.1 - Cane and beet sugar (ND),0.0334518
....Albay,01.1.1.12 - Rice,0.09275308
....Albay,01.1.1.16 - Corn,0.00067918
....Albay,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0387525
....Albay,01.1.6 - Fruits and nuts (ND),0.02291872
....Albay,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.031013
....Albay,01.1.8.1 - Cane and beet sugar (ND),0.00614799
....Camarines Norte,01.1.1.12 - Rice,0.05142839
....Camarines Norte,01.1.1.16 - Corn,0.00023213
....Camarines Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01528261
....Camarines Norte,01.1.6 - Fruits and nuts (ND),0.00803397
....Camarines Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01338909
....Camarines Norte,01.1.8.1 - Cane and beet sugar (ND),0.00340733
....Camarines Sur,01.1.1.12 - Rice,0.18748981
....Camarines Sur,01.1.1.16 - Corn,0.0013013
....Camarines Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.05598758
....Camarines Sur,01.1.6 - Fruits and nuts (ND),0.03110578
....Camarines Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.05206371
....Camarines Sur,01.1.8.1 - Cane and beet sugar (ND),0.01102947
....Catanduanes,01.1.1.12 - Rice,0.02286669
....Catanduanes,01.1.1.16 - Corn,5.536e-05
....Catanduanes,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0085597
....Catanduanes,01.1.6 - Fruits and nuts (ND),0.00406486
....Catanduanes,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00620962
....Catanduanes,01.1.8.1 - Cane and beet sugar (ND),0.00147579
....Masbate,01.1.1.12 - Rice,0.08609708
....Masbate,01.1.1.16 - Corn,0.00700664
....Masbate,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0225168
....Masbate,01.1.6 - Fruits and nuts (ND),0.01037899
....Masbate,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0167773
....Masbate,01.1.8.1 - Cane and beet sugar (ND),0.00672929
....Sorsogon,01.1.1.12 - Rice,0.06673649
....Sorsogon,01.1.1.16 - Corn,0.0003869
....Sorsogon,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.02658015
....Sorsogon,01.1.6 - Fruits and nuts (ND),0.01374655
....Sorsogon,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0230118
....Sorsogon,01.1.8.1 - Cane and beet sugar (ND),0.00466193
..Region VI (Western Visayas),01.1.1.12 - Rice,0.76421988
..Region VI (Western Visayas),01.1.1.16 - Corn,0.01559056
..Region VI (Western Visayas),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.18506112
..Region VI (Western Visayas),01.1.6 - Fruits and nuts (ND),0.11241695
..Region VI (Western Visayas),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.20597946
..Region VI (Western Visayas),01.1.8.1 - Cane and beet sugar (ND),0.03801189
....Aklan,01.1.1.12 - Rice,0.06034617
....Aklan,01.1.1.16 - Corn,0.00039862
