Region,Commodity,2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Fruit Vegetables,-32.8,-17.3,1.3,-17.1,36.4
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Leafy Vegetables,-45.2,-2.9,5.8,-42.3,35.7
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Fruits,13.7,-13.4,10.2,-13.5,11.2
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Commercial Crops,6.2,2.4,-4,6.2,2.1
..CORDILLERA ADMINISTRATIVE REGION (CAR),..LIVESTOCK AND POULTRY,0.3,7.1,44.3,54.5,-5.3
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Livestock,-2.2,4.7,44.5,6.1,-5.8
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Poultry,18.4,9.5,13.7,2.8,-2.8
..CORDILLERA ADMINISTRATIVE REGION (CAR),..FISHERY,1.9,12.9,-4,4.5,8.6
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Aquaculture,0.6,7.1,-4.4,5,13.9
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Commercial Fishery,0,0,0,0,0
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Inland Municipal Fishery,5.4,3.6,-7.1,3.7,-13.6
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Marine Municipal Fishery,0,0,0,0,0
..REGION I (ILOCOS REGION),AGRICULTURE,-10.2,-11.6,3.9,11,1.6
..REGION I (ILOCOS REGION),..CROPS,-16,-18,0.9,9.1,1.8
..REGION I (ILOCOS REGION),….Cereals,-14.7,-0.5,4.6,8,10.8
..REGION I (ILOCOS REGION),….Rootcrops,2.5,12.7,-10.8,-0.8,19.4
..REGION I (ILOCOS REGION),….Beans and Legumes,-10.3,5.8,-2.4,-0.5,11
..REGION I (ILOCOS REGION),….Condiments,-17.9,22.2,-6.5,11,6.8
..REGION I (ILOCOS REGION),….Fruit Vegetables,-28.7,0.4,-17.5,-2,-14.3
..REGION I (ILOCOS REGION),….Leafy Vegetables,1.2,-10.9,-6.8,-29.3,-6.1
..REGION I (ILOCOS REGION),….Fruits,-16.4,-1.9,8.8,-11.1,-13.2
..REGION I (ILOCOS REGION),….Commercial Crops,-6.2,-4.2,-4.2,4.2,14.5
..REGION I (ILOCOS REGION),..LIVESTOCK AND POULTRY,-0.3,8.6,31.1,43.4,-6.9
..REGION I (ILOCOS REGION),….Livestock,-1,8.9,26.4,18.9,-10.5
..REGION I (ILOCOS REGION),….Poultry,4.3,6.2,4.8,5.3,10.9
..REGION I (ILOCOS REGION),..FISHERY,2.6,0.3,1.2,8,6.6
..REGION I (ILOCOS REGION),….Aquaculture,1.8,-2,8.8,-0.9,10.1
..REGION I (ILOCOS REGION),….Commercial Fishery,2.8,-2.5,3,4.3,-3.4
..REGION I (ILOCOS REGION),….Inland Municipal Fishery,4.4,7.4,-29.2,-10.8,-1.7
..REGION I (ILOCOS REGION),….Marine Municipal Fishery,6.4,3.2,1.3,-0.4,-12.6
..REGION II (CAGAYAN VALLEY),AGRICULTURE,-11.2,-14.3,12.1,8.2,7.8
..REGION II (CAGAYAN VALLEY),..CROPS,-12.7,-16.7,11,6.4,8.8
..REGION II (CAGAYAN VALLEY),….Cereals,-15.1,0.9,6.7,7.3,12
..REGION II (CAGAYAN VALLEY),….Rootcrops,-4.9,17.8,-8.7,-0.1,2.1
..REGION II (CAGAYAN VALLEY),….Beans and Legumes,-8.8,5.4,-11.7,-14.1,5.1
..REGION II (CAGAYAN VALLEY),….Condiments,-31.4,45.2,1.8,63,-12.9
..REGION II (CAGAYAN VALLEY),….Fruit Vegetables,-17.4,-25.2,6.6,-6.2,-7.9
..REGION II (CAGAYAN VALLEY),….Leafy Vegetables,-10.8,-7.1,-9.3,-29.5,14.9
..REGION II (CAGAYAN VALLEY),….Fruits,31.3,-14.5,-9.2,-9.3,-7.7
..REGION II (CAGAYAN VALLEY),….Commercial Crops,0.7,5.3,-5.8,-0.4,2.9
..REGION II (CAGAYAN VALLEY),..LIVESTOCK AND POULTRY,-3,-0.7,37.1,46.2,-11.5
..REGION II (CAGAYAN VALLEY),….Livestock,-3.8,1,43.3,9.1,-15.3
..REGION II (CAGAYAN VALLEY),….Poultry,1.8,4.5,8.8,-0.5,1.3
..REGION II (CAGAYAN VALLEY),..FISHERY,2.4,4.2,-3.1,8.3,16.6
..REGION II (CAGAYAN VALLEY),….Aquaculture,0.3,3.6,-3.7,-1.6,15.2
..REGION II (CAGAYAN VALLEY),….Commercial Fishery,4.2,1.5,5.8,7.4,26.7
..REGION II (CAGAYAN VALLEY),….Inland Municipal Fishery,0.3,1,-2.7,4.9,3.5
..REGION II (CAGAYAN VALLEY),….Marine Municipal Fishery,2.9,1.1,3.8,15.6,23.5
..REGION III (CENTRAL LUZON),AGRICULTURE,-11.4,-10.7,18.2,8.9,11.1
..REGION III (CENTRAL LUZON),..CROPS,-19.1,-23,19.6,5.1,20.7
..REGION III (CENTRAL LUZON),….Cereals,-21.3,1.7,5.9,1.9,19
..REGION III (CENTRAL LUZON),….Rootcrops,0.8,2.9,10,-5,34.9
..REGION III (CENTRAL LUZON),….Beans and Legumes,-7.4,13.8,-8.7,17.5,2.9
..REGION III (CENTRAL LUZON),….Condiments,-33.7,42.4,48.3,90.7,7.2
..REGION III (CENTRAL LUZON),….Fruit Vegetables,-18.8,9.2,-15.3,14.2,-25.8
..REGION III (CENTRAL LUZON),….Leafy Vegetables,15.5,25.8,-23.9,-5,1.6
..REGION III (CENTRAL LUZON),….Fruits,-22.1,-11.3,13.3,-9.5,2.8
..REGION III (CENTRAL LUZON),….Commercial Crops,-3.3,15.1,8.9,6,-8.6
..REGION III (CENTRAL LUZON),..LIVESTOCK AND POULTRY,-8,3.4,31.9,17.5,-5.1
..REGION III (CENTRAL LUZON),….Livestock,-8.7,25.4,45.2,-12.5,-4.6
..REGION III (CENTRAL LUZON),….Poultry,-7.1,-1.8,21.7,19.5,-5.4
..REGION III (CENTRAL LUZON),..FISHERY,2,1.2,6.4,-2.2,12
..REGION III (CENTRAL LUZON),….Aquaculture,2.5,6.4,1.9,-5.3,14.3
..REGION III (CENTRAL LUZON),….Commercial Fishery,-11.6,-17.3,5.7,-0.8,9.5
..REGION III (CENTRAL LUZON),….Inland Municipal Fishery,-2.7,-4,-11.9,1.1,-2
..REGION III (CENTRAL LUZON),….Marine Municipal Fishery,-0.9,-10.4,5.5,-6.7,1.9
..REGION IV-A (CALABARZON),AGRICULTURE,0.2,2.7,11.8,31.8,1.8
..REGION IV-A (CALABARZON),..CROPS,9.5,2.3,-1.1,60.6,7.9
..REGION IV-A (CALABARZON),….Cereals,-18.4,1.2,3.6,2.8,15.8
..REGION IV-A (CALABARZON),….Rootcrops,10.5,5.6,-7,-7.6,34.7
..REGION IV-A (CALABARZON),….Beans and Legumes,-7.9,13.4,-3.6,1.2,32.8
..REGION IV-A (CALABARZON),….Condiments,-23.5,11.5,-32.4,-21.5,-21.2
..REGION IV-A (CALABARZON),….Fruit Vegetables,-7.7,4.4,-11,0.7,-10.8
..REGION IV-A (CALABARZON),….Leafy Vegetables,-4.2,8.7,-10.5,3.1,12.7
..REGION IV-A (CALABARZON),….Fruits,-4.6,2.2,-1.8,-16.4,8.9
..REGION IV-A (CALABARZON),….Commercial Crops,19.6,-2.2,17.5,40.8,8.8
..REGION IV-A (CALABARZON),..LIVESTOCK AND POULTRY,-4.2,11.8,35.6,18.7,-7
..REGION IV-A (CALABARZON),….Livestock,-11.1,24.7,49,-4.7,-12.8
..REGION IV-A (CALABARZON),….Poultry,8.7,-8.3,13.2,13.9,-2.1
..REGION IV-A (CALABARZON),..FISHERY,-4.1,-19.8,-3.6,1.1,5.9
..REGION IV-A (CALABARZON),….Aquaculture,-8.4,-7.1,-7.9,-4.3,12.7
..REGION IV-A (CALABARZON),….Commercial Fishery,2.9,-3.4,8.2,12.1,-4.1
..REGION IV-A (CALABARZON),….Inland Municipal Fishery,-8.1,0,-3.4,-1.4,1.5
..REGION IV-A (CALABARZON),….Marine Municipal Fishery,5.7,-1.8,4.4,3,-3.5
..MIMAROPA,AGRICULTURE,-12.8,-22,-0.3,10.6,4.4
..MIMAROPA,..CROPS,-18.7,-26.1,6,-3.1,11.3
..MIMAROPA,….Cereals,-12.3,-2.2,0.9,1.4,9.7
..MIMAROPA,….Rootcrops,16.3,6.6,8.6,7.3,4.7
..MIMAROPA,….Beans and Legumes,0.4,3.2,5.6,10.7,6.7
..MIMAROPA,….Condiments,-50.9,85.1,14.7,-45.5,84.3
..MIMAROPA,….Fruit Vegetables,0.3,2.1,3.4,4.2,1.2
..MIMAROPA,….Leafy Vegetables,-5.7,1.2,7.2,0.7,8.7
..MIMAROPA,….Fruits,3.6,3.2,12.3,-8.7,-8
..MIMAROPA,….Commercial Crops,-33.1,-12.1,2.7,6.8,0.6
..MIMAROPA,..LIVESTOCK AND POULTRY,-6.9,2.5,43.9,37.4,-11
..MIMAROPA,….Livestock,-8.1,10.2,35.4,8.4,-11.7
..MIMAROPA,….Poultry,4.6,4.2,9.4,15.2,-5.5
..MIMAROPA,..FISHERY,2.7,-22.4,-40.2,37.3,-7.9
..MIMAROPA,….Aquaculture,23.7,-31.7,17.2,71.5,-40
..MIMAROPA,….Commercial Fishery,-7.5,-15.1,-4.2,19.4,-3.2
..MIMAROPA,….Inland Municipal Fishery,17.4,11.2,-3.8,-5.2,-11.4
..MIMAROPA,….Marine Municipal Fishery,-5.6,-11.9,-29.9,6.7,6.4
..REGION V (BICOL REGION),AGRICULTURE,-8.9,-12.6,9.2,18.3,-3.4
..REGION V (BICOL REGION),..CROPS,-11.2,-12.8,8.5,12.6,1.2
..REGION V (BICOL REGION),….Cereals,-15.1,-0.6,1.9,13.1,9.6
..REGION V (BICOL REGION),….Rootcrops,16.7,2.2,-4.6,1,26.7
..REGION V (BICOL REGION),….Beans and Legumes,-3.4,1.6,2.2,5.2,15
..REGION V (BICOL REGION),….Condiments,-10,21.8,-11.2,37.2,-15.3
..REGION V (BICOL REGION),….Fruit Vegetables,-7.8,-2.9,3.8,7.8,-3.9
..REGION V (BICOL REGION),….Leafy Vegetables,5.1,-6.1,2.1,31.7,-0.1
..REGION V (BICOL REGION),….Fruits,8.4,13.2,-3.2,6.8,-7.7
..REGION V (BICOL REGION),….Commercial Crops,-18,16.3,19.4,-9.6,-12.9
..REGION V (BICOL REGION),..LIVESTOCK AND POULTRY,-9.7,-11.2,43.9,54.4,-14.6
..REGION V (BICOL REGION),….Livestock,-10.3,0.7,44.4,5.6,-15.4
..REGION V (BICOL REGION),….Poultry,-0.4,3.5,8.1,16.2,-4.3
..REGION V (BICOL REGION),..FISHERY,-0.5,-11.9,-20.4,6.4,-7.7
..REGION V (BICOL REGION),….Aquaculture,-7.6,2.8,-8.9,3.4,8.6
..REGION V (BICOL REGION),….Commercial Fishery,0.8,-19.5,-4.7,13.3,-8.6
..REGION V (BICOL REGION),….Inland Municipal Fishery,4.3,-3.3,-14.6,-1.6,-2.6
..REGION V (BICOL REGION),….Marine Municipal Fishery,-0.1,-14.4,0.4,10.3,-9.3
..REGION VI (WESTERN VISAYAS),AGRICULTURE,-0.8,-1.6,13.3,51.2,14.7
..REGION VI (WESTERN VISAYAS),..CROPS,-0.1,-0.9,14.7,54.6,16.6
..REGION VI (WESTERN VISAYAS),….Cereals,-14.2,-6.4,0.4,12.7,10.7
..REGION VI (WESTERN VISAYAS),….Rootcrops,18,-2,-4.1,8.3,21.8
..REGION VI (WESTERN VISAYAS),….Beans and Legumes,3.3,-16.1,-0.3,12.6,15.5
..REGION VI (WESTERN VISAYAS),….Condiments,-2.1,-1.9,-24.4,-26,6
..REGION VI (WESTERN VISAYAS),….Fruit Vegetables,3,-4.1,-6.1,5.5,0.3
..REGION VI (WESTERN VISAYAS),….Leafy Vegetables,8.8,1.8,0.1,5.1,4
..REGION VI (WESTERN VISAYAS),….Fruits,1.2,1,-7.8,4.8,6.7
..REGION VI (WESTERN VISAYAS),….Commercial Crops,1.4,0.5,8.9,41.3,17.2
..REGION VI (WESTERN VISAYAS),..LIVESTOCK AND POULTRY,-8.9,-10.3,14.3,34.7,0.1
..REGION VI (WESTERN VISAYAS),….Livestock,-12.9,0.9,24.5,11.6,3.8
..REGION VI (WESTERN VISAYAS),….Poultry,1.3,-1.5,3.1,29,-6.4
..REGION VI (WESTERN VISAYAS),..FISHERY,-0.2,-9.1,-7.5,19.1,-0.7
..REGION VI (WESTERN VISAYAS),….Aquaculture,-2.1,-8.2,8.5,7.8,3.7
..REGION VI (WESTERN VISAYAS),….Commercial Fishery,1.8,-4.3,6.6,1.4,0.1
..REGION VI (WESTERN VISAYAS),….Inland Municipal Fishery,-12.9,-15.4,-8.1,-12.7,-4.2
..REGION VI (WESTERN VISAYAS),….Marine Municipal Fishery,1.1,-8.9,6.8,6.5,-5.1
..REGION VII (CENTRAL VISAYAS),AGRICULTURE,-8.8,-10.1,8.8,48.1,10.6
..REGION VII (CENTRAL VISAYAS),..CROPS,-11.1,-10.6,7,53,13.6
..REGION VII (CENTRAL VISAYAS),….Cereals,-11.7,-4.8,-3,9.2,8
..REGION VII (CENTRAL VISAYAS),….Rootcrops,2.3,-3.4,6.8,9.9,7.7
..REGION VII (CENTRAL VISAYAS),….Beans and Legumes,4.1,-8.4,9.2,1.5,7.7
..REGION VII (CENTRAL VISAYAS),….Condiments,54.7,7,-33.7,7.4,-0.3
..REGION VII (CENTRAL VISAYAS),….Fruit Vegetables,2.3,-2.8,7,-0.3,2
..REGION VII (CENTRAL VISAYAS),….Leafy Vegetables,-6,-22.9,2.9,-20,14.1
..REGION VII (CENTRAL VISAYAS),….Fruits,-3.7,11.4,1.7,5.5,7.3
..REGION VII (CENTRAL VISAYAS),….Commercial Crops,-12.5,-0.2,7.9,55.5,14.9
..REGION VII (CENTRAL VISAYAS),..LIVESTOCK AND POULTRY,-5.8,-11.4,15.7,48.2,2.7
..REGION VII (CENTRAL VISAYAS),….Livestock,-6.6,-6.3,29.5,19.2,1.7
..REGION VII (CENTRAL VISAYAS),….Poultry,-0.2,3.5,2.4,11.1,11.6
..REGION VII (CENTRAL VISAYAS),..FISHERY,6.6,0.6,6.6,5.7,-3.5
..REGION VII (CENTRAL VISAYAS),….Aquaculture,3.7,-14.8,8.5,24.1,-0.4
..REGION VII (CENTRAL VISAYAS),….Commercial Fishery,-3.9,3.2,4.9,-2.1,-14.3
..REGION VII (CENTRAL VISAYAS),….Inland Municipal Fishery,-0.2,-7.5,4.3,-4.9,-1.3
..REGION VII (CENTRAL VISAYAS),….Marine Municipal Fishery,8.2,-2.8,6.9,3.2,0.2
..REGION VIII (EASTERN VISAYAS),AGRICULTURE,-5.8,-18.8,0,34.1,5.5
..REGION VIII (EASTERN VISAYAS),..CROPS,-10.1,-24.6,-3.1,34.9,10.4
..REGION VIII (EASTERN VISAYAS),….Cereals,-12,-6.1,0.5,-0.1,14.7
..REGION VIII (EASTERN VISAYAS),….Rootcrops,2.9,0.6,0.5,24.1,14
..REGION VIII (EASTERN VISAYAS),….Beans and Legumes,-9.5,-18.6,17.5,11.9,8.2
..REGION VIII (EASTERN VISAYAS),….Condiments,76,20.9,-22.8,-5.7,-6.8
..REGION VIII (EASTERN VISAYAS),….Fruit Vegetables,-10.5,-2.2,24.7,9.3,-0.8
..REGION VIII (EASTERN VISAYAS),….Leafy Vegetables,-10.1,-0.7,6.4,12.1,14.7
..REGION VIII (EASTERN VISAYAS),….Fruits,-5.6,21.8,-2.5,14.5,-0.2
..REGION VIII (EASTERN VISAYAS),….Commercial Crops,-12.4,-23.7,22,34.6,7.7
..REGION VIII (EASTERN VISAYAS),..LIVESTOCK AND POULTRY,-0.6,-2.3,11,70.6,-10.6
..REGION VIII (EASTERN VISAYAS),….Livestock,-1,-1.5,14.3,47.7,-12.3
..REGION VIII (EASTERN VISAYAS),….Poultry,4,3.6,14.6,6.4,16.3
..REGION VIII (EASTERN VISAYAS),..FISHERY,6.2,-7.6,-1.8,19.3,-3.5
..REGION VIII (EASTERN VISAYAS),….Aquaculture,10.7,-4.2,-2.5,-3.5,-17.6
..REGION VIII (EASTERN VISAYAS),….Commercial Fishery,2.4,-17.8,14.7,-2.6,-5
..REGION VIII (EASTERN VISAYAS),….Inland Municipal Fishery,1.8,-21.6,-5.1,-0.7,5.2
..REGION VIII (EASTERN VISAYAS),….Marine Municipal Fishery,4.7,-5.3,9.6,12.2,-2.5
..REGION IX (ZAMBOANGA PENINSULA),AGRICULTURE,-5.8,-10.2,10.9,29.2,0.2
..REGION IX (ZAMBOANGA PENINSULA),..CROPS,-8.8,-14.6,10.5,20,0.2
..REGION IX (ZAMBOANGA PENINSULA),….Cereals,-13.4,-7.7,0.1,11.1,13.7
..REGION IX (ZAMBOANGA PENINSULA),….Rootcrops,20.4,5.7,-0.9,14.2,11.2
..REGION IX (ZAMBOANGA PENINSULA),….Beans and Legumes,8.7,-6.3,2,10.9,-3.9
..REGION IX (ZAMBOANGA PENINSULA),….Condiments,24.8,7.9,-23.7,8.9,-2.6
..REGION IX (ZAMBOANGA PENINSULA),….Fruit Vegetables,4.4,2.8,11.5,9.6,-3.4
..REGION IX (ZAMBOANGA PENINSULA),….Leafy Vegetables,4.4,-23.1,7.5,14.4,-3.4
..REGION IX (ZAMBOANGA PENINSULA),….Fruits,-5.3,5.3,6.5,-1,0.9
..REGION IX (ZAMBOANGA PENINSULA),….Commercial Crops,-5.8,2.9,20.1,13.5,-15.2
..REGION IX (ZAMBOANGA PENINSULA),..LIVESTOCK AND POULTRY,-3.6,-7.2,18.4,34.5,9
..REGION IX (ZAMBOANGA PENINSULA),….Livestock,-7.1,-2,21,16.6,10.4
..REGION IX (ZAMBOANGA PENINSULA),….Poultry,6.3,3.1,8.7,36.3,3.8
..REGION IX (ZAMBOANGA PENINSULA),..FISHERY,-1.3,-4.2,5.9,41.3,-6.3
..REGION IX (ZAMBOANGA PENINSULA),….Aquaculture,5,-17.5,5,44.8,-35.7
..REGION IX (ZAMBOANGA PENINSULA),….Commercial Fishery,-5.3,3.5,11.1,26.7,5.7
..REGION IX (ZAMBOANGA PENINSULA),….Inland Municipal Fishery,1.4,-27.2,-21.3,34.4,-11.5
..REGION IX (ZAMBOANGA PENINSULA),….Marine Municipal Fishery,-0.7,-0.7,5.1,25.2,-0.8
..REGION X (NORTHERN MINDANAO),AGRICULTURE,-2.5,-4.7,14.5,32.1,16.8
..REGION X (NORTHERN MINDANAO),..CROPS,-3.7,-3.6,17.7,25.7,19.4
..REGION X (NORTHERN MINDANAO),….Cereals,-8.8,-5.4,9,18.4,4.1
..REGION X (NORTHERN MINDANAO),….Rootcrops,33,-11.7,-7.5,9.1,18.5
..REGION X (NORTHERN MINDANAO),….Beans and Legumes,12.7,7.8,-2.6,13.3,15.7
..REGION X (NORTHERN MINDANAO),….Condiments,89,0,-15.6,-17.7,6.6
..REGION X (NORTHERN MINDANAO),….Fruit Vegetables,5.8,4.8,-3.7,12.4,5.1
..REGION X (NORTHERN MINDANAO),….Leafy Vegetables,-4.8,-12.5,15.6,-0.7,-9.4
..REGION X (NORTHERN MINDANAO),….Fruits,2.3,9.1,2.6,-3.3,4.3
..REGION X (NORTHERN MINDANAO),….Commercial Crops,-4.6,5.3,8.8,28.4,28.4
..REGION X (NORTHERN MINDANAO),..LIVESTOCK AND POULTRY,0.3,-3,25.9,57.1,7.6
..REGION X (NORTHERN MINDANAO),….Livestock,-0.5,-3.7,35.6,18.2,8.6
..REGION X (NORTHERN MINDANAO),….Poultry,4.4,-0.8,14.4,22.1,3.5
..REGION X (NORTHERN MINDANAO),..FISHERY,3.4,-13.6,-29.9,41.5,-0.5
..REGION X (NORTHERN MINDANAO),….Aquaculture,2.6,-17.6,-1.1,-4.8,-0.3
..REGION X (NORTHERN MINDANAO),….Commercial Fishery,6.2,-0.6,8.5,27.9,-5.5
..REGION X (NORTHERN MINDANAO),….Inland Municipal Fishery,0.5,3.3,-11.1,16.1,-4
..REGION X (NORTHERN MINDANAO),….Marine Municipal Fishery,2.8,-0.9,6,29.3,3.7
..REGION XI (DAVAO REGION),AGRICULTURE,-4.5,0.9,18,13.8,2.5
..REGION XI (DAVAO REGION),..CROPS,-5.8,3.1,11.7,-3.8,4
..REGION XI (DAVAO REGION),….Cereals,-14.7,-5.2,3.5,6.7,11.2
..REGION XI (DAVAO REGION),….Rootcrops,1.7,0.8,-2.1,10.3,18.4
..REGION XI (DAVAO REGION),….Beans and Legumes,5.2,-13.3,11.4,3.8,2.7
..REGION XI (DAVAO REGION),….Condiments,25.1,3,-19.6,-6.4,0.9
..REGION XI (DAVAO REGION),….Fruit Vegetables,7,-9.7,13.5,1.5,-4.7
..REGION XI (DAVAO REGION),….Leafy Vegetables,8.6,-14.6,3.8,-6,5.8
..REGION XI (DAVAO REGION),….Fruits,17,13.8,-22.9,-6.2,22.2
..REGION XI (DAVAO REGION),….Commercial Crops,-21.9,27.1,39.7,-8.7,-19.3
..REGION XI (DAVAO REGION),..LIVESTOCK AND POULTRY,-3.2,-0.6,35.1,58.8,2.2
..REGION XI (DAVAO REGION),….Livestock,-4.1,2.9,43.3,12.4,0.8
..REGION XI (DAVAO REGION),….Poultry,2.8,7.6,7.7,1.6,10.1
..REGION XI (DAVAO REGION),..FISHERY,1.4,-8.3,-2.9,20.5,-2.7
..REGION XI (DAVAO REGION),….Aquaculture,5.1,-5.7,12.7,10.7,7
..REGION XI (DAVAO REGION),….Commercial Fishery,2.2,-14.3,13.9,-0.4,-10
..REGION XI (DAVAO REGION),….Inland Municipal Fishery,-4.7,11.5,-5.8,5.5,-6.9
..REGION XI (DAVAO REGION),….Marine Municipal Fishery,-3.4,-7.5,8.4,3.2,-6.1
..REGION XII (SOCCSKSARGEN),AGRICULTURE,-3.6,-7.7,12.4,19.4,9.3
..REGION XII (SOCCSKSARGEN),..CROPS,-10.5,-9.9,11.4,16.3,7.2
..REGION XII (SOCCSKSARGEN),….Cereals,-17.3,-2.8,13.2,12.5,0.4
..REGION XII (SOCCSKSARGEN),….Rootcrops,28.8,16.5,-10.9,9.6,16.8
..REGION XII (SOCCSKSARGEN),….Beans and Legumes,6.4,-14.4,16.2,2.5,-1.1
..REGION XII (SOCCSKSARGEN),….Condiments,53.2,-0.8,-28.4,-12.6,-30.3
..REGION XII (SOCCSKSARGEN),….Fruit Vegetables,12.1,-12.8,5.7,-7.5,-12.2
..REGION XII (SOCCSKSARGEN),….Leafy Vegetables,8.8,-9.4,-12.2,1,-3.4
..REGION XII (SOCCSKSARGEN),….Fruits,21.9,-2.4,-16.2,-8.5,19.8
..REGION XII (SOCCSKSARGEN),….Commercial Crops,-15.4,12.8,5.3,34.2,13
..REGION XII (SOCCSKSARGEN),..LIVESTOCK AND POULTRY,-6.3,-4.5,27.3,21.4,25.8
..REGION XII (SOCCSKSARGEN),….Livestock,-8.6,4.6,32.6,-1.9,24.6
..REGION XII (SOCCSKSARGEN),….Poultry,-0.9,5.1,4.8,7.3,27.8
..REGION XII (SOCCSKSARGEN),..FISHERY,25.3,8.1,-1.5,28.6,1.6
..REGION XII (SOCCSKSARGEN),….Aquaculture,13.7,1.2,6.4,10.7,11.6
..REGION XII (SOCCSKSARGEN),….Commercial Fishery,25,-13.8,19.6,11.1,2.3
..REGION XII (SOCCSKSARGEN),….Inland Municipal Fishery,-0.2,-4.7,7.5,7.8,16.4
..REGION XII (SOCCSKSARGEN),….Marine Municipal Fishery,12.5,-3.4,17.2,4.6,-11.9
..REGION XIII (CARAGA),AGRICULTURE,-5.9,-5.1,13.4,23.8,4
..REGION XIII (CARAGA),..CROPS,-11.7,-7,13.6,19.2,5.3
..REGION XIII (CARAGA),….Cereals,-15.6,0.8,-2.8,5.2,18.3
..REGION XIII (CARAGA),….Rootcrops,6.5,1.1,3.5,18.1,6.8
..REGION XIII (CARAGA),….Beans and Legumes,2.7,-9.1,23.1,10,-4.2
..REGION XIII (CARAGA),….Condiments,30.7,17.9,-9.3,0.6,-5.1
..REGION XIII (CARAGA),….Fruit Vegetables,8.5,-8,23.4,8.3,-4.9
..REGION XIII (CARAGA),….Leafy Vegetables,11.5,-7.4,10,3.8,6
..REGION XIII (CARAGA),….Fruits,11.4,5.2,-4.6,0.8,5.6
..REGION XIII (CARAGA),….Commercial Crops,-23.7,27.4,35.4,15,-15.9
..REGION XIII (CARAGA),..LIVESTOCK AND POULTRY,0.9,-2.1,25.6,78.7,-3
..REGION XIII (CARAGA),….Livestock,0.4,-3.4,35.7,37.9,-4
..REGION XIII (CARAGA),….Poultry,3.7,0,10,19.6,1.4
..REGION XIII (CARAGA),..FISHERY,10.4,7.5,-0.1,11.2,2.7
..REGION XIII (CARAGA),….Aquaculture,10.5,-16.7,1.4,4.7,5.7
..REGION XIII (CARAGA),….Commercial Fishery,8.9,2.5,11.6,7.6,1.2
..REGION XIII (CARAGA),….Inland Municipal Fishery,7.3,-2.1,-15.2,7.3,-0.9
..REGION XIII (CARAGA),….Marine Municipal Fishery,10.3,-0.9,8.4,2.7,2.9
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),AGRICULTURE,-1.4,0.1,-5,8.1,3.7
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),..CROPS,-2.4,-0.7,-9,6.2,6.4
