"Fruits: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita (kg/yr)","UT Per Capita (gm/day)"
"Atis","2014",2635.00,0.00,2635.00,0.00,0.00,158.10,0.00,2476.90,0.02,0.07
"Atis","2015",2450.00,0.00,2450.00,0.00,0.00,147.00,0.00,2303.00,0.02,0.06
"Atis","2016",2366.50,0.00,2366.50,0.00,0.00,141.99,0.00,2224.51,0.02,0.06
"Atis","2017",2292.70,0.00,2292.70,0.00,0.00,137.56,0.00,2155.14,0.02,0.06
"Atis","2018",2265.15,0.00,2265.15,0.00,0.00,135.91,0.00,2129.24,0.02,0.06
"Atis","2019",2205.20,0.00,2205.20,0.00,0.00,132.31,0.00,2072.89,0.02,0.05
"Atis","2020",2152.44,0.00,2152.44,0.00,0.00,129.15,0.00,2023.30,0.02,0.05
"Atis","2021",2093.19,0.00,2093.19,0.00,0.00,125.59,0.00,1967.59,0.02,0.05
"Atis","2022",2023.12,0.00,2023.12,0.00,0.00,121.39,0.00,1901.73,0.02,0.05
"Avocado","1990",46372.00,9.00,46381.00,0.00,0.00,2782.86,0.00,43598.14,0.71,1.94
"Avocado","1991",46123.00,4.00,46127.00,0.00,0.00,2767.62,0.00,43359.38,0.69,1.89
"Avocado","1992",46936.00,6.00,46942.00,0.00,0.00,2816.52,0.00,44125.48,0.69,1.88
"Avocado","1993",47105.00,9.00,47114.00,0.00,0.00,2826.84,0.00,44287.16,0.68,1.85
"Avocado","1994",47001.00,13.00,47014.00,0.00,0.00,2820.84,0.00,44193.16,0.64,1.76
"Avocado","1995",47023.00,6.00,47029.00,1.00,0.00,2821.68,0.00,44206.32,0.65,1.77
"Avocado","1996",46303.00,2.00,46305.00,1.00,0.00,2778.24,0.00,43525.76,0.62,1.70
"Avocado","1997",43700.00,1.00,43701.00,1.00,0.00,2622.00,0.00,41078.00,0.57,1.57
"Avocado","1998",37548.00,1.00,37549.00,3.00,0.00,2252.76,0.00,35293.24,0.48,1.32
"Avocado","1999",38820.00,..,38820.00,2.00,0.00,2329.08,0.00,36488.92,0.49,1.34
"Avocado","2000",38086.00,..,38086.00,231.00,0.00,2271.30,0.00,35583.70,0.47,1.27
"Avocado","2001",37404.00,0.00,37404.00,118.00,0.00,2237.16,0.00,35048.84,0.45,1.23
"Avocado","2002",37957.00,0.00,37957.00,2.00,0.00,2277.30,0.00,35677.70,0.45,1.23
"Avocado","2003",35125.00,0.00,35125.00,1.00,0.00,2107.44,0.00,33016.56,0.41,1.12
"Avocado","2004",30797.00,0.00,30797.00,145.00,0.00,1839.12,0.00,28812.88,0.35,0.95
"Avocado","2005",27755.00,0.00,27755.00,1.00,0.00,1665.24,0.00,26088.76,0.31,0.84
"Avocado","2006",25617.00,0.00,25617.00,1.00,0.00,1536.96,0.00,24079.04,0.28,0.76
"Avocado","2007",24975.00,1.00,24976.00,35.00,0.00,1496.46,0.00,23444.54,0.26,0.73
"Avocado","2008",24180.00,0.00,24180.00,6.00,0.00,1450.44,0.00,22723.56,0.25,0.69
"Avocado","2009",22763.00,0.00,22763.00,1.00,0.00,1365.72,0.00,21396.28,0.24,0.64
"Avocado","2010",22029.00,1.00,22030.00,..,0.00,1321.80,0.00,20708.20,0.22,0.61
"Avocado","2011",20993.00,0.00,20993.00,..,0.00,1259.58,0.00,19733.42,0.21,0.57
"Avocado","2012",20909.00,0.00,20909.00,16.00,0.00,1253.58,0.00,19639.42,0.20,0.56
"Avocado","2013",20397.00,..,20397.00,37.00,0.00,1221.60,0.00,19138.40,0.19,0.53
"Avocado","2014",20061.00,2.00,20063.00,36.00,0.00,1201.62,0.00,18825.38,0.19,0.52
"Avocado","2015",19995.00,1.00,19996.00,57.00,0.00,1196.34,0.00,18742.66,0.18,0.51
"Avocado","2016",19571.85,0.00,19571.85,11.00,0.00,1173.65,0.00,18387.20,0.18,0.49
"Avocado","2017",19439.95,6.09,19446.03,87.85,0.00,1161.49,0.00,18196.70,0.17,0.48
"Avocado","2018",19442.64,15.48,19458.11,461.75,0.00,1139.78,0.00,17856.59,0.17,0.46
"Avocado","2019",19596.88,36.23,19633.11,939.76,0.00,1121.60,0.00,17571.74,0.16,0.45
"Avocado","2020",20054.72,35.89,20090.61,1379.44,0.00,1122.67,0.00,17588.50,0.16,0.44
"Avocado","2021",19874.96,34.02,19908.98,530.25,0.00,1162.72,0.00,18216.01,0.17,0.45
"Avocado","2022",20076.47,38.39,20114.86,1489.30,0.00,1117.53,0.00,17508.03,0.16,0.43
"Banana","1990",3539616.00,0.00,3539616.00,781828.00,0.00,165467.28,689447.00,1902873.72,30.95,84.80
"Banana","1991",3662305.00,0.00,3662305.00,955414.00,0.00,162413.46,676722.75,1867754.79,29.71,81.39
"Banana","1992",3723887.00,0.00,3723887.00,820770.00,0.00,174187.02,725779.25,2003150.73,31.17,85.41
"Banana","1993",3809372.00,0.00,3809372.00,1153471.00,0.00,159354.06,663975.25,1832571.69,28.01,76.73
"Banana","1994",3916386.00,0.00,3916386.00,1155182.00,0.00,165672.24,690301.00,1905230.76,27.76,76.06
"Banana","1995",4236253.00,..,4236253.00,1213411.00,0.00,181370.52,755710.50,2085760.98,30.52,83.61
"Banana","1996",4229142.00,6.00,4229148.00,1253169.00,0.00,178558.74,743994.75,2053425.51,29.35,80.42
"Banana","1997",4407665.00,0.00,4407665.00,1143336.00,0.00,195859.74,816082.25,2252387.01,31.48,86.25
"Banana","1998",4106698.00,37.00,4106735.00,1149552.00,0.00,177430.98,739295.75,2040456.27,27.89,76.42
"Banana","1999",4570640.00,0.00,4570640.00,1319632.00,0.00,195060.48,812752.00,2243195.52,30.01,82.22
"Banana","2000",4929570.00,0.00,4929570.00,1599352.00,0.00,199813.08,832554.50,2297850.42,30.04,82.29
"Banana","2001",5059360.00,0.00,5059360.00,1600707.00,0.00,207519.18,864663.25,2386470.57,30.62,83.90
"Banana","2002",5274826.00,0.00,5274826.00,1684986.00,0.00,215390.40,897460.00,2476989.60,31.16,85.36
"Banana","2003",5368977.00,0.00,5368977.00,1829384.00,0.00,212375.58,884898.25,2442319.17,30.12,82.53
"Banana","2004",5631250.00,0.00,5631250.00,1785458.00,0.00,230747.52,961448.00,2653596.48,32.10,87.95
"Banana","2005",6298225.00,0.00,6298225.00,2024321.00,0.00,256434.24,1068476.00,2948993.76,34.60,94.79
"Banana","2006",6794564.00,0.00,6794564.00,2311540.00,0.00,268981.44,1120756.00,3093286.56,35.57,97.44
"Banana","2007",7484073.00,0.00,7484073.00,2217741.00,0.00,315979.92,1316583.00,3633769.08,41.02,112.40
"Banana","2008",8687624.00,0.00,8687624.00,2192553.00,0.00,389704.26,1623767.75,4481598.99,49.54,135.74
"Banana","2009",9013186.00,0.00,9013186.00,1664055.00,0.00,440947.86,1837282.75,5070900.39,55.71,152.64
"Banana","2010",9101341.00,0.00,9101341.00,1590066.00,0.00,450676.50,1877818.75,5182779.75,55.65,152.46
"Banana","2011",9165046.00,0.00,9165046.00,2055510.00,0.00,426572.16,1777384.00,4905579.84,51.73,141.74
"Banana","2012",9226768.00,0.00,9226768.00,2646118.00,0.00,394839.00,1645162.50,4540648.50,47.05,128.90
"Banana","2013",8646417.00,0.00,8646417.00,3266548.00,0.00,322792.14,1344967.25,3712109.61,37.80,103.57
"Banana","2014",8884857.00,1.00,8884858.00,3630976.00,0.00,315232.92,1313470.50,3625178.58,36.30,99.44
"Banana","2015",9083929.00,0.00,9083929.00,1795219.00,0.00,437322.60,1822177.50,5029209.90,49.52,135.67
"Banana","2016",8903684.14,14.00,8903698.14,1733836.00,0.00,430191.73,1792465.54,4947204.88,47.92,131.28
"Banana","2017",9166334.31,1.91,9166336.22,2855635.08,0.00,378642.07,1577675.29,4354383.79,41.80,114.52
"Banana","2018",9358784.56,2.26,9358786.82,3126203.28,0.00,373955.01,1558145.89,4300482.64,40.66,111.41
"Banana","2019",9157676.11,0.64,9157676.75,4403496.30,0.00,285250.83,1188545.11,3280384.51,30.58,83.77
"Banana","2020",9056149.45,22.09,9056171.54,3808470.54,0.00,314862.06,1311925.25,3620913.69,33.29,91.20
"Banana","2021",9091308.03,..,9091308.19,2475983.62,0.00,396919.47,1653831.14,4564573.95,41.42,113.48
"Banana","2022",9013288.54,0.00,9013288.54,2275726.56,0.00,404253.72,1684390.50,4648917.77,41.67,114.16
"Caimito","1990",28825.00,0.00,28825.00,0.00,0.00,1729.50,0.00,27095.50,0.44,1.21
"Caimito","1991",28118.00,0.00,28118.00,0.00,0.00,1687.08,0.00,26430.92,0.42,1.15
"Caimito","1992",28688.00,0.00,28688.00,0.00,0.00,1721.28,0.00,26966.72,0.42,1.15
"Caimito","1993",27852.00,0.00,27852.00,0.00,0.00,1671.12,0.00,26180.88,0.40,1.10
"Caimito","1994",26453.00,0.00,26453.00,0.00,0.00,1587.18,0.00,24865.82,0.36,0.99
"Caimito","1995",27979.00,0.00,27979.00,0.00,0.00,1678.74,0.00,26300.26,0.38,1.05
"Caimito","1996",28607.00,0.00,28607.00,0.00,0.00,1716.42,0.00,26890.58,0.38,1.05
"Caimito","1997",29018.00,0.00,29018.00,0.00,0.00,1741.08,0.00,27276.92,0.38,1.04
"Caimito","1998",26154.00,0.00,26154.00,0.00,0.00,1569.24,0.00,24584.76,0.34,0.92
"Caimito","1999",26371.00,0.00,26371.00,0.00,0.00,1582.26,0.00,24788.74,0.33,0.91
"Caimito","2000",27317.00,0.00,27317.00,0.00,0.00,1639.02,0.00,25677.98,0.34,0.92
"Caimito","2001",26097.00,0.00,26097.00,0.00,0.00,1565.82,0.00,24531.18,0.31,0.86
"Caimito","2002",26555.00,0.00,26555.00,0.00,0.00,1593.30,0.00,24961.70,0.31,0.86
"Caimito","2003",24295.00,0.00,24295.00,0.00,0.00,1457.70,0.00,22837.30,0.28,0.77
"Caimito","2004",23136.00,0.00,23136.00,0.00,0.00,1388.16,0.00,21747.84,0.26,0.72
"Caimito","2005",21545.00,0.00,21545.00,0.00,0.00,1292.70,0.00,20252.30,0.24,0.65
"Caimito","2006",21607.00,0.00,21607.00,0.00,0.00,1296.42,0.00,20310.58,0.23,0.64
"Caimito","2007",22102.00,0.00,22102.00,0.00,0.00,1326.12,0.00,20775.88,0.23,0.64
"Caimito","2008",22291.00,0.00,22291.00,0.00,0.00,1337.46,0.00,20953.54,0.23,0.63
"Caimito","2009",20744.00,0.00,20744.00,0.00,0.00,1244.64,0.00,19499.36,0.21,0.59
"Caimito","2010",19687.00,0.00,19687.00,0.00,0.00,1181.22,0.00,18505.78,0.20,0.54
"Caimito","2011",18009.00,0.00,18009.00,0.00,0.00,1080.54,0.00,16928.46,0.18,0.49
"Caimito","2012",16332.00,0.00,16332.00,0.00,0.00,979.92,0.00,15352.08,0.16,0.44
"Caimito","2013",15636.00,0.00,15636.00,0.00,0.00,938.16,0.00,14697.84,0.15,0.41
"Caimito","2014",14757.00,0.00,14757.00,0.00,0.00,885.42,0.00,13871.58,0.14,0.38
"Caimito","2015",14275.00,0.00,14275.00,0.00,0.00,856.50,0.00,13418.50,0.13,0.36
"Caimito","2016",12724.01,0.00,12724.01,0.00,0.00,763.44,0.00,11960.57,0.12,0.32
"Caimito","2017",12763.90,0.00,12763.90,0.00,0.00,765.83,0.00,11998.06,0.12,0.32
"Caimito","2018",12120.92,0.00,12120.92,0.00,0.00,727.26,0.00,11393.66,0.11,0.30
"Caimito","2019",12080.37,0.00,12080.37,0.00,0.00,724.82,0.00,11355.55,0.11,0.29
"Caimito","2020",11435.22,0.00,11435.22,0.00,0.00,686.11,0.00,10749.11,0.10,0.27
"Caimito","2021",10994.66,0.00,10994.66,0.00,0.00,659.68,0.00,10334.98,0.09,0.26
"Caimito","2022",10366.82,0.00,10366.82,0.00,0.00,622.01,0.00,9744.81,0.09,0.24
"Calamansi","1990",154728.00,0.00,154728.00,..,0.00,9283.68,0.00,145444.32,2.37,6.48
"Calamansi","1991",148996.00,0.00,148996.00,1.00,0.00,8939.70,0.00,140055.30,2.23,6.10
"Calamansi","1992",158252.00,0.00,158252.00,..,0.00,9495.12,0.00,148756.88,2.31,6.34
"Calamansi","1993",151650.00,0.00,151650.00,..,0.00,9099.00,0.00,142551.00,2.18,5.97
"Calamansi","1994",155805.00,0.00,155805.00,1.00,0.00,9348.24,0.00,146455.76,2.13,5.85
"Calamansi","1995",161454.00,0.00,161454.00,1.00,0.00,9687.18,0.00,151765.82,2.22,6.08
"Calamansi","1996",164996.00,0.00,164996.00,1.00,0.00,9899.70,0.00,155095.30,2.22,6.07
"Calamansi","1997",155479.00,0.00,155479.00,2.00,0.00,9328.62,0.00,146148.38,2.04,5.60
"Calamansi","1998",169387.00,0.00,169387.00,4.00,0.00,10162.98,0.00,159220.02,2.18,5.96
"Calamansi","1999",178005.00,0.00,178005.00,5.00,0.00,10680.00,0.00,167320.00,2.24,6.13
"Calamansi","2000",180844.00,0.00,180844.00,6.00,0.00,10850.28,0.00,169987.72,2.22,6.09
"Calamansi","2001",181747.00,0.00,181747.00,2.00,0.00,10904.70,0.00,170840.30,2.19,6.01
"Calamansi","2002",180999.00,0.00,180999.00,4.00,0.00,10859.70,0.00,170135.30,2.14,5.86
"Calamansi","2003",180923.00,0.00,180923.00,5.00,0.00,10855.08,0.00,170062.92,2.10,5.75
"Calamansi","2004",179020.00,0.00,179020.00,7.00,0.00,10740.78,0.00,168272.22,2.04,5.58
"Calamansi","2005",200808.00,0.00,200808.00,3.00,0.00,12048.30,0.00,188756.70,2.21,6.07
"Calamansi","2006",196595.00,0.00,196595.00,9.00,0.00,11795.16,0.00,184790.84,2.12,5.82
"Calamansi","2007",201619.00,0.00,201619.00,8.00,0.00,12096.66,0.00,189514.34,2.14,5.86
"Calamansi","2008",199675.00,0.00,199675.00,20.00,0.00,11979.30,0.00,187675.70,2.07,5.68
"Calamansi","2009",192187.00,0.00,192187.00,34.00,0.00,11529.18,0.00,180623.82,1.98,5.44
"Calamansi","2010",188340.00,0.00,188340.00,31.00,0.00,11298.54,0.00,177010.46,1.90,5.21
"Calamansi","2011",182550.00,0.00,182550.00,28.00,0.00,10951.32,0.00,171570.68,1.81,4.96
"Calamansi","2012",178549.00,0.00,178549.00,35.00,0.00,10710.84,0.00,167803.16,1.74,4.76
"Calamansi","2013",164091.00,0.00,164091.00,29.00,0.00,9843.72,0.00,154218.28,1.57,4.30
"Calamansi","2014",160740.00,0.00,160740.00,45.00,0.00,9641.70,0.00,151053.30,1.51,4.14
"Calamansi","2015",162676.00,0.00,162676.00,43.00,0.00,9757.98,0.00,152875.02,1.51,4.12
"Calamansi","2016",118247.69,0.00,118247.69,54.00,0.00,7091.62,0.00,111102.07,1.08,2.95
"Calamansi","2017",116664.68,0.00,116664.68,69.44,0.00,6995.71,0.00,109599.52,1.05,2.88
"Calamansi","2018",113551.94,0.00,113551.94,59.47,0.00,6809.55,0.00,106682.92,1.01,2.76
"Calamansi","2019",125968.59,0.00,125968.59,99.71,0.00,7552.13,0.00,118316.76,1.10,3.02
"Calamansi","2020",108688.58,0.00,108688.58,56.28,0.00,6517.94,0.00,102114.36,0.94,2.57
"Calamansi","2021",112126.13,0.00,112126.13,43.25,0.00,6724.97,0.00,105357.91,0.96,2.62
"Calamansi","2022",107896.35,0.00,107896.35,40.61,0.00,6471.34,0.00,101384.39,0.91,2.49
"Chico","1990",6435.00,0.00,6435.00,0.00,0.00,386.10,0.00,6048.90,0.10,0.27
"Chico","1991",6691.00,0.00,6691.00,0.00,0.00,401.46,0.00,6289.54,0.10,0.27
"Chico","1992",6707.00,0.00,6707.00,0.00,0.00,402.42,0.00,6304.58,0.10,0.27
"Chico","1993",6850.00,0.00,6850.00,..,0.00,411.00,0.00,6439.00,0.10,0.27
"Chico","1994",7118.00,0.00,7118.00,0.00,0.00,427.08,0.00,6690.92,0.10,0.27
"Chico","1995",7205.00,0.00,7205.00,..,0.00,432.30,0.00,6772.70,0.10,0.27
"Chico","1996",7234.00,0.00,7234.00,..,0.00,434.04,0.00,6799.96,0.10,0.27
"Chico","1997",7503.00,0.00,7503.00,1.00,0.00,450.12,0.00,7051.88,0.10,0.27
"Chico","1998",7119.00,0.00,7119.00,230.00,0.00,413.34,0.00,6475.66,0.09,0.24
"Chico","1999",7141.00,0.00,7141.00,0.00,0.00,428.46,0.00,6712.54,0.09,0.25
"Chico","2000",6574.00,0.00,6574.00,0.00,0.00,394.44,0.00,6179.56,0.08,0.22
"Chico","2001",6289.00,0.00,6289.00,0.00,0.00,377.34,0.00,5911.66,0.08,0.21
"Chico","2002",6338.00,0.00,6338.00,..,0.00,380.28,0.00,5957.72,0.07,0.21
"Chico","2003",6392.00,0.00,6392.00,..,0.00,383.52,0.00,6008.48,0.07,0.20
"Chico","2004",6187.00,0.00,6187.00,..,0.00,371.22,0.00,5815.78,0.07,0.19
"Chico","2005",6509.00,0.00,6509.00,0.00,0.00,390.54,0.00,6118.46,0.07,0.20
"Chico","2006",6440.00,0.00,6440.00,0.00,0.00,386.40,0.00,6053.60,0.07,0.19
"Chico","2007",6321.00,0.00,6321.00,1.00,0.00,379.20,0.00,5940.80,0.07,0.18
"Chico","2008",6431.00,0.00,6431.00,4.00,0.00,385.62,0.00,6041.38,0.07,0.18
"Chico","2009",6498.00,0.00,6498.00,..,0.00,389.88,0.00,6108.12,0.07,0.18
"Chico","2010",6424.00,0.00,6424.00,0.00,0.00,385.44,0.00,6038.56,0.06,0.18
"Chico","2011",6400.00,0.00,6400.00,..,0.00,384.00,0.00,6016.00,0.06,0.17
"Chico","2012",6296.00,0.00,6296.00,2.00,0.00,377.64,0.00,5916.36,0.06,0.17
"Chico","2013",6239.00,0.00,6239.00,5.00,0.00,374.04,0.00,5859.96,0.06,0.16
"Chico","2014",5773.00,0.00,5773.00,5.00,0.00,346.08,0.00,5421.92,0.05,0.15
"Chico","2015",5686.00,0.00,5686.00,28.00,0.00,339.48,0.00,5318.52,0.05,0.14
"Chico","2016",5455.27,0.00,5455.27,54.00,0.00,324.08,0.00,5077.20,0.05,0.13
"Chico","2017",5517.96,0.00,5517.96,1.11,0.00,331.01,0.00,5185.84,0.05,0.14
"Chico","2018",5449.44,0.00,5449.44,0.14,0.00,326.96,0.00,5122.35,0.05,0.13
"Chico","2019",5359.98,0.00,5359.98,0.66,0.00,321.56,0.00,5037.76,0.05,0.13
"Chico","2020",5350.90,0.00,5350.90,0.08,0.00,321.05,0.00,5029.76,0.05,0.13
"Chico","2021",5103.21,0.00,5103.21,0.07,0.00,306.19,0.00,4796.95,0.04,0.12
"Chico","2022",4960.07,0.00,4960.07,0.01,0.00,297.60,0.00,4662.46,0.04,0.11
"Durian","1990",26323.00,0.00,26323.00,0.00,0.00,1579.38,0.00,24743.62,0.40,1.10
"Durian","1991",26927.00,0.00,26927.00,0.00,0.00,1615.62,0.00,25311.38,0.40,1.10
"Durian","1992",27501.00,0.00,27501.00,0.00,0.00,1650.06,0.00,25850.94,0.40,1.10
"Durian","1993",27576.00,0.00,27576.00,0.00,0.00,1654.56,0.00,25921.44,0.40,1.09
"Durian","1994",27994.00,0.00,27994.00,0.00,0.00,1679.64,0.00,26314.36,0.38,1.05
"Durian","1995",28525.00,0.00,28525.00,0.00,0.00,1711.50,0.00,26813.50,0.39,1.07
"Durian","1996",27287.00,0.00,27287.00,0.00,0.00,1637.22,0.00,25649.78,0.37,1.00
"Durian","1997",32427.00,0.00,32427.00,0.00,0.00,1945.62,0.00,30481.38,0.43,1.17
"Durian","1998",29063.00,0.00,29063.00,0.00,0.00,1743.78,0.00,27319.22,0.37,1.02
"Durian","1999",26693.00,0.00,26693.00,0.00,0.00,1601.58,0.00,25091.42,0.34,0.92
"Durian","2000",25764.00,0.00,25764.00,0.00,0.00,1545.84,0.00,24218.16,0.32,0.87
"Durian","2001",27037.00,0.00,27037.00,0.00,0.00,1622.22,0.00,25414.78,0.33,0.89
"Durian","2002",31638.00,0.00,31638.00,0.00,0.00,1898.28,0.00,29739.72,0.37,1.02
"Durian","2003",39817.00,0.00,39817.00,0.00,0.00,2389.02,0.00,37427.98,0.46,1.26
"Durian","2004",40907.00,0.00,40907.00,0.00,0.00,2454.42,0.00,38452.58,0.47,1.27
"Durian","2005",47296.00,0.00,47296.00,0.00,0.00,2837.76,0.00,44458.24,0.52,1.43
"Durian","2006",48465.00,0.00,48465.00,0.00,0.00,2907.90,0.00,45557.10,0.52,1.44
"Durian","2007",73250.00,0.00,73250.00,10.00,0.00,4394.40,0.00,68845.60,0.78,2.13
"Durian","2008",51399.00,0.00,51399.00,3.00,0.00,3083.76,0.00,48312.24,0.53,1.46
"Durian","2009",55727.00,0.00,55727.00,1.00,0.00,3343.56,0.00,52382.44,0.58,1.58
"Durian","2010",77548.00,0.00,77548.00,1.00,0.00,4652.82,0.00,72894.18,0.78,2.14
"Durian","2011",58969.00,16.00,58985.00,1.00,0.00,3539.04,0.00,55444.96,0.58,1.60
"Durian","2012",85961.00,0.00,85961.00,19.00,0.00,5156.52,0.00,80785.48,0.84,2.29
"Durian","2013",91212.00,0.00,91212.00,18.00,0.00,5471.64,0.00,85722.36,0.87,2.39
"Durian","2014",80334.00,0.00,80334.00,114.00,0.00,4813.20,0.00,75406.80,0.75,2.07
"Durian","2015",87382.00,0.00,87382.00,75.00,0.00,5238.42,0.00,82068.58,0.81,2.21
"Durian","2016",71444.19,0.00,71444.19,37.00,0.00,4284.43,0.00,67122.76,0.65,1.78
"Durian","2017",66457.63,0.00,66457.63,192.54,0.00,3975.91,0.00,62289.19,0.60,1.64
"Durian","2018",75521.48,0.00,75521.48,943.30,0.00,4474.69,0.00,70103.48,0.66,1.82
"Durian","2019",79284.05,0.00,79284.05,2371.47,0.00,4614.76,0.00,72297.83,0.67,1.85
"Durian","2020",78815.99,0.00,78815.99,767.49,0.00,4682.91,0.00,73365.59,0.67,1.85
"Durian","2021",73867.42,0.00,73867.42,457.14,0.00,4404.62,0.00,69005.67,0.63,1.72
"Durian","2022",74158.36,0.00,74158.36,89.74,0.00,4444.12,0.00,69624.50,0.62,1.71
"Guyabano","1990",8409.00,0.00,8409.00,0.00,0.00,504.54,0.00,7904.46,0.13,0.35
"Guyabano","1991",7980.00,0.00,7980.00,0.00,0.00,478.80,0.00,7501.20,0.12,0.33
"Guyabano","1992",8108.00,0.00,8108.00,0.00,0.00,486.48,0.00,7621.52,0.12,0.32
"Guyabano","1993",8117.00,0.00,8117.00,0.00,0.00,487.02,0.00,7629.98,0.12,0.32
"Guyabano","1994",7992.00,0.00,7992.00,0.00,0.00,479.52,0.00,7512.48,0.11,0.30
"Guyabano","1995",7724.00,0.00,7724.00,0.00,0.00,463.44,0.00,7260.56,0.11,0.29
"Guyabano","1996",8125.00,0.00,8125.00,0.00,0.00,487.50,0.00,7637.50,0.11,0.30
"Guyabano","1997",8739.00,0.00,8739.00,0.00,0.00,524.34,0.00,8214.66,0.11,0.31
"Guyabano","1998",8244.00,0.00,8244.00,0.00,0.00,494.64,0.00,7749.36,0.11,0.29
"Guyabano","1999",7682.00,0.00,7682.00,0.00,0.00,460.92,0.00,7221.08,0.10,0.26
"Guyabano","2000",7887.00,0.00,7887.00,0.00,0.00,473.22,0.00,7413.78,0.10,0.27
"Guyabano","2001",7622.00,0.00,7622.00,0.00,0.00,457.32,0.00,7164.68,0.09,0.25
"Guyabano","2002",7726.00,0.00,7726.00,0.00,0.00,463.56,0.00,7262.44,0.09,0.25
"Guyabano","2003",7646.00,0.00,7646.00,0.00,0.00,458.76,0.00,7187.24,0.09,0.24
"Guyabano","2004",7574.00,0.00,7574.00,0.00,0.00,454.44,0.00,7119.56,0.09,0.24
"Guyabano","2005",7541.00,0.00,7541.00,0.00,0.00,452.46,0.00,7088.54,0.08,0.23
"Guyabano","2006",7156.00,0.00,7156.00,0.00,0.00,429.36,0.00,6726.64,0.08,0.21
"Guyabano","2007",7094.00,0.00,7094.00,0.00,0.00,425.64,0.00,6668.36,0.08,0.21
"Guyabano","2008",7386.00,0.00,7386.00,0.00,0.00,443.16,0.00,6942.84,0.08,0.21
"Guyabano","2009",7176.00,0.00,7176.00,0.00,0.00,430.56,0.00,6745.44,0.07,0.20
"Guyabano","2010",6922.00,0.00,6922.00,0.00,0.00,415.32,0.00,6506.68,0.07,0.19
"Guyabano","2011",7007.00,0.00,7007.00,0.00,0.00,420.42,0.00,6586.58,0.07,0.19
"Guyabano","2012",7305.00,0.00,7305.00,0.00,0.00,438.30,0.00,6866.70,0.07,0.19
"Guyabano","2013",7579.00,0.00,7579.00,0.00,0.00,454.74,0.00,7124.26,0.07,0.20
"Guyabano","2014",7150.00,0.00,7150.00,0.00,0.00,429.00,0.00,6721.00,0.07,0.18
"Guyabano","2015",7671.00,0.00,7671.00,0.00,0.00,460.26,0.00,7210.74,0.07,0.19
"Guyabano","2016",7906.47,0.00,7906.47,0.00,0.00,474.39,0.00,7432.08,0.07,0.20
"Guyabano","2017",7827.47,0.00,7827.47,0.00,0.00,469.65,0.00,7357.82,0.07,0.19
