"Seasonally Adjusted Gross Value Added in Agriculture, Forestry, and Fishing, at Constant 2018 Prices"

"Industry","2000 Q1","2000 Q2","2000 Q3","2000 Q4","2001 Q1","2001 Q2","2001 Q3","2001 Q4","2002 Q1","2002 Q2","2002 Q3","2002 Q4","2003 Q1","2003 Q2","2003 Q3","2003 Q4","2004 Q1","2004 Q2","2004 Q3","2004 Q4","2005 Q1","2005 Q2","2005 Q3","2005 Q4","2006 Q1","2006 Q2","2006 Q3","2006 Q4","2007 Q1","2007 Q2","2007 Q3","2007 Q4","2008 Q1","2008 Q2","2008 Q3","2008 Q4","2009 Q1","2009 Q2","2009 Q3","2009 Q4","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2023 Q1","2023 Q2","2023 Q3","2023 Q4"
"..Cacao",324,336,335,372,366,390,395,400,397,384,392,382,400,400,389,389,397,390,391,392,385,396,399,397,389,388,394,383,399,423,405,402,390,387,398,408,392,381,395,408,407,395,419,401,394,394,392,392,396,393,394,405,405,401,396,392,397,430,382,392,407,399,399,400,395,397,404,411,402,393,390,394,393,385,400,408,396,426,414,419,444,449,471,455,490,493,463,507,515,502,505,515,508,522,533,532
"..Abaca",382,407,419,436,439,469,481,480,483,467,480,458,489,488,479,472,487,478,482,480,474,486,490,488,477,473,483,464,486,508,493,491,476,471,484,500,477,463,477,495,491,475,495,482,472,471,466,464,471,466,465,479,479,471,464,456,466,499,447,454,476,460,459,460,457,454,460,471,465,446,443,441,456,430,448,451,468,473,459,458,443,453,463,469,374,446,393,413,427,438,444,429,440,432,429,448
"..Tobacco",404,419,409,443,457,482,481,473,496,469,476,448,496,483,470,456,485,464,469,461,460,466,472,465,449,446,459,444,445,474,465,462,427,426,455,460,420,411,446,442,427,419,467,414,410,415,431,381,410,409,427,370,418,412,422,337,409,434,400,320,417,393,411,309,400,382,411,302,403,372,391,272,387,356,394,266,396,401,413,266,399,417,295,537,379,409,311,553,293,406,323,590,338,414,718,591
"..Other agricultural crops, n.e.c.",15377,15972,15941,17666,17293,18445,18829,19205,19232,18805,19352,18942,19831,19925,19477,19536,20068,19838,20036,20129,19871,20466,20657,20593,20237,20224,20593,20072,20943,22290,21452,21388,20917,20868,21520,22107,21279,20692,21504,22250,22315,21712,23089,22150,21760,21790,21683,21750,22071,21946,22091,22724,22738,22552,22307,22079,22415,24329,21665,22328,23227,22789,22854,23032,22878,22881,23329,23722,23353,22448,22285,22468,23047,21844,22816,23155,23619,24038,23367,23540,23547,23388,23413,23057,22600,24242,23071,22960,22894,22944,23429,23015,23150,22962,22419,22838
"..Livestock",33168,33262,34018,34317,34365,34589,35331,35505,34946,36006,37998,37165,37364,37721,38614,38921,38911,38736,38135,38742,40034,40314,40908,41146,41604,41717,41531,41319,43369,43682,43415,43890,43090,41452,43454,43917,42575,42341,41854,43936,44283,45665,45009,44828,45528,46373,46312,46300,46446,45172,47320,48318,49704,50783,51857,52192,51234,50724,51498,51685,52425,53357,53005,53695,53882,55681,53930,55279,55977,56182,55637,58360,58789,58031,57388,60270,59618,60086,57912,55365,60280,55293,53134,48454,46000,44657,44541,43989,45410,45783,46442,45552,47545,46604,47484,46978
"..Poultry and egg production",20090,20109,19453,19498,21327,21185,21220,21769,21747,22442,23702,23715,23437,23598,23499,23475,23684,23726,24793,25168,25035,24435,24329,25178,24643,25493,25422,25401,25507,25274,25875,26238,26962,26460,26593,27213,26807,27220,25736,27403,28945,30189,30284,30082,30306,30931,31544,31560,31882,31756,32318,32835,33752,34844,35050,34912,34396,34694,33579,35813,37092,37444,37854,38392,38093,37972,38792,38705,39182,41219,40390,40709,41575,42758,42248,43288,43749,44634,45686,45781,45183,42638,43853,43749,41666,43784,44384,45266,46564,47201,47190,46177,47833,47750,48589,49833
"..Other animal production",1677,1751,1825,1970,2182,2375,2537,2711,2736,2972,3278,3417,3568,3832,4104,4350,4591,4817,5065,5298,5469,5582,5804,6075,6253,6515,6588,6559,6671,6682,6764,6901,7090,6972,7329,7489,7393,7426,7319,7755,8109,8431,8533,8596,8857,9070,9226,9231,9253,9029,9361,9572,9911,10208,10467,10590,10558,10543,10534,10770,10908,10902,10984,11134,11285,11543,11619,11813,12131,12383,12211,12480,12615,12847,13254,14867,16484,17732,18206,18508,16761,16676,17217,17976,17207,17406,17331,17451,17987,18228,18175,17931,18403,18448,18704,18943
"..Forestry and logging",248,379,507,493,333,238,216,301,219,263,147,130,209,202,346,283,493,383,436,313,326,414,489,681,457,700,490,597,458,435,468,407,453,485,498,449,388,454,511,704,466,315,285,399,407,543,552,471,582,517,490,605,702,704,916,768,968,910,692,523,578,621,657,625,694,470,622,640,608,625,527,579,624,755,724,846,692,791,779,729,688,478,744,712,719,720,626,632,803,641,639,574,425,529,582,522
"..Fishing and aquaculture",26039,25673,26158,26029,26852,27394,27186,27560,27742,28334,30082,29120,29143,31319,32084,34230,34268,33619,34036,34804,35275,35023,36658,38225,38166,40614,39819,40754,43409,45428,45608,43632,46363,46860,47956,47547,48887,53625,46388,47236,47729,47957,55632,51511,48934,49349,51332,49547,48432,49406,50735,51603,52989,52793,52797,51105,53780,53615,53613,54609,54682,55291,55076,54272,53260,54390,54976,54406,55884,55041,55529,55312,54853,54722,54852,55512,56327,56101,55425,57619,55316,56504,56407,54798,55766,56280,56034,55456,52174,56154,53844,53345,52154,49923,51209,50393
"..Support activities to agriculture, forestry and fishing",15147,16969,12810,13142,15266,16592,13057,13649,15149,15516,14866,15685,17625,17647,19265,19286,19585,18853,19978,20383,20501,20703,22666,23278,22959,23835,24208,24694,25533,26239,27361,28255,28394,27775,28401,28359,27441,26466,25267,27360,27437,28159,28604,29219,29678,31494,29878,29262,30559,31433,30294,30718,32956,32901,32189,32714,34410,33905,35173,33573,34997,34635,37124,37772,35877,36445,38238,38182,37904,38032,39817,40006,39762,38910,41865,40483,41179,42500,43739,42956,43573,45533,45120,44736,46677,47818,47724,48603,48362,49888,49870,50499,49815,51553,52213,54246
"Gross Value Added In Agriculture, Forestry, and Fishing",265665,268022,267034,264463,269674,281212,279043,276684,279764,283845,283978,295564,294669,293050,295367,310113,313980,309043,315029,317315,314268,318243,326279,339275,336820,342771,342656,338967,350197,353711,359689,366005,366938,367758,374916,370654,371984,376878,371338,359834,370685,362917,371296,384941,388932,395136,384882,375717,390114,399151,404222,408599,406974,405213,416902,418386,415844,417463,413252,430240,425163,419136,412371,430148,408975,414363,420874,424259,431216,440846,435697,437124,442892,440263,438865,445122,445899,442536,443133,449483,445180,447434,445870,439270,439979,447608,440799,447027,440259,449619,451257,445501,450423,449454,452957,452862
