"Vegetables: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita kg/yr","UT Per Capita gm/day"
"Asparagus","1997",11017.00,2.00,11019.00,5105.00,0.00,473.12,0.00,5440.88,0.08,0.21
"Asparagus","1998",6254.00,6.00,6260.00,3236.00,0.00,241.92,0.00,2782.08,0.04,0.10
"Asparagus","1999",6332.00,4.00,6336.00,4175.00,0.00,172.88,0.00,1988.12,0.03,0.07
"Asparagus","2000",6429.00,4.00,6433.00,3974.00,0.00,196.72,0.00,2262.28,0.03,0.08
"Asparagus","2001",8577.00,8.00,8585.00,4148.00,0.00,354.96,0.00,4082.04,0.05,0.14
"Asparagus","2002",12566.00,3.00,12569.00,4663.00,0.00,632.48,0.00,7273.52,0.09,0.25
"Asparagus","2003",15211.00,13.00,15224.00,3644.00,0.00,926.40,0.00,10653.60,0.13,0.36
"Asparagus","2004",22367.00,22.00,22389.00,2623.00,0.00,1581.28,0.00,18184.72,0.22,0.60
"Asparagus","2005",25231.00,b/,25231.00,3118.00,0.00,1769.04,0.00,20343.96,0.24,0.65
"Asparagus","2006",21938.00,2.00,21940.00,3620.00,0.00,1465.60,0.00,16854.40,0.19,0.53
"Asparagus","2007",14845.00,1.00,14846.00,2022.00,0.00,1025.92,0.00,11798.08,0.13,0.36
"Asparagus","2008",11891.00,0.00,11891.00,795.00,0.00,887.68,0.00,10208.32,0.11,0.31
"Asparagus","2009",7121.00,28.00,7149.00,303.00,0.00,547.68,0.00,6298.32,0.07,0.19
"Asparagus","2010",4637.00,0.00,4637.00,216.00,0.00,353.68,0.00,4067.32,0.04,0.12
"Asparagus","2011",3443.00,7.00,3450.00,484.00,0.00,237.28,0.00,2728.72,0.03,0.08
"Asparagus","2012",4106.00,6.00,4112.00,520.00,0.00,287.36,0.00,3304.64,0.03,0.09
"Asparagus","2013",3213.00,4.00,3217.00,603.00,0.00,209.12,0.00,2404.88,0.02,0.07
"Asparagus","2014",2939.00,1.00,2940.00,365.00,0.00,206.00,0.00,2369.00,0.02,0.06
"Asparagus","2015",2742.00,b/,2742.00,222.00,0.00,201.60,0.00,2318.40,0.02,0.06
"Asparagus","2016",2172.26,b/,2172.26,0.00,0.00,173.78,0.00,1998.48,0.02,0.05
"Asparagus","2017",1903.89,1.00,1904.89,0.00,0.00,152.39,0.00,1752.50,0.02,0.05
"Asparagus","2018",1648.33,b/,1648.33,0.00,0.00,131.87,0.00,1516.46,0.01,0.04
"Asparagus","2019",1328.86,b/,1329.37,0.00,0.00,106.35,0.00,1223.02,0.01,0.03
"Asparagus","2020",1056.04,1.27,1057.31,0.00,0.00,84.59,0.00,972.73,0.01,0.02
"Asparagus","2021",867.00,1.14,868.14,b/,0.00,69.45,0.00,798.69,0.01,0.02
"Asparagus","2022",608.88,1.26,610.14,0.00,0.00,48.81,0.00,561.33,0.01,0.01
"Bell Pepper","1990",6869.00,0.00,6869.00,0.00,0.00,343.45,0.00,6525.55,0.11,0.29
"Bell Pepper","1991",6690.00,0.00,6690.00,0.00,0.00,334.50,0.00,6355.50,0.10,0.28
"Bell Pepper","1992",8291.00,0.00,8291.00,0.00,0.00,414.55,0.00,7876.45,0.12,0.34
"Bell Pepper","1993",10329.00,0.00,10329.00,0.00,0.00,516.45,0.00,9812.55,0.15,0.41
"Bell Pepper","1994",8869.00,0.00,8869.00,0.00,0.00,443.45,0.00,8425.55,0.12,0.34
"Bell Pepper","1995",11297.00,0.00,11297.00,0.00,0.00,564.85,0.00,10732.15,0.16,0.43
"Bell Pepper","1996",11771.00,0.00,11771.00,0.00,0.00,588.55,0.00,11182.45,0.16,0.44
"Bell Pepper","1997",11523.00,0.00,11523.00,0.00,0.00,576.15,0.00,10946.85,0.15,0.42
"Bell Pepper","1998",10345.00,0.00,10345.00,0.00,0.00,517.25,0.00,9827.75,0.13,0.37
"Bell Pepper","1999",9566.00,0.00,9566.00,0.00,0.00,478.30,0.00,9087.70,0.12,0.33
"Bell Pepper","2000",9862.00,0.00,9862.00,0.00,0.00,493.10,0.00,9368.90,0.12,0.34
"Bell Pepper","2001",9797.00,0.00,9797.00,0.00,0.00,489.85,0.00,9307.15,0.12,0.33
"Bell Pepper","2002",10162.00,0.00,10162.00,0.00,0.00,508.10,0.00,9653.90,0.12,0.33
"Bell Pepper","2003",10325.00,0.00,10325.00,0.00,0.00,516.25,0.00,9808.75,0.12,0.33
"Bell Pepper","2004",10790.00,0.00,10790.00,0.00,0.00,539.50,0.00,10250.50,0.12,0.34
"Bell Pepper","2005",10951.00,0.00,10951.00,0.00,0.00,547.55,0.00,10403.45,0.12,0.33
"Bell Pepper","2006",11614.00,0.00,11614.00,0.00,0.00,580.70,0.00,11033.30,0.13,0.35
"Bell Pepper","2007",12118.00,0.00,12118.00,0.00,0.00,605.90,0.00,11512.10,0.13,0.36
"Bell Pepper","2008",12740.00,0.00,12740.00,0.00,0.00,637.00,0.00,12103.00,0.13,0.37
"Bell Pepper","2009",12496.00,0.00,12496.00,0.00,0.00,624.80,0.00,11871.20,0.13,0.36
"Bell Pepper","2010",12956.00,0.00,12956.00,0.00,0.00,647.80,0.00,12308.20,0.13,0.36
"Bell Pepper","2011",12943.00,0.00,12943.00,0.00,0.00,647.15,0.00,12295.85,0.13,0.36
"Bell Pepper","2012",12724.00,0.00,12724.00,0.00,0.00,636.20,0.00,12087.80,0.13,0.34
"Bell Pepper","2013",13009.00,0.00,13009.00,0.00,0.00,650.45,0.00,12358.55,0.13,0.34
"Bell Pepper","2014",13180.00,0.00,13180.00,0.00,0.00,659.00,0.00,12521.00,0.13,0.34
"Bell Pepper","2015",13088.00,0.00,13088.00,0.00,0.00,654.40,0.00,12433.60,0.12,0.34
"Bell Pepper","2016",12993.96,0.00,12993.96,0.00,0.00,649.70,0.00,12344.26,0.12,0.33
"Bell Pepper","2017",13738.64,0.00,13738.64,0.00,0.00,686.93,0.00,13051.71,0.13,0.34
"Bell Pepper","2018",13612.63,0.00,13612.63,0.00,0.00,680.63,0.00,12932.00,0.12,0.34
"Bell Pepper","2019",13952.46,0.00,13952.46,0.00,0.00,697.62,0.00,13254.84,0.12,0.34
"Bell Pepper","2020",14925.54,0.00,14925.54,0.00,0.00,746.28,0.00,14179.26,0.13,0.36
"Bell Pepper","2021",15959.39,0.00,15959.39,0.00,0.00,797.97,0.00,15161.42,0.14,0.38
"Bell Pepper","2022",17326.59,0.00,17326.59,0.00,0.00,866.33,0.00,16460.26,0.15,0.40
"Black Pepper","1990",2787.00,0.00,2787.00,20.00,0.00,138.35,0.00,2628.65,0.04,0.12
"Black Pepper","1991",4136.00,245.00,4381.00,1.00,0.00,219.00,0.00,4161.00,0.07,0.18
"Black Pepper","1992",4430.00,3.00,4433.00,0.00,0.00,221.65,0.00,4211.35,0.07,0.18
"Black Pepper","1993",4349.00,5.00,4354.00,1.00,0.00,217.65,0.00,4135.35,0.06,0.17
"Black Pepper","1994",2808.00,49.00,2857.00,4.00,0.00,142.65,0.00,2710.35,0.04,0.11
"Black Pepper","1995",2664.00,5.00,2669.00,b/,0.00,133.45,0.00,2535.55,0.04,0.10
"Black Pepper","1996",4899.00,10.00,4909.00,1.00,0.00,245.40,0.00,4662.60,0.07,0.18
"Black Pepper","1997",4581.00,30.00,4611.00,26.00,0.00,229.25,0.00,4355.75,0.06,0.17
"Black Pepper","1998",4467.00,43.00,4510.00,623.00,0.00,194.35,0.00,3692.65,0.05,0.14
"Black Pepper","1999",4537.00,1.00,4538.00,449.00,0.00,204.45,0.00,3884.55,0.05,0.14
"Black Pepper","2000",4541.00,0.00,4541.00,133.00,0.00,220.40,0.00,4187.60,0.05,0.15
"Black Pepper","2001",4720.00,54.00,4774.00,17.00,0.00,237.85,0.00,4519.15,0.06,0.16
"Black Pepper","2002",4693.00,0.00,4693.00,1.00,0.00,234.60,0.00,4457.40,0.06,0.15
"Black Pepper","2003",4588.00,625.00,5213.00,b/,0.00,260.65,0.00,4952.35,0.06,0.17
"Black Pepper","2004",4547.00,153.00,4700.00,16.00,0.00,234.20,0.00,4449.80,0.05,0.15
"Black Pepper","2005",4418.00,141.00,4559.00,38.00,0.00,226.05,0.00,4294.95,0.05,0.14
"Black Pepper","2006",3678.00,b/,3678.00,3.00,0.00,183.75,0.00,3491.25,0.04,0.11
"Black Pepper","2007",3270.00,4.00,3274.00,b/,0.00,163.70,0.00,3110.30,0.04,0.10
"Black Pepper","2008",3426.00,825.00,4251.00,25.00,0.00,211.30,0.00,4014.70,0.04,0.12
"Black Pepper","2009",3432.00,1452.00,4884.00,20.00,0.00,243.20,0.00,4620.80,0.05,0.14
"Black Pepper","2010",3348.00,2021.00,5369.00,15.00,0.00,267.70,0.00,5086.30,0.05,0.15
"Black Pepper","2011",3370.00,2037.00,5407.00,78.00,0.00,266.45,0.00,5062.55,0.05,0.15
"Black Pepper","2012",3248.00,1689.00,4937.00,21.00,0.00,245.80,0.00,4670.20,0.05,0.13
"Black Pepper","2013",2716.00,2118.00,4834.00,1072.00,0.00,188.10,0.00,3573.90,0.04,0.10
"Black Pepper","2014",2563.00,1640.00,4203.00,470.00,0.00,186.65,0.00,3546.35,0.04,0.10
"Black Pepper","2015",1847.00,3160.00,5007.00,781.00,0.00,211.30,0.00,4014.70,0.04,0.11
"Black Pepper","2016",1436.00,3366.05,4802.33,55.10,0.00,237.36,0.00,4509.87,0.04,0.12
"Black Pepper","2017",1368.67,4031.69,5400.36,78.65,0.00,266.09,0.00,5055.63,0.05,0.13
"Black Pepper","2018",1307.60,4943.25,6250.86,13.60,0.00,311.86,0.00,5925.40,0.06,0.15
"Black Pepper","2019",1131.93,5520.18,6652.11,51.28,0.00,330.04,0.00,6270.79,0.06,0.16
"Black Pepper","2020",1027.56,6477.92,7505.48,21.78,0.00,374.18,0.00,7109.51,0.07,0.18
"Black Pepper","2021",964.55,7276.61,8241.16,125.00,0.00,405.81,0.00,7710.35,0.07,0.19
"Black Pepper","2022",1004.58,7106.00,8110.58,46.00,0.00,403.23,0.00,7661.35,0.07,0.19
"Broccoli","1990",197.00,0.00,197.00,0.00,0.00,15.76,0.00,181.24,0.00,0.01
"Broccoli","1991",930.00,0.00,930.00,0.00,0.00,74.40,0.00,855.60,0.01,0.04
"Broccoli","1992",2766.00,0.00,2766.00,0.00,0.00,221.28,0.00,2544.72,0.04,0.11
"Broccoli","1993",1689.00,0.00,1689.00,0.00,0.00,135.12,0.00,1553.88,0.02,0.07
"Broccoli","1994",1291.00,0.00,1291.00,0.00,0.00,103.28,0.00,1187.72,0.02,0.05
"Broccoli","1995",2126.00,0.00,2126.00,0.00,0.00,170.08,0.00,1955.92,0.03,0.08
"Broccoli","1996",1680.00,0.00,1680.00,0.00,0.00,134.40,0.00,1545.60,0.02,0.06
"Broccoli","1997",1709.00,0.00,1709.00,0.00,0.00,136.72,0.00,1572.28,0.02,0.06
"Broccoli","1998",1562.00,0.00,1562.00,0.00,0.00,124.96,0.00,1437.04,0.02,0.05
"Broccoli","1999",1616.00,0.00,1616.00,0.00,0.00,129.28,0.00,1486.72,0.02,0.05
"Broccoli","2000",1571.00,0.00,1571.00,0.00,0.00,125.68,0.00,1445.32,0.02,0.05
"Broccoli","2001",1607.00,0.00,1607.00,0.00,0.00,128.56,0.00,1478.44,0.02,0.05
"Broccoli","2002",1634.00,0.00,1634.00,0.00,0.00,130.72,0.00,1503.28,0.02,0.05
"Broccoli","2003",1669.00,0.00,1669.00,0.00,0.00,134.00,0.00,1535.00,0.02,0.05
"Broccoli","2004",1757.00,0.00,1757.00,0.00,0.00,141.00,0.00,1616.00,0.02,0.05
"Broccoli","2005",2072.00,0.00,2072.00,0.00,0.00,166.00,0.00,1906.00,0.02,0.05
"Broccoli","2006",2265.00,0.00,2265.00,0.00,0.00,181.00,0.00,2084.00,0.02,0.05
"Broccoli","2007",2370.00,160.00,2530.00,0.00,0.00,202.00,0.00,2328.00,0.03,0.08
"Broccoli","2008",2602.00,98.00,2700.00,13.00,0.00,215.00,0.00,2472.00,0.03,0.08
"Broccoli","2009",2685.00,114.00,2799.00,b/,0.00,224.00,0.00,2575.00,0.03,0.08
"Broccoli","2010",2699.00,207.00,2906.00,0.00,0.00,232.00,0.00,2674.00,0.03,0.08
"Broccoli","2011",2881.00,118.00,2999.00,0.00,0.00,240.00,0.00,2759.00,0.03,0.08
"Broccoli","2012",2994.00,107.00,3101.00,0.00,0.00,248.00,0.00,2853.00,0.03,0.08
"Broccoli","2013",3026.00,10.00,3036.00,0.00,0.00,243.00,0.00,2793.00,0.03,0.08
"Broccoli","2014",3064.00,13.00,3077.00,b/,0.00,246.00,0.00,2831.00,0.03,0.08
"Broccoli","2015",2911.00,17.00,2928.00,0.00,0.00,234.00,0.00,2694.00,0.03,0.08
"Broccoli","2016",2859.02,40.29,2899.31,0.00,0.00,231.95,0.00,2667.37,0.03,0.07
"Broccoli","2017",3159.13,142.99,3302.12,0.00,0.00,264.17,0.00,3037.95,0.03,0.08
"Broccoli","2018",2905.64,168.99,3074.63,0.00,0.00,245.97,0.00,2828.66,0.03,0.07
"Broccoli","2019",3246.35,347.24,3593.59,b/,0.00,287.49,0.00,3306.04,0.03,0.08
"Broccoli","2020",3339.35,124.17,3463.52,b/,0.00,277.08,0.00,3186.40,0.03,0.08
"Broccoli","2021",3507.49,202.08,3709.57,0.00,0.00,296.77,0.00,3412.80,0.03,0.08
"Broccoli","2022",3864.24,b/,3864.44,0.00,0.00,309.16,0.00,3555.29,0.03,0.09
"Cabbage","1990",117202.00,b/,117202.00,0.00,31.92,9376.16,0.00,107793.92,1.75,4.80
"Cabbage","1991",170941.00,0.70,170941.70,10.00,40.65,13674.54,0.00,157216.52,2.50,6.85
"Cabbage","1992",150784.00,81.00,150865.00,0.00,37.30,12069.20,0.00,138758.50,2.16,5.92
"Cabbage","1993",155095.00,2.00,155097.00,64.80,38.37,12402.58,0.00,142591.26,2.18,5.97
"Cabbage","1994",151340.00,b/,151340.00,72.00,39.51,12101.44,0.00,139127.05,2.03,5.55
"Cabbage","1995",129989.00,2.00,129991.00,0.00,31.56,10399.28,0.00,119560.16,1.75,4.79
"Cabbage","1996",98072.00,2.15,98074.15,0.00,29.44,7845.93,0.00,90198.78,1.29,3.53
"Cabbage","1997",95859.00,0.00,95859.00,33.00,29.07,7666.08,0.00,88130.85,1.23,3.37
"Cabbage","1998",85842.00,5.41,85847.41,0.00,27.87,6867.79,0.00,78951.75,1.08,2.96
"Cabbage","1999",87472.00,236.93,87708.93,0.00,28.26,7016.71,0.00,80663.96,1.08,2.96
"Cabbage","2000",87576.00,1.45,87577.45,0.00,28.39,7006.20,0.00,80542.87,1.05,2.88
"Cabbage","2001",89542.00,36.00,89578.00,0.00,28.53,7166.24,0.00,82383.23,1.06,2.90
"Cabbage","2002",91368.00,69.00,91437.00,0.00,28.87,7314.96,0.00,84093.17,1.06,2.90
"Cabbage","2003",91982.00,83.00,92065.00,0.00,28.66,7365.20,0.00,84671.14,1.04,2.86
"Cabbage","2004",92782.00,2.00,92784.00,0.00,28.51,7422.72,0.00,85332.77,1.03,2.83
"Cabbage","2005",91439.00,2.00,91441.00,237.00,27.45,7296.32,0.00,83880.23,0.98,2.70
"Cabbage","2006",91243.00,0.00,91243.00,0.00,27.10,7299.44,0.00,83916.46,0.96,2.64
"Cabbage","2007",123443.00,0.00,123443.00,6.00,31.46,9874.96,0.00,113530.58,1.28,3.51
"Cabbage","2008",128865.00,0.00,128865.00,0.00,31.80,10309.20,0.00,118524.00,1.31,3.59
"Cabbage","2009",124712.00,0.00,124712.00,0.00,31.39,9976.96,0.00,114703.65,1.26,3.45
"Cabbage","2010",128964.00,0.00,128964.00,0.00,31.68,10317.12,0.00,118615.20,1.27,3.49
"Cabbage","2011",125309.00,0.00,125309.00,4.00,31.64,10024.40,0.00,115248.97,1.22,3.33
"Cabbage","2012",126381.00,0.00,126381.00,0.00,31.56,10110.48,0.00,116238.96,1.20,3.30
"Cabbage","2013",127463.00,0.00,127463.00,0.00,31.13,10197.04,0.00,117234.83,1.19,3.27
"Cabbage","2014",127986.00,0.00,127986.00,0.00,30.75,10238.88,0.00,117716.37,1.18,3.23
"Cabbage","2015",125752.00,0.00,125752.00,0.00,30.26,10060.16,0.00,115661.58,1.14,3.12
"Cabbage","2016",123080.04,1.00,123081.04,0.00,29.67,9846.48,0.00,113204.89,1.10,3.00
"Cabbage","2017",122474.10,0.00,122474.10,b/,29.28,9797.93,0.00,112646.90,1.08,2.96
"Cabbage","2018",120655.67,0.00,120655.67,b/,29.00,9652.45,0.00,110973.82,1.05,2.87
"Cabbage","2019",128050.06,0.00,128050.06,0.00,29.03,10244.00,0.00,117777.02,1.10,3.01
"Cabbage","2020",129803.39,0.00,129803.39,0.00,29.68,10384.27,0.00,119389.44,1.10,3.01
"Cabbage","2021",124491.09,63.00,124554.09,0.00,28.76,9964.33,0.00,114561.00,1.04,2.85
"Cabbage","2022",121249.18,0.00,121249.18,0.00,28.04,9699.93,0.00,111521.21,1.00,2.74
"Carrots","1990",36985.00,9.00,36994.00,0.00,0.00,2959.52,0.00,34034.48,0.55,1.51
"Carrots","1991",37511.00,1.00,37512.00,0.00,0.00,3000.96,0.00,34511.04,0.55,1.51
"Carrots","1992",32790.00,8.00,32798.00,0.00,0.00,2623.84,0.00,30174.16,0.47,1.29
"Carrots","1993",31850.00,3.00,31853.00,0.00,0.00,2548.24,0.00,29304.76,0.45,1.23
"Carrots","1994",29882.00,6.00,29888.00,0.00,0.00,2391.04,0.00,27496.96,0.40,1.10
"Carrots","1995",31953.00,5.00,31958.00,0.00,0.00,2556.64,0.00,29401.36,0.43,1.18
"Carrots","1996",34204.00,7.00,34211.00,0.00,0.00,2736.88,0.00,31474.12,0.45,1.23
"Carrots","1997",33733.00,30.00,33763.00,0.00,0.00,2701.04,0.00,31061.96,0.43,1.18
"Carrots","1998",32387.00,6.00,32393.00,0.00,0.00,2591.44,0.00,29801.56,0.41,1.12
"Carrots","1999",33849.00,18.00,33867.00,0.00,0.00,2709.36,0.00,31157.64,0.42,1.15
"Carrots","2000",34600.00,57.00,34657.00,0.00,0.00,2772.56,0.00,31884.44,0.42,1.15
"Carrots","2001",33793.00,32.00,33825.00,0.00,0.00,2706.00,0.00,31119.00,0.40,1.10
"Carrots","2002",34512.00,647.00,35159.00,0.00,0.00,2812.72,0.00,32346.28,0.41,1.12
"Carrots","2003",34666.00,1347.00,36013.00,0.00,0.00,2881.00,0.00,33132.00,0.41,1.12
"Carrots","2004",35784.00,353.00,36137.00,51.00,0.00,2887.00,0.00,33199.00,0.40,1.10
"Carrots","2005",35418.00,22.00,35440.00,0.00,0.00,2835.00,0.00,32605.00,0.38,1.04
"Carrots","2006",35694.00,1.00,35695.00,0.00,0.00,2856.00,0.00,32839.00,0.38,1.04
"Carrots","2007",65024.00,2.00,65026.00,0.00,0.00,5202.00,0.00,59824.00,0.68,1.86
"Carrots","2008",68366.00,6.00,68372.00,0.00,0.00,5470.00,0.00,62902.00,0.70,1.92
"Carrots","2009",68328.00,137.00,68465.00,0.00,0.00,5477.00,0.00,62988.00,0.69,1.89
"Carrots","2010",72109.00,40.00,72149.00,0.00,0.00,5772.00,0.00,66377.00,0.71,1.95
"Carrots","2011",67162.00,50.00,67212.00,0.00,0.00,5377.00,0.00,61835.00,0.65,1.78
"Carrots","2012",68454.00,10.00,68464.00,0.00,0.00,5477.00,0.00,62987.00,0.65,1.78
"Carrots","2013",68111.00,25.00,68136.00,0.00,0.00,5451.00,0.00,62685.00,0.64,1.75
"Carrots","2014",68342.00,12.00,68354.00,2.00,0.00,5468.00,0.00,62884.00,0.63,1.73
"Carrots","2015",67037.00,b/,67037.00,0.00,0.00,5363.00,0.00,61674.00,0.61,1.67
"Carrots","2016",65987.00,2.24,65989.11,0.00,0.00,5279.13,0.00,60709.98,0.59,1.61
"Carrots","2017",65219.44,6.76,65226.20,0.00,0.00,5218.10,0.00,60008.10,0.58,1.58
"Carrots","2018",64895.74,15.51,64911.25,0.00,0.00,5192.90,0.00,59718.35,0.56,1.55
"Carrots","2019",65069.67,158.00,65227.67,0.00,0.00,5218.21,0.00,60009.46,0.56,1.53
"Carrots","2020",63527.02,b/,63527.57,0.00,0.00,5082.21,0.00,58445.37,0.54,1.47
"Carrots","2021",64034.90,b/,64035.38,0.00,0.00,5122.83,0.00,58912.55,0.53,1.46
"Carrots","2022",57976.95,0.00,57976.95,0.00,0.00,4638.16,0.00,53338.79,0.48,1.31
"Cauliflower","1990",3282.00,0.00,3282.00,0.00,1.41,262.56,0.00,3018.03,0.05,0.14
"Cauliflower","1991",3196.00,0.00,3196.00,0.00,1.00,255.68,0.00,2939.32,0.05,0.14
"Cauliflower","1992",4441.00,0.00,4441.00,0.00,1.34,355.28,0.00,4084.38,0.06,0.16
"Cauliflower","1993",4961.00,0.00,4961.00,0.00,1.47,396.88,0.00,4562.65,0.07,0.19
"Cauliflower","1994",5735.00,0.00,5735.00,0.00,1.86,458.80,0.00,5274.34,0.08,0.22
"Cauliflower","1995",6302.00,0.00,6302.00,0.00,1.92,504.16,0.00,5795.92,0.08,0.22
"Cauliflower","1996",10696.00,0.00,10696.00,0.00,3.74,855.68,0.00,9836.58,0.14,0.38
"Cauliflower","1997",11623.00,0.00,11623.00,0.00,3.34,929.84,0.00,10689.82,0.15,0.41
"Cauliflower","1998",11875.00,0.00,11875.00,0.00,3.45,950.00,0.00,10921.55,0.15,0.41
"Cauliflower","1999",11999.00,0.00,11999.00,0.00,3.49,959.92,0.00,11035.59,0.15,0.41
"Cauliflower","2000",12180.00,0.00,12180.00,0.00,3.56,974.40,0.00,11202.04,0.15,0.41
"Cauliflower","2001",12298.00,0.00,12298.00,0.00,3.66,983.84,0.00,11310.50,0.15,0.41
"Cauliflower","2002",12284.00,0.00,12284.00,0.00,3.61,982.72,0.00,11297.67,0.14,0.38
"Cauliflower","2003",12324.00,0.00,12324.00,0.00,4.00,986.00,0.00,11334.00,0.14,0.38
"Cauliflower","2004",12007.00,0.00,12007.00,0.00,4.00,961.00,0.00,11042.00,0.13,0.36
"Cauliflower","2005",10641.00,0.00,10641.00,0.00,4.00,851.00,0.00,9786.00,0.11,0.30
"Cauliflower","2006",10489.00,0.00,10489.00,0.00,4.00,839.00,0.00,9646.00,0.11,0.30
"Cauliflower","2007",10148.00,70.00,10218.00,0.00,4.00,817.00,0.00,9397.00,0.11,0.30
"Cauliflower","2008",10758.00,92.00,10850.00,0.00,4.00,868.00,0.00,9978.00,0.11,0.30
"Cauliflower","2009",10559.00,26.00,10585.00,0.00,4.00,847.00,0.00,9734.00,0.11,0.30
"Cauliflower","2010",11102.00,34.00,11136.00,0.00,4.00,891.00,0.00,10241.00,0.11,0.30
"Cauliflower","2011",11583.00,5.00,11588.00,0.00,4.00,927.00,0.00,10657.00,0.11,0.30
"Cauliflower","2012",11636.00,6.00,11642.00,0.00,4.00,931.00,0.00,10707.00,0.11,0.30
"Cauliflower","2013",11782.00,14.00,11796.00,0.00,4.00,944.00,0.00,10848.00,0.11,0.30
