"Palay and Corn: Area Harvested in Hectares by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2024"

"Commodity","Geolocation","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2010 Annual","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2011 Annual","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2012 Annual","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2013 Annual","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2014 Annual","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2015 Annual","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2016 Annual","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2017 Annual","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2018 Annual","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2019 Annual","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2020 Annual","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2021 Annual","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2022 Annual","2023 Q1","2023 Q2","2023 Q3","2023 Q4","2023 Annual"
"Irrigated Palay","....Nueva Vizcaya",11378.00,12182.00,13400.00,13763.00,50723.00,12815.00,13072.00,13626.00,12546.00,52059.00,11913.00,13924.00,13640.00,13909.00,53386.00,12344.00,14865.00,13674.00,14149.00,55032.00,12140.00,13799.00,12248.00,14934.00,53121.00,12762.00,15496.00,12603.00,16113.00,56974.00,11727.00,17389.00,13799.00,15615.00,58530.00,15174.00,14091.00,13345.00,16464.00,59074.00,14203.00,12259.00,13844.00,18709.00,59015.00,14427.00,12360.00,12627.00,19318.00,58732.00,14906.00,12208.00,12276.00,14576.00,53966.00,17540.00,14683.00,11233.00,18882.00,62338.00,12449.00,19374.00,10207.00,20363.25,62393.25,9218.99,23334.00,10313.00,21638.00,64503.99
"Irrigated Palay","....Quirino",3792.00,3934.00,575.00,8436.00,16737.00,2869.00,6631.00,425.00,9060.00,18985.00,2594.00,7086.00,1460.00,8470.00,19610.00,7668.00,2406.00,2406.00,7818.00,20298.00,7580.00,2504.00,75.00,9292.00,19451.00,3651.00,6439.00,1180.00,8171.00,19441.00,6740.00,3347.00,1427.00,8476.00,19990.00,4973.00,5193.00,1886.00,8108.00,20160.00,5305.00,4990.00,485.73,9597.00,20377.73,3185.00,7662.00,882.00,10336.00,22065.00,5579.00,5756.00,1097.00,10224.00,22656.00,4563.00,7564.00,1070.00,10810.00,24007.00,4000.00,7708.00,1192.69,10488.50,23389.19,5215.00,6539.40,2455.00,9023.00,23232.40
"Irrigated Palay","..REGION III (CENTRAL LUZON)",121448.00,164364.00,42643.00,271118.00,599573.00,121707.00,169100.00,37880.00,215511.00,544198.00,131356.00,171650.00,45354.00,251531.00,599891.00,141649.00,179605.00,55306.00,255104.00,631664.00,143365.00,182977.00,41706.00,271904.00,639952.00,143091.00,178314.00,31489.00,269919.00,622813.00,136392.00,182092.00,42319.00,276540.00,637343.00,139535.00,181529.82,57401.00,273366.00,651831.82,136968.00,188320.00,58707.00,279025.00,663020.00,144559.76,187067.45,66576.21,277868.00,676071.42,139380.45,186755.15,63286.38,270178.12,659600.10,144479.27,184179.00,73041.70,281659.52,683359.49,151817.19,187298.70,64899.62,271867.30,675882.81,169323.00,184739.61,73429.31,239169.55,666661.47
"Irrigated Palay","....Aurora",6028.00,5637.00,4920.00,5110.00,21695.00,5841.00,5824.00,4900.00,4871.00,21436.00,5785.00,5840.00,4890.00,4961.00,21476.00,5785.00,6120.00,4392.00,4282.00,20579.00,6540.00,6140.00,4570.00,4530.00,21780.00,6545.00,6235.00,3888.00,3956.00,20624.00,5761.00,6388.00,4088.00,4036.00,20273.00,5225.00,7284.00,6345.00,3303.00,22157.00,3969.00,8663.00,6290.00,5912.00,24834.00,6566.00,7737.00,4151.00,6708.00,25162.00,4855.00,6306.12,4517.00,6428.00,22106.12,5085.00,7500.00,6470.00,5720.00,24775.00,5490.00,7154.00,3768.00,6510.00,22922.00,3652.00,7746.00,3399.00,7024.70,21821.70
"Irrigated Palay","....Bataan",10141.00,5649.00,4979.00,10235.00,31004.00,10791.00,5500.00,3926.00,10175.00,30392.00,10936.00,5505.00,3180.00,11056.00,30677.00,11510.00,5416.00,4705.00,10101.00,31732.00,11462.00,5486.00,4709.00,10114.00,31771.00,11468.00,5410.00,4148.00,10259.00,31285.00,10747.00,4522.00,3526.00,11126.00,29921.00,10874.00,4534.82,2784.00,11469.00,29661.82,10604.00,4571.00,3536.00,11301.00,30012.00,7367.00,6705.45,2963.00,11072.00,28107.45,8617.00,5942.00,2284.07,11088.00,27931.07,8983.45,5537.00,1680.00,10410.52,26610.97,9168.00,6482.00,730.39,10335.30,26715.69,8849.00,6391.00,518.31,9904.32,25662.63
"Irrigated Palay","....Bulacan",20600.00,10954.00,2009.00,25454.00,59017.00,17490.00,14295.00,2662.00,13812.00,48259.00,20330.00,15814.00,1703.00,27372.00,65219.00,21855.00,16276.00,4225.00,25099.00,67455.00,22100.00,16016.00,2221.00,26722.00,67059.00,20841.00,16103.00,2720.00,25434.00,65098.00,21275.00,17314.00,3285.00,26692.00,68566.00,21115.00,17207.00,3727.00,25855.00,67904.00,21100.00,18147.00,3456.00,25972.00,68675.00,17273.00,18546.00,2298.00,26773.00,64890.00,19829.45,18343.03,3390.30,26674.00,68236.78,19934.00,16655.00,6270.00,29329.00,72188.00,21057.00,19751.00,5415.00,34367.00,80590.00,20273.00,19751.00,5531.00,29214.08,74769.08
"Irrigated Palay","....Nueva Ecija",23425.00,100850.00,17300.00,119459.00,261034.00,23620.00,102205.00,17200.00,106546.00,249571.00,23720.00,103925.00,27460.00,110697.00,265802.00,24130.00,109471.00,28340.00,115244.00,277185.00,24939.00,111915.00,13984.00,129918.00,280756.00,26660.00,109015.00,5520.00,129314.00,270509.00,25265.00,109854.00,15692.00,128264.00,279075.00,25800.00,110761.00,25138.00,129165.00,290864.00,27435.00,113915.00,29180.00,129466.00,299996.00,35540.00,114315.00,32486.21,130169.00,312510.21,33852.00,115315.00,27137.00,122149.00,298453.00,35056.82,115858.00,27828.00,125537.00,304279.82,39218.19,114250.00,23064.42,110433.00,286965.61,58342.00,111858.00,28568.00,90206.45,288974.45
"Irrigated Palay","....Pampanga",27880.00,19297.00,4156.00,30323.00,81656.00,26225.00,21045.00,1631.00,17005.00,65906.00,31222.00,19635.00,1696.00,28524.00,81077.00,31069.00,21350.00,5611.00,29255.00,87285.00,32048.00,21600.00,5865.00,28393.00,87906.00,32607.00,21064.00,5960.00,27130.00,86761.00,31308.00,21221.00,6588.00,31303.00,90420.00,32330.00,20207.00,6996.00,31281.00,90814.00,31692.00,19825.00,5595.00,32561.00,89673.00,31202.00,19535.00,9218.00,31234.00,91189.00,26890.00,18538.00,9157.00,31567.12,86152.12,29341.00,16986.00,14346.70,33917.00,94590.70,32695.00,16627.70,14441.15,34419.00,98182.85,33447.00,15813.00,14692.00,30269.00,94221.00
"Irrigated Palay","....Tarlac",28190.00,17948.00,8339.00,69876.00,124353.00,30754.00,17051.00,6357.00,53332.00,107494.00,32603.00,17706.00,5140.00,58916.00,114365.00,40068.00,16522.00,6196.00,60428.00,123214.00,39271.00,16900.00,8655.00,61004.00,125830.00,37686.00,16064.00,7202.00,62635.00,123587.00,36661.00,18459.00,7550.00,60189.00,122859.00,37607.00,17331.00,11023.00,59670.00,125631.00,37429.00,17745.00,9829.00,59533.00,124536.00,40866.76,16808.00,12991.00,59944.00,130609.76,38634.00,15691.00,13770.00,60415.00,128510.00,39583.00,16781.00,14441.00,63763.00,134568.00,39780.00,16414.00,16039.00,64345.00,136578.00,39038.00,16796.00,16085.00,64051.00,135970.00
"Irrigated Palay","....Zambales",5184.00,4029.00,940.00,10661.00,20814.00,6986.00,3180.00,1204.00,9770.00,21140.00,6760.00,3225.00,1285.00,10005.00,21275.00,7232.00,4450.00,1837.00,10695.00,24214.00,7005.00,4920.00,1702.00,11223.00,24850.00,7284.00,4423.00,2051.00,11191.00,24949.00,5375.00,4334.00,1590.00,14930.00,26229.00,6584.00,4205.00,1388.00,12623.00,24800.00,4739.00,5454.00,821.00,14280.00,25294.00,5745.00,3421.00,2469.00,11968.00,23603.00,6703.00,6620.00,3031.00,11857.00,28211.00,6496.00,4862.00,2006.00,12983.00,26347.00,4409.00,6620.00,1441.66,11458.00,23928.66,5722.00,6384.61,4636.00,8500.00,25242.61
"Irrigated Palay","..REGION IV-A (CALABARZON)",16955.00,20537.00,9338.00,32664.00,79494.00,19822.00,23356.00,10339.00,29594.00,83111.00,19118.00,24501.00,9833.00,26668.00,80120.00,18774.00,24741.00,8869.00,29031.00,81415.00,19480.00,24819.00,9760.00,32132.00,86191.00,17494.00,27231.00,8246.00,32123.00,85094.00,17447.00,26456.00,10185.00,31245.00,85333.00,16941.00,25505.00,10734.00,30157.00,83337.00,17899.00,25973.00,7551.00,29227.63,80650.63,16119.70,26831.42,7385.07,29319.71,79655.90,15055.39,25499.61,7450.57,28193.89,76199.46,16668.33,26001.00,8948.35,28817.39,80435.07,16808.00,25705.06,8444.00,27452.05,78409.11,16351.38,27587.25,8451.00,30311.64,82701.27
"Irrigated Palay","....Batangas",3014.00,1310.00,796.00,3917.00,9037.00,3182.00,1572.00,974.00,3809.00,9537.00,3263.00,1700.00,1009.00,3278.00,9250.00,3901.00,1650.00,1020.00,3570.00,10141.00,3950.00,1660.00,931.00,3396.00,9937.00,3950.00,1550.00,760.00,3415.00,9675.00,2761.00,2027.00,640.00,3932.00,9360.00,2409.00,1773.00,1040.00,2892.00,8114.00,2736.00,1575.00,467.00,3415.00,8193.00,2668.00,998.00,938.56,3574.00,8178.56,2169.00,1449.00,483.00,3691.03,7792.03,2039.00,1564.00,998.35,3346.00,7947.35,1993.00,1329.65,1980.00,3028.05,8330.70,1750.38,2424.00,1784.00,3503.00,9461.38
"Irrigated Palay","....Cavite",2631.00,1600.00,950.00,5349.00,10530.00,2425.00,2170.00,912.00,5108.00,10615.00,2400.00,1800.00,967.00,4660.00,9827.00,2490.00,1785.00,926.00,4950.00,10151.00,2520.00,1918.00,1165.00,5345.00,10948.00,2550.00,2030.00,1122.00,5106.00,10808.00,2500.00,1910.00,1239.00,4273.00,9922.00,2400.00,1850.00,1180.00,3915.00,9345.00,2575.00,1973.00,1449.00,3670.00,9667.00,1653.00,1726.00,1127.00,2951.00,7457.00,1621.89,1491.00,1297.15,2320.09,6730.13,2087.58,1323.00,1322.00,2439.39,7171.97,1733.00,1184.41,1207.00,1833.00,5957.41,1508.00,1149.00,1147.00,1496.64,5300.64
"Irrigated Palay","....Laguna",2824.00,9385.00,4021.00,11389.00,27619.00,5226.00,9912.00,4320.00,10718.00,30176.00,4764.00,11142.00,4325.00,9044.00,29275.00,4620.00,10842.00,3329.00,10426.00,29217.00,3913.00,10751.00,4326.00,11380.00,30370.00,3312.00,12225.00,4220.00,11386.00,31143.00,4482.00,11360.00,3915.00,11380.00,31137.00,3932.00,11576.00,4028.00,10930.00,30466.00,4421.00,11599.00,1800.00,9468.00,27288.00,4090.59,13449.42,2298.57,10497.56,30336.14,4148.00,12207.61,2228.32,9097.11,27681.04,4347.00,11532.00,1731.00,9688.00,27298.00,4195.00,12396.00,1643.00,9823.00,28057.00,4228.00,12598.25,1758.00,10742.00,29326.25
"Irrigated Palay","....Quezon",7448.00,5687.00,3462.00,8769.00,25366.00,7589.00,7202.00,3863.00,6732.00,25386.00,7425.00,7292.00,3168.00,7885.00,25770.00,6453.00,8264.00,3170.00,7886.00,25773.00,7456.00,8292.00,3037.00,9723.00,28508.00,6276.00,9543.00,1964.00,9225.00,27008.00,6199.00,8981.00,3987.00,9113.00,28280.00,6580.00,8890.00,4133.00,9164.00,28767.00,6667.00,9140.00,3303.00,9994.00,29104.00,6475.00,8838.00,2831.00,10462.00,28606.00,6457.00,8980.00,3286.00,11735.00,30458.00,7068.00,9732.00,4580.00,11475.00,32855.00,7903.00,8827.00,3429.00,10701.00,30860.00,8058.00,8926.00,3378.00,12673.00,33035.00
"Irrigated Palay","....Rizal",1038.00,2555.00,109.00,3240.00,6942.00,1400.00,2500.00,270.00,3227.00,7397.00,1266.00,2567.00,364.00,1801.00,5998.00,1310.00,2200.00,424.00,2199.00,6133.00,1641.00,2198.00,301.00,2288.00,6428.00,1406.00,1883.00,180.00,2991.00,6460.00,1505.00,2178.00,404.00,2547.00,6634.00,1620.00,1416.00,353.00,3256.00,6645.00,1500.00,1686.00,532.00,2680.63,6398.63,1233.11,1820.00,189.94,1835.15,5078.20,659.50,1372.00,156.10,1350.66,3538.26,1126.75,1850.00,317.00,1869.00,5162.75,984.00,1968.00,185.00,2067.00,5204.00,807.00,2490.00,384.00,1897.00,5578.00
"Irrigated Palay","..MIMAROPA REGION",42909.00,30555.00,12140.00,80408.00,166012.00,41501.00,40228.00,22968.00,70055.00,174752.00,39665.00,44325.00,22254.00,78922.00,185166.00,43317.00,41978.00,24150.00,79026.00,188471.00,45585.00,41814.00,17870.00,84211.00,189480.00,59177.00,32796.00,17062.00,86475.00,195510.00,51856.00,33108.00,18987.00,97075.00,201026.00,54682.00,38066.00,23985.00,91151.00,207884.00,59019.00,38518.00,22031.00,93104.00,212672.00,57917.00,34176.47,17732.00,96535.00,206360.47,45504.00,44041.00,20640.00,91671.60,201856.60,48236.00,47506.00,22620.70,93444.30,211807.00,48016.00,44261.76,23526.87,98181.90,213986.53,46179.60,45054.19,24862.87,101013.88,217110.54
"Irrigated Palay","....Marinduque",1420.00,104.00,0.00,1098.00,2622.00,1430.00,210.00,714.00,434.00,2788.00,1420.00,168.00,180.00,557.00,2325.00,1080.00,145.00,129.00,1310.00,2664.00,1114.00,128.00,65.00,1113.00,2420.00,1207.00,164.00,50.00,887.00,2308.00,1107.00,161.00,98.00,1104.00,2470.00,1131.00,177.00,840.00,1335.00,3483.00,1354.00,185.00,289.00,841.00,2669.00,1005.00,580.00,22.00,829.00,2436.00,1165.00,592.00,538.00,972.00,3267.00,1178.00,156.00,577.00,996.00,2907.00,950.00,444.92,700.00,1010.00,3104.92,965.00,515.00,626.00,830.00,2936.00
