Commodity,Geolocation,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Palay,....Nueva Ecija,677844.00,501909.00,768477.00,971763.00,921451.00,865804.00,816606.00,966398.00,877849.00,894187.00,929598.00,646486.00,821366.00,878707.00,954899.00,968754.00,1101798.00,1128070.00,1136623.00,1231176.00,1356161.00,1372378.00,1360915.00,1374173.00,1313487.00,1587163.00,1672666.00,1930996.00,1580620.00,1684352.00,1884091.00,1886708.93,1955961.14,1904827.36,1884323.97,1781964.00,1839858.69
Palay,....Pampanga,173441.00,160342.00,192530.00,202758.00,167449.00,165113.00,164669.00,219972.00,216829.00,241779.00,236656.00,134165.00,213025.00,228728.00,247666.00,268758.00,273257.00,272770.00,293280.00,334375.00,390290.00,398910.00,332972.00,393328.00,310456.00,388187.00,419721.00,433106.00,425609.00,421647.00,429406.00,432172.00,451359.84,421937.80,476974.60,474339.44,463526.28
Palay,....Tarlac,239974.00,210831.00,256116.00,272178.00,248662.00,300533.00,263370.00,302206.00,296134.00,323418.00,388692.00,263076.00,378773.00,383581.00,426992.00,432379.00,462224.00,480042.00,493414.00,478521.00,557943.00,550552.00,491233.00,562180.00,450757.00,549299.00,585077.00,638906.00,570095.00,564992.00,579013.00,568861.95,595463.00,573336.95,605130.81,599576.56,608668.80
Palay,....Zambales,73319.00,57132.00,65739.00,75226.00,45426.00,35699.00,44327.00,55170.00,60059.00,67388.00,70677.00,55663.00,76007.00,78027.00,87698.00,85628.00,92163.00,101155.00,110024.00,114959.00,112710.00,113439.00,104202.00,113754.00,104832.00,118900.00,137110.00,140191.00,137968.00,112222.12,127761.00,126506.00,138372.31,158219.66,154571.06,136804.41,142227.77
Palay,..REGION IV-A (CALABARZON),383421.00,413701.00,463383.00,421188.00,448065.00,455982.00,448269.00,411898.00,334811.00,394128.00,378471.00,319550.00,427915.00,376439.00,396000.00,377513.00,376534.00,402066.00,392323.00,358364.00,391418.00,428085.00,383035.00,390189.00,399193.00,389272.00,411785.00,405582.00,392907.00,407124.00,410833.00,420233.47,380781.96,386919.93,409915.07,395898.69,433399.42
Palay,....Batangas,48817.00,49630.00,67359.00,80904.00,85560.00,85521.00,58960.00,72968.00,60200.00,57000.00,55247.00,47263.00,57958.00,60431.00,57668.00,61796.00,59972.00,60611.00,54478.00,49476.00,49890.00,60218.00,55800.00,53423.00,49569.00,43206.00,52198.00,46375.00,40009.00,39797.00,42246.00,47309.79,44982.62,33001.50,35354.04,34871.94,38026.81
Palay,....Cavite,38404.00,40003.00,49451.00,59949.00,63191.00,61135.00,51756.00,48242.00,35249.00,47247.00,53631.00,39321.00,52773.00,38676.00,54477.00,49164.00,49879.00,52335.00,56888.00,37617.00,38685.00,41697.00,39119.00,46614.00,38482.00,38495.00,42177.00,46280.00,42361.00,35646.00,34732.00,37038.72,29994.61,24626.60,27828.66,23213.78,20971.60
Palay,....Laguna,128045.00,118635.00,126926.00,109512.00,124753.00,132604.00,132939.00,109508.00,95099.00,119956.00,118741.00,139808.00,150071.00,132189.00,116663.00,97352.00,97606.00,108253.00,107654.00,106688.00,124649.00,137758.00,111063.00,123127.00,126108.00,120953.00,128905.00,130904.00,133138.00,130808.00,129358.00,131335.80,149545.17,129326.65,120224.02,128431.37,146255.35
Palay,....Quezon,143706.00,182045.00,195633.00,144175.00,149665.00,148578.00,176753.00,159009.00,125110.00,141848.00,117420.00,70344.00,135080.00,117862.00,136748.00,138328.00,131879.00,141649.00,135722.00,128405.00,149412.00,156936.00,153553.00,139092.00,154525.00,160951.00,159773.00,154780.00,146988.00,168112.00,173228.00,177370.25,137444.35,186178.60,203083.00,185878.50,204629.00
Palay,....Rizal,24449.00,23388.00,24014.00,26648.00,24896.00,28144.00,27861.00,22171.00,19153.00,28077.00,33432.00,22814.00,32033.00,27281.00,30444.00,30873.00,37198.00,39218.00,37581.00,36178.00,28782.00,31476.00,23500.00,27933.00,30509.00,25667.00,28732.00,27243.00,30411.00,32761.00,31269.00,27178.91,18815.21,13786.59,23425.36,23503.10,23516.66
Palay,..MIMAROPA REGION,454136.00,547817.00,531576.00,483109.00,621852.00,571586.00,575921.00,639032.00,593285.00,603563.00,647312.00,508694.00,709481.00,758719.00,745969.00,799627.00,818182.00,799768.00,785309.00,829867.00,877180.00,863215.00,930674.00,857532.00,981669.00,1030606.00,1033942.00,1081878.00,1081833.00,1080408.00,1159830.00,1230988.37,1195197.00,1183149.32,1225283.21,1231812.68,1210384.05
Palay,....Marinduque,11257.00,11961.00,12251.00,17148.00,18254.00,15427.00,18192.00,18486.00,17085.00,24814.00,14284.00,19149.00,37725.00,37888.00,42700.00,43180.00,40172.00,35110.00,30262.00,30944.00,29413.00,25336.00,24721.00,21453.00,24654.00,17757.00,17364.00,15069.00,15889.00,16038.00,21932.00,17101.00,11526.00,18273.00,18494.00,18918.85,17819.00
Palay,....Occidental Mindoro,230082.00,261315.00,224359.00,174639.00,227573.00,222332.00,231121.00,205897.00,201393.00,207130.00,242171.00,168282.00,231900.00,236355.00,211555.00,248570.00,269890.00,238041.00,226495.00,216779.00,257840.00,319143.00,321765.00,290962.00,322645.00,334114.00,335839.00,346525.00,362514.00,357837.00,339989.00,374223.00,347849.00,310004.00,366951.70,362298.22,327746.49
Palay,....Oriental Mindoro,128544.00,182375.00,197876.00,192904.00,246911.00,218267.00,212798.00,186599.00,200069.00,203954.00,218490.00,204485.00,247676.00,254167.00,256834.00,265549.00,254972.00,255747.00,289782.00,320359.00,318858.00,284454.00,307738.00,308469.00,360400.00,375206.00,391866.00,413508.00,392213.00,383608.00,420465.00,435709.37,420002.00,430967.32,394864.51,378504.66,365448.67
Palay,....Palawan,66499.00,69934.00,79102.00,71750.00,102374.00,89608.00,88459.00,204440.00,149679.00,139565.00,142200.00,98257.00,158597.00,198325.00,203774.00,210568.00,216214.00,236785.00,207528.00,228095.00,243883.00,205092.00,244175.00,204807.00,238488.00,267663.00,256394.00,274150.00,280240.00,291681.00,341265.00,367032.00,381704.00,387172.00,408272.00,433395.46,461925.40
Palay,....Romblon,17754.00,22232.00,17988.00,26668.00,26740.00,25952.00,25351.00,23610.00,25059.00,28100.00,30167.00,18521.00,33583.00,31984.00,31106.00,31760.00,36934.00,34085.00,31242.00,33690.00,27186.00,29190.00,32275.00,31841.00,35482.00,35866.00,32479.00,32626.00,30977.00,31244.00,36179.00,36923.00,34116.00,36733.00,36701.00,38695.49,37444.49
Palay,..REGION V (BICOL REGION),581404.00,708817.00,668007.00,686998.00,744223.00,715459.00,665129.00,689570.00,598618.00,660966.00,687890.00,493493.00,720247.00,672293.00,697287.00,756808.00,761048.00,943214.00,981918.00,888772.00,991430.00,997581.00,1045501.00,1081078.00,1070917.00,1173307.00,1243241.40,1258147.00,1264448.00,1275492.00,1335077.00,1350438.32,1192903.96,1294991.12,1346952.44,1329004.41,1302648.98
Palay,....Albay,99754.00,119629.00,110556.00,129406.00,149160.00,156786.00,175809.00,157146.00,131510.00,155327.00,144350.00,107274.00,142425.00,124062.00,104001.00,131895.00,131882.00,155700.00,179467.00,156892.00,148036.00,161391.00,170564.00,182472.00,201037.00,206808.00,220980.00,225700.00,204345.00,201811.00,204824.00,206019.46,188012.79,216006.95,224533.00,226230.80,232649.25
Palay,....Camarines Norte,44947.00,52577.00,47002.00,47032.00,55724.00,52838.00,35310.00,45076.00,36351.00,41117.00,36283.00,29839.00,51344.00,41256.00,46965.00,43389.00,40060.00,59307.00,66379.00,63723.00,64082.00,67721.00,71087.00,72815.00,77188.00,85526.00,92411.00,95784.00,89615.00,89909.00,107099.00,110849.98,93457.92,108512.07,116292.63,109792.43,108390.12
Palay,....Camarines Sur,268468.00,333193.00,317261.00,323503.00,337174.00,322892.00,273305.00,293145.00,268944.00,287374.00,319683.00,220045.00,347061.00,330966.00,347725.00,386160.00,381039.00,501343.00,524625.00,464277.00,560809.00,526936.00,535090.00,568327.00,520322.00,563749.00,601479.80,583797.00,658548.00,666413.00,683385.00,689722.00,612987.00,650406.00,683203.00,665430.00,643401.00
Palay,....Catanduanes,14515.00,24685.00,21826.00,21737.00,27862.00,24679.00,17929.00,21827.00,20861.00,27420.00,21014.00,10734.00,28016.00,22001.00,24809.00,22533.00,29958.00,28720.00,29932.00,35318.00,33610.00,36610.00,38060.00,34556.00,43947.00,32330.00,29488.00,35452.00,35741.00,34065.00,37789.00,39944.88,27330.68,27019.09,23376.41,24809.46,17793.27
Palay,....Masbate,58948.00,72630.00,66892.00,48102.00,53140.00,49870.00,47450.00,67960.00,60454.00,63921.00,66953.00,55643.00,67504.00,72831.00,74067.00,68239.00,83369.00,93029.00,81112.00,77541.00,75518.00,97939.00,109042.00,112609.00,113441.00,154463.00,168653.00,180173.00,147754.00,149871.00,158832.00,156032.00,147659.57,148010.01,148754.00,151253.00,155154.00
Palay,....Sorsogon,94772.00,106103.00,104470.00,117218.00,121163.00,108394.00,115326.00,104416.00,80498.00,85807.00,99607.00,69958.00,83897.00,81177.00,99720.00,104592.00,94740.00,105115.00,100403.00,91021.00,109375.00,106984.00,121658.00,110299.00,114982.00,130431.00,130229.60,137241.00,128445.00,133423.00,143148.00,147870.00,123456.00,145037.00,150793.40,151488.71,145261.34
Palay,..REGION VI (WESTERN VISAYAS),1178375.00,1121945.00,1081546.00,886732.00,1183887.00,1238703.00,1484934.00,1442269.00,1291275.00,1474430.00,1327668.00,1044462.00,1531728.00,1608337.00,1589531.00,1732602.00,1767530.00,1935869.00,1800820.00,1987224.00,1992426.00,2117598.00,2205071.00,1789693.00,2245038.00,2292201.00,2090790.00,2052574.00,2056824.00,1896230.00,2230836.72,2232292.75,2077790.03,2295579.75,2356902.44,2321593.72,2263158.33
Palay,....Aklan,76271.00,79229.00,85155.00,76125.00,83668.00,90450.00,132067.00,115844.00,112178.00,110653.00,111996.00,99224.00,125524.00,123929.00,123866.00,126468.00,131480.00,156325.00,150432.00,136155.00,141574.00,129318.00,140357.00,103625.00,126657.00,129645.00,135293.00,104712.00,106329.00,101471.00,121797.00,106607.80,94162.58,122307.19,106547.11,111580.62,84938.98
Palay,....Antique,97195.00,86927.00,92200.00,85164.00,135512.00,128318.00,128525.00,104538.00,112604.00,182452.00,177361.00,177193.00,179224.00,211368.00,200514.00,221969.00,217054.00,214088.00,232336.00,230154.00,243177.00,244354.00,250913.00,211466.00,287036.00,273468.00,286622.00,280084.00,285203.00,274929.00,293098.00,307458.00,312707.57,265531.00,302746.00,313061.73,248819.65
Palay,....Capiz,225841.00,213486.00,191252.00,175336.00,211651.00,215788.00,244930.00,223629.00,239821.00,238856.00,212914.00,208949.00,248950.00,258486.00,259428.00,281597.00,297521.00,305716.00,309209.00,303879.00,315433.00,318134.00,373982.00,335608.00,349094.00,360914.00,322388.00,291158.00,256823.00,274900.00,348477.00,347129.00,301768.00,363272.69,383809.56,354849.66,323280.58
Palay,....Guimaras,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34821.00,26776.00,35616.00,35830.00,34691.00,41176.00,44674.00,41801.00,40806.00,41358.00,46402.00,46876.00,48484.00,43754.00,50979.00,52724.00,42716.00,51413.00,55425.00,46066.00,51202.00,40154.00,42649.00,55322.00,45728.00,47726.00,64991.00,61276.75,64978.84,54000.00
Palay,....Iloilo,534167.00,504763.00,469288.00,352413.00,500749.00,560220.00,708931.00,669467.00,553488.00,608926.00,551058.00,341192.00,601585.00,599293.00,635914.00,736123.00,729368.00,829027.00,670300.00,854646.00,823376.00,942286.00,944050.00,659970.00,959239.00,995402.00,822452.00,846636.00,877076.00,749699.00,937268.72,939331.95,837836.88,993789.87,1018989.02,1016587.87,1066065.52
Palay,....Negros Occidental,244901.00,237540.00,243651.00,197694.00,252307.00,243927.00,270481.00,293970.00,246408.00,297927.00,238509.00,183213.00,335269.00,370587.00,328008.00,325639.00,350749.00,384311.00,391667.00,413906.00,425112.00,432527.00,443045.00,436308.00,471599.00,477347.00,477969.00,478782.00,491239.00,452582.00,474874.00,486038.00,483589.00,485688.00,483534.00,460535.00,486053.60
Palay,..REGION VII (CENTRAL VISAYAS),149835.00,150643.00,230924.00,182940.00,207700.00,163693.00,198719.00,208451.00,230759.00,232067.00,236900.00,116443.00,208364.00,215192.00,225192.00,218724.00,193287.00,228896.00,208838.00,245131.00,251802.00,311801.00,276818.00,270449.00,322862.00,327120.00,347697.00,338822.00,336194.00,231982.00,325209.00,309459.00,223086.50,260523.78,289502.00,242394.57,293073.38
Palay,....Bohol,85440.00,73417.00,114210.00,71009.00,93570.00,60839.00,123408.00,140244.00,152360.00,158768.00,161959.00,60633.00,139362.00,142871.00,148945.00,144781.00,116286.00,150526.00,132631.00,162697.00,163441.00,218701.00,195445.00,191174.00,231569.00,237836.00,256405.00,255053.00,252816.00,161003.00,238728.00,225548.00,153405.00,188832.78,210584.00,170086.85,212718.61
Palay,....Cebu,9335.00,9724.00,12795.00,11554.00,9799.00,5451.00,5687.00,9340.00,11302.00,11991.00,13433.00,7116.00,13869.00,13292.00,14813.00,15599.00,14190.00,14907.00,13302.00,13423.00,14769.00,16141.00,15998.00,15315.00,16938.00,16935.00,17660.00,16765.00,14291.00,13546.00,14514.00,13898.00,11409.00,11206.00,12199.00,11898.30,12046.18
Palay,....Negros Oriental,53901.00,67113.00,100124.00,98500.00,103098.00,96476.00,68741.00,57826.00,65831.00,59710.00,59906.00,47627.00,53069.00,56714.00,58984.00,55495.00,60160.00,60595.00,60306.00,66452.00,71268.00,74180.00,62436.00,61053.00,71220.00,69663.00,71173.00,64612.00,66393.00,55744.00,69305.00,67590.00,56884.50,58983.00,64176.00,56925.80,65855.67
Palay,....Siquijor,1159.00,389.00,3795.00,1877.00,1233.00,927.00,883.00,1041.00,1266.00,1598.00,1602.00,1067.00,2064.00,2315.00,2450.00,2849.00,2651.00,2868.00,2599.00,2559.00,2324.00,2779.00,2939.00,2907.00,3135.00,2686.00,2459.00,2392.00,2694.00,1689.00,2662.00,2423.00,1388.00,1502.00,2543.00,3483.62,2452.92
Palay,..REGION VIII (EASTERN VISAYAS),379343.00,407077.00,379403.00,337459.00,382954.00,362085.00,388893.00,397780.00,446057.00,435790.00,457260.00,362008.00,506397.00,517558.00,565895.00,622435.00,674096.00,721932.00,788857.00,830287.00,948827.00,1030621.00,952220.00,964145.00,984017.00,994972.00,989794.00,982596.00,955709.00,954844.36,945565.00,946876.96,900245.55,927095.25,864373.13,840344.65,844372.47
Palay,....Biliran,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42086.00,50220.00,48368.00,50016.00,43358.00,51153.00,53375.00,54415.00,55672.00,56256.00,57885.00,64538.00,72930.00,71817.00,70798.00,69120.00,67033.00,66604.00,66543.00,66309.00,66343.00,66567.00,67881.36,65211.00,55728.00,53690.00,53609.00,53222.50,52579.26,51710.02
Palay,....Eastern Samar,16435.00,21376.00,17519.00,21499.00,23814.00,22309.00,19251.00,22866.00,26130.00,25059.00,23566.00,14047.00,24756.00,26796.00,27524.00,28216.00,29785.00,31875.00,34722.00,39529.00,43734.00,47153.00,46291.00,51795.00,53632.00,59413.00,63225.00,63605.00,62388.00,61902.00,59754.00,59588.00,57513.72,50196.50,53243.58,55252.12,54266.29
Palay,....Leyte,253411.00,247215.00,235048.00,202080.00,225162.00,215015.00,239929.00,182568.00,214656.00,209328.00,222499.00,188874.00,272150.00,282160.00,306713.00,346821.00,387326.00,417048.00,458641.00,479264.00,582840.00,605833.00,530473.00,522901.00,526762.00,521115.00,502746.00,502146.00,489405.00,473580.00,481487.00,486877.96,463785.86,462010.30,432309.75,434479.29,442248.56
Palay,....Northern Samar,37298.00,47941.00,31429.00,41926.00,57907.00,62708.00,45136.00,51721.00,51903.00,45881.00,49222.00,45748.00,51817.00,48882.00,58493.00,68227.00,71254.00,77787.00,80293.00,82478.00,76766.00,101007.00,89377.00,98381.00,106048.00,111206.00,116713.00,117965.00,117240.00,111086.00,112585.00,104971.00,94213.27,113622.75,82833.00,80943.64,80590.27
Palay,....Samar,37542.00,57533.00,52725.00,41714.00,43421.00,30973.00,45777.00,56139.00,56579.00,58272.00,60063.00,31416.00,55889.00,55712.00,57405.00,62913.00,65097.00,66347.00,68212.00,71673.00,86768.00,105896.00,114168.00,124084.00,138318.00,140529.00,145930.00,139965.00,127528.00,149307.00,151192.00,151567.00,150502.70,166143.10,164250.31,154850.61,153454.74
Palay,....Southern Leyte,34657.00,33012.00,42682.00,30240.00,32650.00,31080.00,38800.00,42400.00,46569.00,48882.00,51894.00,38565.00,50632.00,50633.00,61345.00,60586.00,64378.00,70990.00,82451.00,84413.00,86902.00,99934.00,102791.00,99951.00,92653.00,96166.00,94871.00,92572.00,92581.00,91088.00,75336.00,88145.00,80540.00,81513.60,78514.00,62239.73,62102.58
Palay,..REGION IX (ZAMBOANGA PENINSULA),306577.00,337773.00,361003.00,342690.00,379652.00,304388.00,370187.00,323455.00,342836.00,377331.00,355316.00,261285.00,322164.00,443598.00,431080.00,505117.00,524077.00,546925.00,562557.00,514201.00,553759.00,551310.00,565764.00,552645.00,622203.00,618831.00,639113.00,656777.00,661775.00,581110.90,700590.00,728673.43,677436.78,645407.04,667354.85,651696.53,703864.31
Palay,....Zamboanga del Norte,47132.00,51036.00,70395.00,72584.00,79845.00,38289.00,50120.00,53932.00,60977.00,73068.00,76812.00,58697.00,59870.00,70803.00,69444.00,80270.00,75759.00,81332.00,88256.00,86824.00,86990.00,93928.00,90352.00,85061.00,98184.00,96868.00,116808.00,114392.00,125065.00,85815.00,104810.00,132312.36,105398.98,108395.40,119409.00,114490.97,110914.49
Palay,....Zamboanga del Sur,247155.00,267267.00,264865.00,241088.00,266450.00,242722.00,295113.00,242588.00,253033.00,271146.00,253035.00,185360.00,235109.00,344162.00,333675.00,272825.00,293030.00,298376.00,306196.00,252803.00,285723.00,282017.00,286219.00,301386.00,328079.00,323170.00,321487.00,341395.00,333192.00,309530.53,380052.00,382022.13,367792.16,334184.84,368938.65,355680.95,413850.60
