"Growth Rates of the Provincial Value of Production in Agriculture and Fisheries"

"Type of Valuation","Province","Subsector","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","Aklan","Poultry",14.1,1.8,10.0,28.2
"Current Prices","Aklan","Fisheries",14.7,-11.0,-12.4,2.6
"Current Prices","Aklan","Agriculture and Fisheries",-3.6,-1.6,2.7,17.9
"Current Prices","Antique","Crops",-11.3,-9.0,12.0,14.8
"Current Prices","Antique","Livestock",-14.0,1.4,7.2,17.2
"Current Prices","Antique","Poultry",-7.4,4.2,0.7,23.5
"Current Prices","Antique","Fisheries",-0.1,2.9,9.8,124.5
"Current Prices","Antique","Agriculture and Fisheries",-9.8,-4.4,10.0,36.2
"Current Prices","Capiz","Crops",-19.8,11.6,6.3,13.6
"Current Prices","Capiz","Livestock",-9.7,10.2,12.5,15.7
"Current Prices","Capiz","Poultry",-4.8,-0.9,0.5,53.3
"Current Prices","Capiz","Fisheries",0.6,-7.0,49.1,3.7
"Current Prices","Capiz","Agriculture and Fisheries",-10.4,3.2,21.4,12.4
"Current Prices","Guimaras","Crops",3.4,15.0,17.8,17.0
"Current Prices","Guimaras","Livestock",-20.2,-0.7,19.1,14.6
"Current Prices","Guimaras","Poultry",-5.4,-2.6,0.7,22.5
"Current Prices","Guimaras","Fisheries",11.7,-4.7,0.5,-11.0
"Current Prices","Guimaras","Agriculture and Fisheries",-0.1,7.1,13.3,12.5
"Current Prices","Iloilo","Crops",-15.6,11.3,3.3,14.7
"Current Prices","Iloilo","Livestock",-10.3,-1.6,25.8,16.6
"Current Prices","Iloilo","Poultry",5.7,4.0,5.9,35.1
"Current Prices","Iloilo","Fisheries",-3.9,8.6,3.8,-5.5
"Current Prices","Iloilo","Agriculture and Fisheries",-10.1,7.4,7.6,15.0
"Current Prices","Negros Occidental","Crops",-10.0,7.2,8.3,29.5
"Current Prices","Negros Occidental","Livestock",-12.5,4.5,25.6,9.1
"Current Prices","Negros Occidental","Poultry",-1.0,4.2,2.5,22.5
"Current Prices","Negros Occidental","Fisheries",4.3,-21.0,12.5,-6.3
"Current Prices","Negros Occidental","Agriculture and Fisheries",-7.5,1.9,10.5,21.2
"Current Prices","Bohol","Crops",-26.0,10.1,3.3,-28.9
"Current Prices","Bohol","Livestock",-10.9,-8.6,18.5,16.9
"Current Prices","Bohol","Poultry",-6.7,-22.1,21.8,43.7
"Current Prices","Bohol","Fisheries",26.4,-5.7,9.5,-24.7
"Current Prices","Bohol","Agriculture and Fisheries",-11.4,-4.8,12.0,-0.7
"Current Prices","Cebu","Crops",-15.4,5.2,7.0,3.1
"Current Prices","Cebu","Livestock",-2.1,-6.4,43.1,27.3
"Current Prices","Cebu","Poultry",-1.9,5.6,20.6,9.2
"Current Prices","Cebu","Fisheries",11.9,21.5,12.2,-53.4
"Current Prices","Cebu","Agriculture and Fisheries",-3.0,4.0,23.3,3.4
"Current Prices","Negros Oriental","Crops",-12.7,8.1,16.7,13.3
"Current Prices","Negros Oriental","Livestock",0.6,-1.9,27.6,43.2
"Current Prices","Negros Oriental","Poultry",-4.4,1.1,-5.3,45.1
"Current Prices","Negros Oriental","Fisheries",-3.7,54.1,10.6,3.6
"Current Prices","Negros Oriental","Agriculture and Fisheries",-7.4,7.2,17.3,24.4
"Current Prices","Siquijor","Crops",-19.1,21.0,9.1,4.6
"Current Prices","Siquijor","Livestock",3.0,-4.3,29.6,15.4
"Current Prices","Siquijor","Poultry",-10.1,9.4,10.5,21.8
"Current Prices","Siquijor","Fisheries",25.5,11.4,-15.8,12.5
"Current Prices","Siquijor","Agriculture and Fisheries",-0.8,8.0,9.1,12.0
"Current Prices","Biliran","Crops",-15.2,0.1,3.7,9.7
"Current Prices","Biliran","Livestock",-1.2,-13.2,24.2,9.1
"Current Prices","Biliran","Poultry",-14.2,17.3,-17.3,12.7
"Current Prices","Biliran","Fisheries",34.0,2.1,16.9,-18.8
"Current Prices","Biliran","Agriculture and Fisheries",-3.1,-0.3,9.1,0.3
"Current Prices","Eastern Samar","Crops",-17.7,-5.7,3.1,19.3
"Current Prices","Eastern Samar","Livestock",-4.5,-17.2,4.6,55.0
"Current Prices","Eastern Samar","Poultry",-24.5,16.4,-19.0,106.2
"Current Prices","Eastern Samar","Fisheries",7.7,-9.9,26.1,-9.5
"Current Prices","Eastern Samar","Agriculture and Fisheries",-7.0,-8.6,12.8,9.2
"Current Prices","Leyte","Crops",-12.5,-0.7,-4.7,9.1
"Current Prices","Leyte","Livestock",-4.3,7.2,18.5,-8.6
"Current Prices","Leyte","Poultry",-8.9,40.7,-4.5,48.0
"Current Prices","Leyte","Fisheries",63.7,-15.2,31.8,1.2
"Current Prices","Leyte","Agriculture and Fisheries",-5.4,6.2,4.2,10.4
"Current Prices","Northern Samar","Crops",-16.5,11.3,-8.4,13.1
"Current Prices","Northern Samar","Livestock",4.8,-13.8,-2.3,48.6
"Current Prices","Northern Samar","Poultry",-19.3,51.2,25.0,17.1
"Current Prices","Northern Samar","Fisheries",2.7,16.5,28.6,-10.8
"Current Prices","Northern Samar","Agriculture and Fisheries",-9.7,9.6,3.0,9.9
"Current Prices","Samar","Crops",-11.6,11.4,6.0,19.1
"Current Prices","Samar","Livestock",1.5,4.3,30.1,3.0
"Current Prices","Samar","Poultry",-26.8,51.1,-22.0,165.1
"Current Prices","Samar","Fisheries",19.9,-13.0,20.2,-10.7
"Current Prices","Samar","Agriculture and Fisheries",-2.8,4.0,10.6,13.2
"Current Prices","Southern Leyte","Crops",-13.6,6.0,1.5,-20.4
"Current Prices","Southern Leyte","Livestock",-2.5,-0.8,23.0,-5.0
"Current Prices","Southern Leyte","Poultry",0.1,58.7,6.0,-19.9
"Current Prices","Southern Leyte","Fisheries",30.7,34.2,10.3,65.3
"Current Prices","Southern Leyte","Agriculture and Fisheries",-7.4,11.2,5.9,-4.1
"Current Prices","Zamboanga del Norte","Crops",-10.9,3.1,20.4,7.2
"Current Prices","Zamboanga del Norte","Livestock",-4.3,0.8,27.1,29.4
"Current Prices","Zamboanga del Norte","Poultry",9.5,4.3,17.3,31.3
"Current Prices","Zamboanga del Norte","Fisheries",-2.5,9.2,23.7,72.1
"Current Prices","Zamboanga del Norte","Agriculture and Fisheries",-7.5,3.5,21.9,22.1
"Current Prices","Zamboanga del Sur*","Crops",-14.6,-1.2,11.5,10.4
"Current Prices","Zamboanga del Sur*","Livestock",-8.6,-5.7,15.8,33.5
"Current Prices","Zamboanga del Sur*","Poultry",16.7,0.0,12.8,21.3
"Current Prices","Zamboanga del Sur*","Fisheries",6.8,2.6,4.0,28.6
"Current Prices","Zamboanga del Sur*","Agriculture and Fisheries",-4.2,-0.3,9.4,20.7
"Current Prices","Zamboanga Sibugay","Crops",-8.7,-1.9,14.3,10.4
"Current Prices","Zamboanga Sibugay","Livestock",-12.4,-0.3,40.8,32.1
"Current Prices","Zamboanga Sibugay","Poultry",-10.0,-2.4,8.7,27.7
"Current Prices","Zamboanga Sibugay","Fisheries",9.6,-6.0,19.7,8.5
"Current Prices","Zamboanga Sibugay","Agriculture and Fisheries",-6.0,-2.5,19.2,14.2
"Current Prices","Bukidnon","Crops",2.7,7.1,15.7,8.0
"Current Prices","Bukidnon","Livestock",4.1,1.2,50.1,20.7
"Current Prices","Bukidnon","Poultry",5.9,5.1,20.3,29.8
"Current Prices","Bukidnon","Fisheries",19.2,-12.3,-66.4,-0.4
"Current Prices","Bukidnon","Agriculture and Fisheries",3.3,5.9,21.1,12.5
"Current Prices","Camiguin","Crops",-13.8,9.4,29.0,2.5
"Current Prices","Camiguin","Livestock",13.4,2.6,38.2,3.5
"Current Prices","Camiguin","Poultry",5.2,20.5,40.8,0.6
"Current Prices","Camiguin","Fisheries",5.3,-17.3,50.4,37.5
"Current Prices","Camiguin","Agriculture and Fisheries",-2.4,2.9,35.8,8.6
"Current Prices","Lanao del Norte","Crops",-5.8,9.7,18.8,8.4
"Current Prices","Lanao del Norte","Livestock",6.1,-3.9,23.9,30.2
"Current Prices","Lanao del Norte","Poultry",9.5,10.2,21.4,21.2
"Current Prices","Lanao del Norte","Fisheries",4.9,-20.6,1.4,-14.4
"Current Prices","Lanao del Norte","Agriculture and Fisheries",-0.4,-3.5,13.7,4.4
"Current Prices","Misamis Occidental","Crops",-13.6,10.1,23.0,3.3
"Current Prices","Misamis Occidental","Livestock",0.2,-2.6,31.6,19.8
"Current Prices","Misamis Occidental","Poultry",-0.6,4.3,39.7,17.4
"Current Prices","Misamis Occidental","Fisheries",0.5,0.3,-3.0,-22.5
"Current Prices","Misamis Occidental","Agriculture and Fisheries",-6.5,4.5,20.7,3.9
"Current Prices","Misamis Oriental","Crops",-3.3,14.5,18.8,4.9
"Current Prices","Misamis Oriental","Livestock",-4.4,-8.7,36.7,17.1
"Current Prices","Misamis Oriental","Poultry",0.3,-2.9,10.2,20.0
"Current Prices","Misamis Oriental","Fisheries",4.1,-41.7,5.7,26.6
"Current Prices","Misamis Oriental","Agriculture and Fisheries",-2.0,1.2,18.9,12.3
"Current Prices","Davao de Oro","Crops",15.2,23.1,-26.1,-4.1
"Current Prices","Davao de Oro","Livestock",-1.6,8.1,33.8,13.4
"Current Prices","Davao de Oro","Poultry",-10.6,6.8,16.4,23.3
"Current Prices","Davao de Oro","Fisheries",2.7,8.7,28.7,-8.6
"Current Prices","Davao de Oro","Agriculture and Fisheries",12.8,21.4,-20.7,-1.2
"Current Prices","Davao del Norte","Crops",16.0,20.0,-30.8,-2.5
"Current Prices","Davao del Norte","Livestock",-0.2,1.5,20.3,23.6
"Current Prices","Davao del Norte","Poultry",19.9,4.2,15.4,27.1
"Current Prices","Davao del Norte","Fisheries",-13.1,23.4,41.2,9.0
"Current Prices","Davao del Norte","Agriculture and Fisheries",14.2,17.9,-24.8,2.2
"Current Prices","Davao del Sur*","Crops",4.2,23.6,-16.3,-0.7
"Current Prices","Davao del Sur*","Livestock",-3.7,4.1,32.7,18.3
"Current Prices","Davao del Sur*","Poultry",10.7,-0.2,1.5,14.5
"Current Prices","Davao del Sur*","Fisheries",2.3,4.6,20.6,47.1
"Current Prices","Davao del Sur*","Agriculture and Fisheries",3.4,14.4,-2.7,8.7
"Current Prices","Davao Occidental","Crops",-3.0,30.0,-7.7,-2.4
"Current Prices","Davao Occidental","Livestock",1.2,-39.2,7.3,14.3
"Current Prices","Davao Occidental","Poultry",-0.7,-27.5,53.0,11.1
"Current Prices","Davao Occidental","Fisheries",0.6,-9.0,45.1,37.4
"Current Prices","Davao Occidental","Agriculture and Fisheries",-2.0,15.6,1.4,6.8
"Current Prices","Davao Oriental","Crops",-4.5,22.0,0.0,-3.4
"Current Prices","Davao Oriental","Livestock",-12.0,-1.6,34.7,9.7
"Current Prices","Davao Oriental","Poultry",-17.4,1.2,15.1,18.4
"Current Prices","Davao Oriental","Fisheries",12.5,-23.8,-1.5,330.6
"Current Prices","Davao Oriental","Agriculture and Fisheries",-4.7,12.1,5.4,24.3
"Current Prices","Cotabato","Crops",-6.3,6.3,-3.7,1.6
"Current Prices","Cotabato","Livestock",-2.8,-2.6,29.4,-1.8
"Current Prices","Cotabato","Poultry",-0.6,-5.6,19.2,2.7
"Current Prices","Cotabato","Fisheries",-10.3,-21.4,12.2,18.4
"Current Prices","Cotabato","Agriculture and Fisheries",-5.9,4.2,0.8,1.5
"Current Prices","Sarangani","Crops",-2.3,15.9,3.7,0.5
"Current Prices","Sarangani","Livestock",-5.9,0.6,15.7,-4.0
"Current Prices","Sarangani","Poultry",0.1,-15.3,4.1,28.1
"Current Prices","Sarangani","Fisheries",58.8,-9.6,34.3,91.3
"Current Prices","Sarangani","Agriculture and Fisheries",4.4,8.6,9.2,17.2
"Current Prices","South Cotabato","Crops",-7.1,1.0,1.7,1.8
"Current Prices","South Cotabato","Livestock",-2.2,2.8,41.2,15.7
"Current Prices","South Cotabato","Poultry",6.6,7.4,25.2,24.9
"Current Prices","South Cotabato","Fisheries",6.8,-13.2,-0.5,14.0
"Current Prices","South Cotabato","Agriculture and Fisheries",0.1,-3.5,9.5,11.7
"Current Prices","Sultan Kudarat","Crops",-15.8,5.9,5.8,9.6
"Current Prices","Sultan Kudarat","Livestock",-9.0,5.5,28.0,-9.3
"Current Prices","Sultan Kudarat","Poultry",-9.7,2.1,5.3,0.2
"Current Prices","Sultan Kudarat","Fisheries",-28.1,-29.2,123.4,15.4
"Current Prices","Sultan Kudarat","Agriculture and Fisheries",-15.4,4.5,11.2,7.0
"Current Prices","Agusan del Norte","Crops",-7.9,12.7,7.2,5.5
"Current Prices","Agusan del Norte","Livestock",-3.4,-3.2,13.4,13.2
"Current Prices","Agusan del Norte","Poultry",-1.3,4.8,17.6,45.1
"Current Prices","Agusan del Norte","Fisheries",6.7,-9.6,22.3,41.2
"Current Prices","Agusan del Norte","Agriculture and Fisheries",-4.3,5.9,11.7,19.0
"Current Prices","Agusan del Sur","Crops",-13.7,21.9,0.1,9.7
"Current Prices","Agusan del Sur","Livestock",-0.3,-9.2,9.5,33.0
"Current Prices","Agusan del Sur","Poultry",-5.2,3.6,9.5,-0.5
"Current Prices","Agusan del Sur","Fisheries",1.1,16.1,-10.6,7.5
"Current Prices","Agusan del Sur","Agriculture and Fisheries",-11.6,16.6,1.5,11.8
"Current Prices","Dinagat Islands","Crops",-28.2,20.4,10.3,-24.4
"Current Prices","Dinagat Islands","Livestock",8.3,3.4,20.5,42.8
"Current Prices","Dinagat Islands","Poultry",1.6,-3.0,12.2,-16.6
