Crop,Geolocation,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual
Abaca (dried raw fiber),..REGION VIII (EASTERN VISAYAS),3809.3,5481.64,9290.94,4579.9,2726.58,7306.48,16597.42,2856.65,3977.72,6834.37,3317.62,2697.26,6014.88,12849.25,2825.97,3856.02,6681.99,3326.67,2743.93,6070.6,12752.59,2516.62,3810.31,6326.93,3311.15,2854.53,6165.68,12492.61,2572.09,3780.17,6352.26,3267.92,3050.89,6318.81,12671.07,2575.98,3728.62,6304.6,3227.52,3017.21,6244.73,12549.33,2625.73,3695.56,6321.29,3275.68,3016.46,6292.15,12613.43,2244.27,3574.54,5818.81,3284.62,3032.95,6317.58,12136.39,2231.9,3551.65,5783.55,3340.24,3043.88,6384.11,12167.66,1645.38,2850.68,4496.06,3025.27,2887.03,5912.29,10408.35,1827.88,2873.06,4700.94,3195.53,2931.56,6127.09,10828.03
Abaca (dried raw fiber),..REGION IX (ZAMBOANGA PENINSULA),128.5,116.75,245.25,151.88,192.41,344.29,589.54,147.5,150.69,298.19,156.13,224.23,380.36,678.55,127.87,155.07,282.94,173.76,220.08,393.84,676.78,129.83,155.79,285.62,125.5,186.04,311.54,597.16,136.52,160.75,297.27,129.62,180.44,310.06,607.32,134.9,160.19,295.09,136.02,178.65,314.68,609.77,147.37,204.81,352.18,162.4,195.05,357.44,709.63,167.11,195.72,362.84,175.77,222.35,398.12,760.96,171.27,213.63,384.9,183.51,219.28,402.79,787.69,181.9,238.71,420.61,182.42,218.46,400.88,821.49,180.33,222.19,402.53,182.19,229.38,411.57,814.1
Abaca (dried raw fiber),..REGION X (NORTHERN MINDANAO),517.94,595.8,1113.74,557.14,573.0,1130.14,2243.88,630.79,926.75,1557.54,722.02,840.8,1562.82,3120.36,640.0,953.75,1593.75,737.5,867.32,1604.82,3198.57,674.8,1009.65,1684.45,753.62,878.86,1632.48,3316.93,715.3,1066.59,1781.89,759.0,876.58,1635.58,3417.47,747.11,1078.95,1826.06,769.91,886.42,1656.33,3482.39,764.69,1062.93,1827.62,786.22,900.69,1686.91,3514.53,786.82,1090.28,1877.1,827.62,1091.57,1919.19,3796.29,878.02,1329.27,2207.29,1407.63,1107.16,2514.79,4722.08,1125.97,1230.06,2356.03,1418.55,1018.46,2437.01,4793.04,1263.67,1348.59,2612.26,1419.46,1314.52,2733.98,5346.24
Abaca (dried raw fiber),..REGION XI (DAVAO REGION),1663.44,2035.95,3699.39,1742.39,1826.85,3569.24,7268.63,1667.38,2061.5,3728.88,2415.83,1982.45,4398.28,8127.16,1745.05,2087.27,3832.32,2432.31,2035.58,4467.89,8300.21,1739.47,1914.06,3653.53,2369.69,2065.68,4435.37,8088.9,1765.87,2007.22,3773.09,2503.32,2162.14,4665.46,8438.55,1792.48,2049.15,3841.63,2579.75,2166.51,4746.26,8587.89,1757.93,2113.91,3871.84,2865.61,2266.53,5132.14,9003.98,1801.6,2080.81,3882.41,2670.88,2317.54,4988.43,8870.83,1790.75,2384.07,4174.81,2709.01,2394.34,5103.34,9278.15,1763.95,2430.02,4193.97,2872.25,2358.63,5230.88,9424.84,1724.07,2373.24,4097.31,2875.92,2542.43,5418.36,9515.67
Abaca (dried raw fiber),..REGION XII (SOCCSKSARGEN),221.25,240.81,462.06,208.93,282.66,491.59,953.65,226.6,242.16,468.76,210.27,369.77,580.04,1048.8,232.4,237.26,469.66,211.13,370.65,581.78,1051.44,229.82,228.73,458.55,209.55,359.0,568.55,1027.1,234.33,234.37,468.7,216.97,377.16,594.13,1062.83,244.82,238.64,483.46,229.01,412.67,641.68,1125.14,256.08,246.57,502.65,239.3,423.21,662.51,1165.16,292.4,235.43,527.83,234.1,427.8,661.9,1189.74,287.23,238.82,526.05,272.22,453.51,725.73,1251.78,281.41,231.98,513.39,278.07,432.29,710.36,1223.74,309.04,209.39,518.43,283.13,370.11,653.24,1171.67
Abaca (dried raw fiber),..REGION XIII (CARAGA),1012.5,1545.56,2558.06,1726.28,1543.55,3269.83,5827.89,1026.35,1571.8,2598.15,1844.73,1588.35,3433.08,6031.23,1082.71,1817.76,2900.47,2470.68,1808.6,4279.28,7179.75,1196.17,2162.1,3358.27,2575.74,1864.56,4440.3,7798.57,1081.67,2216.67,3298.34,2523.47,1821.48,4344.95,7643.28,1066.82,2292.25,3359.06,2289.1,1945.57,4234.67,7593.74,1135.17,2479.88,3615.05,2283.49,1982.91,4266.4,7881.45,1414.67,2570.52,3985.19,2259.92,2009.38,4269.3,8254.49,1436.75,2661.75,4098.5,2300.44,2159.26,4459.7,8558.2,1590.98,2566.05,4157.03,2330.61,1676.41,4007.02,8164.05,1354.47,2445.96,3800.43,2251.97,1976.24,4228.21,8028.64
Abaca (dried raw fiber),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1291.12,1320.2,2611.32,1175.95,1187.17,2363.12,4974.44,1315.83,1341.11,2656.94,1094.1,1145.9,2240.0,4896.94,1241.9,1421.5,2663.4,1099.45,1140.45,2239.9,4903.3,1231.03,1407.2,2638.23,1083.02,1134.99,2218.01,4856.24,1161.49,1342.95,2504.44,1072.09,1147.39,2219.48,4723.92,1190.26,1378.15,2568.41,1076.35,1154.22,2230.57,4798.98,1166.82,1412.51,2579.33,1087.37,1161.13,2248.5,4827.83,1194.58,1410.55,2605.13,1092.0,1163.94,2255.94,4861.07,1205.36,1420.21,2625.57,1097.32,1167.09,2264.41,4889.98,1205.86,1419.64,2625.5,1097.16,1168.43,2265.59,4891.09,1194.02,1422.2,2616.22,779.85,1230.64,2010.49,4626.71
Coconut (w/ husk),PHILIPPINES,3580436.86,3600162.08,7180598.95,4161975.53,4011759.71,8173735.24,15354334.19,3337796.52,3433514.44,6771310.96,3941077.77,3983909.63,7924987.4,14696298.35,3353863.15,3427899.84,6781762.99,3980513.62,3972912.38,7953426.0,14735188.98,3198055.76,3184916.71,6382972.47,3687925.56,3754182.05,7442107.61,13825080.08,3073790.87,3207093.78,6280884.65,3838496.23,3929750.18,7768246.41,14049131.06,3305547.94,3339609.98,6645157.92,4031255.88,4049751.63,8081007.51,14726165.43,3308413.64,3324132.89,6632546.53,4059701.25,4072809.27,8132510.53,14765057.06,3167376.19,3263683.62,6431059.81,4002313.99,4057548.89,8059862.88,14490922.69,3141863.25,3292040.27,6433903.52,4080569.07,4202821.33,8283390.39,14717293.91,3204615.66,3359294.26,6563909.93,4123176.24,4244072.13,8367248.37,14931158.3,3256589.45,3409787.56,6666377.01,4062792.63,4163458.76,8226251.39,14892628.4
Coconut (w/ husk),..CORDILLERA ADMINISTRATIVE REGION (CAR),208.24,347.14,555.38,206.89,316.51,523.4,1078.78,223.05,362.85,585.91,213.47,373.59,587.06,1172.97,237.1,363.76,600.86,198.89,365.32,564.2,1165.07,240.61,364.84,605.45,196.19,235.75,431.94,1037.39,222.29,338.75,561.04,183.37,237.0,420.37,981.41,239.89,353.39,593.28,182.19,166.79,348.97,942.25,219.39,322.5,541.89,189.13,181.52,370.65,912.54,258.39,338.25,596.64,225.48,202.01,427.49,1024.13,266.39,342.93,609.32,237.71,217.61,455.32,1064.64,273.48,371.16,644.64,252.06,236.88,488.94,1133.58,266.54,358.12,624.66,238.55,285.09,523.64,1148.3
Coconut (w/ husk),..REGION I (ILOCOS REGION),10634.19,6595.32,17229.51,10287.2,12965.61,23252.81,40482.32,10826.83,6980.32,17807.15,9754.91,13415.65,23170.56,40977.71,10219.41,6903.18,17122.6,10043.56,12297.74,22341.3,39463.9,10168.58,7182.73,17351.31,10019.2,12787.62,22806.82,40158.12,10016.47,7837.43,17853.9,11495.67,14275.24,25770.91,43624.8,9754.81,8522.62,18277.43,10747.67,13456.77,24204.44,42481.87,10030.17,8232.54,18262.71,10578.58,13780.06,24358.63,42621.35,10057.07,8342.66,18399.73,10990.44,14622.26,25612.7,44012.42,10372.1,8552.32,18924.42,11532.82,13871.69,25404.5,44328.92,10908.22,8885.03,19793.26,12524.93,14908.72,27433.65,47226.9,10579.8,8886.08,19465.88,11864.56,17129.41,28993.97,48459.85
Coconut (w/ husk),..REGION II (CAGAYAN VALLEY),17826.9,18600.04,36426.94,18201.5,16932.26,35133.76,71560.7,18798.56,18675.54,37474.1,18996.63,17901.45,36898.08,74372.18,19278.11,19672.85,38950.96,19911.93,18255.25,38167.18,77118.14,17688.94,19886.69,37575.63,20207.0,19394.7,39601.7,77177.33,15666.01,17633.83,33299.85,18840.53,21654.19,40494.72,73794.57,17290.6,18428.11,35718.71,19405.35,18731.16,38136.51,73855.22,15816.47,18314.28,34130.75,19436.3,19066.92,38503.22,72633.98,17309.88,17217.5,34527.38,22382.07,21807.07,44189.14,78716.52,17541.25,19193.89,36735.14,23151.8,22776.64,45928.44,82663.58,17441.6,20075.31,37516.91,23474.77,23123.55,46598.32,84115.23,18654.94,21433.58,40088.52,23735.86,23550.29,47286.15,87374.67
Coconut (w/ husk),..REGION III (CENTRAL LUZON),38006.7,62427.24,100433.94,27764.09,51162.19,78926.28,179360.22,34388.07,58918.36,93306.43,33121.94,62746.07,95868.01,189174.44,37390.58,60042.74,97433.32,38372.61,31931.88,70304.49,167737.81,13674.98,26010.79,39685.77,35903.86,25165.02,61068.88,100754.65,11068.18,23495.77,34563.95,36974.34,34985.31,71959.65,106523.6,13531.09,23792.64,37323.73,41888.41,28859.47,70747.88,108071.61,13724.09,32653.71,46377.8,41380.02,30643.32,72023.34,118401.14,13867.42,30271.2,44138.62,39749.23,27951.7,67700.93,111839.55,8834.41,24496.74,33331.15,36055.84,31469.27,67525.11,100856.26,10070.87,25502.34,35573.21,34638.45,31266.27,65904.72,101477.93,8618.5,28118.36,36736.86,34927.43,21139.58,56067.0,92803.86
Coconut (w/ husk),..REGION IV-A (CALABARZON),276498.28,285634.01,562132.29,494484.4,378187.04,872671.44,1434803.73,262260.24,263402.94,525663.18,511178.17,343649.64,854827.81,1380490.99,243977.2,249396.2,493373.4,514457.74,371466.65,885924.4,1379297.8,281964.47,328735.89,610700.36,523687.88,383025.75,906713.62,1517413.98,267993.24,329332.72,597325.95,575664.42,376317.64,951982.06,1549308.02,306777.16,339482.87,646260.03,647651.0,385868.31,1033519.31,1679779.34,305786.35,337441.94,643228.29,626085.84,374164.62,1000250.46,1643478.75,209001.32,319284.8,528286.12,611741.54,353038.99,964780.53,1493066.65,201699.39,316686.35,518385.74,630282.07,360914.44,991196.51,1509582.24,203878.63,325309.14,529187.77,645934.28,353775.8,999710.08,1528897.85,208719.82,322295.81,531015.63,658605.88,356822.64,1015428.52,1546444.15
Coconut (w/ husk),..MIMAROPA REGION,113308.93,158252.52,271561.45,132535.21,375037.88,507573.09,779134.54,107136.07,161113.2,268249.27,131643.39,407036.31,538679.7,806928.97,113241.73,170757.8,283999.53,140791.88,393354.71,534146.59,818146.12,101064.04,153837.12,254901.16,128978.81,374868.48,503847.29,758748.45,103164.0,163630.78,266794.78,129880.35,375803.41,505683.76,772478.55,104614.1,171808.03,276422.13,133173.64,381081.95,514255.59,790677.72,108300.98,163736.68,272037.66,135984.37,383098.7,519083.07,791120.73,96784.32,162397.45,259181.78,124203.64,375983.51,500187.15,759368.93,101589.86,163517.03,265106.89,136797.96,401452.5,538250.46,803357.35,112226.22,184574.17,296800.39,168967.67,440154.46,609122.13,905922.52,115602.52,192584.36,308186.88,113619.12,375055.48,488674.6,796861.48
Coconut (w/ husk),..REGION V (BICOL REGION),290187.33,222136.85,512324.18,393444.61,349738.7,743183.31,1255507.49,283369.12,226352.99,509722.11,307357.0,307332.4,614689.4,1124411.51,259257.4,221495.29,480752.69,319329.87,305660.83,624990.7,1105743.39,240029.93,208921.82,448951.75,318347.41,313812.63,632160.04,1081111.78,230018.26,214335.63,444353.89,309900.87,322002.53,631903.4,1076257.29,274158.99,214647.8,488806.79,355187.3,342969.47,698156.77,1186963.56,270799.29,224607.19,495406.48,389780.99,361291.13,751072.12,1246478.6,234109.76,206416.73,440526.48,370527.06,339803.85,710330.92,1150857.4,184911.03,192441.11,377352.14,346384.38,387463.55,733847.93,1111200.07,241100.67,231022.63,472123.3,389621.37,399988.69,789610.06,1261733.36,217514.14,239464.35,456978.49,359232.4,368476.67,727709.07,1184687.56
Coconut (w/ husk),..REGION VI (WESTERN VISAYAS),123924.49,123194.31,247118.8,122947.69,100586.23,223533.91,470652.72,91139.69,84199.07,175338.76,88343.5,96143.67,184487.17,359825.93,96160.62,98650.42,194811.04,100827.57,115249.26,216076.83,410887.86,103378.23,105486.69,208864.92,105998.89,120193.37,226192.26,435057.18,113323.56,114345.31,227668.86,112901.67,127100.8,240002.48,467671.34,117059.71,120053.31,237113.02,118189.88,132951.37,251141.25,488254.27,118923.05,126319.17,245242.22,125516.23,142638.65,268154.88,513397.1,122384.94,129148.26,251533.2,129319.67,140734.05,270053.72,521586.92,133509.88,135390.87,268900.75,137363.57,148419.82,285783.39,554684.14,137364.73,142452.3,279817.03,148148.99,148445.25,296594.24,576411.27,142278.38,145882.91,288161.29,142057.42,149539.8,291597.22,579758.5
Coconut (w/ husk),..REGION VII (CENTRAL VISAYAS),92316.53,125815.78,218132.31,111987.08,128873.13,240860.21,458992.52,92502.46,118858.14,211360.6,110140.68,126609.6,236750.28,448110.88,86792.07,114167.53,200959.6,105853.41,125229.78,231083.19,432042.79,85070.93,101738.91,186809.84,99193.16,117754.73,216947.89,403757.73,91677.4,106059.16,197736.56,108728.18,126717.68,235445.86,433182.42,92695.84,106525.99,199221.83,115240.0,130895.82,246135.82,445357.65,93267.33,101634.5,194901.84,102961.32,124651.11,227612.43,422514.26,84715.38,90182.76,174898.14,95355.7,118289.57,213645.27,388543.41,86161.99,97069.43,183231.42,107089.72,121375.69,228465.41,411696.83,41757.44,69663.2,111420.64,74730.84,113895.61,188626.45,300047.09,69727.42,95347.76,165075.18,105166.72,140043.77,245210.48,410285.66
Coconut (w/ husk),..REGION VIII (EASTERN VISAYAS),394538.22,370593.32,765131.54,565178.98,293275.43,858454.41,1623585.95,248463.74,282712.68,531176.42,383808.98,276937.85,660746.83,1191923.25,242357.0,272130.26,514487.26,372735.72,278644.03,651379.75,1165867.0,220109.0,230782.03,450891.03,344862.95,276912.0,621774.96,1072665.98,221545.44,233973.46,455518.9,351306.9,280741.07,632047.97,1087566.87,217597.28,238868.74,456466.02,359553.92,279927.9,639481.82,1095947.84,225635.84,241694.52,467330.36,357768.36,298703.38,656471.74,1123802.1,223361.94,227705.78,451067.72,343612.68,304969.9,648582.58,1099650.29,217761.22,233329.31,451090.53,353664.22,311020.64,664684.86,1115775.39,219292.02,244389.2,463681.22,344161.15,306824.42,650985.57,1114666.79,240484.61,260114.02,500598.63,351536.9,336941.5,688478.4,1189077.03
Coconut (w/ husk),..REGION IX (ZAMBOANGA PENINSULA),449853.45,442797.59,892651.04,422376.77,428764.0,851140.77,1743791.81,415460.58,401563.54,817024.12,423820.11,418169.97,841990.08,1659014.2,421771.86,418180.46,839952.32,414171.3,427996.98,842168.28,1682120.6,411205.82,376018.14,787223.96,355394.01,387145.11,742539.13,1529763.09,441443.97,430475.52,871919.49,412249.71,416080.36,828330.07,1700249.57,466013.75,426584.53,892598.27,441827.56,437515.17,879342.73,1771941.0,450290.71,424554.18,874844.89,439553.59,432550.51,872104.1,1746948.99,442310.55,411814.58,854125.14,449325.74,442585.57,891911.31,1746036.45,447074.03,416403.45,863477.48,476172.8,461044.71,937217.51,1800694.99,477205.59,417844.7,895050.29,470995.68,479362.34,950358.02,1845408.31,486656.92,437595.28,924252.2,460479.88,462748.22,923228.09,1847480.29
Coconut (w/ husk),..REGION X (NORTHERN MINDANAO),410556.04,436426.42,846982.46,492803.09,476792.14,969595.22,1816577.68,419271.5,440181.32,859452.82,498373.89,480577.98,978951.87,1838404.69,429296.27,441268.59,870564.86,501480.89,479656.39,981137.28,1851702.14,420980.09,414919.35,835899.43,493663.59,472839.54,966503.12,1802402.56,413593.64,412252.03,825845.66,498712.48,482488.01,981200.49,1807046.16,422081.11,423094.43,845175.54,503704.42,490851.53,994555.95,1839731.49,426136.17,421793.71,847929.88,503443.05,484739.42,988182.47,1836112.35,438907.14,435963.22,874870.37,495805.99,488103.44,983909.43,1858779.8,431540.3,436738.98,868279.27,498015.32,498609.65,996624.97,1864904.24,435932.66,441177.51,877110.17,497086.46,497953.31,995039.77,1872149.94,441933.98,452334.19,894268.17,499237.52,495254.13,994491.65,1888759.82
Coconut (w/ husk),..REGION XI (DAVAO REGION),600208.06,570160.03,1170368.09,535164.16,570447.31,1105611.48,2275979.56,582899.43,592438.24,1175337.68,581241.09,575510.78,1156751.86,2332089.54,596539.33,573246.72,1169786.05,557253.01,519148.48,1076401.48,2246187.53,489589.22,477957.31,967546.53,472237.88,454878.67,927116.55,1894663.09,449329.54,466655.1,915984.64,458289.94,512325.29,970615.23,1886599.87,478227.95,474068.41,952296.36,463500.93,516761.94,980262.87,1932559.23,478193.07,453672.36,931865.43,466991.31,533098.72,1000090.03,1931955.46,487292.46,453063.46,940355.92,481516.17,540824.65,1022340.81,1962696.74,497622.81,455448.53,953071.33,479342.78,550827.52,1030170.29,1983241.63,503806.55,460011.52,963818.07,483246.69,565360.4,1048607.09,2012425.16,487104.3,461065.98,948170.29,487402.5,552212.81,1039615.31,1987785.6
Coconut (w/ husk),..REGION XII (SOCCSKSARGEN),257151.96,261998.55,519150.51,260863.9,260595.62,521459.52,1040610.03,262366.95,268166.31,530533.25,268360.78,272812.78,541173.56,1071706.81,282160.01,273724.89,555884.9,304827.62,299105.55,603933.17,1159818.07,279951.03,254212.77,534163.8,214369.36,209817.71,424187.06,958350.87,204362.13,214118.07,418480.2,256645.96,263036.15,519682.11,938162.31,285909.91,290510.04,576419.95,270336.91,289665.17,560002.08,1136422.03,293292.68,289545.21,582837.89,293465.26,284687.99,578153.25,1160991.14,290320.18,292066.69,582386.87,290203.65,290055.12,580258.77,1162645.64,297792.96,307767.77,605560.73,305270.65,302863.85,608134.5,1213695.23,306799.94,311047.05,617846.99,304396.47,307776.67,612173.14,1230020.14,318356.41,303552.82,621909.23,298139.33,303731.18,601870.51,1223779.74
Coconut (w/ husk),..REGION XIII (CARAGA),189189.91,214129.92,403319.83,216260.82,215336.51,431597.34,834917.16,187554.97,203880.5,391435.47,210691.12,219386.11,430077.23,821512.71,179418.02,199526.33,378944.34,211831.49,213947.01,425778.5,804722.84,189757.11,183031.14,372788.25,191748.85,210935.57,402684.42,775472.67,190826.22,190857.61,381683.82,196524.18,203407.38,399931.56,781615.38,188569.36,195064.14,383633.5,197464.0,213457.68,410921.68,794555.19,187907.32,195011.71,382919.04,196112.23,202852.34,398964.57,781883.61,186184.08,191571.98,377756.06,186913.31,199455.08,386368.39,764124.45,186305.69,194843.14,381148.83,187107.45,188860.23,375967.68,757116.51,163676.37,184845.05,348521.42,169423.49,158776.87,328200.36,676721.78,168471.26,157022.78,325494.04,160632.17,156813.46,317445.63,642939.67
