Type of Expenditure,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023
....Exports of Goods and services,1602677.0,1656262.0,1740471.0,1995870.0,2226821.0,2439698.0,2701750.0,2736354.0,2685292.0,2535546.0,3090053.0,2952647.0,3038020.0,3154534.0,3612662.0,3793934.0,4036261.0,4892870.0,5518573.0,5539739.0,4524306.0,4998628.0,6253255.0,6481808.0
......Exports of Goods,1404197.0,1380125.0,1413004.0,1626697.0,1788188.0,1811522.0,1963317.0,1945262.0,1929936.0,1712358.0,2052323.0,1955259.0,2060382.0,2018343.0,2287941.0,2200984.0,2255146.0,2758686.0,3081897.0,2941577.0,2551888.0,2917951.0,3571499.0,3318729.0
......Exports of Services,198480.0,276137.0,327467.0,369173.0,438633.0,628176.0,738433.0,791092.0,755356.0,823187.0,1037731.0,997388.0,977638.0,1136191.0,1324722.0,1592950.0,1781114.0,2134184.0,2436675.0,2598162.0,1972418.0,2080677.0,2681757.0,3163078.0
....Imports of goods and services,1545917.0,1760469.0,1907247.0,2135734.0,2411646.0,2521687.0,2594298.0,2564792.0,2763170.0,2573096.0,3123386.0,3214885.0,3359646.0,3572683.0,3977060.0,4452862.0,5311929.0,6393529.0,7662209.0,7896717.0,5918045.0,7324125.0,9701756.0,9908114.0
......Imports of goods,1251904.0,1415366.0,1518898.0,1709913.0,1916743.0,2067984.0,2141786.0,2091507.0,2166367.0,1983239.0,2460002.0,2594312.0,2674746.0,2772563.0,3066414.0,3410868.0,4166310.0,5102168.0,6233942.0,6344799.0,4790020.0,6296809.0,8197099.0,7922603.0
......Imports of Services,294013.0,345102.0,388349.0,425821.0,494903.0,453704.0,452511.0,473285.0,596803.0,589857.0,663384.0,620573.0,684900.0,800120.0,910647.0,1041995.0,1145619.0,1291361.0,1428267.0,1551918.0,1128025.0,1027315.0,1504656.0,1985512.0
....Statistical discrepancy,,,,,,,,,,,,,,,,,,,,,,,,
..Gross Domestic Product,3697556.0,4024399.0,4350560.0,4717809.0,5323904.0,5917282.0,6550417.0,7198245.0,8050201.0,8390421.0,9399451.0,10144661.0,11060589.0,12050592.0,13206828.0,13944157.0,15132381.0,16556651.0,18265190.0,19517863.0,17951574.0,19410614.0,22028276.0,24318611.0
..Net Primary Income from the Rest of the World,348601.0,385364.0,414766.0,443997.0,496610.0,577513.0,602492.0,646487.0,754128.0,968972.0,1054599.0,1094896.0,1220547.0,1417074.0,1521990.0,1593553.0,1680553.0,1826528.0,1947159.0,1954197.0,1360427.0,690388.0,1294379.0,2670713.0
Gross National Income,4046157.0,4409763.0,4765326.0,5161806.0,5820514.0,6494795.0,7152910.0,7844732.0,8804329.0,9359393.0,10454049.0,11239557.0,12281136.0,13467666.0,14728818.0,15537710.0,16812934.0,18383179.0,20212349.0,21472060.0,19312001.0,20101002.0,23322655.0,26989325.0
