Region XII (SOCCSKSARGEN) 3/," 12,082 "," 13,298 "," 14,685 "
Cotabato ," 11,784 "," 13,894 "," 15,430 "
Sarangani," 11,139 "," 12,238 "," 13,865 "
South Cotabato," 12,521 "," 12,393 "," 14,361 "
"Sultan Kudarat "," 11,566 "," 12,621 "," 14,572 "
"Region XIII (Caraga)"," 12,346 "," 13,613 "," 14,576 "
"Agusan del Norte"," 11,363 "," 13,860 "," 14,529 "
"Agusan del Sur"," 12,136 "," 13,957 "," 14,347 "
Surigao del Norte," 13,799 "," 13,106 "," 14,716 "
Surigao del Sur," 11,969 "," 13,000 "," 14,273 "
Dinagat Islands," 13,177 "," 14,380 "," 16,780 "
"Bangsamoro Autonomous Region in
Muslim Mindanao (BARMM), 4/"," 13,599 "," 14,126 "," 15,179 "
Basilan," 12,715 "," 13,731 "," 15,187 "
"Lanao del Sur"," 14,786 "," 14,627 "," 16,481 "
Maguindanao," 12,765 "," 12,844 "," 13,735 "
Sulu," 13,929 "," 15,363 "," 14,755 "
"Tawi-tawi"," 9,881 "," 13,333 "," 15,642 "
Cotabato City," 14,722 "," 16,749 "," 18,934 "
