"Gross National Income and Gross Domestic Product, by Industry, Percent Share to GDP and GNI"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"......Information and communication",3.2,3.6,3.9,4.3,4.6,4.7,4.6,4.5,4.3,4.3,3.9,3.7,3.6,3.4,3.3,3.3,3.1,3.0,2.8,2.9,3.3,3.3,3.2,3.0,1.4,1.7,1.9,2.2,2.5,2.7,2.8,2.9,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9,3.3,3.4,3.5,3.4
"......Financial and insurance activities",5.2,5.4,5.4,5.5,5.6,6.0,6.4,6.5,6.4,6.7,6.8,6.8,7.0,7.4,7.6,7.8,7.9,8.0,8.2,8.6,10.2,10.1,10.1,10.5,4.9,5.0,5.1,5.2,5.3,5.6,6.0,6.3,6.2,6.5,6.8,6.9,7.1,7.6,7.7,7.8,7.9,8.0,8.2,8.6,10.1,10.0,10.0,10.3
"......Real estate and ownership of dwellings",7.2,7.1,6.9,6.8,6.5,6.4,6.2,6.1,6.0,5.9,5.7,5.9,6.1,6.3,6.3,6.7,6.6,6.5,6.5,6.4,6.0,5.9,5.7,5.6,7.0,6.7,6.5,6.4,6.3,6.4,6.3,6.4,6.5,6.3,6.3,6.5,6.6,6.8,6.7,6.8,6.7,6.6,6.5,6.4,5.9,5.7,5.6,5.5
"......Professional and business services",1.6,1.7,1.8,2.1,2.5,2.8,3.1,3.3,3.7,4.3,4.4,4.8,4.8,5.1,5.6,6.0,6.6,6.7,6.3,6.2,6.3,6.3,6.1,6.1,2.1,2.1,2.2,2.4,2.8,3.0,3.3,3.5,4.0,4.5,4.6,5.0,5.0,5.2,5.6,5.8,6.3,6.5,6.3,6.1,6.1,6.1,6.2,6.3
"......Public administration and defense; compulsory social activities",5.0,4.9,4.6,4.5,4.3,4.0,4.0,3.8,3.6,3.9,4.0,4.0,4.1,4.0,3.7,3.6,3.7,3.9,4.2,4.6,5.3,5.3,5.1,4.9,4.7,4.7,4.6,4.5,4.6,4.4,4.4,4.2,4.1,4.3,4.3,4.2,4.2,4.0,4.0,3.8,3.8,3.9,4.2,4.5,5.2,5.2,5.0,4.9
"......Education",4.8,4.7,4.8,4.8,4.6,4.3,4.1,4.1,4.0,4.2,3.9,3.9,3.9,3.9,3.8,3.8,3.9,3.9,4.0,4.0,4.0,4.1,4.0,4.0,5.1,5.1,5.1,4.9,4.8,4.7,4.7,4.5,4.6,4.8,4.5,4.5,4.3,4.1,4.0,3.9,3.9,3.9,4.0,4.0,3.9,4.0,4.0,4.0
"......Human health and social work activities",1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,2.0,1.9,1.9,1.7,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.9,1.8,1.9
"......Other services",2.0,1.9,1.9,1.9,2.0,1.9,1.9,1.9,1.9,2.0,2.3,2.3,2.5,2.6,2.4,2.5,2.5,2.3,2.3,2.3,1.5,1.4,1.7,1.9,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.3,2.3,2.5,2.4,2.3,2.4,2.4,2.3,2.3,2.3,1.5,1.4,1.7,1.9
"..Gross Domestic Product",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"..GDP share to GNI",91.4,91.3,91.3,91.4,91.5,91.1,91.6,91.8,91.4,89.6,89.9,90.3,90.1,89.5,89.7,89.7,90.0,90.1,90.4,90.9,93.0,96.6,94.5,90.1,91.0,91.0,91.0,91.0,91.1,90.9,91.4,91.5,91.3,89.3,89.6,90.0,89.9,89.3,89.5,89.6,89.9,90.0,90.4,91.0,93.0,96.7,94.6,90.4
"..Net primary income from the rest of the world",8.6,8.7,8.7,8.6,8.5,8.9,8.4,8.2,8.6,10.4,10.1,9.7,9.9,10.5,10.3,10.3,10.0,9.9,9.6,9.1,7.0,3.4,5.5,9.9,9.0,9.0,9.0,9.0,8.9,9.1,8.6,8.5,8.7,10.7,10.4,10.0,10.1,10.7,10.5,10.4,10.1,10.0,9.6,9.0,7.0,3.3,5.4,9.6
"Gross National Income",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
