"Gross Value Added In Agriculture, Forestry, and Fishing, Percent Share"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"..Cacao",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"..Abaca",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"..Tobacco",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"..Other agricultural crops, n.e.c.",5.6,6.0,5.8,6.3,5.2,5.0,5.5,4.9,4.8,5.1,4.3,4.6,4.2,4.1,4.1,4.9,5.2,4.9,5.2,5.2,5.3,4.9,4.9,5.3,6.1,6.7,6.7,6.6,6.4,6.3,6.0,6.0,5.8,5.8,5.9,5.6,5.5,5.4,5.4,5.4,5.6,5.2,5.2,5.3,5.2,5.2,5.2,5.1
"..Livestock",15.3,15.4,15.2,15.0,16.5,16.8,16.1,15.7,15.1,16.1,16.3,14.9,14.5,15.2,13.8,13.6,12.7,12.2,13.3,13.9,13.1,13.7,14.2,13.3,12.7,12.7,12.8,12.8,12.3,12.5,12.2,12.2,11.6,11.5,12.0,11.9,11.7,12.4,12.2,12.6,13.1,13.0,13.3,13.0,12.2,10.1,10.3,10.4
"..Poultry and egg production",10.1,11.6,10.6,10.3,10.1,10.0,9.7,9.6,9.3,9.7,10.2,9.7,10.1,9.9,9.8,10.4,10.2,10.2,9.6,10.4,10.3,10.3,11.2,11.4,7.4,7.8,8.0,7.8,7.8,7.6,7.4,7.2,7.2,7.2,8.0,8.0,8.1,8.4,8.3,8.9,9.2,9.3,9.6,10.1,9.9,9.9,10.5,10.8
"..Other animal production",0.4,0.6,0.7,0.8,1.0,1.2,1.3,1.3,1.3,1.5,1.6,1.6,1.8,2.0,2.1,2.4,2.6,2.8,3.1,3.1,3.1,3.4,3.6,3.4,0.7,0.9,1.1,1.3,1.6,1.8,1.9,1.9,2.0,2.0,2.2,2.3,2.3,2.5,2.5,2.6,2.8,2.8,3.1,4.0,3.9,3.9,4.0,4.1
"..Forestry and logging",1.0,0.5,0.3,0.4,0.7,0.7,0.8,0.6,0.4,0.5,0.3,0.4,0.3,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1
"..Fishing and aquaculture",16.3,17.1,17.4,18.2,18.2,18.3,19.1,19.2,19.4,18.8,18.0,16.3,16.7,16.0,14.1,14.4,13.1,13.2,12.5,13.5,12.3,12.7,12.8,12.0,9.8,9.9,10.1,10.6,10.9,11.2,11.7,12.4,12.8,13.4,13.6,12.9,12.6,12.7,12.9,13.0,13.0,12.7,12.5,12.7,12.5,12.6,12.1,11.3
"..Support activities to agriculture, forestry and fishing",6.2,5.9,5.9,6.4,6.4,6.4,6.4,6.9,6.9,7.2,7.3,7.6,7.6,7.8,8.1,8.5,9.1,9.3,9.1,10.0,10.6,11.1,11.7,12.0,5.5,5.3,5.4,6.2,6.3,6.7,7.0,7.5,7.6,7.2,7.6,7.8,7.7,8.0,8.2,8.6,8.9,9.0,9.1,9.6,10.1,10.8,11.1,11.5
"Gross Value Added in Agriculture, Forestry, and Fishing",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
