"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Snapper (Maya-maya)",.,.,123,66,109,100,183,233,279,311,353,445,407,419,346,310,254,283,319,349,380,423,303
"Current Prices","..Milkfish (Bangus)",.,.,196,262,250,279,288,311,327,298,296,326,392,445,386,379,222,171,145,148,151,187,188
"Current Prices","..Tiger prawn (Sugpo)",.,.,303,315,323,302,317,288,289,259,221,248,271,171,123,238,136,105,118,133,107,126,96
"Current Prices","..Tilapia",.,.,54,53,61,72,69,71,77,82,85,98,104,96,93,59,56,70,78,65,61,91,156
"Current Prices","..Other Fisheries",.,.,1659,2546,2667,2676,6709,5322,4810,3915,4775,4526,4792,3309,3165,2992,2993,3230,4534,5124,3726,3854,5818
"Current Prices","AGRICULTURE",.,.,24572,25670,28165,31156,36912,38527,50273,50401,50059,56185,57292,55697,63036,61249,59170,65733,75159,69021,66040,77908,84035
"Constant 2018 Prices","CROPS",.,.,30723,31209,30983,32345,32932,34094,33828,35739,34287,37286,38240,38458,40150,41620,39043,41211,43133,43541,42279,44369,43523
"Constant 2018 Prices","..Palay",.,.,16131,16505,16134,15842,16741,17695,17414,18775,17299,19803,20791,20858,21825,21824,21795,23397,24833,24111,23868,24718,24850
"Constant 2018 Prices","..Corn",.,.,884,846,963,1342,1533,1635,1569,1481,965,1200,1243,1492,1536,1789,1634,1726,1855,1524,1728,1644,1810
"Constant 2018 Prices","..Coconut",.,.,4618,4460,4453,4728,4723,4019,4115,4737,4672,5052,5283,5522,5719,5798,5377,5474,5603,5607,5382,5693,6420
"Constant 2018 Prices","..Banana",.,.,2485,2628,2598,3160,2878,2926,3042,3176,3264,3472,3091,2461,2409,2611,1520,1445,1615,1677,971,1046,1126
"Constant 2018 Prices","..Cashew nut",.,.,508,509,538,538,523,523,523,523,637,633,633,703,829,1004,1060,1091,1121,1191,1261,1267,598
"Constant 2018 Prices","..Calamansi",.,.,2665,2644,2669,3088,2950,2959,2890,2773,2679,2576,2508,2169,2047,2058,1034,971,957,1291,865,949,860
"Constant 2018 Prices","..Onion",.,.,5,5,11,12,21,790,625,575,705,423,403,599,634,836,698,923,890,1668,1600,2304,2839
"Constant 2018 Prices","..Mango",.,.,318,308,316,314,306,299,304,316,362,363,371,385,448,487,566,583,595,651,685,801,774
"Constant 2018 Prices","..Sweet Potato",.,.,220,221,223,225,227,225,233,235,238,247,258,281,294,306,304,318,319,316,311,348,386
"Constant 2018 Prices","..Cassava",.,.,83,85,86,89,89,94,106,115,122,128,135,167,190,197,199,219,214,212,192,216,231
"Constant 2018 Prices","..Arrowroot",.,.,18,19,18,18,17,19,17,17,17,17,17,18,17,17,17,17,17,17,18,19,18
"Constant 2018 Prices","..Garlic",.,.,113,122,127,126,119,114,122,119,127,129,126,120,107,116,109,103,96,88,69,21,19
"Constant 2018 Prices","..Tomato",.,.,26,27,27,30,29,30,31,33,35,38,39,47,56,60,63,89,91,88,108,109,109
"Constant 2018 Prices","..Stringbeans",.,.,9,45,41,43,39,39,41,41,43,44,45,50,55,60,64,81,80,78,75,70,70
"Constant 2018 Prices","..Ampalaya",.,.,10,21,21,22,20,20,22,23,24,26,27,40,48,53,57,76,75,70,69,70,68
"Constant 2018 Prices","..Gabi",.,.,47,47,48,49,49,49,50,52,53,54,56,67,69,67,62,72,73,73,70,72,75
"Constant 2018 Prices","..Squash",.,.,12,32,32,33,32,31,32,32,33,34,35,38,41,44,50,67,66,67,65,66,82
"Constant 2018 Prices","..Mongo",.,.,28,32,32,33,32,33,35,37,37,40,42,45,45,48,49,48,49,48,48,55,62
"Constant 2018 Prices","..Coffee",.,.,12,11,11,11,11,11,11,11,11,10,10,10,9,9,9,8,8,8,7,7,4
"Constant 2018 Prices","..Abaca",.,.,3,2,3,4,5,5,5,5,5,6,7,8,10,8,7,8,8,8,7,7,8
"Constant 2018 Prices","..Rambutan",.,.,15,15,15,15,14,14,13,13,14,13,14,15,14,15,11,9,8,9,6,7,14
"Constant 2018 Prices","..Cacao",.,.,3,3,3,3,3,3,4,4,5,5,5,5,7,8,7,7,7,8,9,11,13
"Constant 2018 Prices","..Other Crops",.,.,2513,2620,2616,2623,2571,2561,2625,2647,2941,2971,3099,3358,3739,4203,4352,4478,4551,4732,4867,4867,3088
"Constant 2018 Prices","LIVESTOCK",.,.,8272,8539,8674,8739,8841,9267,9338,9610,9868,10097,10324,10629,10808,11238,11489,11918,11503,11170,10796,12456,12413
"Constant 2018 Prices","..Hog",.,.,5727,5969,6034,6056,6231,6698,6683,6866,7269,7481,7734,8008,8130,8508,8718,9097,8855,8695,8741,10046,10098
"Constant 2018 Prices","..Cattle",.,.,1602,1581,1598,1606,1616,1613,1675,1779,1621,1661,1641,1684,1759,1853,1883,1934,1839,1729,1307,1614,1565
"Constant 2018 Prices","..Carabao",.,.,709,739,769,802,718,685,700,682,699,675,658,649,637,579,587,592,538,468,455,543,489
"Constant 2018 Prices","..Goat",.,.,235,249,273,274,276,271,280,284,279,280,290,288,281,298,302,295,271,278,294,254,262
"Constant 2018 Prices","POULTRY",.,.,1472,1528,1511,1580,1497,1545,1621,1731,1780,1849,1961,1900,1943,2083,2004,2023,2229,2320,2334,2551,2885
"Constant 2018 Prices","..Chicken",.,.,861,889,897,969,929,973,1039,1137,1167,1225,1330,1273,1266,1303,1261,1243,1331,1368,1335,1404,1633
"Constant 2018 Prices","..Duck",.,.,64,61,60,58,44,41,42,41,42,40,41,40,42,47,40,45,44,52,44,50,53
"Constant 2018 Prices","..Chicken Eggs",.,.,519,551,527,526,494,496,504,506,519,529,532,528,577,683,658,686,805,846,906,1033,1130
"Constant 2018 Prices","..Duck Eggs",.,.,27,26,27,28,30,34,36,47,51,55,57,59,58,50,45,49,48,54,49,64,70
"Constant 2018 Prices","FISHERIES",.,.,19057,22065,25461,25350,32617,31811,34161,29809,29038,28291,26084,22380,21620,21820,18290,17996,18294,18344,18020,16618,14479
"Constant 2018 Prices","..Seaweed",.,.,1962,2697,3363,3666,4096,3729,4569,4608,4712,4937,4685,3481,3692,4037,3197,3330,3521,3495,3277,2292,2561
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,3281,3136,4034,3417,3955,4268,6757,3933,3581,3928,3606,2339,2180,2558,1843,1902,2316,2478,2534,2190,1513
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,690,801,949,991,1400,1316,1563,1491,1270,1082,971,1131,1057,960,893,910,862,784,897,883,473
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,388,391,477,420,449,519,638,544,461,467,501,504,658,529,383,406,712,712,725,714,311
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,634,1221,1367,1331,1727,1667,1400,1264,1238,1057,995,1052,1010,966,752,724,688,713,766,776,712
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,357,527,580,644,864,757,935,931,1051,868,741,703,713,772,599,480,640,552,576,574,277
"Constant 2018 Prices","..Squid (Pusit)",.,.,426,468,654,662,757,769,540,399,461,565,545,729,842,700,586,632,604,563,546,608,557
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,381,717,722,771,1061,893,1151,1240,1098,1026,861,825,776,903,798,662,567,541,545,508,415
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,480,608,545,475,594,500,535,474,552,476,503,438,510,415,392,393,461,503,434,411,240
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,415,373,441,508,704,781,1217,958,1051,1062,979,770,649,704,531,520,456,496,550,554,391
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,1320,1317,1503,1878,2404,2174,1723,1828,1385,1230,944,823,815,721,540,511,450,371,349,372,296
"Constant 2018 Prices","..Siganid (Samaral)",.,.,315,293,357,353,490,712,642,469,349,408,442,487,460,508,414,386,422,465,407,363,227
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,299,431,598,587,772,701,652,638,619,556,570,512,440,426,392,357,362,347,313,286,125
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,1355,510,541,543,789,1060,1013,847,863,914,705,657,563,676,516,463,359,370,385,363,452
"Constant 2018 Prices","..Caesio (Dalagang-bukid)",.,.,194,192,206,248,343,394,508,536,611,607,585,555,524,448,390,417,353,425,394,460,373
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,165,158,170,173,247,338,375,340,410,475,328,278,148,223,232,264,327,409,433,416,255
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,438,178,261,248,350,402,517,571,597,684,593,603,504,426,315,358,319,293,321,354,285
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,308,417,361,394,404,433,441,387,374,392,448,484,435,449,253,182,145,134,162,180,143
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,393,373,369,287,305,302,300,304,262,284,290,186,126,246,147,114,118,122,109,128,85
"Constant 2018 Prices","..Tilapia",.,.,46,46,49,52,50,52,53,56,54,58,61,60,59,38,60,72,78,48,42,54,75
"Constant 2018 Prices","..Other Fisheries",.,.,5211,7209,7912,7702,10856,10042,8631,7992,8038,7213,6730,5762,5459,5115,5056,4913,4534,4522,4256,4132,4713
"Constant 2018 Prices","AGRICULTURE",.,.,59524,63340,66629,68013,75886,76715,78948,76889,74973,77523,76610,73367,74521,76761,70826,73148,75159,75375,73429,75994,73301
