"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Tomato",.,.,43,61,64,58,60,71,75,83,82,86,73,81,81,82,112,103,103,126,136,106,117
"Current Prices","..Asparagus",.,.,162,202,290,340,288,206,245,296,359,268,366,290,273,246,139,136,120,108,83,71,59
"Current Prices","..Abaca",.,.,9,14,16,23,25,26,31,34,28,37,38,35,48,54,64,74,81,85,83,93,89
"Current Prices","..Pomelo",.,.,5,5,6,8,10,9,11,13,13,15,16,16,15,20,30,40,36,37,47,43,71
"Current Prices","..Mangosteen",.,.,1,1,8,15,2,7,0,1,24,0,12,21,17,20,18,1,29,25,27,9,9
"Current Prices","..Cacao",.,.,5,8,6,6,6,5,5,4,5,6,5,5,8,10,10,9,15,18,20,19,23
"Current Prices","..Avocado",.,.,2,2,4,4,4,4,5,5,5,5,7,8,9,8,9,10,11,13,13,13,20
"Current Prices","..Other Crops",.,.,1319,953,960,958,850,922,922,1009,1097,1082,1126,1192,1329,1218,1151,1124,1228,1302,1329,1523,1677
"Current Prices","LIVESTOCK",.,.,4993,5083,6485,7511,7868,8526,9994,10746,12063,12015,11717,12484,13791,13271,13320,15146,16211,15607,15855,21266,22647
"Current Prices","..Hog",.,.,3649,3728,4891,5782,5926,6388,7630,8385,9588,9494,9269,9973,11073,10492,10401,12046,12907,12117,12475,17668,18632
"Current Prices","..Cattle",.,.,653,678,736,788,836,938,1139,1227,1347,1379,1306,1334,1477,1618,1672,1702,1770,1814,1749,1918,2110
"Current Prices","..Carabao",.,.,484,445,557,571,640,682,700,625,647,644,632,642,647,579,633,732,858,931,936,954,1037
"Current Prices","..Goat",.,.,207,233,300,370,466,518,526,510,482,498,511,534,594,582,614,666,676,745,694,727,868
"Current Prices","POULTRY",.,.,3022,3006,3569,3950,3848,3905,4310,4196,4762,5396,5692,5864,6288,6554,7130,7840,9616,10011,10410,12732,15443
"Current Prices","..Chicken",.,.,2164,2147,2556,2878,2762,2736,3003,2880,3268,3831,4130,4255,4666,4990,5158,5205,6311,6554,6555,8727,10990
"Current Prices","..Duck",.,.,278,269,267,288,229,222,255,257,277,299,302,323,310,334,378,356,483,536,532,568,784
"Current Prices","..Chicken Eggs",.,.,371,366,471,514,587,689,774,782,928,951,954,941,989,942,1250,1896,2417,2551,2993,3095,3304
"Current Prices","..Duck Eggs",.,.,209,224,275,271,270,258,278,277,289,314,306,345,323,288,343,384,405,370,330,343,365
"Current Prices","FISHERIES",.,.,7248,9049,12494,11880,13097,15995,20117,15649,16570,16398,23513,25606,25025,24554,21847,25609,25918,27958,24169,25464,31327
"Current Prices","..Skipjack (Gulyasan)",.,.,444,1008,1587,2029,3040,4906,8838,7008,6746,6539,9685,11699,10430,10377,10201,12367,13198,16191,13966,14954,17481
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,95,139,251,228,442,526,76,91,67,56,107,101,140,77,464,2595,3557,50,63,74,77
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,1642,2398,4325,3932,4011,4766,6457,3776,4291,3976,7207,7340,7788,8180,4980,5447,3555,5825,4798,3631,4482
"Current Prices","..Tilapia",.,.,428,543,570,550,639,704,743,800,874,945,932,924,1046,910,791,753,880,909,898,1521,1594
"Current Prices","..Roundscad (Galunggong)",.,.,934,1110,841,584,554,638,708,730,961,1101,1184,897,945,892,871,779,726,780,1567,1565,2256
"Current Prices","..Frigate tuna (Tulingan)",.,.,1035,1357,2323,1446,1568,1436,649,366,524,329,563,548,602,543,924,504,463,413,230,248,239
"Current Prices","..Milkfish (Bangus)",.,.,580,706,793,838,900,946,1002,1051,1150,1278,1291,1246,1194,942,593,474,359,277,393,360,187
"Current Prices","..Mudfish (Dalag)",.,.,42,51,69,77,105,140,174,186,213,250,239,253,262,273,279,223,300,276,227,278,267
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,397,301,270,220,195,203,154,228,301,363,376,446,503,343,305,297,278,287,130,232,1000
"Current Prices","..Squid (Pusit)",.,.,103,52,55,99,89,94,61,127,152,148,187,199,223,259,201,193,269,236,105,143,186
"Current Prices","..Carp (Carpa)",.,.,58,58,70,73,69,95,149,183,146,160,175,173,176,195,215,141,227,187,133,191,254
"Current Prices","..Catfish (Hito/Kanduli)",.,.,29,37,45,55,68,80,98,121,112,116,117,149,166,181,179,168,209,180,135,145,148
"Current Prices","..Flying fish (Bolador)",.,.,182,209,144,70,128,114,107,116,143,144,159,176,141,105,118,89,102,84,70,85,118
"Current Prices","..Anchovies (Dilis)",.,.,269,41,24,23,23,8,54,41,25,32,66,62,41,15,12,21,41,16,6,3,22
"Current Prices","..Bali sardinella (Tamban)",.,.,189,105,58,63,49,105,103,52,71,73,64,81,63,47,44,58,26,37,14,8,61
"Current Prices","..Cavalla (Talakitok)",.,.,17,21,19,22,21,20,21,19,19,24,25,24,29,25,70,24,19,24,25,24,22
"Current Prices","..Spanish mackerel (Tanigue)",.,.,47,64,61,36,35,21,17,15,18,20,22,30,36,55,35,32,16,18,10,10,13
"Current Prices","..Grouper (Lapu-lapu)",.,.,26,12,12,36,42,35,38,54,50,42,74,72,57,61,143,42,9,18,18,27,18
"Current Prices","..Seaweed",.,.,..,..,..,1,0,1,1,2,3,3,3,0,1,4,1,1,1,5,4,3,1
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,92,163,175,124,174,154,404,608,870,1436,1025,1417,2065
"Current Prices","..Other Fisheries",.,.,730,840,979,1500,1119,1160,668,684,613,636,863,1064,1009,915,1018,794,814,709,351,544,836
"Current Prices","AGRICULTURE",.,.,41778,45332,58242,58508,66163,77009,93018,88716,97425,110741,115006,122250,130469,119507,113327,126972,135982,130936,132325,141902,154470
"Constant 2018 Prices","CROPS",.,.,58117,59092,64054,65527,70122,74676,77668,77559,75065,79146,82286,86120,87427,82943,74534,82217,84237,79152,80302,81525,79399
"Constant 2018 Prices","..Palay",.,.,21225,20507,21949,21809,22931,23741,24703,24588,23711,24891,25426,26961,27305,25841,24020,26398,26871,23753,25290,25572,24893
"Constant 2018 Prices","..Corn",.,.,12652,12438,14657,13713,15551,16062,15979,16391,15216,16733,17173,18664,19128,17715,16354,17971,17598,15842,15853,15799,15041
"Constant 2018 Prices","..Banana",.,.,8382,9334,10129,12082,13322,15002,16013,16420,16737,17558,18526,19009,19296,18586,16426,18716,19374,18960,18505,18816,18604
"Constant 2018 Prices","..Pineapple",.,.,2835,2850,2888,2969,3028,3749,4260,4104,3793,3707,3732,3760,3751,3705,3576,3694,3769,3780,3806,3821,3788
"Constant 2018 Prices","..Coconut",.,.,3922,4107,4022,3996,4154,4381,4461,4589,4431,4511,5051,5335,5495,5946,4913,4810,5826,5952,5961,6223,6306
"Constant 2018 Prices","..Rubber",.,.,1273,1417,2344,2370,3068,3709,3871,3611,3540,3753,4007,4082,4107,2980,2416,3481,3651,3605,3227,3409,3172
"Constant 2018 Prices","..Coffee",.,.,1114,1156,1211,1582,1574,1578,1572,1603,1615,1596,1621,1681,1629,1568,1460,1287,1158,1196,1256,1222,1220
"Constant 2018 Prices","..Mango",.,.,1530,1640,1577,1637,1325,1563,1452,1639,1719,1599,1632,1682,1824,1790,1433,1460,1603,1833,1980,1948,1838
"Constant 2018 Prices","..Sugarcane",.,.,1451,1745,1105,896,971,1043,1676,1181,915,1486,1632,1330,1145,1231,791,1238,1067,968,1237,1464,1218
"Constant 2018 Prices","..Papaya",.,.,130,137,155,209,294,315,390,398,418,437,451,449,458,452,399,422,435,420,426,429,415
"Constant 2018 Prices","..Oil Palm (fresh fruit bunch)",.,.,212,221,227,230,240,276,314,344,360,407,442,484,527,554,516,589,673,683,649,694,762
"Constant 2018 Prices","..Cassava",.,.,19,22,23,63,61,68,67,65,72,91,100,188,255,239,219,217,199,186,177,190,198
"Constant 2018 Prices","..Eggplant",.,.,93,103,112,119,136,141,138,146,143,147,154,147,152,140,139,145,142,143,145,138,146
"Constant 2018 Prices","..Calamansi",.,.,88,90,95,99,103,110,105,104,107,109,113,116,120,117,79,86,84,79,76,77,70
"Constant 2018 Prices","..Durian",.,.,43,52,76,93,81,109,84,112,130,141,148,180,190,194,139,102,164,164,145,129,103
"Constant 2018 Prices","..Tomato",.,.,90,90,94,97,98,101,100,102,101,103,106,98,103,104,106,103,103,105,105,96,100
"Constant 2018 Prices","..Asparagus",.,.,926,1109,1609,1820,1574,1054,878,525,342,254,303,237,217,202,160,139,120,96,77,63,44
"Constant 2018 Prices","..Abaca",.,.,38,71,59,62,51,52,53,57,59,63,66,68,75,76,74,76,81,84,85,90,88
"Constant 2018 Prices","..Pomelo",.,.,11,12,13,16,16,17,18,22,25,27,27,28,30,34,32,32,36,36,36,38,61
"Constant 2018 Prices","..Mangosteen",.,.,4,4,14,19,3,32,0,1,48,1,21,40,48,37,25,1,29,30,27,7,6
"Constant 2018 Prices","..Cacao",.,.,10,10,9,9,8,7,7,6,6,6,6,6,8,8,8,9,15,16,19,21,23
"Constant 2018 Prices","..Avocado",.,.,7,7,7,8,8,8,8,8,8,9,9,10,11,11,10,11,11,11,11,12,14
"Constant 2018 Prices","..Other Crops",.,.,2059,1968,1678,1629,1525,1558,1520,1540,1568,1520,1542,1562,1555,1412,1238,1228,1228,1211,1210,1267,1289
"Constant 2018 Prices","LIVESTOCK",.,.,12837,13429,13396,13755,14063,14739,16215,16428,16852,16758,16669,16695,16794,16619,16621,16467,16211,16897,16417,16560,16758
"Constant 2018 Prices","..Hog",.,.,9548,10087,10078,10576,10831,11345,12634,12820,13116,12968,12991,13012,13184,13025,13100,12956,12907,13710,13514,13721,13992
"Constant 2018 Prices","..Cattle",.,.,1529,1562,1488,1441,1389,1485,1689,1754,1898,1976,1905,1907,1841,1972,1939,1913,1770,1692,1545,1531,1516
"Constant 2018 Prices","..Carabao",.,.,1156,1134,1148,1004,1007,1030,994,985,1043,1027,1000,1017,1002,884,880,879,858,850,769,742,712
"Constant 2018 Prices","..Goat",.,.,604,647,683,733,837,880,899,869,796,787,773,758,767,738,702,719,676,645,589,567,537
"Constant 2018 Prices","POULTRY",.,.,5041,4833,5082,5273,4958,5202,5366,4991,5094,5729,6092,6330,6527,6309,6920,7986,9616,10079,10583,10970,12866
"Constant 2018 Prices","..Chicken",.,.,3402,3260,3358,3536,3301,3562,3617,3308,3440,4016,4383,4611,4889,4805,5080,5443,6311,6683,7258,7750,9443
"Constant 2018 Prices","..Duck",.,.,587,565,603,594,472,437,451,444,420,430,426,431,400,393,469,411,483,498,491,495,520
"Constant 2018 Prices","..Chicken Eggs",.,.,564,527,592,624,700,766,843,819,839,872,860,852,842,792,1016,1757,2417,2539,2526,2417,2631
"Constant 2018 Prices","..Duck Eggs",.,.,488,481,529,518,486,437,455,420,395,411,423,436,395,319,355,375,405,360,307,308,273
"Constant 2018 Prices","FISHERIES",.,.,15907,19436,21634,19150,20206,22706,24747,22501,21023,18725,21569,21630,24370,24717,21943,25725,25918,23262,22853,20344,22497
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,1237,2569,3170,3770,5686,6097,9373,10333,8949,7345,8627,9048,10500,10894,10367,12426,13198,13643,13413,12377,12434
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,394,661,689,568,778,1077,193,119,81,58,73,72,95,58,380,2850,3557,56,78,61,56
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,2216,3716,3868,3189,2958,4414,7561,4720,4267,3489,4672,4867,6245,7176,4022,4475,3555,4061,4030,2127,2480
"Constant 2018 Prices","..Tilapia",.,.,950,1016,1099,1006,1080,1138,1129,1210,1186,1259,1216,1118,1143,955,863,814,880,764,743,1160,1098
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,2003,2347,1557,1153,947,1012,1019,1057,1246,1370,1321,936,986,889,965,864,726,654,1571,1099,1588
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,3675,4343,6360,3525,3436,3418,1150,644,737,432,641,566,653,589,1130,591,463,349,182,152,153
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,981,1235,1300,1294,1368,1438,1474,1453,1428,1517,1485,1415,1326,989,591,514,359,234,365,301,139
"Constant 2018 Prices","..Mudfish (Dalag)",.,.,95,106,144,147,175,218,270,316,291,330,339,329,342,328,300,307,300,246,221,234,223
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,775,557,509,398,333,349,236,336,392,432,428,439,487,340,328,316,278,231,119,172,696
"Constant 2018 Prices","..Squid (Pusit)",.,.,171,92,81,170,154,142,89,181,204,210,265,257,273,280,206,198,269,259,134,139,122
"Constant 2018 Prices","..Carp (Carpa)",.,.,146,148,185,169,197,243,300,347,293,304,305,277,268,266,261,212,227,193,136,162,264
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,60,74,81,92,116,132,150,182,159,160,162,186,204,206,223,203,209,189,131,160,161
"Constant 2018 Prices","..Flying fish (Bolador)",.,.,495,544,411,201,335,262,210,227,266,240,249,251,226,161,135,105,102,99,86,80,102
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,398,60,35,33,36,14,128,53,33,43,86,64,63,19,14,19,41,11,6,2,11
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,334,195,104,118,72,208,172,68,89,81,58,65,59,44,50,69,26,30,12,6,40
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,37,39,30,42,36,32,31,28,27,30,25,24,28,23,71,25,19,18,20,17,14
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,118,125,109,68,62,36,27,23,26,27,24,30,35,50,37,34,16,18,9,8,12
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,59,27,21,75,85,71,74,92,81,64,81,75,58,56,133,41,9,15,16,19,14
"Constant 2018 Prices","..Seaweed",.,.,..,..,..,5,1,2,4,6,7,10,12,0,3,8,2,1,1,6,5,3,1
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,124,206,219,176,213,190,479,715,870,1534,1234,1604,2161
"Constant 2018 Prices","..Other Fisheries",.,.,1764,1581,1882,3127,2351,2402,1156,1107,1136,1116,1283,1436,1164,1195,1384,945,814,651,343,461,728
"Constant 2018 Prices","AGRICULTURE",.,.,91901,96790,104166,103705,109350,117323,123997,121479,118035,120358,126616,130774,135119,130589,120018,132394,135982,129390,130155,129399,131520
