"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","LIVESTOCK",2755,2982,3228,3245,4211,4132,4123,4612,4992,4816,4355,3961,3772,4061,4058,3853,3642,3789,4182,4051,4105,5213,5163
"Current Prices","..Hog",2141,2236,2400,2486,3308,3284,3280,3695,4079,3924,3494,3132,2948,3194,3190,2984,2749,2901,3278,3133,3245,4087,3928
"Current Prices","..Cattle",399,426,500,511,581,505,507,559,541,511,483,477,463,489,493,484,493,484,497,499,444,587,601
"Current Prices","..Carabao",165,274,278,197,272,289,285,305,319,330,323,285,285,298,294,305,315,317,312,314,317,395,473
"Current Prices","..Goat",50,45,50,51,50,54,52,54,52,51,54,68,76,80,80,80,85,87,95,104,98,144,161
"Current Prices","POULTRY",635,710,755,782,929,894,880,911,992,1149,1127,1142,1112,1208,1267,1324,1332,1360,1485,1587,1686,1825,2167
"Current Prices","..Chicken",390,459,473,483,564,544,532,541,617,708,697,703,669,729,764,790,793,833,870,876,871,996,1220
"Current Prices","..Duck",71,84,85,85,100,98,103,110,112,115,115,114,108,103,102,98,97,99,114,144,133,129,136
"Current Prices","..Chicken Eggs",132,130,154,170,213,200,197,211,214,265,256,268,278,312,329,367,376,367,440,502,626,642,743
"Current Prices","..Duck Eggs",43,38,42,43,51,51,47,48,48,60,58,58,57,64,71,69,66,60,61,64,56,57,69
"Current Prices","FISHERIES",209,224,216,196,216,222,270,308,340,364,312,337,361,376,393,401,425,420,437,426,404,420,432
"Current Prices","..Tilapia",.,.,176,156,181,183,228,266,295,317,265,283,301,311,326,328,352,348,365,341,328,366,375
"Current Prices","..Freshwater goby (Biya)",.,.,7,10,9,10,11,10,11,11,11,13,15,16,16,19,19,19,18,21,23,19,24
"Current Prices","..Carp (Carpa)",.,.,7,6,7,8,8,9,9,9,9,10,11,12,13,13,12,11,11,12,10,6,6
"Current Prices","..White shrimp (Hipon/Hipong puti)",.,.,6,5,3,4,6,6,6,6,6,6,7,7,7,9,9,9,9,10,9,6,5
"Current Prices","..Eel (Igat)",.,.,4,6,6,7,7,7,7,8,9,11,12,12,13,13,11,6,7,11,9,9,8
"Current Prices","..Catfish (Hito/Kanduli)",.,.,6,5,4,4,3,3,3,3,3,3,4,5,5,4,4,4,5,6,5,4,5
"Current Prices","..Mudfish (Dalag)",.,.,4,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,4,5,4,2,2
"Current Prices","..Silver perch (Ayungin)",.,.,3,3,3,2,3,3,3,3,3,5,5,5,5,5,3,3,2,2,2,1,1
"Current Prices","..Freshwater clams (Tulya)",.,.,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1
"Current Prices","..Other Fisheries",.,.,3,1,1,1,1,1,1,1,1,2,1,2,2,2,7,11,12,16,12,6,5
"Current Prices","AGRICULTURE",10397,10805,11513,11745,13962,13933,16021,18679,22391,24125,20407,23693,24809,26492,28445,25981,25890,26840,29998,27538,26626,30495,30878
"Constant 2018 Prices","CROPS",15723,17414,17689,17303,18738,19073,20381,25004,25800,25334,24732,25425,26057,26593,27070,25765,24251,25699,23893,25062,24454,24072,23297
"Constant 2018 Prices","..Palay",5270,6474,6270,6196,7331,7301,8185,8988,9170,8892,8248,8836,9341,9479,9324,8259,7887,9167,8057,8617,7755,7769,6964
"Constant 2018 Prices","..Corn",1042,1347,1347,1211,1530,1878,2305,2527,2827,2904,2479,3149,3241,3485,3521,3423,2870,3496,2986,3345,3520,3110,2746
"Constant 2018 Prices","..Potato",1400,1435,1486,1515,1550,1567,1541,2974,3050,2983,3164,3045,3024,2975,3019,3006,2952,2965,2929,2882,2786,2484,2620
"Constant 2018 Prices","..Cabbage",1751,1809,1842,1861,1896,1899,1897,2753,2833,2730,2818,2725,2736,2753,2740,2680,2609,2595,2562,2768,2785,2631,2532
"Constant 2018 Prices","..Carrots",807,789,802,817,836,833,834,1714,1798,1790,1889,1752,1793,1790,1804,1775,1750,1739,1723,1733,1693,1694,1520
"Constant 2018 Prices","..Chinese Cabbage",724,746,735,737,742,733,729,965,986,962,1020,973,991,988,990,980,964,951,933,972,972,1047,1088
"Constant 2018 Prices","..Chayote",327,335,343,609,599,607,625,646,661,650,788,715,700,704,704,698,632,603,581,668,828,937,1021
"Constant 2018 Prices","..Bell Pepper",391,376,385,386,393,395,388,426,431,411,442,435,439,441,445,436,431,454,438,466,546,627,720
"Constant 2018 Prices","..Sweet Peas",477,504,514,516,511,513,505,504,502,498,479,437,444,444,454,454,437,425,426,431,428,504,563
"Constant 2018 Prices","..Banana",404,368,361,365,386,391,409,438,436,441,419,410,410,444,429,434,418,345,341,304,335,345,360
"Constant 2018 Prices","..Coffee",467,555,498,453,441,472,498,491,467,447,440,442,445,429,412,409,293,148,173,125,157,175,157
"Constant 2018 Prices","..Sweet Potato",497,472,458,446,439,432,424,423,425,421,404,391,385,381,382,371,354,326,282,225,229,179,167
"Constant 2018 Prices","..Cauliflower",212,215,220,221,223,225,223,230,238,237,249,253,254,249,246,248,241,260,233,244,249,212,163
"Constant 2018 Prices","..Habitchuelas",218,217,220,220,216,214,212,276,278,269,272,264,269,269,268,257,246,238,232,238,223,245,247
"Constant 2018 Prices","..Cassava",15,15,15,14,14,14,15,14,15,15,15,13,18,93,98,107,135,178,181,124,126,109,108
"Constant 2018 Prices","..Celery",117,119,120,121,123,125,128,131,133,134,128,114,109,110,108,106,105,110,109,112,117,125,126
"Constant 2018 Prices","..Mango",141,142,144,145,140,150,137,149,146,148,147,146,131,135,143,132,122,114,107,114,95,102,106
"Constant 2018 Prices","..Tobacco",47,48,49,49,52,55,52,57,56,57,58,57,58,59,77,91,111,109,100,98,99,96,97
"Constant 2018 Prices","..Tomato",92,94,95,95,94,93,92,104,102,98,100,99,100,100,102,100,95,94,84,81,79,74,71
"Constant 2018 Prices","..Broccoli",64,65,66,67,68,69,70,73,75,76,75,76,78,79,81,77,74,84,73,86,93,100,116
"Constant 2018 Prices","..Strawberry",195,199,201,105,104,103,98,83,113,113,105,103,105,116,136,136,131,141,144,189,207,307,524
"Constant 2018 Prices","..Roses",128,127,127,124,125,128,132,142,145,141,142,142,146,149,148,139,130,146,161,200,182,247,297
"Constant 2018 Prices","..Other Crops",937,960,1393,1029,923,876,884,897,913,917,850,846,840,920,1439,1448,1264,1012,1040,1040,951,952,986
"Constant 2018 Prices","LIVESTOCK",5758,5976,6463,6669,6428,6251,6202,6826,6625,6082,5534,5173,4918,4801,4557,4278,4218,4117,4182,4165,3970,3489,3291
"Constant 2018 Prices","..Hog",4351,4586,4957,5189,4992,4946,4930,5473,5357,4868,4411,4101,3885,3755,3538,3289,3242,3177,3278,3277,3171,2692,2515
"Constant 2018 Prices","..Cattle",832,814,886,881,806,736,723,769,716,683,616,608,578,579,568,550,538,516,497,481,417,424,408
"Constant 2018 Prices","..Carabao",469,466,504,489,518,456,430,461,436,421,398,358,352,365,356,342,338,325,312,310,287,278,269
"Constant 2018 Prices","..Goat",107,109,116,110,112,114,119,122,116,110,109,106,104,102,95,96,100,99,95,96,95,95,99
"Constant 2018 Prices","POULTRY",1216,1294,1347,1369,1449,1425,1400,1343,1376,1506,1468,1454,1407,1440,1432,1523,1487,1501,1485,1429,1408,1395,1496
"Constant 2018 Prices","..Chicken",759,837,858,859,894,872,854,806,847,944,926,920,868,880,859,925,909,948,870,792,734,707,770
"Constant 2018 Prices","..Duck",142,145,148,142,149,147,154,162,155,154,143,141,135,126,126,119,115,111,114,121,108,90,90
"Constant 2018 Prices","..Chicken Eggs",222,230,256,277,312,308,304,294,301,326,323,317,322,358,368,403,392,380,440,456,516,547,576
"Constant 2018 Prices","..Duck Eggs",92,82,85,90,94,97,88,81,73,82,75,76,82,76,79,75,71,62,61,61,51,50,60
"Constant 2018 Prices","FISHERIES",335,365,361,323,306,309,363,396,420,429,361,374,388,401,408,398,426,415,437,417,369,404,393
"Constant 2018 Prices","..Tilapia",.,.,284,243,240,242,298,332,356,366,298,306,313,319,326,314,346,343,365,340,303,358,348
"Constant 2018 Prices","..Freshwater goby (Biya)",.,.,17,22,19,20,18,16,16,16,15,18,21,21,21,23,21,20,18,18,19,14,16
"Constant 2018 Prices","..Carp (Carpa)",.,.,11,10,9,9,9,10,10,10,10,10,11,12,12,12,12,11,11,10,8,5,5
"Constant 2018 Prices","..White shrimp (Hipon/Hipong puti)",.,.,13,13,7,8,11,10,10,10,9,9,10,10,11,12,11,10,9,10,9,5,5
"Constant 2018 Prices","..Eel (Igat)",.,.,10,14,11,14,13,13,13,13,13,14,15,16,16,16,13,7,7,11,8,7,8
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,12,9,8,7,5,5,5,4,4,4,5,6,6,5,5,4,5,6,4,4,5
"Constant 2018 Prices","..Mudfish (Dalag)",.,.,6,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,4,5,4,2,2
"Constant 2018 Prices","..Silver perch (Ayungin)",.,.,7,6,6,5,4,4,4,4,3,5,5,5,5,5,3,3,2,2,2,1,1
"Constant 2018 Prices","..Freshwater clams (Tulya)",.,.,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1
"Constant 2018 Prices","..Other Fisheries",.,.,2,1,1,2,1,1,1,2,2,2,2,2,2,3,8,9,12,14,12,6,4
"Constant 2018 Prices","AGRICULTURE",23032,25048,25861,25664,26921,27058,28346,33569,34222,33352,32094,32426,32770,33235,33467,31963,30382,31733,29998,31073,30200,29359,28478
