"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Pepper, Finger",9,10,10,11,15,17,18,18,23,33,24,30,27,37,33,38,57,44,57,49,68,58,66
"Current Prices","..Calamansi",36,35,38,38,42,49,55,58,69,74,73,87,81,86,85,75,85,83,102,92,88,106,124
"Current Prices","..Okra",15,15,14,26,20,25,25,22,28,28,27,31,30,28,31,38,33,32,50,38,46,48,47
"Current Prices","..Other Crops",2103,1641,1798,1694,1610,1800,1969,2109,2471,2322,2569,2551,2464,2594,2575,3383,3728,3181,3643,3963,4493,4848,5101
"Current Prices","LIVESTOCK",7044,7982,7924,7594,9525,9939,9663,9880,10900,11119,11981,12283,13015,13979,14564,14440,14364,16033,17600,17160,17627,17231,18747
"Current Prices","..Hog",4076,4612,4629,4455,6178,6291,5921,5989,6634,6900,7521,7574,8124,8778,9304,8977,9018,10612,11686,11024,12069,10340,10775
"Current Prices","..Cattle",1771,2000,1963,1864,2000,2112,2108,2153,2367,2316,2417,2575,2711,2847,2887,2962,2927,2949,3094,3360,3190,3931,4320
"Current Prices","..Carabao",369,569,547,510,508,576,636,674,730,753,819,866,925,1010,965,1014,995,992,1016,925,839,1186,1831
"Current Prices","..Goat",829,801,785,764,838,960,998,1065,1170,1149,1223,1269,1256,1343,1409,1488,1425,1480,1805,1851,1529,1774,1820
"Current Prices","POULTRY",3441,3725,4087,3736,4243,4985,5914,6619,8158,9053,8418,8375,9751,10204,9123,12208,9396,9699,10844,10373,10685,11660,14907
"Current Prices","..Chicken",2787,3000,3339,2979,3336,3939,4685,5043,6378,7085,6343,6325,7721,8365,7363,10369,7601,7459,8372,8013,7903,9086,12136
"Current Prices","..Duck",125,120,123,132,114,137,137,149,149,143,154,153,159,167,166,202,196,220,200,189,197,210,150
"Current Prices","..Chicken Eggs",407,497,522,531,684,796,972,1295,1505,1697,1788,1777,1749,1544,1467,1502,1480,1895,2159,2067,2489,2272,2498
"Current Prices","..Duck Eggs",121,108,102,94,108,112,120,131,127,128,133,120,123,129,127,135,118,126,113,104,97,93,123
"Current Prices","FISHERIES",3657,3782,4200,4690,6065,7219,9044,9715,11803,11074,11002,12830,14224,14328,17260,16027,15781,16487,17118,19527,20749,24214,24707
"Current Prices","..Milkfish (Bangus)",.,.,2051,2345,3277,4109,5193,5771,6905,6248,6516,8086,9816,9839,11911,10974,11327,11780,11852,13564,14192,17637,17656
"Current Prices","..Tilapia",.,.,180,213,277,352,447,463,506,488,653,798,722,756,955,924,828,957,1231,1329,1395,1283,1310
"Current Prices","..Tiger prawn (Sugpo)",.,.,80,75,73,71,171,178,224,334,216,286,484,552,1006,940,954,933,925,745,660,575,502
"Current Prices","..Squid (Pusit)",.,.,48,61,92,126,143,139,147,99,143,198,262,241,225,233,206,207,212,192,313,241,311
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,201,253,278,236,313,416,658,579,762,605,402,431,447,351,201,207,211,257,227,284,454
"Current Prices","..Roundscad (Galunggong)",.,.,53,75,70,81,120,109,464,352,140,237,243,244,246,253,226,237,205,342,355,289,424
"Current Prices","..Grouper (Lapu-lapu)",.,.,14,21,27,49,45,38,32,34,38,27,25,58,76,99,74,83,171,156,198,165,574
"Current Prices","..Cavalla (Talakitok)",.,.,9,14,17,62,51,68,65,37,23,28,38,63,83,80,77,74,155,198,277,342,137
"Current Prices","..Skipjack (Gulyasan)",.,.,81,115,153,178,244,262,367,441,494,472,239,290,306,212,177,207,152,199,234,255,366
"Current Prices","..Siganid (Samaral)",.,.,126,154,197,172,149,132,63,43,53,55,81,88,90,112,103,117,147,139,175,179,151
"Current Prices","..Threadfin bream (Bisugo)",.,.,99,91,100,63,101,87,80,71,45,72,93,59,63,61,49,54,137,132,146,139,69
"Current Prices","..Flying fish (Bolador)",.,.,19,22,26,18,22,17,9,17,21,27,46,46,39,52,53,56,89,86,71,56,20
"Current Prices","..Slipmouth (Sapsap)",.,.,43,44,62,63,56,93,71,37,19,36,20,31,39,25,25,23,84,67,83,163,88
"Current Prices","..Bigeye tuna (Tambakol/ Bariles)",.,.,15,19,21,18,17,39,55,16,30,32,5,4,5,18,19,23,73,43,68,88,32
"Current Prices","..Blue crab (Alimasag)",.,.,8,9,11,28,20,26,20,12,15,25,14,15,17,17,23,28,66,97,115,152,114
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,105,69,82,69,104,93,100,88,98,115,148,109,84,58,43,46,65,98,103,144,161
"Current Prices","..Endeavor prawn (Suahe)",.,.,13,18,66,76,92,104,73,45,42,39,38,43,62,50,57,65,47,43,40,35,12
"Current Prices","..Spanish mackerel (Tanigue)",.,.,67,69,83,92,136,110,62,105,78,99,42,55,72,66,45,37,42,52,60,148,103
"Current Prices","..Anchovies (Dilis)",.,.,137,125,130,100,67,70,48,58,30,28,19,27,43,35,39,34,37,31,47,57,94
"Current Prices","..Frigate tuna (Tulingan)",.,.,29,32,38,26,25,23,15,115,77,46,9,8,10,12,24,47,30,159,125,103,121
"Current Prices","..Other Fisheries",.,.,823,865,985,1231,1528,1477,1838,1857,1510,1521,1478,1367,1479,1455,1233,1272,1188,1597,1865,1876,2009
"Current Prices","AGRICULTURE",41407,43147,44695,45616,53485,60529,66733,70500,83387,77927,80132,85204,93701,97344,108073,103319,101771,108606,117824,112549,118563,126246,135755
"Constant 2018 Prices","CROPS",62212,64343,65336,68711,70523,74068,78500,81289,78801,66158,70930,71644,74953,75692,78114,77417,75306,76989,72261,76109,77135,76872,77679
"Constant 2018 Prices","..Palay",26173,26592,26485,28263,28549,29964,34607,35585,36654,29289,33767,34730,37652,37920,38921,38507,39114,40564,37270,40113,41227,41220,42586
"Constant 2018 Prices","..Corn",2619,2758,2749,2970,3380,4533,4835,5067,5491,5302,5413,5857,6564,6757,7199,7413,7671,8403,8470,8680,8507,8626,8845
"Constant 2018 Prices","..Mango",19549,20642,21493,22159,22847,23378,22406,23600,20287,15590,15430,14671,14061,13815,14375,13762,11103,10290,8887,9468,9452,9146,8804
"Constant 2018 Prices","..Eggplant",1647,1764,1862,1899,2011,2055,2287,2558,2148,2060,2165,2215,2239,2296,2333,2408,2563,2647,2739,2915,2805,2873,2950
"Constant 2018 Prices","..Tobacco",2687,2557,2643,2783,2524,2232,2166,1798,1695,1749,1963,2167,2337,2666,2879,2830,2746,2560,2488,2469,2607,2561,2289
"Constant 2018 Prices","..Tomato",1266,1274,1289,1360,1492,1422,1394,1563,1587,1686,1789,1762,1809,1850,1863,1862,1767,1860,1853,1884,1887,1930,1614
"Constant 2018 Prices","..Onion",1307,1344,1366,1371,1478,1523,1570,1646,1532,1418,1500,1448,1440,1417,1416,1427,1371,1436,1366,1384,1445,1389,1389
"Constant 2018 Prices","..Banana",606,621,615,619,657,698,783,866,861,808,769,761,794,812,819,806,775,791,787,778,814,829,869
"Constant 2018 Prices","..Mongo",694,678,649,625,655,650,683,693,668,665,656,653,661,676,713,699,728,743,747,776,767,740,728
"Constant 2018 Prices","..Peanut",495,504,499,490,523,556,578,611,553,554,568,542,551,535,551,542,525,566,563,558,563,572,600
"Constant 2018 Prices","..Coconut",252,258,263,279,296,337,398,436,456,480,472,486,496,511,517,498,507,550,536,538,555,559,596
"Constant 2018 Prices","..Garlic",843,1014,1059,1003,960,931,886,781,778,707,618,570,531,540,568,686,424,482,471,456,437,432,426
"Constant 2018 Prices","..Stringbeans",61,62,64,294,311,325,336,360,376,373,398,405,417,426,433,429,435,443,436,449,453,445,444
"Constant 2018 Prices","..Ampalaya",180,188,194,307,321,349,351,388,420,398,401,389,389,398,402,404,389,405,404,416,425,420,438
"Constant 2018 Prices","..Sweet Potato",343,339,329,344,365,385,386,388,363,360,368,362,355,355,359,345,361,375,374,369,370,368,360
"Constant 2018 Prices","..Watermelon",356,382,397,442,457,459,417,379,321,278,259,287,278,278,288,314,311,304,342,343,334,336,335
"Constant 2018 Prices","..Squash",130,138,141,341,352,365,361,353,321,302,289,281,290,292,293,285,284,298,293,293,292,283,281
"Constant 2018 Prices","..Cassava",159,165,161,153,156,151,182,187,186,194,199,197,195,192,194,191,196,204,209,208,211,209,192
"Constant 2018 Prices","..Gourd",57,58,50,193,193,195,189,194,181,174,177,172,179,181,185,183,178,181,174,178,179,180,183
"Constant 2018 Prices","..Pepper, Finger",28,31,32,32,37,39,40,42,45,46,47,48,49,50,52,53,55,57,57,59,59,57,57
"Constant 2018 Prices","..Calamansi",64,66,68,70,73,81,96,103,104,101,101,101,102,104,104,104,104,105,102,102,105,107,109
"Constant 2018 Prices","..Okra",29,31,32,31,32,41,41,41,42,41,41,43,43,44,46,46,48,50,50,53,53,54,54
"Constant 2018 Prices","..Other Crops",2666,2877,2896,2683,2854,3401,3508,3649,3731,3586,3542,3497,3518,3574,3605,3621,3653,3677,3643,3617,3589,3535,3529
"Constant 2018 Prices","LIVESTOCK",16042,16079,16100,15746,15442,15013,14793,14866,14626,14627,14949,15140,15889,16213,15957,16307,16624,16923,17600,17570,16483,12394,11484
"Constant 2018 Prices","..Hog",9168,9522,9774,9768,9532,9185,8992,9065,8774,8976,9122,9374,10084,10241,10072,10210,10682,11116,11686,11672,11382,7116,6549
"Constant 2018 Prices","..Cattle",4247,3984,3776,3536,3458,3261,3184,3177,3172,3055,3096,3040,3059,3154,3141,3214,3148,3104,3094,3202,2850,2846,2649
"Constant 2018 Prices","..Carabao",1045,1053,1033,990,962,978,1025,1026,1008,1008,1075,1061,1077,1136,1078,1133,1093,1041,1016,911,794,899,927
"Constant 2018 Prices","..Goat",1582,1519,1517,1452,1490,1590,1592,1598,1672,1588,1656,1665,1669,1682,1666,1750,1701,1662,1805,1786,1458,1532,1359
"Constant 2018 Prices","POULTRY",5918,6306,6420,6345,6552,7477,8454,9019,9485,9639,9708,9720,10288,10196,9979,10208,9773,9959,10844,10842,11048,10133,11200
"Constant 2018 Prices","..Chicken",4662,4954,5047,4970,5035,5772,6538,6819,7180,7308,7385,7430,8024,8207,8129,8165,7764,7697,8372,8303,8333,7519,8542
"Constant 2018 Prices","..Duck",278,268,288,279,286,289,276,285,258,237,233,233,233,235,226,260,249,246,200,165,161,142,127
"Constant 2018 Prices","..Chicken Eggs",745,858,879,906,1037,1214,1439,1712,1863,1933,1948,1912,1886,1610,1485,1636,1635,1889,2159,2274,2466,2390,2451
"Constant 2018 Prices","..Duck Eggs",233,226,206,189,194,202,202,203,183,161,142,146,145,143,139,147,125,128,113,100,89,81,81
"Constant 2018 Prices","FISHERIES",6422,6780,7763,8420,9562,11350,13823,15853,16035,14839,14759,16242,16000,17217,19600,18096,17554,17853,17118,18539,19595,20698,21251
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,4077,4478,5445,6820,8454,9975,9170,8130,8469,10240,10507,11677,13188,12110,12540,12590,11852,13075,14099,15448,16046
"Constant 2018 Prices","..Tilapia",.,.,250,302,360,419,536,521,545,506,727,771,777,810,1026,1026,915,1088,1231,1281,1267,1130,1116
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,128,117,111,106,246,269,314,470,490,543,781,876,1392,1210,1026,969,925,745,671,565,616
"Constant 2018 Prices","..Squid (Pusit)",.,.,66,75,78,120,157,159,139,115,154,229,307,284,265,284,243,248,212,179,209,180,232
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,390,476,479,407,496,680,1027,862,1001,777,497,525,543,420,238,235,211,226,201,233,338
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,101,136,122,131,193,165,639,488,190,300,297,287,287,291,255,261,205,332,332,251,369
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,14,20,24,42,36,31,25,29,27,25,31,71,92,105,87,100,171,142,145,111,184
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,12,17,19,65,53,65,60,38,23,26,48,77,101,98,92,93,155,168,190,214,89
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,124,216,232,239,331,363,453,513,513,482,242,279,295,212,180,206,152,163,181,176,231
"Constant 2018 Prices","..Siganid (Samaral)",.,.,214,184,188,173,169,153,73,37,46,51,86,96,101,113,106,119,147,126,134,131,96
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,123,132,130,81,123,108,90,83,54,84,106,71,76,68,54,59,137,122,118,105,52
"Constant 2018 Prices","..Flying fish (Bolador)",.,.,30,32,33,27,27,25,11,18,26,31,53,52,48,63,65,68,89,71,54,37,11
"Constant 2018 Prices","..Slipmouth (Sapsap)",.,.,73,74,76,87,73,117,82,49,24,47,23,35,42,27,26,23,84,60,69,118,63
"Constant 2018 Prices","..Bigeye tuna (Tambakol/ Bariles)",.,.,26,31,32,27,24,49,73,30,50,48,9,5,6,18,22,27,73,38,57,62,21
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,12,14,15,36,24,30,24,13,16,25,14,16,18,17,21,25,66,74,79,97,65
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,158,104,112,99,144,123,126,111,115,149,168,124,103,70,48,49,65,87,88,116,114
"Constant 2018 Prices","..Endeavor prawn (Suahe)",.,.,23,28,100,130,144,149,108,59,46,38,35,42,74,54,56,64,47,36,32,33,11
"Constant 2018 Prices","..Spanish mackerel (Tanigue)",.,.,87,99,92,135,196,145,75,132,99,116,47,64,79,68,45,39,42,49,46,99,83
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,234,222,235,151,100,109,67,70,39,33,21,31,52,35,35,34,37,30,36,38,47
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,53,69,69,41,37,34,20,141,103,63,11,10,12,14,33,57,30,139,106,79,89
"Constant 2018 Prices","..Other Fisheries",.,.,1566,1592,1612,2015,2259,2585,2914,2945,2548,2163,1941,1785,1801,1792,1468,1499,1188,1396,1483,1472,1378
"Constant 2018 Prices","AGRICULTURE",90594,93508,95619,99222,102079,107908,115570,121028,118946,105263,110346,112747,117131,119317,123649,122029,119256,121724,117824,123060,124262,120097,121615
