"Geolocation","Commodity Description","2023 Feb"
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",110.6671049496610
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",110.3521218322360
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",110.0000000000000
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",109.3000000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",110.7768826691380
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",107.7931284943470
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",107.0870704494900
"PHILIPPINES","05.3.2 - Small household appliances (SD)",113.7000000000000
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",114.1351368794330
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",113.5068979715580
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",109.1000000000000
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",109.1144574040480
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",113.4000000000000
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",113.4000000000000
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",115.2679952779170
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",109.9322846950790
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",111.6489259490270
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",110.0000000000000
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",104.2000000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",104.2221416351120
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",111.7000000000000
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",112.7508344256830
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",110.9048125378900
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",120.0000000000000
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",116.2000000000000
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",116.8816185387650
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",115.9728489311980
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",127.2000000000000
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",127.1318587212840
"PHILIPPINES","06 - HEALTH",118.4000000000000
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",116.0000000000000
"PHILIPPINES","06.1.1 - Medicines (ND)",116.3000000000000
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",116.3049504534460
"PHILIPPINES","06.1.2 - Medical products (ND)",106.3000000000000
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",115.4762476012770
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",90.8014229292381
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",113.9250448805000
"PHILIPPINES","06.1.3 - Assistive products (D)",112.1000000000000
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",112.0745548665290
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",127.6000000000000
"PHILIPPINES","06.2.1 - Preventive care services (S)",119.7000000000000
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",119.7081503296840
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",142.8000000000000
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",142.8053224953130
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",128.6000000000000
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",128.5732653323620
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",117.7000000000000
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",117.7000000000000
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",117.7782936081290
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",126.5000000000000
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",126.5000000000000
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",126.5654489127500
"PHILIPPINES","07 - TRANSPORT",126.9000000000000
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",111.8000000000000
"PHILIPPINES","07.1.1 - Motor cars (D)",103.1000000000000
"PHILIPPINES","07.1.1.1 - New motor cars (D)",103.1148243715660
"PHILIPPINES","07.1.2 - Motorcycles (D)",110.4000000000000
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",110.4115092943950
"PHILIPPINES","07.1.3 - Bicycles (D)",130.8000000000000
"PHILIPPINES","07.1.3.0 - Bicycles (D)",130.7671249176150
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",110.7000000000000
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",111.8000000000000
"PHILIPPINES","07.2.1.1 - Tires (SD)",109.5104187690640
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",113.8154614888410
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",98.4557348101774
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",115.6000000000000
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",136.8316174028560
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",111.5938546731240
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",111.4000000000000
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",111.3469130375870
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",102.7000000000000
"PHILIPPINES","07.2.4.2 - Toll facilities (S)",102.8555523487180
"PHILIPPINES","07.2.4.3 - Driving lessons, tests, licences, and road worthiness tests (S)",101.1625550333500
"PHILIPPINES","07.3 - PASSENGER TRANSPORT SERVICES",134.1000000000000
"PHILIPPINES","07.3.1 - Passenger transport by railway (S)",100.0000000000000
"PHILIPPINES","07.3.1.1 - Passenger transport by train (S)",100.0000000000000
"PHILIPPINES","07.3.1.2 - Passenger transport by rapid transit and tram (S)",100.0000000000000
"PHILIPPINES","07.3.2 - Passenger transport by road (S)",136.2000000000000
"PHILIPPINES","07.3.2.1 - Passenger transport by bus and coach (S)",120.2020582707170
"PHILIPPINES","07.3.2.2 - Passenger transport by taxi and hired car with driver (S)",112.1156331445690
"PHILIPPINES","07.3.2.9 - Other passenger transport by road (S)",140.2362737229740
"PHILIPPINES","07.3.3 - Passenger transport by air (S)",111.7000000000000
"PHILIPPINES","07.3.3.1 - Passenger transport by air, domestic (S)",111.6427540833360
"PHILIPPINES","07.3.4 - Passenger transport by sea and inland waterway (S)",86.9000000000000
"PHILIPPINES","07.3.4.0 - Passenger transport by sea and inland waterway (S)",86.9401990297185
"PHILIPPINES","07.4 - TRANSPORT SERVICES OF GOODS",105.0000000000000
"PHILIPPINES","07.4.1 - Postal and courier services (S)",105.0000000000000
"PHILIPPINES","07.4.1.1 - Letter handling services (S)",105.2789817426960
"PHILIPPINES","07.4.1.2 - Courier and parcel delivery services (S)",104.3983713555310
"PHILIPPINES","08 - INFORMATION AND COMMUNICATION",102.7000000000000
"PHILIPPINES","08.1 - INFORMATION AND COMMUNICATION EQUIPMENT",103.4000000000000
"PHILIPPINES","08.1.1 - Fixed telephone equipment (D)",100.0000000000000
"PHILIPPINES","08.1.1.0 - Fixed telephone equipment (D)",100.0157013971110
"PHILIPPINES","08.1.2 - Mobile telephone equipment (D)",102.1000000000000
"PHILIPPINES","08.1.2.0 - Mobile telephone equipment (D)",102.0887564469210
"PHILIPPINES","08.1.3 - Information processing equipment (D)",103.1000000000000
"PHILIPPINES","08.1.3.1 - Computers, laptops and tablets (D)",102.6382103190730
"PHILIPPINES","08.1.3.2 - Peripheral equipment and its consumable components (D)",105.8288222465100
"PHILIPPINES","08.1.4 - Equipment for the reception, recording and reproduction of sound and vision (D)",104.4000000000000
"PHILIPPINES","08.1.4.0 - Equipment for the reception, recording and reproduction of sound and vision (D)",104.3570131364860
"PHILIPPINES","08.1.5 - Unrecorded recording media (SD)",104.3000000000000
"PHILIPPINES","08.1.5.0 - Unrecorded recording media (SD)",104.2744118870880
"PHILIPPINES","08.3 - INFORMATION AND COMMUNICATION SERVICES",102.3000000000000
"PHILIPPINES","08.3.1 - Fixed communication services (S)",105.5000000000000
"PHILIPPINES","08.3.1.0 - Fixed communication services (S)",105.5418715532200
"PHILIPPINES","08.3.2 - Mobile communication services (S)",101.5000000000000
"PHILIPPINES","08.3.2.0 - Mobile communication services (S)",101.4509812728170
"PHILIPPINES","08.3.3 - Internet access provision services and net storage services (S)",106.7000000000000
"PHILIPPINES","08.3.3.0 - Internet access provision services and net storage services (S)",106.6902710759630
"PHILIPPINES","08.3.5 - Repair and rental of information and communication equipment (S)",115.2000000000000
"PHILIPPINES","08.3.5.0 - Repair and rental of information and communication equipment (S)",115.1859269035260
"PHILIPPINES","09 - RECREATION, SPORT AND CULTURE",110.7000000000000
"PHILIPPINES","09.1 - RECREATIONAL DURABLES",101.4000000000000
"PHILIPPINES","09.1.1 - Photographic and cinematographic equipment and optical instruments (D)",101.4000000000000
"PHILIPPINES","09.1.1.1 - Cameras (D)",101.4144412810910
"PHILIPPINES","09.2 - OTHER RECREATIONAL GOODS",107.7000000000000
"PHILIPPINES","09.2.1 - Games, toys and hobbies (SD)",107.8000000000000
"PHILIPPINES","09.2.1.2 - Other games, toys and hobbies (SD)",107.7687097647210
"PHILIPPINES","09.2.2 - Equipment for sport, camping and open-air recreation (SD)",107.1000000000000
"PHILIPPINES","09.2.2.1 - Equipment for sport (SD)",107.2268295771800
"PHILIPPINES","09.2.2.2 - Equipment for camping and open-air recreation (SD)",95.2000685680730
"PHILIPPINES","09.3 - GARDEN PRODUCTS AND PETS",119.8000000000000
"PHILIPPINES","09.3.1 - Garden products, plants and flowers (ND)",124.5000000000000
"PHILIPPINES","09.3.1.1 - Garden products (ND)",119.4963397770200
"PHILIPPINES","09.3.1.2 - Plants, seeds and flowers (ND)",129.8993553293950
"PHILIPPINES","09.3.2 - Pets and products for pets (ND)",115.5000000000000
"PHILIPPINES","09.3.2.2 - Products for pets and other household animals (ND)",115.5220899760730
"PHILIPPINES","09.4 - RECREATIONAL SERVICES",95.3000000000000
"PHILIPPINES","09.4.6 - Recreational and sporting services (S)",109.6000000000000
"PHILIPPINES","09.4.6.2 - Sporting services - practice (S)",109.5516943356600
"PHILIPPINES","09.4.7 - Games of chance (S)",95.2000000000000
"PHILIPPINES","09.4.7.0 - Games of chance (S)",95.1013122882814
"PHILIPPINES","09.5 - CULTURAL GOODS",106.7000000000000
"PHILIPPINES","09.5.1 - Musical instruments (D)",106.7000000000000
"PHILIPPINES","09.5.1.0 - Musical instruments (D)",106.6834406364420
"PHILIPPINES","09.6 - CULTURAL SERVICES",109.9000000000000
"PHILIPPINES","09.6.1 - Services provided by cinemas, theatres and concert venues (S)",116.7000000000000
"PHILIPPINES","09.6.1.0 - Services provided by cinemas, theatres and concert venues (S)",116.6143375053030
"PHILIPPINES","09.6.3 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.3.0 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.9 - Other cultural services (S)",105.1000000000000
"PHILIPPINES","09.6.9.0 - Other cultural services (S)",105.0796403225390
"PHILIPPINES","09.7 - NEWSPAPERS, BOOKS AND STATIONERY",115.9000000000000
"PHILIPPINES","09.7.1 - Books (SD)",106.9000000000000
"PHILIPPINES","09.7.1.1 - Educational and textbooks in printed or electronic copy (SD)",106.6720338272480
"PHILIPPINES","09.7.1.9 - Other books (SD) in printed or electronic copy",107.4811135217940
"PHILIPPINES","09.7.2 - Newspapers and periodicals (ND)",104.1000000000000
"PHILIPPINES","09.7.2.1 - Newspapers (ND)",106.1366297359350
"PHILIPPINES","09.7.2.2 - Magazines and periodicals (ND)",101.4011329819550
"PHILIPPINES","09.7.4 - Stationery and drawing materials (ND)",119.2000000000000
"PHILIPPINES","09.7.4.0 - Stationery and drawing materials (ND)",119.2296733243840
"PHILIPPINES","09.8 - PACKAGE HOLIDAYS (S)",102.6000000000000
"PHILIPPINES","09.8.0 - Package holidays (S)",102.6000000000000
"PHILIPPINES","09.8.0.0 - Package holidays (S)",102.5567867964740
"PHILIPPINES","10 - EDUCATION SERVICES",111.2000000000000
"PHILIPPINES","10.1 - EARLY CHILDHOOD AND PRIMARY EDUCATION",113.2000000000000
"PHILIPPINES","10.1.0 - Early chilhood and primary education (S)",113.2000000000000
"PHILIPPINES","10.1.0.1 - Early childhood education services (S)",113.4998866707850
"PHILIPPINES","10.1.0.2 - Primary education (S)",113.0527515862010
"PHILIPPINES","10.2 - SECONDARY EDUCATION  (S)",110.4000000000000
"PHILIPPINES","10.2.0 - Secondary education (S)",110.4000000000000
"PHILIPPINES","10.2.0.1 - Lower secondary general education services",112.3211121297570
"PHILIPPINES","10.2.0.2 - Lower secondary technical-vocational livelihood programs services",105.7217196466120
"PHILIPPINES","10.4 - TERTIARY EDUCATION (S)",110.5000000000000
"PHILIPPINES","10.4.0 - Tertiary education (s)",110.5000000000000
"PHILIPPINES","10.4.0.0 - Tertiary education (s)",110.4850155695790
"PHILIPPINES","10.5 - EDUCATION NOT DEFINED BY LEVEL (S)",111.6000000000000
"PHILIPPINES","10.5.0 - Education not defined by level (s)",111.6000000000000
"PHILIPPINES","10.5.0.2 - Review classes for professional and licensure examination (S)",112.7798171006220
"PHILIPPINES","10.5.0.9 - Other education not defined by level (S)",104.0551375108510
"PHILIPPINES","11 - RESTAURANTS AND ACCOMMODATION SERVICES",120.1000000000000
"PHILIPPINES","11.1 - FOOD AND BEVERAGE SERVING SERVICES",120.3000000000000
"PHILIPPINES","11.1.1 - Restaurants, café and the like (S)",120.3000000000000
"PHILIPPINES","11.1.1.1 - Restaurants, café and the like - with full service (S)",120.3613771942850
"PHILIPPINES","11.2 - ACCOMMODATION SERVICES",105.3000000000000
"PHILIPPINES","11.2.0 - Accommodation services (S)",105.3000000000000
"PHILIPPINES","11.2.0.1 - Hotels, motels, inns and similar accommodation services (S)",105.2783967897430
"PHILIPPINES","12 - FINANCIAL SERVICES",143.3000000000000
"PHILIPPINES","12.2 - FINANCIAL SERVICES",143.3000000000000
"PHILIPPINES","12.2.1 - Financial intermediation services indirectly measured (S)",146.9000000000000
"PHILIPPINES","12.2.1.0 - Financial intermediation services indirectly measured (S)",146.8980600133090
"PHILIPPINES","12.2.9 - Other financial services (S)",100.0000000000000
"PHILIPPINES","12.2.9.1 - Remittances fees (S)",100.0000000000000
"PHILIPPINES","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",114.6000000000000
"PHILIPPINES","13.1 - PERSONAL CARE",115.2000000000000
"PHILIPPINES","13.1.1 - Electric appliances for personal care (SD)",100.3000000000000
"PHILIPPINES","13.1.1.1 - Electric appliances for personal care (SD)",100.2627036397560
"PHILIPPINES","13.1.2 - Other appliances, articles and products for personal care (ND)",112.7000000000000
"PHILIPPINES","13.1.2.0 - Other appliances, articles and products for personal care (ND)",112.7028233090250
"PHILIPPINES","13.1.3 - Hairdressing salons and personal grooming establishments (S)",131.2000000000000
"PHILIPPINES","13.1.3.1 - Hairdressing (S)",127.9160286289570
"PHILIPPINES","13.1.3.2 - Personal grooming treatments (S)",134.7348006408490
"PHILIPPINES","13.2 - OTHER PERSONAL EFFECTS",109.7000000000000
"PHILIPPINES","13.2.1 - Jewellery and watches (D)",106.8000000000000
"PHILIPPINES","13.2.1.1 - Jewellery and watches (D)",106.0072388025640
