"Geolocation","Commodity Description","2024 Mar"
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",..
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",..
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",..
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",..
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",..
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",..
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",..
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",..
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",..
"PHILIPPINES","04.4.1 - Water supply (ND)",..
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",..
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",..
"PHILIPPINES","04.5.1 - Electricity (ND)",..
"PHILIPPINES","04.5.1.0 - Electricity (ND)",..
"PHILIPPINES","04.5.2 - Gas (ND)",..
"PHILIPPINES","04.5.2.2 - Liquefied hydrocarbons (ND)",..
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",..
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",..
"PHILIPPINES","04.5.4 - Solid fuels (ND)",..
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",..
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",..
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",..
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",..
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",..
"PHILIPPINES","05.1.1.1 - Household furniture (D)",..
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",..
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",..
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",..
"PHILIPPINES","05.2.1 - Household textiles (SD)",..
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",..
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",..
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",..
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",..
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",..
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",..
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",..
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",..
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",..
"PHILIPPINES","05.3.2 - Small household appliances (SD)",..
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",..
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",..
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",..
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",..
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",..
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",..
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",..
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",..
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",..
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",..
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",..
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",..
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",..
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",..
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",..
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",..
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",..
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",..
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",..
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",..
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",..
"PHILIPPINES","06 - HEALTH",..
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",..
"PHILIPPINES","06.1.1 - Medicines (ND)",..
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",..
"PHILIPPINES","06.1.2 - Medical products (ND)",..
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",..
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",..
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",..
"PHILIPPINES","06.1.3 - Assistive products (D)",..
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",..
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",..
"PHILIPPINES","06.2.1 - Preventive care services (S)",..
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",..
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",..
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",..
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",..
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",..
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",..
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",..
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",..
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",..
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",..
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",..
"PHILIPPINES","07 - TRANSPORT",..
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",..
"PHILIPPINES","07.1.1 - Motor cars (D)",..
"PHILIPPINES","07.1.1.1 - New motor cars (D)",..
"PHILIPPINES","07.1.2 - Motorcycles (D)",..
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",..
"PHILIPPINES","07.1.3 - Bicycles (D)",..
"PHILIPPINES","07.1.3.0 - Bicycles (D)",..
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",..
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",..
"PHILIPPINES","07.2.1.1 - Tires (SD)",..
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",..
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",..
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",..
"PHILIPPINES","07.2.2.1 - Diesel (ND)",..
"PHILIPPINES","07.2.2.2 - Gasoline (ND)",..
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",..
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",..
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",..
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",..
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",..
"PHILIPPINES","07.2.4.2 - Toll facilities (S)",..
"PHILIPPINES","07.2.4.3 - Driving lessons, tests, licences, and road worthiness tests (S)",..
"PHILIPPINES","07.3 - PASSENGER TRANSPORT SERVICES",..
"PHILIPPINES","07.3.1 - Passenger transport by railway (S)",..
"PHILIPPINES","07.3.1.1 - Passenger transport by train (S)",..
"PHILIPPINES","07.3.1.2 - Passenger transport by rapid transit and tram (S)",..
"PHILIPPINES","07.3.2 - Passenger transport by road (S)",..
"PHILIPPINES","07.3.2.1 - Passenger transport by bus and coach (S)",..
"PHILIPPINES","07.3.2.2 - Passenger transport by taxi and hired car with driver (S)",..
"PHILIPPINES","07.3.2.9 - Other passenger transport by road (S)",..
"PHILIPPINES","07.3.3 - Passenger transport by air (S)",..
"PHILIPPINES","07.3.3.1 - Passenger transport by air, domestic (S)",..
"PHILIPPINES","07.3.4 - Passenger transport by sea and inland waterway (S)",..
"PHILIPPINES","07.3.4.0 - Passenger transport by sea and inland waterway (S)",..
"PHILIPPINES","07.4 - TRANSPORT SERVICES OF GOODS",..
"PHILIPPINES","07.4.1 - Postal and courier services (S)",..
"PHILIPPINES","07.4.1.1 - Letter handling services (S)",..
"PHILIPPINES","07.4.1.2 - Courier and parcel delivery services (S)",..
"PHILIPPINES","08 - INFORMATION AND COMMUNICATION",..
"PHILIPPINES","08.1 - INFORMATION AND COMMUNICATION EQUIPMENT",..
"PHILIPPINES","08.1.1 - Fixed telephone equipment (D)",..
"PHILIPPINES","08.1.1.0 - Fixed telephone equipment (D)",..
"PHILIPPINES","08.1.2 - Mobile telephone equipment (D)",..
"PHILIPPINES","08.1.2.0 - Mobile telephone equipment (D)",..
"PHILIPPINES","08.1.3 - Information processing equipment (D)",..
"PHILIPPINES","08.1.3.1 - Computers, laptops and tablets (D)",..
"PHILIPPINES","08.1.3.2 - Peripheral equipment and its consumable components (D)",..
"PHILIPPINES","08.1.4 - Equipment for the reception, recording and reproduction of sound and vision (D)",..
"PHILIPPINES","08.1.4.0 - Equipment for the reception, recording and reproduction of sound and vision (D)",..
"PHILIPPINES","08.1.5 - Unrecorded recording media (SD)",..
"PHILIPPINES","08.1.5.0 - Unrecorded recording media (SD)",..
"PHILIPPINES","08.3 - INFORMATION AND COMMUNICATION SERVICES",..
"PHILIPPINES","08.3.1 - Fixed communication services (S)",..
"PHILIPPINES","08.3.1.0 - Fixed communication services (S)",..
"PHILIPPINES","08.3.2 - Mobile communication services (S)",..
"PHILIPPINES","08.3.2.0 - Mobile communication services (S)",..
"PHILIPPINES","08.3.3 - Internet access provision services and net storage services (S)",..
"PHILIPPINES","08.3.3.0 - Internet access provision services and net storage services (S)",..
"PHILIPPINES","08.3.5 - Repair and rental of information and communication equipment (S)",..
"PHILIPPINES","08.3.5.0 - Repair and rental of information and communication equipment (S)",..
"PHILIPPINES","09 - RECREATION, SPORT AND CULTURE",..
"PHILIPPINES","09.1 - RECREATIONAL DURABLES",..
"PHILIPPINES","09.1.1 - Photographic and cinematographic equipment and optical instruments (D)",..
"PHILIPPINES","09.1.1.1 - Cameras (D)",..
"PHILIPPINES","09.2 - OTHER RECREATIONAL GOODS",..
"PHILIPPINES","09.2.1 - Games, toys and hobbies (SD)",..
"PHILIPPINES","09.2.1.2 - Other games, toys and hobbies (SD)",..
"PHILIPPINES","09.2.2 - Equipment for sport, camping and open-air recreation (SD)",..
"PHILIPPINES","09.2.2.1 - Equipment for sport (SD)",..
"PHILIPPINES","09.2.2.2 - Equipment for camping and open-air recreation (SD)",..
"PHILIPPINES","09.3 - GARDEN PRODUCTS AND PETS",..
"PHILIPPINES","09.3.1 - Garden products, plants and flowers (ND)",..
"PHILIPPINES","09.3.1.1 - Garden products (ND)",..
"PHILIPPINES","09.3.1.2 - Plants, seeds and flowers (ND)",..
"PHILIPPINES","09.3.2 - Pets and products for pets (ND)",..
"PHILIPPINES","09.3.2.2 - Products for pets and other household animals (ND)",..
"PHILIPPINES","09.4 - RECREATIONAL SERVICES",..
"PHILIPPINES","09.4.6 - Recreational and sporting services (S)",..
"PHILIPPINES","09.4.6.2 - Sporting services - practice (S)",..
"PHILIPPINES","09.4.7 - Games of chance (S)",..
"PHILIPPINES","09.4.7.0 - Games of chance (S)",..
"PHILIPPINES","09.5 - CULTURAL GOODS",..
"PHILIPPINES","09.5.1 - Musical instruments (D)",..
"PHILIPPINES","09.5.1.0 - Musical instruments (D)",..
"PHILIPPINES","09.6 - CULTURAL SERVICES",..
"PHILIPPINES","09.6.1 - Services provided by cinemas, theatres and concert venues (S)",..
"PHILIPPINES","09.6.1.0 - Services provided by cinemas, theatres and concert venues (S)",..
"PHILIPPINES","09.6.3 - Photographic services (S)",..
"PHILIPPINES","09.6.3.0 - Photographic services (S)",..
"PHILIPPINES","09.6.9 - Other cultural services (S)",..
"PHILIPPINES","09.6.9.0 - Other cultural services (S)",..
"PHILIPPINES","09.7 - NEWSPAPERS, BOOKS AND STATIONERY",..
"PHILIPPINES","09.7.1 - Books (SD)",..
"PHILIPPINES","09.7.1.1 - Educational and textbooks in printed or electronic copy (SD)",..
"PHILIPPINES","09.7.1.9 - Other books (SD) in printed or electronic copy",..
"PHILIPPINES","09.7.2 - Newspapers and periodicals (ND)",..
"PHILIPPINES","09.7.2.1 - Newspapers (ND)",..
"PHILIPPINES","09.7.2.2 - Magazines and periodicals (ND)",..
"PHILIPPINES","09.7.4 - Stationery and drawing materials (ND)",..
"PHILIPPINES","09.7.4.0 - Stationery and drawing materials (ND)",..
"PHILIPPINES","09.8 - PACKAGE HOLIDAYS (S)",..
"PHILIPPINES","09.8.0 - Package holidays (S)",..
"PHILIPPINES","09.8.0.0 - Package holidays (S)",..
"PHILIPPINES","10 - EDUCATION SERVICES",..
"PHILIPPINES","10.1 - EARLY CHILDHOOD AND PRIMARY EDUCATION",..
"PHILIPPINES","10.1.0 - Early chilhood and primary education (S)",..
"PHILIPPINES","10.1.0.1 - Early childhood education services (S)",..
"PHILIPPINES","10.1.0.2 - Primary education (S)",..
"PHILIPPINES","10.2 - SECONDARY EDUCATION  (S)",..
"PHILIPPINES","10.2.0 - Secondary education (S)",..
"PHILIPPINES","10.2.0.1 - Lower secondary general education services",..
"PHILIPPINES","10.2.0.2 - Lower secondary technical-vocational livelihood programs services",..
"PHILIPPINES","10.4 - TERTIARY EDUCATION (S)",..
"PHILIPPINES","10.4.0 - Tertiary education (s)",..
"PHILIPPINES","10.4.0.0 - Tertiary education (s)",..
"PHILIPPINES","10.5 - EDUCATION NOT DEFINED BY LEVEL (S)",..
"PHILIPPINES","10.5.0 - Education not defined by level (s)",..
"PHILIPPINES","10.5.0.2 - Review classes for professional and licensure examination (S)",..
"PHILIPPINES","10.5.0.9 - Other education not defined by level (S)",..
"PHILIPPINES","11 - RESTAURANTS AND ACCOMMODATION SERVICES",..
"PHILIPPINES","11.1 - FOOD AND BEVERAGE SERVING SERVICES",..
"PHILIPPINES","11.1.1 - Restaurants, café and the like (S)",..
"PHILIPPINES","11.1.1.1 - Restaurants, café and the like - with full service (S)",..
"PHILIPPINES","11.2 - ACCOMMODATION SERVICES",..
"PHILIPPINES","11.2.0 - Accommodation services (S)",..
"PHILIPPINES","11.2.0.1 - Hotels, motels, inns and similar accommodation services (S)",..
"PHILIPPINES","12 - FINANCIAL SERVICES",..
"PHILIPPINES","12.2 - FINANCIAL SERVICES",..
"PHILIPPINES","12.2.1 - Financial intermediation services indirectly measured (S)",..
"PHILIPPINES","12.2.1.0 - Financial intermediation services indirectly measured (S)",..
"PHILIPPINES","12.2.9 - Other financial services (S)",..
"PHILIPPINES","12.2.9.1 - Remittances fees (S)",..
"PHILIPPINES","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",..
"PHILIPPINES","13.1 - PERSONAL CARE",..
"PHILIPPINES","13.1.1 - Electric appliances for personal care (SD)",..
"PHILIPPINES","13.1.1.1 - Electric appliances for personal care (SD)",..
"PHILIPPINES","13.1.2 - Other appliances, articles and products for personal care (ND)",..
"PHILIPPINES","13.1.2.0 - Other appliances, articles and products for personal care (ND)",..
"PHILIPPINES","13.1.3 - Hairdressing salons and personal grooming establishments (S)",..
"PHILIPPINES","13.1.3.1 - Hairdressing (S)",..
"PHILIPPINES","13.1.3.2 - Personal grooming treatments (S)",..
"PHILIPPINES","13.2 - OTHER PERSONAL EFFECTS",..
"PHILIPPINES","13.2.1 - Jewellery and watches (D)",..
"PHILIPPINES","13.2.1.1 - Jewellery and watches (D)",..
"PHILIPPINES","13.2.1.2 - Repair and hire of jewellery, clocks and watches (S)",..
"PHILIPPINES","13.2.9 - Other personal effects n.e.c. (SD)",..
"PHILIPPINES","13.2.9.1 - Travel goods and articles for babies and other personal effects n.e.c. (SD)",..
"PHILIPPINES","13.9 - OTHER SERVICES",..
"PHILIPPINES","13.9.0 - Other services (S)",..
"PHILIPPINES","13.9.0.9 - Other services n.e.c. (S)",..
"..National Capital Region (NCR)","0 - ALL ITEMS",..
"..National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",..
"..National Capital Region (NCR)","01.1 - FOOD",..
"..National Capital Region (NCR)","01.1.1 - Cereals and cereal products (ND)",..
"..National Capital Region (NCR)","01.1.1.1 - Cereals (ND)",..
"..National Capital Region (NCR)","01.1.1.12 - Rice",..
"..National Capital Region (NCR)","01.1.1.16 - Corn",..
"..National Capital Region (NCR)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",..
"..National Capital Region (NCR)","01.1.1.2 - Flour of cereals (ND)",..
"..National Capital Region (NCR)","01.1.1.3 - Bread and bakery products (ND)",..
"..National Capital Region (NCR)","01.1.1.4 - Breakfast cereals (ND)",..
"..National Capital Region (NCR)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",..
"..National Capital Region (NCR)","01.1.1.9 - Other cereal and grain mill products (ND)",..
"..National Capital Region (NCR)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",..
"..National Capital Region (NCR)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",..
"..National Capital Region (NCR)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..
"..National Capital Region (NCR)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..
"..National Capital Region (NCR)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",..
"..National Capital Region (NCR)","01.1.3 - Fish and other seafood (ND)",..
"..National Capital Region (NCR)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",..
"..National Capital Region (NCR)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",..
"..National Capital Region (NCR)","01.1.3.3 - Fish preparations (ND)",..
"..National Capital Region (NCR)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",..
"..National Capital Region (NCR)","01.1.3.6 - Other seafood preparations (ND)",..
"..National Capital Region (NCR)","01.1.4 - Milk, other dairy products and eggs (ND)",..
"..National Capital Region (NCR)","01.1.4.1 - Raw and whole milk (ND)",..
"..National Capital Region (NCR)","01.1.4.3 - Other milk and cream (ND)",..
"..National Capital Region (NCR)","01.1.4.4 - Non-animal milk (ND)",..
"..National Capital Region (NCR)","01.1.4.5 - Cheese (ND)",..
"..National Capital Region (NCR)","01.1.4.6 - Yoghurt and similar products (ND)",..
"..National Capital Region (NCR)","01.1.4.7 - Milk-based dessert and beverages (ND)",..
