"Geolocation","Commodity Description","2023 Mar"
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",123.1000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",123.0343540721380
"PHILIPPINES","01.2.5 - Water (ND)",110.0000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",109.9974184820960
"PHILIPPINES","01.2.6 - Soft drinks (ND)",123.0000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",122.9754723770150
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",126.7000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",126.6547198241710
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",165.2000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",133.4000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",136.1000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",136.1050997705420
"PHILIPPINES","02.1.2 - Wine (ND)",123.6000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",121.3230540955870
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",124.1834118300920
"PHILIPPINES","02.1.3 - Beer (ND)",131.3000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",131.3492760412400
"PHILIPPINES","02.3 - TOBACCO",187.1000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",187.1000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",187.7393423791340
"PHILIPPINES","02.3.0.2 - Cigars (ND)",176.4730012095660
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",140.6196325912640
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",149.1000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",149.1000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",149.1246955767440
"PHILIPPINES","02.900 - NON-FOOD",117.1000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",113.8000000000000
"PHILIPPINES","03.1 - CLOTHING",113.5000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",110.2000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",110.1867973413090
"PHILIPPINES","03.1.2 - Garments (SD)",113.2000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",113.2199391600630
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",113.0869583177320
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",115.5299947527580
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",118.6646291507230
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",113.1000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",112.5252592737360
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",117.3954949858160
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",126.1000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",125.4864132603990
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",127.9457105636970
"PHILIPPINES","03.2 - FOOTWEAR",114.2000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",114.2000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",115.0961298620700
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",112.9804413279250
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",114.1926063070930
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",119.2000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",119.1750119698970
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",115.7000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",114.5000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",114.5000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",114.5096315247780
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",117.2000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",115.3000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",115.3030274318610
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",123.7000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",123.6894505791140
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",115.7000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",115.7000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",115.7192120197380
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",130.6000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",146.6000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",146.5235814767960
"PHILIPPINES","04.5.4 - Solid fuels (ND)",129.8000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",129.4323299872070
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",130.8370994233040
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",117.3000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",110.0000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",110.0000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",109.9092240612120
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",113.8855509297780
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",109.6864669364890
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",109.1000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",109.1000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",107.8043170505780
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",109.5643778254090
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",110.9605230298650
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",110.6054799151650
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",110.2000000000000
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",109.5000000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",111.0804586632040
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",107.9047337340460
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",107.1752617780170
"PHILIPPINES","05.3.2 - Small household appliances (SD)",114.3000000000000
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",114.3553330231390
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",114.2308950302030
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",109.3000000000000
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",109.3255203912920
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",114.0000000000000
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",114.0000000000000
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",116.0518815352180
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",110.2160244290710
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",111.9478474821080
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",110.3000000000000
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",104.3000000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",104.2906309958860
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",112.1000000000000
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",113.5388267695730
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",111.0783666309250
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",120.5000000000000
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",116.9000000000000
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",117.5916633017950
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",116.6792887077320
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",127.2000000000000
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",127.2115885032940
"PHILIPPINES","06 - HEALTH",118.6000000000000
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",116.4000000000000
"PHILIPPINES","06.1.1 - Medicines (ND)",116.7000000000000
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",116.7088589641530
"PHILIPPINES","06.1.2 - Medical products (ND)",106.1000000000000
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",115.4420921515010
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",89.8663031716970
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",114.3487656030670
"PHILIPPINES","06.1.3 - Assistive products (D)",112.4000000000000
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",112.4055579014940
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",128.0000000000000
"PHILIPPINES","06.2.1 - Preventive care services (S)",120.1000000000000
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",120.1798898297340
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",143.2000000000000
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",143.1396180978820
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",128.6000000000000
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",128.5732653323620
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",117.8000000000000
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",117.8000000000000
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",117.8664551111320
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",126.9000000000000
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",126.9000000000000
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",126.8313448393090
"PHILIPPINES","07 - TRANSPORT",127.6000000000000
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",112.3000000000000
"PHILIPPINES","07.1.1 - Motor cars (D)",103.1000000000000
"PHILIPPINES","07.1.1.1 - New motor cars (D)",103.1148243715660
"PHILIPPINES","07.1.2 - Motorcycles (D)",111.3000000000000
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",111.2438435060490
"PHILIPPINES","07.1.3 - Bicycles (D)",130.9000000000000
"PHILIPPINES","07.1.3.0 - Bicycles (D)",130.9018225771560
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",111.1000000000000
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",112.1000000000000
"PHILIPPINES","07.2.1.1 - Tires (SD)",110.1466551749170
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",113.9925234347410
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",98.4557348101774
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",115.2000000000000
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",133.4772500830290
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",111.7946091188960
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",111.9000000000000
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",111.9400854461330
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",102.7000000000000
"PHILIPPINES","07.2.4.2 - Toll facilities (S)",102.8555523487180
"PHILIPPINES","07.2.4.3 - Driving lessons, tests, licences, and road worthiness tests (S)",101.4625384110850
"PHILIPPINES","07.3 - PASSENGER TRANSPORT SERVICES",135.0000000000000
"PHILIPPINES","07.3.1 - Passenger transport by railway (S)",100.0000000000000
"PHILIPPINES","07.3.1.1 - Passenger transport by train (S)",100.0000000000000
"PHILIPPINES","07.3.1.2 - Passenger transport by rapid transit and tram (S)",100.0000000000000
"PHILIPPINES","07.3.2 - Passenger transport by road (S)",136.2000000000000
"PHILIPPINES","07.3.2.1 - Passenger transport by bus and coach (S)",120.4770067627310
"PHILIPPINES","07.3.2.2 - Passenger transport by taxi and hired car with driver (S)",112.1156331445690
"PHILIPPINES","07.3.2.9 - Other passenger transport by road (S)",140.2361494460150
"PHILIPPINES","07.3.3 - Passenger transport by air (S)",118.9000000000000
"PHILIPPINES","07.3.3.1 - Passenger transport by air, domestic (S)",118.8782905154310
"PHILIPPINES","07.3.4 - Passenger transport by sea and inland waterway (S)",111.2000000000000
"PHILIPPINES","07.3.4.0 - Passenger transport by sea and inland waterway (S)",111.1315971477370
"PHILIPPINES","07.4 - TRANSPORT SERVICES OF GOODS",105.0000000000000
"PHILIPPINES","07.4.1 - Postal and courier services (S)",105.0000000000000
"PHILIPPINES","07.4.1.1 - Letter handling services (S)",105.2789817426960
"PHILIPPINES","07.4.1.2 - Courier and parcel delivery services (S)",104.4029602611250
"PHILIPPINES","08 - INFORMATION AND COMMUNICATION",102.7000000000000
"PHILIPPINES","08.1 - INFORMATION AND COMMUNICATION EQUIPMENT",103.5000000000000
"PHILIPPINES","08.1.1 - Fixed telephone equipment (D)",100.0000000000000
"PHILIPPINES","08.1.1.0 - Fixed telephone equipment (D)",100.0157013971110
"PHILIPPINES","08.1.2 - Mobile telephone equipment (D)",102.2000000000000
"PHILIPPINES","08.1.2.0 - Mobile telephone equipment (D)",102.1965139458840
"PHILIPPINES","08.1.3 - Information processing equipment (D)",103.2000000000000
"PHILIPPINES","08.1.3.1 - Computers, laptops and tablets (D)",102.7191562275530
"PHILIPPINES","08.1.3.2 - Peripheral equipment and its consumable components (D)",106.1627343932230
"PHILIPPINES","08.1.4 - Equipment for the reception, recording and reproduction of sound and vision (D)",104.4000000000000
"PHILIPPINES","08.1.4.0 - Equipment for the reception, recording and reproduction of sound and vision (D)",104.4184688177400
"PHILIPPINES","08.1.5 - Unrecorded recording media (SD)",104.3000000000000
"PHILIPPINES","08.1.5.0 - Unrecorded recording media (SD)",104.2692097014630
"PHILIPPINES","08.3 - INFORMATION AND COMMUNICATION SERVICES",102.3000000000000
"PHILIPPINES","08.3.1 - Fixed communication services (S)",105.5000000000000
"PHILIPPINES","08.3.1.0 - Fixed communication services (S)",105.5393707212920
"PHILIPPINES","08.3.2 - Mobile communication services (S)",101.5000000000000
"PHILIPPINES","08.3.2.0 - Mobile communication services (S)",101.4571522632870
"PHILIPPINES","08.3.3 - Internet access provision services and net storage services (S)",106.8000000000000
"PHILIPPINES","08.3.3.0 - Internet access provision services and net storage services (S)",106.7792961339110
"PHILIPPINES","08.3.5 - Repair and rental of information and communication equipment (S)",115.2000000000000
"PHILIPPINES","08.3.5.0 - Repair and rental of information and communication equipment (S)",115.1960362306040
"PHILIPPINES","09 - RECREATION, SPORT AND CULTURE",110.9000000000000
"PHILIPPINES","09.1 - RECREATIONAL DURABLES",101.4000000000000
"PHILIPPINES","09.1.1 - Photographic and cinematographic equipment and optical instruments (D)",101.4000000000000
"PHILIPPINES","09.1.1.1 - Cameras (D)",101.4264007235150
"PHILIPPINES","09.2 - OTHER RECREATIONAL GOODS",108.0000000000000
"PHILIPPINES","09.2.1 - Games, toys and hobbies (SD)",108.0000000000000
"PHILIPPINES","09.2.1.2 - Other games, toys and hobbies (SD)",107.9742891310850
"PHILIPPINES","09.2.2 - Equipment for sport, camping and open-air recreation (SD)",107.5000000000000
"PHILIPPINES","09.2.2.1 - Equipment for sport (SD)",107.5411345189070
"PHILIPPINES","09.2.2.2 - Equipment for camping and open-air recreation (SD)",95.2000685680730
"PHILIPPINES","09.3 - GARDEN PRODUCTS AND PETS",119.1000000000000
"PHILIPPINES","09.3.1 - Garden products, plants and flowers (ND)",122.3000000000000
"PHILIPPINES","09.3.1.1 - Garden products (ND)",119.3907690264850
"PHILIPPINES","09.3.1.2 - Plants, seeds and flowers (ND)",125.4944107813540
"PHILIPPINES","09.3.2 - Pets and products for pets (ND)",116.1000000000000
"PHILIPPINES","09.3.2.2 - Products for pets and other household animals (ND)",116.1100464869630
"PHILIPPINES","09.4 - RECREATIONAL SERVICES",95.3000000000000
"PHILIPPINES","09.4.6 - Recreational and sporting services (S)",110.2000000000000
"PHILIPPINES","09.4.6.2 - Sporting services - practice (S)",110.1902394406080
"PHILIPPINES","09.4.7 - Games of chance (S)",95.2000000000000
"PHILIPPINES","09.4.7.0 - Games of chance (S)",95.1013122882814
"PHILIPPINES","09.5 - CULTURAL GOODS",106.9000000000000
"PHILIPPINES","09.5.1 - Musical instruments (D)",106.9000000000000
"PHILIPPINES","09.5.1.0 - Musical instruments (D)",106.9217575740320
"PHILIPPINES","09.6 - CULTURAL SERVICES",110.3000000000000
"PHILIPPINES","09.6.1 - Services provided by cinemas, theatres and concert venues (S)",116.9000000000000
"PHILIPPINES","09.6.1.0 - Services provided by cinemas, theatres and concert venues (S)",116.8631822536550
"PHILIPPINES","09.6.3 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.3.0 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.9 - Other cultural services (S)",105.5000000000000
"PHILIPPINES","09.6.9.0 - Other cultural services (S)",105.5075751749170
"PHILIPPINES","09.7 - NEWSPAPERS, BOOKS AND STATIONERY",116.4000000000000
"PHILIPPINES","09.7.1 - Books (SD)",107.1000000000000
"PHILIPPINES","09.7.1.1 - Educational and textbooks in printed or electronic copy (SD)",106.9785673480730
"PHILIPPINES","09.7.1.9 - Other books (SD) in printed or electronic copy",107.4387783417410
"PHILIPPINES","09.7.2 - Newspapers and periodicals (ND)",104.1000000000000
"PHILIPPINES","09.7.2.1 - Newspapers (ND)",106.2402478145400
"PHILIPPINES","09.7.2.2 - Magazines and periodicals (ND)",101.3265052160030
"PHILIPPINES","09.7.4 - Stationery and drawing materials (ND)",119.8000000000000
"PHILIPPINES","09.7.4.0 - Stationery and drawing materials (ND)",119.8036166786550
"PHILIPPINES","09.8 - PACKAGE HOLIDAYS (S)",102.6000000000000
"PHILIPPINES","09.8.0 - Package holidays (S)",102.6000000000000
"PHILIPPINES","09.8.0.0 - Package holidays (S)",102.5889859655170
"PHILIPPINES","10 - EDUCATION SERVICES",111.2000000000000
"PHILIPPINES","10.1 - EARLY CHILDHOOD AND PRIMARY EDUCATION",113.2000000000000
"PHILIPPINES","10.1.0 - Early chilhood and primary education (S)",113.2000000000000
"PHILIPPINES","10.1.0.1 - Early childhood education services (S)",113.4998866707850
"PHILIPPINES","10.1.0.2 - Primary education (S)",113.0527515862010
"PHILIPPINES","10.2 - SECONDARY EDUCATION  (S)",110.4000000000000
"PHILIPPINES","10.2.0 - Secondary education (S)",110.4000000000000
"PHILIPPINES","10.2.0.1 - Lower secondary general education services",112.3211121297570
"PHILIPPINES","10.2.0.2 - Lower secondary technical-vocational livelihood programs services",105.7217196466120
"PHILIPPINES","10.4 - TERTIARY EDUCATION (S)",110.5000000000000
"PHILIPPINES","10.4.0 - Tertiary education (s)",110.5000000000000
"PHILIPPINES","10.4.0.0 - Tertiary education (s)",110.4850155695790
"PHILIPPINES","10.5 - EDUCATION NOT DEFINED BY LEVEL (S)",111.6000000000000
"PHILIPPINES","10.5.0 - Education not defined by level (s)",111.6000000000000
"PHILIPPINES","10.5.0.2 - Review classes for professional and licensure examination (S)",112.7798171006220
"PHILIPPINES","10.5.0.9 - Other education not defined by level (S)",104.0551375108510
"PHILIPPINES","11 - RESTAURANTS AND ACCOMMODATION SERVICES",120.7000000000000
"PHILIPPINES","11.1 - FOOD AND BEVERAGE SERVING SERVICES",120.9000000000000
"PHILIPPINES","11.1.1 - Restaurants, café and the like (S)",120.9000000000000
"PHILIPPINES","11.1.1.1 - Restaurants, café and the like - with full service (S)",120.9088484755300
"PHILIPPINES","11.2 - ACCOMMODATION SERVICES",105.3000000000000
"PHILIPPINES","11.2.0 - Accommodation services (S)",105.3000000000000
"PHILIPPINES","11.2.0.1 - Hotels, motels, inns and similar accommodation services (S)",105.3533734302470
"PHILIPPINES","12 - FINANCIAL SERVICES",143.3000000000000
"PHILIPPINES","12.2 - FINANCIAL SERVICES",143.3000000000000
"PHILIPPINES","12.2.1 - Financial intermediation services indirectly measured (S)",146.9000000000000
"PHILIPPINES","12.2.1.0 - Financial intermediation services indirectly measured (S)",146.8980600133090
"PHILIPPINES","12.2.9 - Other financial services (S)",100.0000000000000
"PHILIPPINES","12.2.9.1 - Remittances fees (S)",100.0000000000000
"PHILIPPINES","13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",115.1000000000000
"PHILIPPINES","13.1 - PERSONAL CARE",115.9000000000000
"PHILIPPINES","13.1.1 - Electric appliances for personal care (SD)",100.3000000000000
"PHILIPPINES","13.1.1.1 - Electric appliances for personal care (SD)",100.2627036397560
"PHILIPPINES","13.1.2 - Other appliances, articles and products for personal care (ND)",113.3000000000000
"PHILIPPINES","13.1.2.0 - Other appliances, articles and products for personal care (ND)",113.3660778978810
"PHILIPPINES","13.1.3 - Hairdressing salons and personal grooming establishments (S)",131.7000000000000
"PHILIPPINES","13.1.3.1 - Hairdressing (S)",128.3291608793130
"PHILIPPINES","13.1.3.2 - Personal grooming treatments (S)",135.2896516580510
"PHILIPPINES","13.2 - OTHER PERSONAL EFFECTS",110.0000000000000
"PHILIPPINES","13.2.1 - Jewellery and watches (D)",107.0000000000000
"PHILIPPINES","13.2.1.1 - Jewellery and watches (D)",106.2145923600170
