"Geolocation","Commodity Description","2021 Ave"
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",118.0583333333330
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",118.4785579436100
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",123.0416234737040
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",116.3410467260210
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",121.0284864300840
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",117.9553985340040
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",107.1134439141600
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",109.5162150581960
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",118.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",121.7837203428710
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",119.1401719788590
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",118.2328810569900
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",118.6707999312280
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",109.7497955291130
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",112.8066684225610
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",103.7416666666670
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.3290286304133
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",106.9637637220480
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",110.6819177050680
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.3675108191910
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",105.7823893620860
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",105.7318572637230
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",110.7416666666670
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.7187519967830
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",111.6073069792640
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",122.4760128703370
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",111.5906010823580
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",107.5000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",117.3083333333330
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",117.2892467333090
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.8166666666670
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.8140919076740
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",106.3333333333330
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",106.3514593852200
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",111.0750000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",111.0558960562030
"PHILIPPINES","01.2.5 - Water (ND)",104.2750000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",104.2801859169700
"PHILIPPINES","01.2.6 - Soft drinks (ND)",109.2416666666670
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",109.2394865900830
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",115.2916666666670
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",115.2820971900240
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",141.6916666666670
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",119.1583333333330
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",120.5083333333330
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",120.5029169381700
"PHILIPPINES","02.1.2 - Wine (ND)",113.3750000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",109.9933438463870
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",114.2018135633150
"PHILIPPINES","02.1.3 - Beer (ND)",118.2083333333330
"PHILIPPINES","02.1.3.0 - Beer (ND)",118.2009064815380
"PHILIPPINES","02.3 - TOBACCO",157.2583333333330
"PHILIPPINES","02.3.0 - Tobacco (ND)",157.2583333333330
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",157.6216191472750
"PHILIPPINES","02.3.0.2 - Cigars (ND)",149.4209931969390
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",130.2354975107040
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",133.4666666666670
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",133.4666666666670
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",133.5042098198560
"PHILIPPINES","02.900 - NON-FOOD",107.7750000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",106.9083333333330
"PHILIPPINES","03.1 - CLOTHING",106.6583333333330
"PHILIPPINES","03.1.1 - Clothing materials (SD)",105.5083333333330
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",105.5155606305970
"PHILIPPINES","03.1.2 - Garments (SD)",106.4583333333330
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",106.3648842521320
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",106.5097126297400
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",107.6163681439880
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",108.5956946283810
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",107.7166666666670
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",107.1600591750330
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",111.6442053996050
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",113.6250000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",112.3752758777980
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",116.9792620009360
"PHILIPPINES","03.2 - FOOTWEAR",107.4333333333330
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",107.4333333333330
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",107.6555093119440
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",106.4685411519130
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",108.0410082649790
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",110.8916666666670
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",110.9050600901740
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",105.8166666666670
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",107.3500000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",107.3500000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",107.3521649899020
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",108.8250000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",107.0583333333330
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",107.0842228767530
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",114.8666666666670
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",114.8617402497740
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",106.5416666666670
"PHILIPPINES","04.4.1 - Water supply (ND)",106.5416666666670
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",106.5644517398090
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",102.4250000000000
"PHILIPPINES","04.5.1 - Electricity (ND)",95.1750000000000
"PHILIPPINES","04.5.1.0 - Electricity (ND)",95.1775327525149
"PHILIPPINES","04.5.2 - Gas (ND)",116.9250000000000
"PHILIPPINES","04.5.2.2 - Liquefied hydrocarbons (ND)",116.9277667865540
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",99.2500000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",99.2573222881020
"PHILIPPINES","04.5.4 - Solid fuels (ND)",119.1833333333330
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",118.7968622492950
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",120.2985001875930
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",108.4750000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",105.6583333333330
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",105.6583333333330
"PHILIPPINES","05.1.1.1 - Household furniture (D)",105.5264526317910
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",109.5169868297880
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",105.8629498651110
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",104.6166666666670
"PHILIPPINES","05.2.1 - Household textiles (SD)",104.6166666666670
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",103.5082578359070
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",104.9442826935720
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",104.9838146904020
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",106.6789147601050
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",105.0583333333330
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",104.6250000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",105.7033003406960
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",103.3027473945270
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",103.4251759614200
"PHILIPPINES","05.3.2 - Small household appliances (SD)",107.3416666666670
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",107.3961204936710
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",107.3238762815250
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",104.4166666666670
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",104.4079738873180
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",107.5583333333330
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",107.5583333333330
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",108.2663941656170
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",105.7135384187320
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",107.0956383211180
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",105.4083333333330
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",102.3500000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",102.3561907523100
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",106.2750000000000
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",107.5846105221740
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",105.3207010633750
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",109.9750000000000
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",107.4666666666670
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",108.0706161963280
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",107.2739294753060
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",114.6750000000000
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",114.6743171818020
"PHILIPPINES","06 - HEALTH",112.1750000000000
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",110.0250000000000
"PHILIPPINES","06.1.1 - Medicines (ND)",110.1833333333330
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",110.1813111335750
"PHILIPPINES","06.1.2 - Medical products (ND)",104.4416666666670
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",108.6561526530210
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",96.4586725585407
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",108.8816646604430
"PHILIPPINES","06.1.3 - Assistive products (D)",107.5083333333330
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",107.5243672875510
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",118.8416666666670
"PHILIPPINES","06.2.1 - Preventive care services (S)",113.4666666666670
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",113.4540971653110
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",129.1833333333330
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",129.2082126943400
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",100.0000000000000
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",100.0000000000000
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",113.7583333333330
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",113.7583333333330
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",113.7745082003710
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",114.3166666666670
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",114.3166666666670
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",114.3082305626910
"PHILIPPINES","07 - TRANSPORT",112.2666666666670
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",108.5500000000000
"PHILIPPINES","07.1.1 - Motor cars (D)",103.3916666666670
"PHILIPPINES","07.1.1.1 - New motor cars (D)",103.4298877423960
"PHILIPPINES","07.1.2 - Motorcycles (D)",106.0083333333330
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",106.0177257202520
"PHILIPPINES","07.1.3 - Bicycles (D)",125.1500000000000
"PHILIPPINES","07.1.3.0 - Bicycles (D)",125.1127494753830
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",104.6250000000000
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",106.2000000000000
"PHILIPPINES","07.2.1.1 - Tires (SD)",105.2687990996380
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",107.0367109275010
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",103.3983465767720
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",104.5500000000000
"PHILIPPINES","07.2.2.1 - Diesel (ND)",101.1339826726300
"PHILIPPINES","07.2.2.2 - Gasoline (ND)",105.6709220871170
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",115.2413373187200
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",105.7604950093850
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",105.1500000000000
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",105.1241577834100
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",100.1250000000000
"PHILIPPINES","07.2.4.2 - Toll facilities (S)",100.0000000000000
"PHILIPPINES","07.2.4.3 - Driving lessons, tests, licences, and road worthiness tests (S)",100.9695707869680
"PHILIPPINES","07.3 - PASSENGER TRANSPORT SERVICES",118.3500000000000
"PHILIPPINES","07.3.1 - Passenger transport by railway (S)",100.0000000000000
"PHILIPPINES","07.3.1.1 - Passenger transport by train (S)",100.0000000000000
"PHILIPPINES","07.3.1.2 - Passenger transport by rapid transit and tram (S)",100.0000000000000
"PHILIPPINES","07.3.2 - Passenger transport by road (S)",119.6916666666670
"PHILIPPINES","07.3.2.1 - Passenger transport by bus and coach (S)",108.6372250635880
"PHILIPPINES","07.3.2.2 - Passenger transport by taxi and hired car with driver (S)",105.3230918130330
"PHILIPPINES","07.3.2.9 - Other passenger transport by road (S)",122.4086540180920
"PHILIPPINES","07.3.3 - Passenger transport by air (S)",84.4750000000000
"PHILIPPINES","07.3.3.1 - Passenger transport by air, domestic (S)",84.4882622586294
"PHILIPPINES","07.3.4 - Passenger transport by sea and inland waterway (S)",100.9166666666670
"PHILIPPINES","07.3.4.0 - Passenger transport by sea and inland waterway (S)",100.8760915712790
"PHILIPPINES","07.4 - TRANSPORT SERVICES OF GOODS",104.6416666666670
"PHILIPPINES","07.4.1 - Postal and courier services (S)",104.6416666666670
"PHILIPPINES","07.4.1.1 - Letter handling services (S)",105.2770224360490
"PHILIPPINES","07.4.1.2 - Courier and parcel delivery services (S)",103.3620838507300
"PHILIPPINES","08 - INFORMATION AND COMMUNICATION",101.4916666666670
"PHILIPPINES","08.1 - INFORMATION AND COMMUNICATION EQUIPMENT",101.7750000000000
"PHILIPPINES","08.1.1 - Fixed telephone equipment (D)",100.0000000000000
"PHILIPPINES","08.1.1.0 - Fixed telephone equipment (D)",100.0157013971110
"PHILIPPINES","08.1.2 - Mobile telephone equipment (D)",101.6000000000000
"PHILIPPINES","08.1.2.0 - Mobile telephone equipment (D)",101.5720600080220
"PHILIPPINES","08.1.3 - Information processing equipment (D)",101.5583333333330
"PHILIPPINES","08.1.3.1 - Computers, laptops and tablets (D)",101.3437399317470
"PHILIPPINES","08.1.3.2 - Peripheral equipment and its consumable components (D)",102.9387590180300
"PHILIPPINES","08.1.4 - Equipment for the reception, recording and reproduction of sound and vision (D)",101.9416666666670
"PHILIPPINES","08.1.4.0 - Equipment for the reception, recording and reproduction of sound and vision (D)",101.9414276038540
"PHILIPPINES","08.1.5 - Unrecorded recording media (SD)",101.7500000000000
"PHILIPPINES","08.1.5.0 - Unrecorded recording media (SD)",101.7182019479990
"PHILIPPINES","08.3 - INFORMATION AND COMMUNICATION SERVICES",101.3666666666670
"PHILIPPINES","08.3.1 - Fixed communication services (S)",101.2083333333330
"PHILIPPINES","08.3.1.0 - Fixed communication services (S)",101.2138829011820
"PHILIPPINES","08.3.2 - Mobile communication services (S)",100.8916666666670
"PHILIPPINES","08.3.2.0 - Mobile communication services (S)",100.8876593102590
"PHILIPPINES","08.3.3 - Internet access provision services and net storage services (S)",104.5000000000000
"PHILIPPINES","08.3.3.0 - Internet access provision services and net storage services (S)",104.5027907174790
"PHILIPPINES","08.3.5 - Repair and rental of information and communication equipment (S)",105.9416666666670
"PHILIPPINES","08.3.5.0 - Repair and rental of information and communication equipment (S)",105.9725575213340
"PHILIPPINES","09 - RECREATION, SPORT AND CULTURE",104.8166666666670
"PHILIPPINES","09.1 - RECREATIONAL DURABLES",100.3333333333330
"PHILIPPINES","09.1.1 - Photographic and cinematographic equipment and optical instruments (D)",100.3333333333330
"PHILIPPINES","09.1.1.1 - Cameras (D)",100.3176975923320
"PHILIPPINES","09.2 - OTHER RECREATIONAL GOODS",103.1166666666670
"PHILIPPINES","09.2.1 - Games, toys and hobbies (SD)",103.1083333333330
"PHILIPPINES","09.2.1.2 - Other games, toys and hobbies (SD)",103.0886083551510
"PHILIPPINES","09.2.2 - Equipment for sport, camping and open-air recreation (SD)",103.7500000000000
"PHILIPPINES","09.2.2.1 - Equipment for sport (SD)",103.7608657435620
"PHILIPPINES","09.2.2.2 - Equipment for camping and open-air recreation (SD)",102.9168626997920
"PHILIPPINES","09.3 - GARDEN PRODUCTS AND PETS",108.8916666666670
"PHILIPPINES","09.3.1 - Garden products, plants and flowers (ND)",110.8166666666670
"PHILIPPINES","09.3.1.1 - Garden products (ND)",106.9071321434500
"PHILIPPINES","09.3.1.2 - Plants, seeds and flowers (ND)",115.0050288341060
"PHILIPPINES","09.3.2 - Pets and products for pets (ND)",107.0916666666670
"PHILIPPINES","09.3.2.2 - Products for pets and other household animals (ND)",107.0903532738420
"PHILIPPINES","09.4 - RECREATIONAL SERVICES",95.3000000000000
"PHILIPPINES","09.4.6 - Recreational and sporting services (S)",106.0000000000000
"PHILIPPINES","09.4.6.2 - Sporting services - practice (S)",106.0054380765000
"PHILIPPINES","09.4.7 - Games of chance (S)",95.2250000000000
"PHILIPPINES","09.4.7.0 - Games of chance (S)",95.1809998159968
"PHILIPPINES","09.5 - CULTURAL GOODS",103.8750000000000
"PHILIPPINES","09.5.1 - Musical instruments (D)",103.8750000000000
"PHILIPPINES","09.5.1.0 - Musical instruments (D)",103.8605073321390
"PHILIPPINES","09.6 - CULTURAL SERVICES",104.7000000000000
"PHILIPPINES","09.6.1 - Services provided by cinemas, theatres and concert venues (S)",105.5416666666670
"PHILIPPINES","09.6.1.0 - Services provided by cinemas, theatres and concert venues (S)",105.5265297823690
"PHILIPPINES","09.6.3 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.3.0 - Photographic services (S)",150.0000000000000
"PHILIPPINES","09.6.9 - Other cultural services (S)",104.0000000000000
"PHILIPPINES","09.6.9.0 - Other cultural services (S)",104.0145092426920
"PHILIPPINES","09.7 - NEWSPAPERS, BOOKS AND STATIONERY",108.2833333333330
"PHILIPPINES","09.7.1 - Books (SD)",102.8166666666670
"PHILIPPINES","09.7.1.1 - Educational and textbooks in printed or electronic copy (SD)",102.4489101531660
"PHILIPPINES","09.7.1.9 - Other books (SD) in printed or electronic copy",103.6481435042190
"PHILIPPINES","09.7.2 - Newspapers and periodicals (ND)",101.6916666666670
"PHILIPPINES","09.7.2.1 - Newspapers (ND)",102.3237360786780
"PHILIPPINES","09.7.2.2 - Magazines and periodicals (ND)",100.8492324972610
"PHILIPPINES","09.7.4 - Stationery and drawing materials (ND)",110.2666666666670
"PHILIPPINES","09.7.4.0 - Stationery and drawing materials (ND)",110.2732597346930
"PHILIPPINES","09.8 - PACKAGE HOLIDAYS (S)",100.0000000000000
"PHILIPPINES","09.8.0 - Package holidays (S)",100.0000000000000
"PHILIPPINES","09.8.0.0 - Package holidays (S)",100.0000000000000
"PHILIPPINES","10 - EDUCATION SERVICES",106.8833333333330
"PHILIPPINES","10.1 - EARLY CHILDHOOD AND PRIMARY EDUCATION",108.0333333333330
"PHILIPPINES","10.1.0 - Early chilhood and primary education (S)",108.0333333333330
"PHILIPPINES","10.1.0.1 - Early childhood education services (S)",107.6183456550440
"PHILIPPINES","10.1.0.2 - Primary education (S)",108.1773127183780
"PHILIPPINES","10.2 - SECONDARY EDUCATION  (S)",107.4416666666670
"PHILIPPINES","10.2.0 - Secondary education (S)",107.4416666666670
"PHILIPPINES","10.2.0.1 - Lower secondary general education services",108.5762699724850
"PHILIPPINES","10.2.0.2 - Lower secondary technical-vocational livelihood programs services",104.9968575102710
"PHILIPPINES","10.4 - TERTIARY EDUCATION (S)",105.5916666666670
"PHILIPPINES","10.4.0 - Tertiary education (s)",105.5916666666670
"PHILIPPINES","10.4.0.0 - Tertiary education (s)",105.5871378677030
"PHILIPPINES","10.5 - EDUCATION NOT DEFINED BY LEVEL (S)",105.5000000000000
"PHILIPPINES","10.5.0 - Education not defined by level (s)",105.5000000000000
"PHILIPPINES","10.5.0.2 - Review classes for professional and licensure examination (S)",105.7199491197140
"PHILIPPINES","10.5.0.9 - Other education not defined by level (S)",104.0551375108510
"PHILIPPINES","11 - RESTAURANTS AND ACCOMMODATION SERVICES",109.4083333333330
"PHILIPPINES","11.1 - FOOD AND BEVERAGE SERVING SERVICES",109.5583333333330
"PHILIPPINES","11.1.1 - Restaurants, café and the like (S)",109.5583333333330
"PHILIPPINES","11.1.1.1 - Restaurants, café and the like - with full service (S)",109.5503847754530
"PHILIPPINES","11.2 - ACCOMMODATION SERVICES",100.2083333333330
"PHILIPPINES","11.2.0 - Accommodation services (S)",100.2083333333330
"PHILIPPINES","11.2.0.1 - Hotels, motels, inns and similar accommodation services (S)",100.1951464229680
"PHILIPPINES","12 - FINANCIAL SERVICES",132.4750000000000
"PHILIPPINES","12.2 - FINANCIAL SERVICES",132.4750000000000
"PHILIPPINES","12.2.1 - Financial intermediation services indirectly measured (S)",135.1750000000000
"PHILIPPINES","12.2.1.0 - Financial intermediation services indirectly measured (S)",135.1735450099820
