Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 April,2011 August,2011 December,2011 February,2011 January,2011 July,2011 June,2011 March,2011 May,2011 November,2011 October,2011 September,2012 April,2012 August,2012 December,2012 February,2012 January,2012 July,2012 June,2012 March,2012 May,2012 November,2012 October,2012 September,2013 April,2013 August,2013 December,2013 February,2013 January,2013 July,2013 June,2013 March,2013 May,2013 November,2013 October,2013 September,2014 April,2014 August,2014 December,2014 February,2014 January,2014 July,2014 June,2014 March,2014 May,2014 November,2014 October,2014 September,2015 April,2015 August,2015 December,2015 February,2015 January,2015 July,2015 June,2015 March,2015 May,2015 November,2015 October,2015 September,2016 April,2016 August,2016 December,2016 February,2016 January,2016 July,2016 June,2016 March,2016 May,2016 November,2016 October,2016 September,2017 April,2017 August,2017 December,2017 February,2017 January,2017 July,2017 June,2017 March,2017 May,2017 November,2017 October,2017 September,2018 April,2018 August,2018 December,2018 February,2018 January,2018 July,2018 June,2018 March,2018 May,2018 November,2018 October,2018 September,2019 April,2019 August,2019 December,2019 February,2019 January,2019 July,2019 June,2019 March,2019 May,2019 November,2019 October,2019 September,2020 April,2020 August,2020 December,2020 February,2020 January,2020 July,2020 June,2020 March,2020 May,2020 November,2020 October,2020 September,2021 April,2021 August,2021 December,2021 February,2021 January,2021 July,2021 June,2021 March,2021 May,2021 November,2021 October,2021 September,2022 April,2022 August,2022 December,2022 February,2022 January,2022 July,2022 June,2022 March,2022 May,2022 November,2022 October,2022 September,2023 April,2023 August,2023 December,2023 February,2023 January,2023 July,2023 June,2023 March,2023 May,2023 November,2023 October,2023 September,Type
PHILIPPINES,"Peanut with shell, dry",28.62,28.27,28.31,28.6,28.24,29.52,28.55,28.2,28.92,28.32,29.99,30.2,30.68,32.7,32.93,30.1,30.54,32.98,31.39,29.82,30.72,33.25,31.8,32.86,32.71,35,33.54,33.35,33.73,33.36,33.25,33.42,33.56,33.61,33.08,34.33,34.3,35.09,35.04,34.02,35,36.47,33.76,34.92,34.03,34.65,33.81,34.41,34.92,36.06,37.67,34.7,34.85,36.07,34.9,34.69,35.56,36.05,35.7,36.71,38.98,39.47,40.29,39.46,38.45,40.39,40.74,39.74,38.7,41.09,40.43,40.56,37.62,38.78,39.5,38.9,38.66,40.8,39.63,38.45,39.24,38.1,38.13,37.79,37.76,37.65,41.99,40.69,38.19,36.2,39.1,41.38,38.86,35.82,38.19,36.95,41.99,42.07,43.11,38.96,38.97,40.22,40.91,37.56,41.46,39.73,43.36,39.36,41.15,43.87,43.94,37.86,41.19,40.32,39.67,41.98,41.47,45.41,44.65,44.5,42.34,39.91,39.43,41.56,41.4,39.8,45.15,42.26,46.25,40.33,39.88,39.97,43.23,41.94,42.38,42.29,39.57,40.16,41.88,41.65,44.02,42.31,39.78,41.54,46.15,43.68,51.53,44.89,42.78,45.82,46.78,46.15,46.6,48.82,47.85,43.47,54.33,49.6,55.55,49.62,48.91,51.22,56.6,53.71,50.37,50.79,48.65,51.55,Hogs Upgraded for Breeding
PHILIPPINES,"Peanut without shell, fresh",29.5,30,30.5,30,29,29.5,28.5,29.5,28.5,29.5,28.5,29.5,0,0,0,29.5,28.5,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.37,59.55,73.09,66.87,0,60.06,60.72,63.36,77.04,60,61.61,60,Hogs Upgraded for Slaughter
PHILIPPINES,"Peanut without shell, dry",55.73,55.31,55.4,53.55,57.42,60.02,61.8,55.36,57.8,57.5,58.02,55.6,57.37,63.44,67.53,54.95,55.85,65.99,67.95,56.49,63.85,67.38,67.41,65.95,67.69,66.31,65.93,65.74,63.74,72.84,76.07,67.86,71.71,66.52,67.6,68.68,64.56,64.83,68.09,63.31,64.45,71.37,72.24,64.73,71.47,65.84,63.31,64.88,64.15,65.35,65.66,64.02,65.2,70.55,70.65,63.44,71.41,71.45,67.29,64.77,60.54,69.48,68.72,64.9,60.88,71.04,69.47,67.06,64.71,71.19,70.75,70.42,73.85,75.84,79.42,71.65,71.39,82.79,84.11,74.36,83.36,78.47,72.8,73.16,80.73,78.42,86.98,75.13,72.7,79.96,81.51,75.18,80.45,81.78,77.52,73.92,77.07,80.12,80.88,82.83,79.95,86.52,83.3,76.79,82.93,80.24,85.01,80.95,85.26,86.96,92.69,88.97,83.76,82.77,77.93,86.91,77.37,89.46,93,86.1,77.09,75.69,76.87,80.95,81.17,81.63,80.04,73.79,77.67,76.89,76.71,78.31,80.49,77.87,90.61,73.92,76.21,74.11,80.69,76.67,79.5,84.45,79.52,81.35,90.6,91.54,100.04,96.82,87.43,90.17,89.15,91.25,89.12,94.94,96.14,90.87,81.47,75.95,79.8,84.8,88.69,83.19,79.53,83.48,70.74,80.74,81.34,78.63,"Chicken Broiler, other breed"
PHILIPPINES,Sigarillas [Winged beans],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,55.38,40,0,0,0,20,19,15.5,19.13,33.82,30,30,26.79,21.67,26.28,35,28.22,0,31.67,31.67,25.71,37.66,31.21,21.67,49.08,34,33.5,34.88,40.82,35.44,19.99,20.32,27.54,Chicken Fighting Cock
PHILIPPINES,Stringbeans,20.58,19.23,19.88,20.4,19.94,19.47,17.58,15.29,14.66,19.71,19.67,19.4,19.08,19.39,21.35,21.2,21.15,18.2,21.13,20.6,20.36,21.46,22.29,19.67,18.38,20.72,20.46,20.57,21.07,18.87,18.09,19.51,18.12,19.74,19.22,20.94,18.95,18.52,23.42,20.7,21.68,17.29,18.75,19.51,18.83,25.09,22.01,19.77,21.54,21.06,23.41,24.99,25.66,24.63,21.41,23.83,20.78,20.98,20.59,21.29,23.62,22.67,27.88,22.62,25.15,24.61,23.52,22.68,23.49,24.16,23.1,20.64,25.76,21.53,26.82,24.61,24.33,20.22,26.39,23.04,27.17,24.65,26.27,23.73,22.29,22.25,29.72,27.13,30.54,21.76,23.19,25.64,23.14,25.76,24.69,23.58,28.18,28.78,29.19,32.19,33.51,31.7,31.5,29.55,27.89,29.47,28.52,32.21,32.28,26.51,28.86,30.31,31.75,26.91,30.13,31.83,30.28,28.79,28.02,29.14,30.61,22.45,41.61,31.24,29.44,20.72,25.91,30.3,30.36,37.32,29.6,25.04,28.32,28.75,34.62,32.8,40.71,29.66,30.31,31.03,29.14,29.5,28.47,29.04,30.48,26.39,40.27,36.74,39.05,29.12,32.92,32.23,33.65,39.58,35.7,28.72,37.92,36.97,37.41,43.8,46.62,34.32,33.9,39.97,35.7,35.12,35.02,39.44,Chicken Layer (culls)
PHILIPPINES,"Sweet Peas, Baguio",37.03,40.44,80.11,81.62,46.51,50.43,69.4,69.94,80.12,78.08,77.97,84.25,42.04,63.4,83.28,38.81,61.65,66.89,108.73,36.43,58.85,74.16,190.33,168.84,38.2,107.1,77.93,76.63,53.39,122.75,87.44,54.84,44.54,81.57,90.54,108.61,73.65,125.3,76.99,65.2,69.93,105.82,114.71,46.4,109.38,85.54,138.82,155.28,92.45,109.86,76.07,61.71,62.53,63.34,48.58,40.09,93.5,72.46,129.09,125.45,44.8,111.26,89.41,43.81,55.37,134.14,89.25,40.76,75.65,84.82,117.17,88.53,72.65,134.48,91.15,60.53,63.85,118.68,125.73,41.96,94.37,126.31,199.84,86.95,72.4,106.58,117.22,46.32,32.08,152.16,135.29,61.83,62.75,147.08,172.4,249.94,60.4,172.21,56.13,60.91,95.16,69,92.07,58.99,60.32,99.52,142.51,156.4,61.09,147.5,114.67,50.39,74.92,154.22,131.4,54.28,146.65,119.96,131,105.07,50.24,118.41,186.04,78.23,48.21,89.95,73.38,54.4,71.07,153.1,127.1,113.69,56.98,123.51,146.75,45.47,89.95,118.24,131.68,37.66,112.85,149.81,166.57,91.41,110.29,160.35,132.16,52.41,107.85,94.76,94.16,55.91,102.61,116.37,142.48,142.62,87.01,239.46,74.56,108.2,91.35,133.95,149.44,85.53,94.86,76.03,171.92,275.7,Chicken Native/Improved
PHILIPPINES,"Sweet Peas, Native",60.97,61.5,0,0,0,0,0,0,0,0,0,99.09,0,0,79.38,74.18,73.06,0,0,71.09,0,0,0,0,0,0,78.21,0,82.64,0,0,0,0,0,0,0,0,0,0,82.94,90,0,0,0,0,0,0,0,0,0,86.5,87.46,86.29,0,0,0,0,0,0,0,0,0,131.65,77.05,80.96,0,0,0,0,0,0,0,0,0,93.77,77.26,108.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duck for meat
PHILIPPINES,"Yambean, pods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken egg, other breed"
..National Capital Region (NCR),"Bush Sitao, Paayap [Cowpea]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken egg, Native"
..National Capital Region (NCR),Habitchuelas [Snap beans],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duck egg
..National Capital Region (NCR),"Kadios [Pigeon pea], dry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carabao for Breeding
..National Capital Region (NCR),"Kadios [Pigeon pea], green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carabao for Fattening
..National Capital Region (NCR),"Mongo [Mungbean] green, labo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carabao for Slaughter
